# Temperature (K)	C55 dvov (10^-5)
0.3081	-21.013133000375756
0.3082	-21.022373298784686
0.3083	-21.00737112430699
0.3084	-20.927316571738892
0.3085	-20.977443290606562
0.3086	-20.947442698674195
0.3087	-20.991374871591233
0.3088	-20.975549134792978
0.3089	-21.066866389999092
0.309	-21.08142444723547
0.3091	-21.16462745455437
0.3092	-21.098774372397305
0.3093	-21.159810162298992
0.3094	-21.14431329010434
0.3095	-21.227321411272133
0.3096	-21.123312070571483
0.3097	-21.115626401990202
0.3098	-21.043099898291658
0.3099	-20.99654030984392
0.31	-20.98430404420791
0.3101	-21.020396147660755
0.3102	-21.018443485184598
0.3103	-21.038503286443838
0.3104	-21.081617515145187
0.3105	-21.135944522306144
0.3106	-21.10650503723697
0.3107	-21.125774135048776
0.3108	-21.10965777664457
0.3109	-21.072741382783295
0.311	-20.949728711129083
0.3111	-20.991341079625343
0.3112	-20.951865345473536
0.3113	-20.945286864383668
0.3114	-20.903408087504832
0.3115	-20.958052515208422
0.3116	-20.9834287267147
0.3117	-20.99986829184612
0.3118	-20.98985705165039
0.3119	-21.034977147986783
0.312	-21.024767538450657
0.3121	-21.010202587023226
0.3122	-21.032672056531016
0.3123	-21.10260196938028
0.3124	-21.096961675467803
0.3125	-21.17387267394026
0.3126	-21.2031945708455
0.3127	-21.223018314083284
0.3128	-21.185727856455657
0.3129	-21.23137802128004
0.313	-21.208048066981885
0.3131	-21.142608782609745
0.3132	-21.154041243596527
0.3133	-21.22713544623626
0.3134	-21.29292653749591
0.3135	-21.2901542918945
0.3136	-21.345810555842878
0.3137	-21.32872908866161
0.3138	-21.30141827336483
0.3139	-21.291488188720827
0.314	-21.246576894063157
0.3141	-21.293093747323283
0.3142	-21.352026792278195
0.3143	-21.38579505866049
0.3144	-21.280410491194598
0.3145	-21.31585342770446
0.3146	-21.27392203779697
0.3147	-21.20932522303169
0.3148	-21.085584393216767
0.3149	-21.06522711147894
0.315	-20.99029350112362
0.3151	-20.87276293072347
0.3152	-20.834373108546174
0.3153	-20.87019093459795
0.3154	-20.861007867747954
0.3155	-20.904515722837452
0.3156	-20.9923613525934
0.3157	-20.961940041631415
0.3158	-20.958007087335567
0.3159	-20.99386247922473
0.316	-20.96948545399689
0.3161	-20.96436709850606
0.3162	-21.03634021564886
0.3163	-21.05041662179345
0.3164	-21.089725068891603
0.3165	-21.14563579904309
0.3166	-21.152688479580167
0.3167	-21.17156894083015
0.3168	-21.13794271741774
0.3169	-21.060383984373473
0.317	-20.97003320973821
0.3171	-20.885266927518117
0.3172	-20.843274255710792
0.3173	-20.841476997292315
0.3174	-20.93019633015118
0.3175	-21.01111820225991
0.3176	-21.096999445534877
0.3177	-21.090318666597035
0.3178	-21.159543844230285
0.3179	-21.082166838842827
0.318	-21.015934040687117
0.3181	-20.967606337244412
0.3183	-20.999942591786485
0.3184	-21.001934991044287
0.3185	-21.11331340483528
0.3187	-21.14531272944646
0.3189	-21.199839424567752
0.319	-21.199639463386806
0.3193	-21.19903058633997
0.3194	-21.126188730584456
0.3196	-21.13927006556969
0.3201	-21.071029102377775
0.3204	-21.04472977509962
0.3208	-20.981986567965055
0.3218	-20.935362643377015
0.3225	-20.913094133376593
0.3234	-20.92160620791293
0.3257	-20.97732842664239
0.3273	-21.04167644101849
0.3291	-21.116118069148023
0.3337	-21.145857192326517
0.3366	-21.209879629020307
0.3398	-21.15349820375871
0.3472	-21.14360695048671
0.3512	-21.119911398764273
0.3554	-21.108814680257698
0.3597	-21.114355583216376
0.3683	-21.167923276269637
0.3725	-21.146463219172446
0.3805	-21.093618480125848
0.3843	-20.993845694714558
0.3879	-20.894908913347315
0.3913	-20.855156089028032
0.3978	-20.84640785589707
0.4008	-20.851588142192828
0.4037	-20.93487538875703
0.4093	-20.98954707169008
0.412	-20.952407043516626
0.4146	-20.988187275199948
0.4197	-21.004822182839096
0.4222	-21.011560803745372
0.4246	-21.01733089980438
0.4294	-21.08219240979235
0.4318	-21.0758073275744
0.4342	-21.056096212568637
0.4388	-21.075122190863144
0.4412	-21.09090044705279
0.4435	-21.07551584682042
0.4481	-21.022234121318746
0.4503	-21.02812719671336
0.4526	-20.953699666094767
0.4572	-20.901355860178146
0.4594	-20.87828114956784
0.4617	-20.888678362429896
0.4661	-20.897386815099157
0.4682	-20.91426683505541
0.4703	-20.950614280428365
0.4744	-20.92561721484591
0.4763	-20.867779940454728
