# Temperature (K)	C55 dvov (10^-5)
0.3104	-16.150916418810795
0.3105	-16.153420952054883
0.3106	-16.154075059987584
0.3107	-16.155321584992624
0.3108	-16.15878739851273
0.3109	-16.1619750708763
0.311	-16.162520115525197
0.3111	-16.161108764369015
0.3112	-16.161345512783537
0.3113	-16.161623639962166
0.3114	-16.161106509591498
0.3115	-16.164126334594652
0.3116	-16.16334491522972
0.3117	-16.163091573255937
0.3118	-16.16417016666794
0.3119	-16.161069105420665
0.312	-16.161976155598293
0.3121	-16.161800143774528
0.3122	-16.156807077679815
0.3123	-16.154977078581922
0.3124	-16.157432040811855
0.3125	-16.16067840619551
0.3126	-16.164472257547633
0.3128	-16.16866105380927
0.3129	-16.169489726197718
0.313	-16.171936715022774
0.3131	-16.17473760089581
0.3132	-16.173518744842223
0.3133	-16.17028977659904
0.3134	-16.166222697902796
0.3135	-16.161773750212586
0.3136	-16.16275901755867
0.3137	-16.1649764628775
0.3138	-16.165119741045007
0.3139	-16.164542490415172
0.314	-16.164894300423875
0.3141	-16.166619036199304
0.3142	-16.16927882888342
0.3143	-16.169585912578203
0.3144	-16.16701535119699
0.3145	-16.163449634422367
0.3146	-16.16687778072947
0.3147	-16.169926699494944
0.3148	-16.170808631275925
0.3149	-16.170836101698487
0.315	-16.169031836302867
0.3152	-16.16713269888927
0.3153	-16.170240926307173
0.3154	-16.168444931286018
0.3155	-16.166862482363523
0.3157	-16.167419492121088
0.3158	-16.16683272743762
0.3159	-16.168236213551257
0.316	-16.169666410019854
0.3161	-16.169173107165136
0.3162	-16.1685898879676
0.3164	-16.164073339958197
0.3165	-16.164178532403028
0.3166	-16.16535503661157
0.3168	-16.165414597631376
0.3169	-16.165670552745027
0.317	-16.167239422487082
0.3172	-16.168448398491904
0.3173	-16.173400552949243
0.3174	-16.17393244633275
0.3176	-16.168393811243693
0.3177	-16.1700622469446
0.3178	-16.170851666659317
0.318	-16.165206129843106
0.3182	-16.16055600428409
0.3183	-16.156676697592534
0.3184	-16.151078892368417
0.3185	-16.153427746102548
0.3186	-16.149092701071666
0.3216	-16.144340594018168
0.3236	-16.14700554061807
0.3284	-16.14765889629755
0.3312	-16.148883808340578
0.3343	-16.153576841487396
0.3411	-16.15545167028873
0.3448	-16.158038728827357
0.3526	-16.163035072972715
0.3565	-16.16750666816842
0.3643	-16.171932450932307
0.3682	-16.177575401755387
0.3719	-16.179904219656606
0.3792	-16.182893124375372
0.3826	-16.18603435552061
0.3892	-16.18974863099193
0.3924	-16.194676398084518
0.3954	-16.200584804402887
0.4011	-16.205168762963833
0.4038	-16.209260648500983
0.4065	-16.212692339023604
0.4114	-16.215430559682154
0.4138	-16.21669762649672
0.4184	-16.213765805143172
0.4206	-16.213281788911118
0.425	-16.213653013725896
0.4271	-16.215383382145475
0.4292	-16.218272801220113
0.4333	-16.221444407573852
0.4354	-16.225762228919955
0.4375	-16.23219602497143
0.4416	-16.2357920644638
0.4437	-16.238497073119756
0.4457	-16.24411946646728
0.4497	-16.245186818713346
0.4517	-16.24428617266315
0.4537	-16.24156347239473
0.4575	-16.241714509210524
0.4594	-16.24354804442902
0.4629	-16.242905231010255
0.463	-16.2402794550842
0.4631	-16.24018698196813
0.4632	-16.2404490997244
0.4633	-16.24126709109071
0.4634	-16.239755329972038
0.4635	-16.23868930923686
0.4636	-16.237699712519394
0.4637	-16.235190315826177
0.4638	-16.235502309057228
0.4639	-16.235917718195665
0.4641	-16.238193644636823
0.4642	-16.23922013544465
0.4643	-16.239264872408786
0.4645	-16.238757297979276
0.4646	-16.240517257968726
0.4647	-16.239683460258682
0.465	-16.240510837859837
0.4652	-16.240952743263378
0.4653	-16.241392500062606
0.4655	-16.240058714094427
0.4657	-16.240339963821306
0.4659	-16.237532095917842
0.466	-16.23569167172028
0.4661	-16.232328514642447
0.4663	-16.228426423302324
0.4664	-16.223932419365283
0.4665	-16.222177195126314
0.4666	-16.21958467545535
0.4669	-16.218477184510764
0.467	-16.217621836366664
0.4671	-16.217698208862295
0.4672	-16.214860204333092
0.4673	-16.218733250764878
0.4674	-16.220379559465947
0.4678	-16.21950340889996
0.4679	-16.219051376001744
0.4681	-16.215924597994597
0.4684	-16.214949962223102
0.4686	-16.216499550920936
0.4688	-16.21141034349522
0.4689	-16.21213721147194
0.4691	-16.220064280697578
0.4694	-16.21873289496536
0.4699	-16.22664514589936
0.4702	-16.22755483772619
0.4704	-16.23349197365095
0.4705	-16.235904985779154
0.4709	-16.23774477355604
0.471	-16.23034515074592
0.4711	-16.235891646233416
0.4713	-16.231530659738677
0.4714	-16.235637936749242
0.4719	-16.232001093653714
0.472	-16.2369280203957
0.4722	-16.235661858239425
0.4724	-16.243824123469402
0.4725	-16.24299098125367
0.4727	-16.248711309487184
0.4731	-16.248949548895542
0.4733	-16.25168888634151
0.4734	-16.2509459273337
0.4737	-16.251995276524575
0.4738	-16.2490658072467
0.474	-16.24900540633188
0.4744	-16.24578212411356
0.4747	-16.24510133649819
0.4751	-16.24342320789069
0.4754	-16.241144852093214
0.4757	-16.23927619669593
0.4761	-16.238926927367192
0.4762	-16.23974556426812
0.4766	-16.239994537427666
0.4767	-16.23878222506348
0.477	-16.241971302523723
0.4771	-16.240915087157763
0.4774	-16.241233158163208
0.4777	-16.240897216506376
0.4781	-16.240781225824236
0.4782	-16.243470517144228
0.4784	-16.242829145073895
0.4785	-16.24060346838511
0.4789	-16.242280709617518
0.4792	-16.242017743394516
0.4796	-16.24342816363226
0.4798	-16.24249911091278
0.48	-16.240780805078654
0.4804	-16.241787445190596
0.4808	-16.244928860263112
0.4811	-16.24388999529704
0.4812	-16.243340078650096
0.4815	-16.245641948949427
0.482	-16.24966188095277
0.4823	-16.24766571586974
0.4825	-16.249342835988116
0.4827	-16.244327117202573
0.4831	-16.24455894145701
0.4833	-16.244610868654867
0.4837	-16.241578428371465
0.4838	-16.237391921437087
0.4841	-16.238391795786875
0.4842	-16.235471796046063
0.485	-16.235151457241372
0.4854	-16.23445745098514
0.4855	-16.234621783248016
0.4858	-16.23350095947137
0.4859	-16.23290333214874
0.4866	-16.231278033060768
0.4868	-16.23272823477008
0.487	-16.233873397438344
0.4872	-16.239076310343222
0.4877	-16.24243536615688
0.4879	-16.2421969290858
0.4883	-16.245684502111807
0.4886	-16.24830025442953
0.4887	-16.250921843002544
0.4891	-16.2537338984355
0.4894	-16.25279005220635
0.4895	-16.251710381422026
0.4899	-16.253282624519247
0.4904	-16.25408710127985
0.4907	-16.25509674552564
0.4909	-16.257414374792116
0.4911	-16.258696013759096
0.4915	-16.259341828432262
0.4918	-16.260033737394135
0.4919	-16.26240814516989
0.4922	-16.262577660306142
0.4924	-16.261334700097176
0.4927	-16.259064467307322
0.4928	-16.257274382068555
0.4936	-16.254559052968098
0.494	-16.255645055386843
0.4941	-16.25461830591073
0.4942	-16.253984251407584
0.4945	-16.256706211907833
0.4949	-16.256981604001485
0.4953	-16.259151159179655
0.4954	-16.261247843484202
0.4958	-16.261109124526058
0.4962	-16.260946993057093
0.4963	-16.2639256191146
0.4964	-16.26434517409663
0.4967	-16.26296170645281
0.497	-16.26323870955501
0.4972	-16.262560354637934
0.4975	-16.262923454330707
0.498	-16.264024683398365
0.4983	-16.259960229837347
0.4984	-16.259547756737625
0.4985	-16.259760736565248
0.4987	-16.25864111773764
0.4989	-16.25878766102863
0.4994	-16.258096759910767
0.4996	-16.255623755331474
0.4998	-16.25720024073441
0.5	-16.254663671203403
0.5002	-16.255727422753147
0.5004	-16.253817582652395
0.5011	-16.254234185581335
0.5012	-16.253698704944124
0.5015	-16.254554673467567
0.5017	-16.253043300532827
0.5019	-16.25526110629171
0.5021	-16.254809163928414
0.5027	-16.25626233214215
0.5028	-16.25813743620187
0.5029	-16.257998667984122
0.5032	-16.2582100164649
0.5033	-16.261256851636563
0.5037	-16.260178751727217
0.504	-16.26018803623411
0.5042	-16.259310719734106
0.5043	-16.257126552858768
0.5045	-16.26069695534037
0.5049	-16.26221484255074
0.505	-16.26060056595362
0.5051	-16.262898658926485
0.5054	-16.26688008842904
0.5055	-16.269227805782897
0.5056	-16.273795628441903
0.5058	-16.27457534837021
0.5062	-16.27709033870009
0.5066	-16.281163303481804
0.5068	-16.28216889483108
0.5069	-16.281682526842737
0.5073	-16.281135741519567
0.5075	-16.280611802560287
0.5078	-16.281008037337617
0.5079	-16.28012711054539
0.508	-16.278012323098046
0.5083	-16.27978006023527
0.5086	-16.27885254160948
0.5088	-16.279768818200985
0.5091	-16.27827693776731
0.5092	-16.27704895257025
0.5095	-16.277768915822364
0.5096	-16.27825444603859
0.5097	-16.274721461996368
0.5099	-16.276122995494553
0.51	-16.275649353610707
0.5102	-16.277632290550354
0.5104	-16.277849497719668
0.5107	-16.277759330242215
0.5111	-16.27728321676599
0.5112	-16.277059907555582
0.5113	-16.274854574144655
0.5114	-16.274831971989983
0.5115	-16.272789476827896
0.5116	-16.272567276034415
0.5119	-16.27207766477653
0.5121	-16.270961818990124
0.5122	-16.272470219729556
0.5123	-16.271089822925155
0.5124	-16.268103313285366
0.5125	-16.264696069680646
0.5126	-16.261571847931286
0.5127	-16.26107923666304
0.5128	-16.26303235251344
0.5134	-16.26400326729376
0.5138	-16.265726073563627
0.5142	-16.271591034046768
0.515	-16.277600230206886
0.5154	-16.283882173410603
0.5158	-16.28719437158348
0.5166	-16.288733738650233
0.5169	-16.289686173563314
0.5177	-16.29453522020452
0.518	-16.295249912902793
0.5188	-16.29623048954629
0.5191	-16.293798310288892
0.5195	-16.291667491640577
0.5202	-16.29028691537913
0.5206	-16.28929091199163
0.5213	-16.285830283290963
0.5216	-16.28439510889834
0.5224	-16.28311335408038
0.5227	-16.284351973954905
0.5231	-16.286125341900053
0.5238	-16.2861646407323
0.5241	-16.288309403484618
0.5245	-16.288581473068344
0.5252	-16.28821990668199
0.5255	-16.286734671875617
0.5259	-16.285254659552603
0.5266	-16.284778393165166
0.5269	-16.28518934769688
0.5272	-16.284505519486352
0.5279	-16.28566969580103
0.5282	-16.289363808015963
0.5285	-16.293836092034876
0.5292	-16.29777723564396
0.5295	-16.30058244539476
0.5302	-16.301366719520956
0.5305	-16.3013568414359
0.5308	-16.301721901364218
0.5314	-16.29804998005911
0.5317	-16.29627707722802
0.5323	-16.29280204633105
0.5326	-16.291211432535217
0.5332	-16.29293656023345
0.5335	-16.29476690528695
0.5338	-16.295597510629587
0.5344	-16.29669018707058
0.5347	-16.295178761824708
0.5353	-16.296454024191647
0.5356	-16.296680620401695
0.5362	-16.297573943429747
0.5364	-16.29669573795553
0.5367	-16.296235355110987
0.5373	-16.297947904830878
0.5376	-16.29936619975405
0.5378	-16.299908573698417
0.5384	-16.298607484047718
0.5387	-16.297153661779788
0.539	-16.298566183213733
0.5395	-16.300410601101202
0.5397	-16.30138797607045
0.54	-16.30360534227836
0.5405	-16.306327629054323
0.5408	-16.307504597991517
0.541	-16.307338299943368
0.5415	-16.30512904816522
0.5418	-16.302749017439147
0.542	-16.29894728984947
0.5425	-16.29273814324109
0.5427	-16.28744484911862
0.543	-16.28474702725054
0.5435	-16.2831241180225
0.5437	-16.2806236162153
0.5439	-16.28033434955448
0.5444	-16.283107552456716
0.5447	-16.28661131663214
0.5449	-16.287437513099924
0.5454	-16.2905192081911
0.5456	-16.29333300445832
0.5458	-16.29974882358627
0.5463	-16.303337699123105
0.5465	-16.305847267358267
0.5467	-16.30859739603841
0.5472	-16.31148910516532
0.5474	-16.31346991887243
0.5478	-16.31577941940273
0.548	-16.316770196317012
0.5483	-16.31877044728683
0.5487	-16.32175555023995
0.5489	-16.324104778527644
0.5491	-16.328570829659732
0.5496	-16.33056624332875
0.5498	-16.33046089222135
0.5502	-16.328922782369563
0.5504	-16.328817700654806
0.5506	-16.324260113403955
0.551	-16.31974200739836
0.5512	-16.314241877861424
0.5514	-16.31027540510959
0.5518	-16.30856488235143
0.552	-16.30815141737013
0.5522	-16.304397502338926
0.5526	-16.303122195636423
0.5528	-16.303608154685413
0.5532	-16.305038100660536
0.5534	-16.305954582467646
0.5536	-16.305143484247708
0.554	-16.30295123490117
0.5542	-16.30461746592179
0.5544	-16.306633325983604
0.5548	-16.309144959681845
0.5549	-16.315538929818135
0.5551	-16.322763780733883
0.5555	-16.329314709528546
0.5557	-16.33204285761515
0.5559	-16.33141928025655
0.5562	-16.337258530447468
0.5564	-16.341477342770762
0.5568	-16.334454039288325
0.557	-16.32697849350652
0.5573	-16.320720519564297
0.5575	-16.3198289857572
0.5577	-16.320173511954653
0.5581	-16.314058661895018
0.5583	-16.308801172392137
0.5586	-16.30960788857488
0.5588	-16.30956924806425
0.5592	-16.3096867740863
0.5594	-16.30923971730284
0.5596	-16.307171524855974
0.5599	-16.30613314646794
0.5601	-16.3054979634673
0.5603	-16.305591087284288
0.5607	-16.307237525390974
0.5609	-16.308598528455388
0.5612	-16.3103796869376
0.5616	-16.31361973067884
0.5618	-16.315607446003323
0.5621	-16.315957582289357
0.5623	-16.316640231334784
0.5625	-16.314411571309606
0.5628	-16.313935186568624
0.563	-16.313584731011193
0.5632	-16.313871765383656
0.5636	-16.31238217522965
0.5638	-16.311931978841944
0.5642	-16.30997320309558
0.5644	-16.31006069239036
0.5646	-16.307995076853604
0.5649	-16.307915456305157
0.5651	-16.30605487730992
0.5655	-16.306702470614297
0.5657	-16.307722110019945
0.5659	-16.30744839801728
0.5663	-16.304849308644982
0.5665	-16.304607160234134
0.5667	-16.301432515058426
0.5671	-16.300527733550577
0.5673	-16.297895233597234
0.5677	-16.294607702540723
0.5679	-16.294978329574747
0.5681	-16.297926087163166
0.5685	-16.300168400679976
0.5686	-16.303218917459034
0.5688	-16.305581011021054
0.5692	-16.309001028349517
0.5694	-16.31321167422811
0.5696	-16.315555528426536
0.57	-16.316611742354166
0.5702	-16.318987565388703
0.5706	-16.32041986192999
0.5708	-16.319495823716984
0.571	-16.317144746436306
0.5714	-16.31488025298383
0.5716	-16.311948954667848
0.5719	-16.308821446140293
0.5723	-16.30494810592665
0.5725	-16.301816659246118
0.5729	-16.30211181424081
0.5731	-16.304806632559302
0.5733	-16.30685363516759
0.5737	-16.309470867740917
0.5738	-16.310608357062303
0.5743	-16.312790077536427
0.5745	-16.313628058488714
0.5747	-16.312366765332484
0.5751	-16.309264911219636
0.5756	-16.308842590819356
0.5758	-16.308672256259012
0.576	-16.311697796513258
0.5764	-16.31178465523506
0.5766	-16.314024741366527
0.5768	-16.31623691740749
0.5773	-16.320847834064708
0.5775	-16.32289545366319
0.5777	-16.323877318872167
