# Temperature (K)	C55 Attenuation (Neper/m)
0.3126	-0.04196030187551969
0.3128	0.004557912304449019
0.3129	0.02669150595153269
0.313	0.022981257244396147
0.3131	0.14311957432488498
0.3132	0.032489006939727005
0.3133	-0.01640578405931592
0.3134	0.03956026570602944
0.3135	0.04868975015619981
0.3136	0.06946590103740391
0.3137	-0.018213049176040386
0.3138	-0.0639685825444758
0.3139	-0.12704826306020323
0.314	-0.03012257960756415
0.3141	-0.032468394176760285
0.3142	0.04713649881472293
0.3143	0.014081592338925475
0.3144	0.07548105942885286
0.3145	-0.017546994811198147
0.3146	0.04847391235773557
0.3147	-0.009265580414137276
0.3148	0.04928010542477068
0.3149	-0.011916523200625306
0.315	-0.010200858914458877
0.3152	-0.012847167107167934
0.3153	0.10992148578429806
0.3154	0.10321349078520825
0.3155	0.0905300142642318
0.3157	0.031881861189106075
0.3158	0.008218220501589713
0.3159	-0.06036980337063369
0.316	-0.18784692238216394
0.3161	-0.25833208320131007
0.3162	-0.21021990351647446
0.3164	-0.3269973169745981
0.3165	-0.31213960357541737
0.3166	-0.26505440400381985
0.3168	-0.18252052054077694
0.3169	-0.031221495276042788
0.317	0.0703264381071449
0.3172	0.09442782302255637
0.3173	0.2292275853188812
0.3174	0.2971893099269778
0.3176	0.1913528627316623
0.3177	0.24291878446405235
0.3178	0.2907261887032746
0.318	0.16294802439267642
0.3182	0.1227548337275266
0.3183	0.1519806672419577
0.3184	0.12498498940840364
0.3185	0.26641998127365696
0.3186	0.30102380524789396
0.3216	0.2717461309262603
0.3236	0.384501348050037
0.3284	0.43848516452789
0.3312	0.34037162356878525
0.3343	0.21250933415387863
0.3411	0.10884820037921372
0.3448	-0.048787549869814484
0.3526	-0.13835397262926108
0.3565	-0.24119402514770627
0.3643	-0.3725802292382241
0.3682	-0.3370728607156366
0.3719	-0.31537486619447463
0.3792	-0.31798374952217046
0.3826	-0.297972225783667
0.3892	-0.2563025049998373
0.3924	-0.057533094459870426
0.3954	0.15400903312752234
0.4011	0.3347881722397119
0.4038	0.42796428767695716
0.4065	0.4924155812311142
0.4114	0.5409430405125022
0.4138	0.5731327740608663
0.4184	0.4311964463309437
0.4206	0.3320869724931299
0.425	0.15675800612996227
0.4271	0.10709183224076924
0.4292	0.06663445489743935
0.4333	-0.004137152805924416
0.4354	0.027959663021761116
0.4375	0.15676481077179005
0.4416	0.23375559431900683
0.4437	0.2978833628419011
0.4457	0.2837932133780896
0.4497	0.2702120914390207
0.4517	0.37772906897589564
