# Temperature (K)	C55 Attenuation (Neper/m)
0.5269	3.2205063739546067
0.5271	3.1433311151987353
0.5272	3.1024790903490893
0.5273	2.9342137157282364
0.5274	2.723324221114925
0.5278	2.8124150650394584
0.528	2.616035419682022
0.5282	2.3246829606646635
0.5283	2.184034641139476
0.529	1.9574782626017784
0.5295	1.7010997610852985
0.53	1.65325482240828
0.531	2.251982432485282
0.5311	2.4837242400201354
0.5314	2.9812486710261212
0.5318	3.6420601014361704
0.5324	4.173806886374109
0.5328	4.3979317088323
0.5333	4.270272946241616
0.5335	4.143920782999038
0.5339	3.6524875093139215
0.5341	3.534715219965051
0.5342	3.1569963741478406
0.5345	3.363521637153824
0.5357	3.5491811990010507
0.5361	3.0998885303426373
0.5362	2.731700274511769
0.5367	2.632385579274552
0.5368	1.7101601777392743
0.537	1.3653201503210812
0.5371	1.3833307619073774
0.5373	1.016671005012064
0.5374	0.8011835312817678
0.5379	1.167664102740803
0.5383	1.4724819515786114
0.5394	1.716004494156
0.5402	2.1456255504457404
0.5405	2.535272204089648
0.5407	2.2716508115704523
0.5408	1.733943417111375
0.5409	1.378709650001172
0.541	0.8302332723647082
0.5417	1.0746114309401924
0.5418	1.4395044631099485
0.542	2.0483260515094215
0.5421	2.235293187112528
0.5424	2.356575095011572
0.5426	1.885906741912073
0.5429	1.6788337486214324
0.543	1.4864487138467597
0.5431	2.0509458171147426
0.5432	2.826342039708393
0.5433	3.3794689440931567
0.5434	3.5539607213446742
0.5436	3.6842686196806964
0.5449	3.2168671387372885
0.5458	2.544452264117989
0.5463	2.0652990406824543
0.5468	1.9664752519281665
0.5478	1.8948469911333268
0.5483	1.9763310648556063
0.5497	2.5168216267593406
0.5502	2.591027537253386
0.5516	2.718933662429969
0.5531	2.9618381480744915
0.5536	3.393378349939877
0.5541	3.1318034788589806
0.5551	3.285183903404998
0.5556	3.130741595644941
0.5561	2.490929334562917
0.558	2.0053453767806095
0.5595	2.1864258099478224
0.5614	2.437729553111328
0.5628	3.2807032588536065
0.5638	4.281038676637371
0.5652	4.907784574254547
0.5662	5.706553265613228
0.5667	5.124812657348092
0.5672	4.486260897904937
0.5681	3.765774249735294
0.5686	3.135727861708747
0.57	2.041989031971692
0.5709	2.2679274049364566
0.5723	1.8673867904660182
0.5731	1.7163584918446788
0.5735	2.0310896959723777
0.5739	2.6023218583610834
0.5751	2.6250445213372697
0.579	2.6974089017017664
0.5803	2.965393221386768
0.5817	3.23977517837158
0.5821	3.152280147879352
0.5834	3.546912444612917
0.5847	4.213304200199786
0.5856	4.784576886818504
0.5869	4.525569533309868
0.5881	4.676599765528716
0.589	4.045302502477984
0.5897	3.205290347835341
0.5901	2.5015082269266253
0.5909	2.2493356017446433
0.5913	1.408012053705221
0.5925	1.3056785398762398
0.5933	1.7290769218697322
0.5941	1.827738922810953
0.5945	2.2069368162570524
0.5952	3.144634619649664
0.5956	3.578558008169315
0.5964	3.6623055490836296
0.5983	3.5096164907855236
0.5994	3.4747634154745968
0.5998	3.081389607365309
0.6001	2.973608179375285
0.6009	2.5770554464162796
0.6012	3.0271642373642673
0.6019	2.707361641322457
0.6023	2.498527115866657
0.6026	2.211617398892833
0.6033	2.46050945457278
0.604	2.383032603568566
0.6068	2.122141731472064
0.6079	2.2594680113894356
0.6082	2.3968689012593014
0.6088	2.1108435255735483
0.6095	1.8372358954960504
0.6098	2.5468300308973935
0.6112	3.124867288967831
0.6125	3.442100856606414
0.6131	4.257571192901867
0.6138	4.111108497287876
0.6144	3.760983288920295
0.6147	3.155207911903889
0.615	3.2318116185097803
0.6163	2.764285983573839
0.6169	3.142851238211786
0.6187	3.0664206846550925
0.6197	3.396703748852684
0.6206	2.7113097718514285
0.6209	2.8997300269941184
0.6212	2.4357323303285283
0.6218	1.872728332504622
0.6221	0.9561918105804504
0.6224	1.0085238679840143
0.623	0.600016002886726
0.6233	0.20065387432064763
0.6236	0.4479417240119223
0.6242	0.9666192526977697
0.6245	1.196932346061978
0.6254	1.1405627294767244
0.6266	1.6924054035649452
0.6269	1.4902253548104087
0.6275	1.2606110510730895
0.6278	1.1388725026476376
0.6287	1.4530477846179362
0.6313	1.3852002573944797
0.6322	1.3982904484316312
0.6325	1.9163260740656334
0.6334	1.9646027704450095
0.6337	1.935220684067139
0.6346	1.719339531096873
0.6352	1.9343607086768932
0.6358	1.4958029503136598
0.6367	1.8787640598682807
0.6369	1.988842883363803
0.6379	2.3598215954372157
0.6381	3.0354870963774276
0.6387	3.1769770359068046
0.6394	3.0727007705373555
0.6396	3.202898669710078
0.6406	3.6200756518876256
0.6412	3.289636924045968
