# Temperature (K)	C55 Attenuation (Neper/m)
0.3051	0.0
0.3052	-0.15002329462913622
0.3053	-0.4786577909198968
0.3054	-0.24826787659890215
0.3055	-0.7321382933523637
0.3056	-1.109588194481148
0.3057	-0.6016056306461905
0.3058	-0.9344783040255606
0.3059	-1.2471819697052524
0.306	-0.8971356387014566
0.3061	-0.4821629026696428
0.3062	-1.2004653724566197
0.3063	-1.5435593181568947
0.3064	-0.34852898849976555
0.3065	0.22162501870616325
0.3066	-0.2637762910349011
0.3067	0.2191851352285994
0.3068	0.1469071002406963
0.3069	-0.822666877834763
0.307	-0.9309964146073071
0.3071	-0.45491700053617024
0.3072	0.31923505406984987
0.3073	0.1845022431821235
0.3074	-0.37446158257671414
0.3075	-0.3453511295069802
0.3076	-0.5664640731033614
0.3077	-0.5302548214808667
0.3078	-0.9032983047150083
0.3079	-1.3584895259759833
0.308	-1.1664936461497746
0.3081	-0.6802397111991922
0.3082	-0.9480019215629909
0.3083	-1.4762941452013365
0.3084	-0.4106966729054875
0.3085	-0.21318202993143132
0.3086	-1.2913968684902102
0.3087	-1.7828665347101378
0.3088	-1.713106771935145
0.3089	-0.9204581958460949
0.309	-0.15965799733612585
0.3091	0.1125595051757955
0.3092	-0.10626305544656134
0.3093	-0.41124894301037784
0.3094	-0.7401849669281546
0.3095	-1.1364980755411125
0.3096	-0.9150417007681426
0.3097	-0.779456216480412
0.3098	-0.9920499973072765
0.3099	-0.23064178746653852
0.31	0.2570907019121478
0.3101	-0.4659122623438634
0.3102	-0.3034637870828192
0.3103	0.03090091386320637
0.3104	-0.30701808101593997
0.3105	-0.5310384353529116
0.3106	-0.8548422664048303
0.3107	-0.6990030389920321
0.3108	-0.4725231074758085
0.3109	-0.8135280456176588
0.311	-0.5212890268217052
0.3111	-0.19141854490089827
0.3112	-0.34428197222086965
0.3113	-0.5957723216474733
0.3114	-0.8887157854828729
0.3115	-1.1732553814713356
0.3116	-1.248624984428261
0.3117	-1.2277529492735084
0.3118	-1.216030014451917
0.3119	-0.5993433061253199
0.312	-0.2320883571178456
0.3121	-0.4454753961276765
0.3122	-0.23530241624257542
0.3123	-0.3628163933703945
0.3124	-0.6908226153268515
0.3125	-0.6125787757687249
0.3126	-0.7667396971251037
0.3127	-1.0000684256979184
0.3128	-0.9912789900467942
0.3129	-0.539596751636509
0.313	0.053673952259032376
0.3131	0.2011257832141382
0.3132	-0.16078770129979603
0.3134	-0.17901520962777795
0.3135	0.25023483036193284
0.3136	0.11850036483656368
0.3137	-0.7138466097881064
0.3138	-1.076626398039025
0.3139	-1.1211940912021419
0.314	-1.070162904600238
0.3141	-0.9332355620631461
0.3142	-0.93053290169928
0.3143	-0.7761216927233363
0.3144	-1.0629370888259473
0.3145	-1.2823884900121811
0.3146	-0.8888961777834083
0.3147	-0.5978427843642748
0.3148	-0.9266845885053954
0.3149	-0.7176753196022219
0.315	-0.6666026720181435
0.3151	-1.44229450049761
0.3152	-1.2722373776327913
0.3153	-0.5980847040905246
0.3154	-0.6940939688706749
0.3155	-0.759433731631816
0.3156	-0.9954307503562632
0.3157	-1.1473837352154987
0.3158	-0.5674455549801678
0.3159	-0.37717342062978787
0.316	-0.5168806314527501
0.3161	-0.43286808170387303
0.3162	-0.13274983931341922
0.3163	-0.22304936485897997
0.3164	-0.1944557607698698
0.3165	0.16123903838297338
0.3166	-0.10091166945358054
0.3167	-0.24010763441629024
0.3168	-0.1721893577037008
0.3169	-0.13449072530647754
0.317	-0.2226902772804351
0.3171	-0.7199360161671393
0.3172	-0.8882244458277455
0.3173	-0.5103562254139433
0.3174	-1.1626093904037589
0.3175	-1.5880795539692372
0.3176	-0.9099780377932802
0.3177	-0.6336260429584399
0.3178	-0.7208755931119413
0.3179	-0.6539846694781772
0.318	-0.5028498709421001
0.3181	-0.47412723427851233
0.3182	-0.5852059429512337
0.3183	-1.0494282666318213
0.3185	-1.249194826260009
0.3186	-0.8806187704526565
0.3187	-0.6751887191990136
0.3188	-0.6735048681571243
0.319	-0.9411562888840308
0.3192	-1.2348843661443425
0.3193	-0.814899854316991
0.3194	-0.37424084375243183
0.3195	-0.3819863184967289
0.3196	-0.5002696260185076
0.3197	-1.2107100665730286
0.32	-1.5850036503966294
0.3202	-1.1612160105783005
0.3203	-0.6464225084114332
0.3205	-0.24974678934677286
0.3208	0.02086952731906422
0.3209	0.011564952977551002
0.3211	-0.1537264004714416
0.3213	0.23388655566077432
0.3215	0.26462045905054765
0.3217	-0.4145701034344711
0.3218	-0.5285547938024138
0.322	-0.22856034299047678
0.3221	-0.56947978972903
0.3223	-0.7982008787207633
0.3227	-0.7529087300486026
0.3228	-0.9388762113508164
0.323	-1.5617978146024143
0.3235	-1.8848335857169332
0.3237	-1.5729617636084186
0.3238	-1.1308999973539358
0.324	-1.1552120031396953
0.3244	-1.2033662907911093
0.3246	-1.2337585270565796
0.3248	-1.287687013768391
0.325	-0.6335329098933471
0.3254	-0.09415719804974287
0.3257	0.49527596125108175
0.3259	0.07958958389781401
0.3264	0.16283952616640818
0.3266	1.1575994603786057
0.3269	0.4725179679530811
0.3271	0.18329733944983673
0.3274	0.2620255624801757
0.3279	-0.12885728580158684
0.3281	-0.47204472556632027
0.3282	-0.1893863820282604
0.3284	-0.31868175662975773
0.3287	-0.8615202115456668
0.3289	-0.6392648036694482
0.3295	-0.6615125394441748
0.3298	-1.0321089336198384
0.3301	-1.095019965955089
0.3304	-1.3325618202784426
0.331	-1.0987321941197479
0.3314	-0.7110155060204306
0.3317	-0.7152043301744015
0.332	-0.7402951032986493
0.3327	-1.0388960862896965
