# Temperature (K)	C55 dvov (10^-5)
0.3036	-20.17437575926947
0.3037	-20.223993680034628
0.3038	-20.22036887343144
0.3039	-20.233197337637577
0.304	-20.28182988071257
0.3041	-20.27693768176741
0.3042	-20.282429169158963
0.3043	-20.276874610525685
0.3044	-20.270086453356065
0.3045	-20.1776473570002
0.3046	-20.173885034915223
0.3047	-20.14273181886725
0.3048	-20.166166170739785
0.3049	-20.193365408807608
0.305	-20.23944013360394
0.3051	-20.19840925484936
0.3052	-20.23675930242162
0.3053	-20.217798399480923
0.3054	-20.20140480604497
0.3055	-20.202575283021208
0.3056	-20.23512189515985
0.3057	-20.22994923756672
0.3058	-20.263032710711897
0.3059	-20.27168031869006
0.306	-20.294221627105756
0.3061	-20.28967491520995
0.3062	-20.27120764474415
0.3063	-20.262936355780997
0.3064	-20.248986190359584
0.3065	-20.246743351769112
0.3066	-20.26929555823274
0.3067	-20.2899440445593
0.3068	-20.260364692431576
0.3069	-20.27746390908174
0.307	-20.275486320129577
0.3071	-20.27718003804949
0.3072	-20.27862590002191
0.3073	-20.293269981863876
0.3074	-20.296948307409913
0.3075	-20.272199966505433
0.3076	-20.27628279318355
0.3077	-20.308279850282805
0.3078	-20.322010579689604
0.3079	-20.313802616090296
0.308	-20.32959763719515
0.3081	-20.29672659213954
0.3082	-20.282539467216516
0.3083	-20.28738971103758
0.3084	-20.26902330543434
0.3085	-20.24140726084929
0.3086	-20.259717872175695
0.3087	-20.253436545297195
0.3088	-20.233825291202425
0.3089	-20.26804258211061
0.309	-20.299681504356265
0.3091	-20.31180485839101
0.3092	-20.331388928275462
0.3093	-20.347940458254644
0.3094	-20.334108938925457
0.3095	-20.33309129263652
0.3096	-20.28554574597012
0.3097	-20.239294633895277
0.3098	-20.2430659336929
0.3099	-20.21680014827213
0.31	-20.249780306421606
0.3101	-20.29008063982145
0.3102	-20.302010277459242
0.3103	-20.30529106409818
0.3104	-20.32699966977258
0.3105	-20.309928717938558
0.3106	-20.295657955657788
0.3107	-20.285219875178214
0.3108	-20.25976566688848
0.3109	-20.253918191100414
0.311	-20.2474156689563
0.3111	-20.25527853501369
0.3112	-20.231019135682942
0.3113	-20.191564881343165
0.3114	-20.195576659879478
0.3115	-20.17903872144843
