# Temperature (K)	C55 dvov (10^-5)
0.3054	-14.9691044720982
0.3055	-14.969805269088855
0.3056	-14.984235240040212
0.3057	-14.994869308049322
0.3058	-15.014720254198535
0.3059	-15.008682605881194
0.306	-15.01418701476294
0.3061	-15.028560116409967
0.3062	-15.016694011345098
0.3063	-15.023618029685196
0.3064	-15.037918033528745
0.3065	-15.049149013074153
0.3066	-15.027917463047418
0.3067	-15.022856026898445
0.3068	-15.030732636433088
0.3069	-15.010829928398115
0.307	-15.010424236468738
0.3071	-15.044936586456979
0.3072	-15.060165641488398
0.3073	-15.044007237197103
0.3074	-15.04119234510237
0.3075	-15.03273391066194
0.3076	-15.031387041112486
0.3077	-15.008217967313826
0.3078	-15.006965572446585
0.3079	-15.02439943450957
0.308	-15.030217491245772
0.3081	-15.011667805925853
0.3082	-15.029652060545097
0.3083	-15.021244999267282
0.3084	-15.017257336332628
0.3085	-15.005227232627034
0.3086	-15.02476294623745
0.3087	-15.045156153059686
0.3088	-15.075982965333782
0.3089	-15.083496469513419
0.309	-15.084939311392061
0.3091	-15.070678916654558
0.3092	-15.062958012817015
0.3093	-15.0314061829342
0.3094	-15.00551169335509
0.3095	-14.992114026788007
0.3096	-14.983914484902721
0.3097	-14.977370100163839
0.3098	-14.98922886381007
0.3099	-15.01625565588928
0.31	-15.03675080076597
0.3101	-15.04067657290352
0.3102	-15.011007831070913
0.3103	-14.98494338520031
0.3104	-14.97226332495269
0.3105	-14.978491317566371
0.3106	-14.988866040100508
0.3107	-15.007874528701294
0.3108	-15.034384093425421
0.3109	-15.037163619931109
0.311	-15.037763547815336
0.3111	-15.03343333096878
0.3112	-15.051377229519073
0.3113	-15.051998077460492
0.3114	-15.051174375506145
0.3115	-15.052574180649389
0.3116	-15.05720475748303
0.3117	-15.051375982259172
0.3118	-15.042947150947414
0.3119	-15.0630977562126
0.312	-15.034165782255421
0.3121	-15.023198342097102
0.3122	-14.998596963879418
0.3123	-14.996154257760482
0.3124	-14.988882394353585
0.3125	-14.979642167271107
0.3126	-14.983890410131137
0.3127	-15.009263649236464
0.3128	-15.034245858839132
0.3129	-15.043465987743687
0.313	-15.060700074236514
0.3131	-15.063146468722515
0.3132	-15.051676080663233
0.3134	-15.028132475365611
0.3135	-15.02756933044246
0.3136	-15.039245381062925
0.3137	-15.043192251679026
0.3138	-15.051601476830035
0.3139	-15.067416455314579
0.314	-15.05995641376693
0.3141	-15.054035976502572
0.3142	-15.046816274445277
0.3143	-15.028690528416663
0.3144	-15.002413223386968
0.3145	-14.986994713788809
0.3146	-14.977788556438933
0.3147	-14.988208439054647
0.3148	-14.995582753307485
0.3149	-15.004021245004104
0.315	-15.009447257365998
0.3151	-15.023010774907167
0.3152	-15.013613196876488
0.3153	-15.012359565592506
0.3154	-15.020309513570908
0.3155	-15.039760310076428
0.3156	-15.043933510981663
0.3157	-15.056644433931302
0.3158	-15.065102573085568
0.3159	-15.059170730046151
0.316	-15.01139170830851
0.3161	-14.989081236333389
0.3162	-14.960129701517872
0.3163	-14.953288494683777
0.3164	-14.957361222773537
0.3165	-14.981155024844046
0.3166	-14.997882651597598
0.3167	-15.015299285922284
0.3168	-15.030384653049056
0.3169	-15.032036540312275
0.317	-15.052865603091803
0.3171	-15.065876025711898
0.3172	-15.076276182583772
0.3173	-15.069266487638924
0.3174	-15.08194959784539
0.3175	-15.070262169585893
0.3176	-15.052256861011488
0.3177	-15.034838476511498
0.3178	-15.018743020475435
0.3179	-15.005890153404733
0.318	-15.002720884618425
0.3181	-14.998379170694784
0.3182	-15.021057968870837
0.3183	-15.03418139818676
0.3185	-15.036953038467496
0.3186	-15.024324547181768
0.3187	-15.023544147972755
0.3188	-15.027719952636435
0.319	-15.023265062973547
0.3192	-15.019603216738664
0.3193	-15.030577440928727
0.3194	-15.039805632017906
0.3195	-15.022841771093303
0.3196	-15.016191373883164
0.3197	-15.015215799798922
0.32	-15.026643731661961
0.3202	-15.015541396835408
0.3203	-15.019502215979758
0.3205	-15.026648412165924
0.3208	-15.021753322285546
0.3209	-15.008941568763309
0.3211	-14.998794396198313
0.3213	-14.974710078498507
0.3215	-14.96730517462848
0.3217	-14.972651689474226
