# Temperature (K)	C55 Attenuation (Neper/m)
0.3036	0.0
0.3037	-0.20919089588369388
0.3038	-0.15970724863609576
0.3039	-0.0166456727571358
0.304	0.013205055168327817
0.3041	-0.039178246863230015
0.3042	0.23454841653847325
0.3043	0.11562089904793993
0.3044	-0.09373841794661075
0.3045	0.022150955870301914
0.3046	0.2343042012838623
0.3047	-0.05869050832791345
0.3048	-0.03196186894001585
0.3049	0.007723506126922075
0.305	-0.004704768393821723
0.3051	0.10639287494859673
0.3052	-0.15265674216516345
0.3053	-0.19433334325719898
0.3054	-0.25076122955931623
0.3055	-0.3309716398000546
0.3056	-0.5524588627564526
0.3057	-0.386097777897362
0.3058	-0.33514470345824066
0.3059	-0.30649624513557683
0.306	-0.20552498958375054
0.3061	-0.24380956390257325
0.3062	-0.11297218927086305
0.3063	-0.15494951951723124
0.3064	-0.39377056475450445
0.3065	-0.599683740303135
0.3066	-0.6691062781598021
0.3067	-0.6468606870056419
0.3068	-0.44937479895770593
0.3069	-0.12398831923292164
0.307	0.16827189271907628
0.3071	0.5730290250276084
0.3072	0.759066640034689
0.3073	0.7314672195889216
0.3074	0.5282000733442374
0.3075	0.20872567647143114
0.3076	0.18439353937992564
0.3077	0.1773565884764139
0.3078	0.04340485492843982
0.3079	0.2720635134426175
0.308	0.23424360734327365
0.3081	0.20076267314050256
0.3082	0.19646796418214763
0.3083	0.3352406865201374
0.3084	0.5618368578286663
0.3085	0.9042768045283083
0.3086	0.751932289676688
0.3087	0.7087166407288805
0.3088	0.8877038902382992
0.3089	0.5586051132891043
0.309	0.20590968212763983
0.3091	0.1111942404805859
0.3092	-0.01579739558383153
0.3093	-0.3644242110722189
0.3094	-0.15881945300225198
0.3095	0.07867823186074929
0.3096	0.26652185868272227
0.3097	0.1911278336815485
0.3098	0.26853964052691026
0.3099	-0.04034206824746889
0.31	-0.11449636357747295
0.3101	-0.17819586961877576
0.3102	-0.014472559998353063
0.3103	0.08451388766968648
0.3104	0.21379271872842764
0.3105	0.03977910701917153
0.3106	-0.210299772821827
0.3107	-0.5261771797743222
0.3108	-0.6492974719282074
0.3109	-0.6969369976609414
0.311	-0.572276697655866
0.3111	-0.4623485455509808
0.3112	-0.04197964608340499
0.3113	-0.0481630174459724
0.3114	-0.1090911097070375
0.3115	-0.07036497106184925
0.3116	-0.011950410361350805
0.3117	-0.16028043379071732
0.3118	-0.35583934559417685
0.3119	-0.20609261302035975
0.312	0.05569524552538496
0.3121	0.34137770829818237
0.3122	0.5415422388917932
0.3124	0.41922722147546665
