"t","n1","n2"
0.,0.9574972412295125,0.5987480222917043
0.01,0.9580230786249787,0.5945528998204714
0.02,0.9585486275583713,0.5903279657712616
0.03,0.9590738885039004,0.5860725754190688
0.04,0.9595988619344787,0.581786060459551
0.05,0.960123548321726,0.5774677277837685
0.06,0.9606479481359739,0.5731168581698264
0.07,0.9611720618462708,0.5687327048844274
0.08,0.9616958899203877,0.5643144921866364
0.09,0.9622194328248215,0.5598614137253662
0.1,0.9627426910248014,0.5553726308212081
0.11,0.9632656649842923,0.5508472706222426
0.12,0.9637883551660011,0.5462844241223417
0.13,0.96431076203138,0.5416831440292218
0.14,0.9648328860406322,0.5370424424680856
0.15,0.9653547276527165,0.5323612885050821
0.16,0.9658762873253517,0.5276386054730032
0.17,0.9663975655150214,0.5228732680795604
0.18,0.9669185626769791,0.5180640992762422
0.19,0.967439279265252,0.5132098668630684
0.2,0.9679597157326459,0.5083092798014931
0.21,0.968479872530751,0.5033609842041961
0.22,0.9689997501099443,0.49836355896646495
0.23,0.9695193489193961,0.493315510999224
0.24,0.9700386694070728,0.48821527001839027
0.25,0.9705577120197434,0.48306118283902094
0.26,0.9710764772029822,0.47785150711548274
0.27,0.9715949654011743,0.4725844044604546
0.28,0.9721131770575193,0.4672579328657212
0.29,0.9726311126140366,0.46187003833616563
0.3,0.9731487725115691,0.4564185456347663
0.31,0.9736661571897879,0.45090114802033887
0.32,0.9741832670871962,0.445315395840705
0.33,0.9747001026411346,0.4396586838212889
0.34,0.9752166642877844,0.43392823686200965
0.35000000000000003,0.9757329524621725,0.4281210941227688
0.36,0.9762489675981751,0.4222340911385305
0.37,0.9767647101285232,0.4162638396573563
0.38,0.9772801804848048,0.41020670483670724
0.39,0.9777953790974713,0.40405877936222817
0.4,0.97831030639584,0.39781585396562313
0.41000000000000003,0.9788249628080994,0.3914733837096749
0.42,0.9793393487613127,0.3850264492730423
0.43,0.9798534646814221,0.37846971229744514
0.44,0.9803673109932532,0.37179736364478855
0.45,0.9808808881205183,0.3650030631377214
0.46,0.9813941964858217,0.35807986900498007
0.47000000000000003,0.9819072365106627,0.35102015479645604
0.48,0.9824200086154402,0.3438155109357811
0.49,0.9829325132194561,0.3364566272890705
0.5,0.9834447507409204,0.3289331520741574
0.51,0.9839567215969541,0.32123352100947533
0.52,0.9844684262035939,0.3133447486505068
0.53,0.9849798649757951,0.30525217115289055
0.54,0.9854910383274373,0.2969391258831644
0.55,0.9860019466713266,0.28838654782593803
0.56,0.9865125904192001,0.27957245474772063
0.5700000000000001,0.9870229699817301,0.27047128117486074
0.58,0.9875330857685277,0.26105300309913104
0.59,0.9880429381881463,0.25128196694904154
0.6,0.9885525276480861,0.24111529068162282
0.61,0.9890618545547971,0.23050062882167532
0.62,0.989570919313684,0.2193729618113682
0.63,0.9900797223291085,0.20764983231535797
0.64,0.9905882640043943,0.19522399787756767
0.65,0.99109654474183,0.18195154803959437
0.66,0.9916045649426738,0.16763150754171788
0.67,0.9921123250071556,0.1519680190283906
0.68,0.9926198253344828,0.13449251017851352
0.6900000000000001,0.9931270663228416,0.11437740939897979
0.7000000000000001,0.9936340483694028,0.0898673926823634
0.71,0.9941407718703239,0.05540852600665754
0.72,0.9934787365615834,0
0.73,0.9909591313469996,0
0.74,0.9884331034521254,0
0.75,0.985900603509299,0
0.76,0.9833615815151617,0
0.77,0.9808159868191383,0
0.78,0.978263768111648,0
0.79,0.9757048734120375,0
0.8,0.9731392500562291,0
0.81,0.9705668446840743,0
0.8200000000000001,0.967987603226405,0
0.8300000000000001,0.9654014708917736,0
0.84,0.9628083921528727,0
0.85,0.9602083107326244,0
0.86,0.957601169589929,0
0.87,0.9549869109050658,0
0.88,0.9523654760647301,0
0.89,0.9497368056467014,0
0.9,0.9471008394041259,0
0.91,0.9444575162494077,0
0.92,0.9418067742376883,0
0.93,0.9391485505499118,0
0.9400000000000001,0.9364827814754524,0
0.9500000000000001,0.9338094023943002,0
0.96,0.9311283477587825,0
0.97,0.9284395510748129,0
0.98,0.9257429448826494,0
0.99,0.9230384607371461,0
1.,0.9203260291874831,0
1.01,0.9176055797563569,0
1.02,0.9148770409186143,0
1.03,0.9121403400793103,0
1.04,0.9093954035511725,0
1.05,0.906642156531451,0
1.06,0.9038805230781334,0
1.07,0.9011104260855048,0
1.08,0.8983317872590283,0
1.09,0.8955445270895245,0
1.1,0.8927485648266258,0
1.11,0.8899438184514795,0
1.12,0.887130204648675,0
1.1300000000000001,0.8843076387773657,0
1.1400000000000001,0.8814760348415606,0
1.1500000000000001,0.8786353054595518,0
1.16,0.8757853618324527,0
1.17,0.8729261137118078,0
1.18,0.8700574693662483,0
1.19,0.8671793355471521,0
1.2,0.8642916174532761,0
1.21,0.8613942186943212,0
1.22,0.8584870412533903,0
1.23,0.8555699854482975,0
1.24,0.8526429498916883,0
1.25,0.8497058314499202,0
1.26,0.846758525200662,0
1.27,0.8438009243891594,0
1.28,0.8408329203831163,0
1.29,0.8378544026261364,0
1.3,0.8348652585896721,0
1.31,0.8318653737234168,0
1.32,0.828854631404084,0
1.33,0.8258329128825032,0
1.34,0.8228000972289685,0
1.35,0.8197560612767679,0
1.36,0.8167006795638166,0
1.37,0.8136338242723197,0
1.3800000000000001,0.8105553651663777,0
1.3900000000000001,0.807465169527454,0
1.4000000000000001,0.8043631020876082,0
1.41,0.8012490249604053,0
1.42,0.7981227975693966,0
1.43,0.7949842765740717,0
1.44,0.7918333157931662,0
1.45,0.7886697661252142,0
1.46,0.7854934754662193,0
1.47,0.7823042886243179,0
1.48,0.7791020472312983,0
1.49,0.775886589650833,0
1.5,0.7726577508832744,0
1.51,0.7694153624668538,0
1.52,0.7661592523751182,0
1.53,0.7628892449104261,0
1.54,0.7596051605933177,0
1.55,0.7563068160475616,0
1.56,0.7529940238806679,0
1.57,0.7496665925596525,0
1.58,0.7463243262818117,0
1.59,0.7429670248402684,0
1.6,0.7395944834840238,0
1.61,0.7362064927722385,0
1.62,0.7328028384224504,0
1.6300000000000001,0.7293833011524188,0
1.6400000000000001,0.7259476565152614,0
1.6500000000000001,0.7224956747275377,0
1.6600000000000001,0.7190271204899019,0
1.67,0.7155417527999328,0
1.68,0.712039324756716,0
1.69,0.7085195833567342,0
1.7,0.7049822692805827,0
1.71,0.7014271166700073,0
1.72,0.6978538528947161,0
1.73,0.6942621983083913,0
1.74,0.6906518659932803,0
1.75,0.6870225614927068,0
1.76,0.6833739825307955,0
1.77,0.6797058187186572,0
1.78,0.6760177512462229,0
1.79,0.6723094525588645,0
1.8,0.6685805860178712,0
1.81,0.6648308055437865,0
1.82,0.6610597552415365,0
1.83,0.6572670690061994,0
1.84,0.6534523701081817,0
1.85,0.6496152707564686,0
1.86,0.6457553716385176,0
1.87,0.6418722614352484,0
1.8800000000000001,0.6379655163094632,0
1.8900000000000001,0.6340346993658943,0
1.9000000000000001,0.6300793600809346,0
1.9100000000000001,0.6260990336999411,0
1.92,0.6220932405998317,0
1.93,0.6180614856144978,0
1.94,0.6140032573203501,0
1.95,0.6099180272790763,0
1.96,0.6058052492344385,0
