# temperature (K),delta c22/c22 (1e-5)
1.300063636363636421e+00,-1.600000000000000089e+00
1.300404545454545424e+00,-1.601199734903022032e+00
1.300745454545454427e+00,-1.603800886966648687e+00
1.301197727272727311e+00,-1.603933617784219390e+00
1.301594252873562896e+00,-1.605576173733818113e+00
1.302054022988505810e+00,-1.605940183112948283e+00
1.302341860465116241e+00,-1.605314903095578449e+00
1.302806976744185885e+00,-1.604079953781997858e+00
1.303098823529411643e+00,-1.602135162897559972e+00
1.303513095238095110e+00,-1.602830408207211121e+00
1.303870238095238276e+00,-1.605660870322264122e+00
1.304227380952380999e+00,-1.607007733553218243e+00
1.304584523809523722e+00,-1.607713716046133223e+00
1.305116470588235433e+00,-1.608359136584580185e+00
1.305406976744186265e+00,-1.608652626682243847e+00
1.305810344827586178e+00,-1.609780443346722878e+00
1.306102325581395496e+00,-1.611910058225285214e+00
1.306445454545454687e+00,-1.614507670818847940e+00
1.306617241379310457e+00,-1.614820655847051700e+00
1.307077011494252927e+00,-1.613487390510693453e+00
1.307414606741573060e+00,-1.614707095847120799e+00
1.307806666666666784e+00,-1.615285486236323509e+00
1.308251111111111031e+00,-1.615530997742431918e+00
1.308638461538461639e+00,-1.617355977926328237e+00
1.308917777777777625e+00,-1.619515574962199889e+00
1.309251111111111365e+00,-1.619407618214457445e+00
1.309525274725274580e+00,-1.619700228572355183e+00
1.309854945054945041e+00,-1.621165735961170418e+00
1.310127173913043563e+00,-1.622539831049015779e+00
1.310453260869565151e+00,-1.624529941808822375e+00
1.310617582417582305e+00,-1.624296341814512434e+00
1.311057142857142921e+00,-1.623773232319738691e+00
1.311330434782608689e+00,-1.623959747852908864e+00
1.311768478260869397e+00,-1.623554653614346810e+00
1.312094565217391207e+00,-1.623782557125632797e+00
1.312313043478260832e+00,-1.625476031550906031e+00
1.312476923076922875e+00,-1.626818127313795603e+00
1.312806593406593558e+00,-1.630264261247293955e+00
1.313080434782608608e+00,-1.630772726068340894e+00
1.313296739130434876e+00,-1.629673031569332187e+00
1.313731521739130326e+00,-1.626896963592780576e+00
1.314003296703296630e+00,-1.625766623915166242e+00
1.314332967032966870e+00,-1.623404422049349094e+00
1.314608888888888716e+00,-1.622746450899990700e+00
1.314885393258427015e+00,-1.622808090799260805e+00
1.315222471910112434e+00,-1.622979930338495302e+00
1.315727777777777829e+00,-1.624441843016161124e+00
1.316061111111110904e+00,-1.625222228068169184e+00
1.316450549450549179e+00,-1.628376308812130580e+00
1.316670329670329931e+00,-1.630465013729873069e+00
1.316999999999999948e+00,-1.632665394457553099e+00
1.317659340659340872e+00,-1.634642552269440108e+00
1.317989010989011112e+00,-1.635752189840777415e+00
1.318318681318681351e+00,-1.637562514605978681e+00
1.318648351648351813e+00,-1.638745462304158629e+00
1.318978021978022053e+00,-1.638474097164090537e+00
1.319417582417582446e+00,-1.638560926722953504e+00
1.319858241758241846e+00,-1.637127702887476444e+00
1.320297802197802239e+00,-1.634237133152566690e+00
1.320627472527472479e+00,-1.633897753057934832e+00
1.320789130434782743e+00,-1.633488163251578085e+00
1.321115217391304331e+00,-1.635656259984475724e+00
1.321441304347825918e+00,-1.636797432881085701e+00
1.321768478260869628e+00,-1.637932632492062224e+00
1.322094565217391215e+00,-1.638862434491858089e+00
1.322364516129032497e+00,-1.639363947636970575e+00
1.322630851063829827e+00,-1.639851302492462137e+00
1.322843617021276730e+00,-1.639693531328143772e+00
1.323162765957446751e+00,-1.639481649095490212e+00
1.323430107526881727e+00,-1.640870938769590337e+00
1.323802127659574390e+00,-1.643096465607504220e+00
1.324067368421052659e+00,-1.645195817389738524e+00
1.324383157894736707e+00,-1.647099716500785016e+00
1.324644791666666599e+00,-1.648582404540037238e+00
1.324957291666666537e+00,-1.649863426864909721e+00
1.325163541666666722e+00,-1.649883376076739072e+00
1.325476041666666660e+00,-1.652245001209004638e+00
1.325841052631578920e+00,-1.652299973565114488e+00
1.326156842105263189e+00,-1.652196808558642038e+00
