# temperature (K),delta c66/c66 (1e-5)
1.322843617021276730e+00,-4.027906922058090977e+00
1.323162765957446751e+00,-4.027385117473821552e+00
1.323430107526881727e+00,-4.026930796650378674e+00
1.323802127659574390e+00,-4.024873694058960893e+00
1.324067368421052659e+00,-4.022933951263953922e+00
1.324383157894736707e+00,-4.020244719574425751e+00
1.324644791666666599e+00,-4.017915535917341963e+00
1.324957291666666537e+00,-4.015287936489503551e+00
1.325163541666666722e+00,-4.013199391145361616e+00
1.325476041666666660e+00,-4.010726812120162244e+00
1.325841052631578920e+00,-4.007556781314365324e+00
1.326156842105263189e+00,-4.004372552336479707e+00
1.326526041666666655e+00,-4.001777245374194436e+00
1.326788421052631506e+00,-3.999450997923142737e+00
1.327104210526315775e+00,-3.996926913555611804e+00
1.327367021276595782e+00,-3.994743088511934381e+00
1.327792553191489366e+00,-3.991645494805649452e+00
1.328111702127659610e+00,-3.989815512781412998e+00
1.328537234042553195e+00,-3.988167490143702754e+00
1.328697849462365577e+00,-3.987413324411871685e+00
1.329020430107526796e+00,-3.986306975024566324e+00
1.329343010752688237e+00,-3.985255046276797053e+00
1.329717021276595634e+00,-3.983308730455097812e+00
1.329984946236559162e+00,-3.981857592130511492e+00
1.330415053763440936e+00,-3.979263690848607204e+00
1.330630107526881822e+00,-3.978117079211021867e+00
1.331060215053763374e+00,-3.975893524121822065e+00
1.331276344086021579e+00,-3.975556194364080032e+00
1.331655434782608616e+00,-3.973798226738092687e+00
1.331981521739130425e+00,-3.972245247700448179e+00
1.332307608695652235e+00,-3.970464324381005827e+00
1.332582417582417689e+00,-3.967779279903878908e+00
1.332858888888889037e+00,-3.964809518312801817e+00
1.333192222222222334e+00,-3.963217929709506038e+00
1.333576404494382084e+00,-3.962441844883115571e+00
1.333913483146067502e+00,-3.961192292291336514e+00
1.334193181818181806e+00,-3.960126885826214860e+00
1.334475862068965624e+00,-3.958920343101616002e+00
1.334820689655172199e+00,-3.957223486401909796e+00
1.334991860465116309e+00,-3.956626553539130509e+00
1.335340697674418653e+00,-3.954304862054934588e+00
1.335689534883720997e+00,-3.952291441228502400e+00
1.336096470588235441e+00,-3.951481127320645381e+00
1.336452941176470510e+00,-3.950939143402921516e+00
1.336747619047619295e+00,-3.950608412556850801e+00
1.337043373493975951e+00,-3.949588531642777678e+00
1.337645783132530131e+00,-3.947632984735517603e+00
1.338007228915662816e+00,-3.945626887372644997e+00
1.338368674698795058e+00,-3.943736935742892413e+00
1.338731325301204533e+00,-3.941902767212647873e+00
1.339092771084337219e+00,-3.939776741438515639e+00
1.339639024390243849e+00,-3.938080127198187341e+00
1.340062650602409589e+00,-3.935980386571820144e+00
1.340665060240963768e+00,-3.934552091938480878e+00
1.341026506024096454e+00,-3.933586058838963506e+00
1.341445238095238190e+00,-3.932417431868485025e+00
1.341801190476190397e+00,-3.929758921054435028e+00
1.342221686746987830e+00,-3.927458164093374116e+00
1.342759523809523792e+00,-3.923764309975136921e+00
1.342877380952380850e+00,-3.923136330559682694e+00
1.343178313253012179e+00,-3.921948568679496372e+00
1.343539759036144643e+00,-3.919066719390491560e+00
1.344012941176470521e+00,-3.915940221381349229e+00
1.344365882352940966e+00,-3.913692372623771121e+00
1.344717647058823351e+00,-3.911637988793334575e+00
1.344890697674418378e+00,-3.910549987751942069e+00
1.345239534883720944e+00,-3.909064659114410034e+00
1.345464772727272829e+00,-3.907841342012067454e+00
1.345752873563218488e+00,-3.907107338423173371e+00
1.346151136363636258e+00,-3.906655694021744285e+00
1.346431460674157199e+00,-3.905108152645814013e+00
1.346766292134831566e+00,-3.902599444936782902e+00
1.347103370786516985e+00,-3.898787423807263064e+00
1.347329213483146049e+00,-3.897087503165250322e+00
1.347829999999999862e+00,-3.895571533253665120e+00
1.348221348314606605e+00,-3.893641790757648824e+00
1.348446067415730143e+00,-3.892321228486152140e+00
1.348727777777777970e+00,-3.891036233114036680e+00
1.349007865168539100e+00,-3.889685250309961262e+00
1.349347191011236013e+00,-3.887650794625584272e+00
1.349796629213483090e+00,-3.884133943017262336e+00
1.350133707865168509e+00,-3.883227145655713919e+00
1.350527272727272576e+00,-3.880469820199515585e+00
1.350811235955056144e+00,-3.878789770615906018e+00
1.351095454545454544e+00,-3.876882772588958304e+00
1.351436363636363547e+00,-3.875483432070702339e+00
1.351778409090909072e+00,-3.873684978678741508e+00
1.352285393258427115e+00,-3.870933717964304854e+00
1.352622471910112534e+00,-3.869497031518863484e+00
1.352845054945054803e+00,-3.868364367769625112e+00
1.353175824175824049e+00,-3.867161282304283354e+00
1.353615384615384887e+00,-3.865373571667128250e+00
1.354054945054945058e+00,-3.864583689740422656e+00
1.354494505494505452e+00,-3.864174271813510586e+00
1.354765217391304288e+00,-3.864001264406145886e+00
1.354982608695652235e+00,-3.863568860014250372e+00
1.355308695652174045e+00,-3.862084787855763590e+00
1.355686021505376315e+00,-3.861670239238809810e+00
1.356116129032258089e+00,-3.859596299500280825e+00
