# temperature (K),delta c55/c55 (1e-5)
1.300304687500000167e+00,-2.088924410798683517e+00
1.300860317460317495e+00,-2.095825077114220392e+00
1.301176190476190486e+00,-2.098862995795286679e+00
1.301790769230769307e+00,-2.095723690866874378e+00
1.302169696969696755e+00,-2.094850995501997826e+00
1.302692537313432597e+00,-2.094800413017024354e+00
1.303069696969696878e+00,-2.100066489737868913e+00
1.303591044776119423e+00,-2.100550349812647433e+00
1.304192537313432876e+00,-2.097729434630221768e+00
1.304492537313432843e+00,-2.096627643353964565e+00
1.304791044776119291e+00,-2.097712082736523875e+00
1.305018181818181855e+00,-2.098808986608629024e+00
1.305608571428571452e+00,-2.103745075511836315e+00
1.306189705882352836e+00,-2.102314255597654835e+00
1.306483823529412058e+00,-2.104168371020146644e+00
1.306704477611940529e+00,-2.104326077285655572e+00
1.307077941176470803e+00,-2.104646719273518318e+00
1.307672058823529548e+00,-2.107457752903449943e+00
1.308040298507462840e+00,-2.105913473625849353e+00
1.308413235294117571e+00,-2.108190850502014158e+00
1.308708823529411758e+00,-2.109607046032392574e+00
1.309225373134328407e+00,-2.116661275400279152e+00
1.310051515151515300e+00,-2.122952479401003067e+00
1.310279104477612089e+00,-2.117044340410526360e+00
1.310501515151515139e+00,-2.115018612487071348e+00
1.311032307692307608e+00,-2.113396510054017519e+00
1.311796923076922861e+00,-2.114175036530960394e+00
1.312413846153846153e+00,-2.118731431533796616e+00
1.312643939393939529e+00,-2.122288337089951238e+00
1.313178461538461628e+00,-2.127505362764944508e+00
1.313796923076923306e+00,-2.138623108689693630e+00
1.314185937500000012e+00,-2.143636796378668663e+00
1.314653124999999978e+00,-2.146212153913277021e+00
1.314884615384615429e+00,-2.146590610332149929e+00
1.315496923076923341e+00,-2.145374928932188396e+00
1.316404477611940127e+00,-2.141176278878901051e+00
1.316633333333333322e+00,-2.140586675678243456e+00
1.317007462686567543e+00,-2.142708950815125135e+00
1.317305970149253769e+00,-2.143043466930272700e+00
1.317901492537313368e+00,-2.141537219999162467e+00
1.318277272727272464e+00,-2.143482980345178923e+00
1.318725000000000147e+00,-2.145157065510566952e+00
1.319246268656716348e+00,-2.144726005569120630e+00
1.319758823529411762e+00,-2.141300552573894400e+00
1.320277611940298579e+00,-2.148079710973869627e+00
1.320573134328358433e+00,-2.152502678647410406e+00
1.320720289855072505e+00,-2.154439686100176221e+00
1.321011594202898376e+00,-2.157413822358462241e+00
1.321816176470588466e+00,-2.164695923364508001e+00
1.322105882352941464e+00,-2.163771977666757884e+00
1.322623188405797290e+00,-2.161756334877196206e+00
1.322989705882352984e+00,-2.159079520500070792e+00
1.323430882352941262e+00,-2.156998996467081930e+00
1.323944927536232052e+00,-2.163206781274539914e+00
1.324378260869565116e+00,-2.161487277450085287e+00
1.324739999999999807e+00,-2.161895471308793670e+00
1.325240579710144972e+00,-2.164231873985312582e+00
1.325820289855072165e+00,-2.164704852101960952e+00
1.326401449275361966e+00,-2.162630707532136487e+00
1.326617142857142939e+00,-2.161367531995935121e+00
1.326981159420289824e+00,-2.159689080775045955e+00
1.327492647058823749e+00,-2.159735048748788966e+00
1.327856521739130491e+00,-2.163064320204834967e+00
1.328437681159420292e+00,-2.167841622984709282e+00
1.328802941176470354e+00,-2.173543045787015515e+00
1.329097058823529354e+00,-2.178696480535096125e+00
1.329542647058823857e+00,-2.183063771810764386e+00
1.329911940298507567e+00,-2.184135640679409907e+00
1.330429411764705749e+00,-2.185974908863808075e+00
1.330650746268656759e+00,-2.185515958953936799e+00
1.331094202898550849e+00,-2.192333837625302984e+00
1.331676119402985359e+00,-2.194760838956491433e+00
1.332194117647058640e+00,-2.200754779153283991e+00
1.332635294117647140e+00,-2.206091000550191694e+00
1.333076470588235196e+00,-2.209005326022627003e+00
1.333369117647058788e+00,-2.208525165997430761e+00
1.334104411764705844e+00,-2.203191008586375510e+00
1.334544117647058714e+00,-2.205718880720992203e+00
1.335064179104477500e+00,-2.206769713431956603e+00
1.335435294117647054e+00,-2.209573132409313523e+00
1.336104477611940400e+00,-2.215193038504416734e+00
1.336399999999999810e+00,-2.219525653377085739e+00
1.336914705882352727e+00,-2.222833066824796866e+00
1.337276811594203085e+00,-2.228014673240094279e+00
1.337645588235294225e+00,-2.232154940715077807e+00
1.338086764705882281e+00,-2.234091561932506131e+00
1.338672058823529687e+00,-2.234626702257854980e+00
1.338888405797101333e+00,-2.234892478102265656e+00
1.339250000000000052e+00,-2.235662783565570244e+00
1.339832352941176419e+00,-2.243371276410135451e+00
1.340343478260869636e+00,-2.247408410614880836e+00
1.340559999999999974e+00,-2.248358009571267857e+00
1.340920289855072500e+00,-2.247422019362899537e+00
1.341286764705882373e+00,-2.248938251071393779e+00
1.341797101449275109e+00,-2.252422808429769052e+00
1.342233333333333389e+00,-2.251085334887402922e+00
1.342742647058823513e+00,-2.250305006479159431e+00
1.343108695652174056e+00,-2.251311761023885083e+00
1.343472058823529602e+00,-2.252548819666547075e+00
1.344130434782608852e+00,-2.259173416362123099e+00
1.344714492753622981e+00,-2.265100326973593425e+00
1.345001449275362360e+00,-2.264848530225296308e+00
1.345291304347826067e+00,-2.265617920294209497e+00
1.346018840579709996e+00,-2.272126695584889777e+00
1.346529411764705531e+00,-2.276226436325825997e+00
1.346895652173912827e+00,-2.278285031170461661e+00
1.347263235294117623e+00,-2.277403851353061448e+00
1.347628985507246524e+00,-2.279445523412968022e+00
1.348208695652174161e+00,-2.276389414030341563e+00
1.348786956521739189e+00,-2.276151509196317591e+00
1.349007352941176574e+00,-2.276645431170351230e+00
1.349371014492753540e+00,-2.277469290840804739e+00
1.349662318840579633e+00,-2.275382899328193709e+00
1.350313235294117620e+00,-2.273691743899433071e+00
1.350678260869565328e+00,-2.274981519908019223e+00
1.350895588235294209e+00,-2.274268861857438040e+00
1.351479411764705763e+00,-2.272478931541343616e+00
1.351922058823529671e+00,-2.272366475869863400e+00
1.352292537313432685e+00,-2.275113866533245321e+00
1.352669117647058661e+00,-2.275946453681926052e+00
1.352965151515151287e+00,-2.277287507684082613e+00
1.353346268656716367e+00,-2.280998383477027325e+00
1.354016666666666646e+00,-2.281158820426126610e+00
1.354622727272727367e+00,-2.278564975528438286e+00
1.354852307692307356e+00,-2.280477717580002839e+00
1.355233333333333290e+00,-2.284770208274245817e+00
1.356000000000000094e+00,-2.286885897984808125e+00
1.356392307692307897e+00,-2.289889121400888072e+00
1.356853846153846188e+00,-2.291765167012558724e+00
1.357545454545454389e+00,-2.291630246213712141e+00
1.358232307692307739e+00,-2.296563154884418090e+00
1.358621874999999868e+00,-2.298785452927911699e+00
1.359081818181818058e+00,-2.300167215985052582e+00
1.359466153846153880e+00,-2.299740683598940905e+00
1.359851562499999833e+00,-2.301499990443069521e+00
1.360463636363636653e+00,-2.305008569895376169e+00
1.361001538461538374e+00,-2.305973265393329363e+00
1.361383333333333390e+00,-2.305978555964903531e+00
1.361756716417910296e+00,-2.304371662092584483e+00
1.362279411764705905e+00,-2.302626692763743321e+00
1.362577941176470686e+00,-2.301292976991898165e+00
1.362950746268656754e+00,-2.300721835952761918e+00
1.363392537313432795e+00,-2.300521356867718303e+00
1.363766666666666794e+00,-2.300282047443810818e+00
1.364219696969697138e+00,-2.303537368853591616e+00
1.364756923076923201e+00,-2.309637917595860124e+00
1.365063076923076935e+00,-2.311008780523507777e+00
1.365445454545454851e+00,-2.311917809733821105e+00
1.365823076923076806e+00,-2.309162652941413096e+00
1.366051562500000038e+00,-2.308125655230014672e+00
1.366679687500000018e+00,-2.307828060154338168e+00
1.367071428571428715e+00,-2.310919772532023408e+00
1.367547540983606869e+00,-2.308249510750677302e+00
1.368199999999999861e+00,-2.311244221843974600e+00
1.368758064516129025e+00,-2.311984513961787169e+00
1.369326229508196935e+00,-2.314033190382692062e+00
1.369733870967741796e+00,-2.317563566006294096e+00
1.370384999999999964e+00,-2.313848751195521025e+00
1.370958730158730265e+00,-2.316869232297610548e+00
1.371694999999999887e+00,-2.326462900971222325e+00
1.372427868852459154e+00,-2.339884553247775223e+00
1.372904761904762072e+00,-2.344811282760449700e+00
1.373311290322580369e+00,-2.351977412366582865e+00
1.373709523809523603e+00,-2.356732951332746406e+00
1.374347619047619151e+00,-2.361943735248033249e+00
1.374731249999999960e+00,-2.364866307178962401e+00
1.375199999999999978e+00,-2.363937776709843952e+00
1.375670312500000048e+00,-2.366011730218891440e+00
1.375984374999999815e+00,-2.367219818178684765e+00
1.376437878787879043e+00,-2.370621897958725466e+00
1.376740909090909071e+00,-2.370310835140109873e+00
1.377046969696969825e+00,-2.369339243571766396e+00
1.377353030303030357e+00,-2.370167375286593714e+00
1.377807575757575620e+00,-2.374341109016167017e+00
1.378344615384615279e+00,-2.380123771784959708e+00
1.378880303030303178e+00,-2.386521807500458614e+00
1.379107462686567143e+00,-2.389665618065097696e+00
1.379707462686567077e+00,-2.395440795451727389e+00
1.380299999999999860e+00,-2.406786771906876066e+00
1.380744776119402939e+00,-2.416051789181453024e+00
1.381043283582089609e+00,-2.414708607959122233e+00
1.381640298507462727e+00,-2.414378488454431260e+00
1.382240298507462439e+00,-2.418509862129292642e+00
1.382768181818181841e+00,-2.424293708583218354e+00
1.383224242424242467e+00,-2.426321467775665930e+00
1.383531249999999879e+00,-2.428797110927943592e+00
1.383918461538461653e+00,-2.432807816666528566e+00
1.384536923076923109e+00,-2.440119275935723309e+00
1.384916666666666574e+00,-2.442689638913703831e+00
1.385216666666666763e+00,-2.442379335815199504e+00
1.385671212121212470e+00,-2.437157610474177893e+00
1.386204615384615479e+00,-2.436209068029424607e+00
1.386587878787878703e+00,-2.437771299652024659e+00
1.387113432835820781e+00,-2.440826558550811320e+00
1.387414925373134267e+00,-2.441509907834722881e+00
1.387865671641790977e+00,-2.442600107688424060e+00
1.388607462686567429e+00,-2.440573353040248250e+00
