# temperature (K),delta c33/c33 (1e-5)
1.300059090909090775e+00,-3.235220966917320418e+00
1.300738636363636624e+00,-3.237032685436943780e+00
1.301539534883720872e+00,-3.240814405440581858e+00
1.302469767441860382e+00,-3.239948572417604034e+00
1.303165116279069613e+00,-3.248100621000044264e+00
1.304095348837209345e+00,-3.251000575205896137e+00
1.304685714285714226e+00,-3.255130689753965356e+00
1.305397619047618862e+00,-3.263448112591270878e+00
1.306211627906976647e+00,-3.268621279903029198e+00
1.306911627906977014e+00,-3.274428836926902342e+00
1.307376744186046436e+00,-3.277215440311403771e+00
1.308184090909090935e+00,-3.287789338518969373e+00
1.308645454545454445e+00,-3.293926871929429456e+00
1.309441860465116347e+00,-3.298820760744319180e+00
1.310236363636363643e+00,-3.297483386743929490e+00
1.310697727272727153e+00,-3.297684101128913525e+00
1.311611363636363770e+00,-3.297613056587653357e+00
1.312181395348837265e+00,-3.305162315821406072e+00
1.312648837209302366e+00,-3.308936595110661294e+00
1.313466666666666338e+00,-3.314675187982599969e+00
1.313942857142857079e+00,-3.312910289494637617e+00
1.314774418604651052e+00,-3.306491830247768604e+00
1.315723255813953330e+00,-3.315675160139567090e+00
1.316314285714285548e+00,-3.313955606922586838e+00
1.316907317073170658e+00,-3.315584486032236988e+00
1.317873170731707289e+00,-3.309781303242766981e+00
1.318597560975609984e+00,-3.307543655201156341e+00
1.319329268292682711e+00,-3.315823381916097379e+00
1.320060975609756104e+00,-3.317630659096649559e+00
1.320669047619047687e+00,-3.324525001374988520e+00
1.321521951219512214e+00,-3.332182553450068863e+00
1.322369047619047722e+00,-3.335137080310929036e+00
1.323083333333333389e+00,-3.338243739211640637e+00
1.323797619047619278e+00,-3.342666782044235507e+00
1.324509523809523692e+00,-3.355196017953161913e+00
1.325107317073170643e+00,-3.364565708231853414e+00
1.325947619047618931e+00,-3.365962370349214972e+00
1.326553658536585356e+00,-3.369669037649148713e+00
1.327152380952380861e+00,-3.378566034123750228e+00
1.327871428571428369e+00,-3.392686822796576962e+00
1.328592857142857131e+00,-3.401360387159225951e+00
1.329316666666666480e+00,-3.399990722331367010e+00
1.330160975609756102e+00,-3.404439023599069802e+00
1.330764285714285844e+00,-3.401945935295580536e+00
1.331609756097560826e+00,-3.405051189997929662e+00
1.332578048780487912e+00,-3.407428659166271689e+00
1.333063414634146238e+00,-3.409788782304014720e+00
1.333792682926829398e+00,-3.410041723842672567e+00
1.334768292682926738e+00,-3.401850349694055975e+00
1.335253658536585508e+00,-3.399344749522264841e+00
1.336100000000000065e+00,-3.408034145883225285e+00
1.336821428571428605e+00,-3.412164638114384640e+00
1.337304761904761996e+00,-3.411651123302839039e+00
1.338148780487805167e+00,-3.411862700877725363e+00
1.338988095238095255e+00,-3.418858114074964760e+00
1.339466666666666805e+00,-3.425249884585215288e+00
1.340416666666666590e+00,-3.443031605093997971e+00
1.340892857142857109e+00,-3.448688428047417709e+00
1.341720930232558340e+00,-3.453736419674868330e+00
1.342545238095238069e+00,-3.455019324008963277e+00
1.343252380952380864e+00,-3.458525458822677479e+00
1.343832558139534727e+00,-3.461702159926732580e+00
1.344760465116279224e+00,-3.482661045269141997e+00
1.345223255813953411e+00,-3.485629713552553799e+00
1.346247727272727124e+00,-3.483650694361951405e+00
1.346700000000000008e+00,-3.479591379644703331e+00
1.347264444444444598e+00,-3.485298572124011951e+00
1.348157777777778010e+00,-3.492891455322193917e+00
1.348822222222222367e+00,-3.495588554706740236e+00
1.349266666666666614e+00,-3.498032845288153503e+00
1.350153333333333316e+00,-3.499897556274699895e+00
1.350595555555555327e+00,-3.503844394334125756e+00
1.351037777777778004e+00,-3.511703512439588337e+00
1.351926666666666721e+00,-3.522723753058866425e+00
1.352591111111111077e+00,-3.529895411354998291e+00
1.353141304347826201e+00,-3.535569150382686487e+00
1.353908888888889051e+00,-3.547780734670213931e+00
1.354571111111111170e+00,-3.550692281356040425e+00
1.355013333333333403e+00,-3.556360866910037277e+00
1.355900000000000105e+00,-3.566053448609715293e+00
1.356566666666666254e+00,-3.570484884787044066e+00
1.357121739130434657e+00,-3.564953419819538283e+00
1.357899999999999885e+00,-3.563508019748202305e+00
1.358573333333333411e+00,-3.568999720686670596e+00
1.359136363636363587e+00,-3.573551659004851278e+00
1.359924444444444491e+00,-3.578034414230912841e+00
1.360490909090909195e+00,-3.577653019944007529e+00
1.361059999999999937e+00,-3.582839795009156170e+00
1.361856818181818252e+00,-3.588732117288734091e+00
1.362430232558139442e+00,-3.598379926855226341e+00
1.363127906976743908e+00,-3.603408759472265910e+00
1.364058139534883418e+00,-3.606915493791292171e+00
1.364520930232558049e+00,-3.609907947384126903e+00
1.365333333333333288e+00,-3.610780212185145999e+00
1.366148837209302469e+00,-3.614194839206516630e+00
1.366954545454545533e+00,-3.622824502057961471e+00
1.367870454545454528e+00,-3.630059734518834347e+00
1.368549999999999711e+00,-3.637692057245829780e+00
1.369111111111111168e+00,-3.641626957223603522e+00
1.369995555555555633e+00,-3.645261446159452579e+00
1.370756521739130651e+00,-3.649690334331740615e+00
1.371289361702127563e+00,-3.650963215272896356e+00
1.371816666666666684e+00,-3.649604743488388703e+00
1.372445833333333587e+00,-3.648118023211633698e+00
1.372965306122448936e+00,-3.648786144209531734e+00
1.373485416666666792e+00,-3.648627395115608962e+00
1.374202040816326464e+00,-3.655918308257864791e+00
1.374612244897958968e+00,-3.655323740751008632e+00
1.375224489795918270e+00,-3.659820259843495460e+00
1.375729999999999897e+00,-3.667715472276655397e+00
1.376440816326530481e+00,-3.676588071987048068e+00
1.376949999999999896e+00,-3.685961984394807267e+00
1.377560416666666399e+00,-3.697546055937178888e+00
1.378077551020407965e+00,-3.702432186789703650e+00
1.378793750000000040e+00,-3.704068392914622976e+00
1.379418750000000138e+00,-3.711394263954437278e+00
1.380043749999999791e+00,-3.715808435673603416e+00
1.380666666666666487e+00,-3.717639982986291614e+00
1.381291666666666584e+00,-3.719296160492063130e+00
1.381918749999999863e+00,-3.726834752277832230e+00
1.382846938775510237e+00,-3.739577261998933810e+00
1.383366666666666633e+00,-3.745378716386829954e+00
1.384085714285714586e+00,-3.748575573002060679e+00
1.384702040816326640e+00,-3.751511729198392597e+00
1.385312244897958900e+00,-3.758083050375081502e+00
1.385918367346939073e+00,-3.760965635845117561e+00
1.386617999999999906e+00,-3.769307036073158201e+00
1.387220000000000120e+00,-3.773951819698082577e+00
1.387618000000000018e+00,-3.780743172293585808e+00
1.388305882352941278e+00,-3.782481807562256826e+00
1.388701960784313627e+00,-3.785648764138403344e+00
1.389290196078431183e+00,-3.785234955499178433e+00
1.389880392156862987e+00,-3.795170610878829898e+00
1.390374000000000221e+00,-3.802319690336672497e+00
1.390970000000000040e+00,-3.809338744868641768e+00
1.391466666666666629e+00,-3.816385393516081859e+00
1.392163999999999957e+00,-3.826514746500917052e+00
1.392667346938775363e+00,-3.833269263219535983e+00
1.393172000000000077e+00,-3.837866058752997134e+00
1.393879591836734377e+00,-3.844794198369294147e+00
1.394689795918367281e+00,-3.850597519386420586e+00
1.395199999999999996e+00,-3.854880995017342826e+00
1.395822916666666691e+00,-3.862743920195155223e+00
1.396346808510638526e+00,-3.864359024178497748e+00
1.396987234042553094e+00,-3.869835531818110130e+00
1.397631111111111046e+00,-3.873187084708404004e+00
1.398284444444444441e+00,-3.875563848965597469e+00
1.398944444444444546e+00,-3.873745471789744599e+00
1.399499999999999966e+00,-3.873516941225883858e+00
1.400273333333333259e+00,-3.878617347138300975e+00
1.401052272727272507e+00,-3.882421534270648067e+00
1.401619999999999866e+00,-3.881356765293488387e+00
1.402409090909090938e+00,-3.883347513571839382e+00
1.403090909090909166e+00,-3.887132252282017753e+00
1.403779545454545197e+00,-3.885448427821286188e+00
1.404593023255813922e+00,-3.897305113445910685e+00
1.405293023255814067e+00,-3.903051455005015491e+00
1.405995348837209447e+00,-3.903182746935681458e+00
1.406695348837209147e+00,-3.898959917307510015e+00
1.407390697674418600e+00,-3.890012578519506548e+00
1.408088372093023066e+00,-3.893238949095715551e+00
1.408790697674418668e+00,-3.908255489444226960e+00
1.409493023255814048e+00,-3.917772432303055830e+00
1.410076190476190483e+00,-3.919240135870444064e+00
1.410904651162790957e+00,-3.923065159228088294e+00
1.411495238095238136e+00,-3.925920556996934874e+00
1.412209523809523803e+00,-3.925806779207505315e+00
1.412935714285714184e+00,-3.932757763704703535e+00
1.413661904761904786e+00,-3.944009696181050906e+00
1.414263414634146621e+00,-3.947912705909756070e+00
1.415122500000000061e+00,-3.942390019383946509e+00
1.415743902439024593e+00,-3.946823341082678738e+00
1.416731707317073097e+00,-3.963141818499060776e+00
1.417473170731707421e+00,-3.978734774122314022e+00
1.418092499999999978e+00,-3.985687976873784066e+00
1.418953658536585172e+00,-3.994060370595788445e+00
1.419822499999999987e+00,-4.000174139126760231e+00
1.420680487804877989e+00,-4.003185968841997067e+00
1.421409756097560706e+00,-4.000881354097006515e+00
1.421897560975609709e+00,-4.005779839658071495e+00
1.422745238095238118e+00,-4.015610177701983474e+00
1.423469047619047689e+00,-4.014858798696489650e+00
1.424073170731707361e+00,-4.009613921644256784e+00
1.424911904761904768e+00,-4.020515918412308487e+00
1.425388095238095287e+00,-4.029018725668006340e+00
1.426102380952380733e+00,-4.033939917432078914e+00
1.426936585365853549e+00,-4.035971941936633556e+00
1.427533333333333321e+00,-4.030542920869205403e+00
1.428362790697674578e+00,-4.038596377160864392e+00
1.429195238095237963e+00,-4.040983995379789029e+00
1.429786046511627884e+00,-4.044654755597183460e+00
1.430616666666666648e+00,-4.047529047582601791e+00
1.431448837209302383e+00,-4.058791712542669572e+00
1.432040476190476141e+00,-4.064105573280498263e+00
1.432745238095238127e+00,-4.065505432470318148e+00
1.433332558139535085e+00,-4.066026873312914347e+00
1.434030232558139550e+00,-4.073286772784731724e+00
1.434838636363636510e+00,-4.071555558212920367e+00
1.435531818181818187e+00,-4.077113046230516069e+00
1.436106976744186081e+00,-4.081394803546574579e+00
1.436795348837209385e+00,-4.086213753969458296e+00
1.437488372093022937e+00,-4.097163613006850724e+00
1.438183720930232612e+00,-4.099403794748335272e+00
1.438879069767442065e+00,-4.103084210934656362e+00
1.439344186046511487e+00,-4.106602857135877471e+00
1.440051162790697337e+00,-4.111951551873683997e+00
1.440760465116279088e+00,-4.122756401898181267e+00
1.441347619047619100e+00,-4.126280000538970150e+00
1.442295238095238075e+00,-4.128865837493096436e+00
1.443009523809523742e+00,-4.143889900504722945e+00
1.443607317073170915e+00,-4.155267227692998055e+00
1.444580487804878022e+00,-4.176472831622014326e+00
1.445437500000000153e+00,-4.179231539491222058e+00
1.446051219512195063e+00,-4.182816407958507732e+00
1.446787804878048922e+00,-4.195006403785307647e+00
1.447521951219512104e+00,-4.203102571148584765e+00
1.448132500000000045e+00,-4.210482220856535562e+00
1.448992682926829145e+00,-4.204721288061689322e+00
1.449842857142857211e+00,-4.216082894140026127e+00
1.450443902439024546e+00,-4.226294011887235413e+00
1.451280952380952449e+00,-4.233865529894851321e+00
1.451990476190476054e+00,-4.247223623398436843e+00
1.452809302325581475e+00,-4.255744142725212953e+00
1.453611363636363674e+00,-4.253431255690131252e+00
1.454293181818182124e+00,-4.256499211703806296e+00
1.454950000000000410e+00,-4.259430009159309805e+00
1.455828260869564961e+00,-4.265673447726754830e+00
1.456263043478260633e+00,-4.271012897203373626e+00
1.457002127659574819e+00,-4.276151647739903083e+00
1.457524999999999737e+00,-4.272964785732193960e+00
1.458154166666666640e+00,-4.280376349583057127e+00
1.458570833333333594e+00,-4.289020887242465108e+00
1.459193750000000067e+00,-4.301459272203918438e+00
1.459706122448979793e+00,-4.301761549000111984e+00
1.460222916666666704e+00,-4.300306539006697903e+00
1.460938775510204124e+00,-4.299563505183641610e+00
1.461348979591836628e+00,-4.299471922982426975e+00
1.461862499999999843e+00,-4.301071220313380294e+00
1.462485416666666538e+00,-4.298470961360435716e+00
1.463320833333333404e+00,-4.301637486536025179e+00
1.463739583333333316e+00,-4.303192192720132425e+00
1.464472340425531760e+00,-4.310530448052753982e+00
1.465215217391304448e+00,-4.318203385973101049e+00
1.465755319148936309e+00,-4.320072798809526660e+00
1.466510869565217146e+00,-4.315210653478890990e+00
1.467165217391304566e+00,-4.326280863028610923e+00
1.467928888888888839e+00,-4.330167746414750773e+00
1.468473913043478074e+00,-4.328924770311294523e+00
1.469343478260869418e+00,-4.331056536157142034e+00
1.469782608695652248e+00,-4.336281417374063807e+00
1.470656521739130085e+00,-4.347198487333298722e+00
1.471310869565217505e+00,-4.350072216357812493e+00
1.471965217391304481e+00,-4.354028606943376900e+00
1.472502127659574445e+00,-4.354964469081179956e+00
1.473258695652174044e+00,-4.363807209549365851e+00
1.473797872340425918e+00,-4.371938643828414683e+00
1.474552173913043385e+00,-4.377028301901119356e+00
1.475300000000000056e+00,-4.384968613212682165e+00
1.475725531914893640e+00,-4.388465282389614863e+00
1.476368085106383177e+00,-4.394174607414658595e+00
1.477010638297872269e+00,-4.395785747325571258e+00
1.477648936170212535e+00,-4.399141001081027014e+00
1.478280851063829671e+00,-4.403815238014455957e+00
1.478914893617021331e+00,-4.415764745937977409e+00
