# temperature (K),delta c55/c55 (1e-5)
1.300101086956521712e+00,-1.317960986450001259e+00
1.300318478260869659e+00,-1.317992851230005646e+00
1.300644565217391246e+00,-1.315257195140934865e+00
1.301079347826087140e+00,-1.319329490829731943e+00
1.301461538461538447e+00,-1.321235908244019708e+00
1.301791208791208909e+00,-1.327517318989649864e+00
1.302230769230769303e+00,-1.328352784442092371e+00
1.302395652173913065e+00,-1.329083504601362709e+00
1.302667032967033123e+00,-1.325344893115166123e+00
1.302940217391304500e+00,-1.326800013267873002e+00
1.303266304347826088e+00,-1.326509346116188759e+00
1.303649450549450473e+00,-1.319223430149322418e+00
1.304089010989011088e+00,-1.327180457885928089e+00
1.304308988764044885e+00,-1.330525002748411012e+00
1.304870786516853842e+00,-1.339702047700796150e+00
1.305151136363636333e+00,-1.345610593828513890e+00
1.305605681818181818e+00,-1.344276844101796042e+00
1.305889887640449443e+00,-1.347626757466260816e+00
1.306172727272727263e+00,-1.348380011321612448e+00
1.306513636363636266e+00,-1.346946434872336784e+00
1.306854545454545269e+00,-1.344501524352331723e+00
1.307135955056179633e+00,-1.344272673329085954e+00
1.307531818181818073e+00,-1.344288337783984044e+00
1.307932183908045998e+00,-1.345986149460646653e+00
1.308277011494252795e+00,-1.352042533690289705e+00
1.308566279069767635e+00,-1.354533776966377667e+00
1.308915116279069535e+00,-1.352094530827853136e+00
1.309259090909090872e+00,-1.356754795935755542e+00
1.309769662921348221e+00,-1.360697169375889359e+00
1.310048888888888596e+00,-1.360919844362049158e+00
1.310440449438202037e+00,-1.357419941929712826e+00
1.310610227272727135e+00,-1.358810147867036022e+00
1.311008045977011482e+00,-1.355785301500231466e+00
1.311295454545454708e+00,-1.353401457711948197e+00
1.311695402298850510e+00,-1.344751114084526300e+00
1.312040229885057308e+00,-1.349195810088634984e+00
1.312443023255813968e+00,-1.359868045870064934e+00
1.312733333333333308e+00,-1.365073703456195497e+00
1.313022093023255898e+00,-1.365968486098505963e+00
1.313428735632184097e+00,-1.369824519097551319e+00
1.313832558139534923e+00,-1.374119050787719676e+00
1.314123529411764801e+00,-1.374254873790073050e+00
1.314298837209302295e+00,-1.375842612857123282e+00
1.314531395348837117e+00,-1.375829356319012930e+00
1.314880232558139461e+00,-1.368668728979074656e+00
1.315230232558139534e+00,-1.365563105353370998e+00
1.315811627906976700e+00,-1.362642789203577509e+00
1.316216091954023115e+00,-1.357970904967452430e+00
1.316560919540229690e+00,-1.353918306316854947e+00
1.316905747126436932e+00,-1.352288277352341250e+00
1.317195348837209457e+00,-1.350217468630115603e+00
1.317713793103448161e+00,-1.347209016942814586e+00
1.318111363636363498e+00,-1.351505131121377046e+00
1.318452272727272723e+00,-1.353784371361220096e+00
1.318620224719101008e+00,-1.353506630847824965e+00
1.319069662921348085e+00,-1.359097772592763098e+00
1.319631460674157264e+00,-1.371053454884159306e+00
1.320080898876404341e+00,-1.371458196649907757e+00
1.320471111111111151e+00,-1.379069275361417546e+00
1.320746153846154014e+00,-1.381168640332316677e+00
1.320965934065934100e+00,-1.384170490308003210e+00
1.321238043478260904e+00,-1.389206507147961789e+00
1.321564130434782491e+00,-1.390708372330276887e+00
1.321888043478260721e+00,-1.396797200766971336e+00
1.322322826086956615e+00,-1.392385650505436168e+00
1.322592473118279432e+00,-1.387307915499548461e+00
1.322756521739130386e+00,-1.382198277074990544e+00
1.323026881720430037e+00,-1.375232608663720102e+00
1.323349462365591478e+00,-1.366793176392120168e+00
1.323779569892473029e+00,-1.356929288657094945e+00
1.324044680851063971e+00,-1.352202467942324127e+00
1.324258510638297803e+00,-1.349138640414673906e+00
1.324523157894736958e+00,-1.347250997326466138e+00
1.324733684210526397e+00,-1.347149864789289442e+00
1.325049473684210444e+00,-1.349678906416629465e+00
1.325259999999999883e+00,-1.350670307279012050e+00
1.325628723404255194e+00,-1.350536218258977961e+00
1.325947872340425437e+00,-1.355647479160941637e+00
1.326267021276595681e+00,-1.367475427513039854e+00
1.326533684210526420e+00,-1.375573771447547777e+00
1.326905319148936391e+00,-1.382153089092176268e+00
1.327169473684210343e+00,-1.386996584646036146e+00
1.327695789473684496e+00,-1.385681181771883930e+00
1.328011578947368543e+00,-1.378192075306885034e+00
1.328327368421052590e+00,-1.375854564987269990e+00
1.328590625000000136e+00,-1.379321645941611107e+00
1.328853684210526298e+00,-1.378699387303217394e+00
1.329222340425532112e+00,-1.371731966080639964e+00
1.329488172043010952e+00,-1.368731460591999571e+00
1.329918279569892725e+00,-1.367128797187933786e+00
1.330297826086956681e+00,-1.371913666509282370e+00
1.330623913043478490e+00,-1.372818752592326330e+00
1.330950000000000077e+00,-1.370571573225691342e+00
1.331276086956521665e+00,-1.371301524232599212e+00
1.331602173913043474e+00,-1.372084017909765752e+00
1.331979569892473014e+00,-1.378088322679026811e+00
1.332302150537634455e+00,-1.387167472765604703e+00
1.332570212765957551e+00,-1.392561839268875001e+00
1.332782978723404232e+00,-1.397199186091903300e+00
1.333102127659574476e+00,-1.407788395177055119e+00
1.333421276595744720e+00,-1.416242960343903068e+00
1.333846808510638304e+00,-1.428810896130856767e+00
1.334111578947368537e+00,-1.436324806248054919e+00
