# T (K), dc/c (x 1e-5)
2.432900000000000063e+00,-0.000000000000000000e+00
2.432500000000000107e+00,-1.025994038001201702e-01
2.432300000000000129e+00,1.500469256664541118e-02
2.432100000000000151e+00,5.780432355360215491e-02
2.431999999999999940e+00,6.800315447384741585e-03
2.431700000000000195e+00,1.719628758825239578e-02
2.431500000000000217e+00,8.780153239133087206e-02
2.431299999999999795e+00,-9.691350459032493925e-03
2.430899999999999839e+00,9.143759689229577492e-02
2.430800000000000072e+00,-1.055337234762490639e-02
2.430600000000000094e+00,3.282263784289835007e-03
2.430499999999999883e+00,7.220351810506564494e-02
2.430299999999999905e+00,1.220594145539752318e-02
2.430099999999999927e+00,-5.532743728997591148e-02
2.430000000000000160e+00,-1.838776563306381007e-01
2.429499999999999993e+00,-1.054562879998152680e-01
2.429300000000000015e+00,-1.091820259723798314e-01
2.429199999999999804e+00,-2.919679825486368174e-02
2.428700000000000081e+00,-1.334664075812105888e-01
2.428599999999999870e+00,-1.367608623134043688e-01
2.428300000000000125e+00,-1.034178025487164643e-01
2.428100000000000147e+00,-1.685565429804074256e-01
2.427900000000000169e+00,-2.232357213863972456e-01
2.427700000000000191e+00,-1.650371022237848151e-01
2.427500000000000213e+00,-1.887320314203008720e-01
2.426899999999999835e+00,-1.207881972814690841e-01
2.426600000000000090e+00,-9.032490563233228076e-02
2.426299999999999901e+00,-1.668430292247821689e-02
2.426000000000000156e+00,-3.339289165746675558e-02
2.425800000000000178e+00,-5.906467321886016419e-02
2.425499999999999989e+00,3.857812088383857918e-02
2.425300000000000011e+00,3.522634965877347035e-02
2.425199999999999800e+00,3.726007637731496014e-02
2.424799999999999844e+00,1.360126543380538178e-02
2.424700000000000077e+00,1.429378181684592963e-02
2.424500000000000099e+00,4.768347326928115693e-02
2.424100000000000144e+00,8.824104214448860728e-02
2.423799999999999955e+00,9.563581042917532193e-02
2.423599999999999977e+00,5.556425503715906045e-02
2.423299999999999788e+00,1.266938848412842156e-01
2.423000000000000043e+00,9.194782947391511030e-02
2.422899999999999832e+00,5.155576450893706308e-02
2.422699999999999854e+00,-3.517047065387801652e-02
2.422600000000000087e+00,1.142832656178364992e-01
2.422400000000000109e+00,1.435581156178887541e-01
2.422099999999999920e+00,2.455118314143370228e-02
2.421800000000000175e+00,1.218046129384045551e-02
2.421300000000000008e+00,9.927343169683494617e-02
2.421100000000000030e+00,2.305662750293202556e-01
2.420799999999999841e+00,1.280106724343976765e-01
2.420599999999999863e+00,2.476133204136476973e-02
2.420100000000000140e+00,1.506428136980805799e-02
2.419999999999999929e+00,3.807587213413080041e-02
2.419700000000000184e+00,3.832862981879153752e-02
2.419200000000000017e+00,-8.081460230189088656e-02
2.419099999999999806e+00,4.046241362425442856e-02
2.418899999999999828e+00,9.518816835359794615e-03
2.418699999999999850e+00,-2.457345247468614713e-02
2.418400000000000105e+00,1.027110233517425364e-01
2.418200000000000127e+00,-1.218060831364997654e-02
2.418000000000000149e+00,-4.785590286531665738e-02
2.417600000000000193e+00,-5.315106637107658294e-02
2.417499999999999982e+00,-1.923277432062595049e-02
2.417199999999999793e+00,-6.420505508199572664e-02
2.416900000000000048e+00,-1.038976633878883893e-01
2.416700000000000070e+00,-1.749904151994267909e-01
2.416399999999999881e+00,1.641506996398131579e-02
2.416100000000000136e+00,-6.202684825745014008e-02
2.415900000000000158e+00,-5.649651841120942319e-02
2.415599999999999969e+00,1.922561016856789984e-01
2.415200000000000014e+00,1.348585773880764394e-01
2.415000000000000036e+00,4.092256767887145208e-02
2.414800000000000058e+00,-1.106929471868245418e-03
2.414400000000000102e+00,1.952242823215905032e-02
2.414299999999999891e+00,7.616646546630689851e-03
2.414000000000000146e+00,7.577338561751481572e-02
2.413800000000000168e+00,1.051543460435684640e-01
2.413600000000000190e+00,7.026617140498681024e-02
2.413499999999999979e+00,1.046258987134895957e-01
2.412900000000000045e+00,1.272501691647505428e-01
2.412700000000000067e+00,1.104890517001320960e-01
2.412599999999999856e+00,1.996081639790182882e-01
2.412500000000000089e+00,1.187374837678840944e-01
2.412100000000000133e+00,8.598151262110761972e-02
2.411900000000000155e+00,7.631811069870250708e-02
2.411700000000000177e+00,8.589418407610460715e-03
2.411399999999999988e+00,-5.697873741352527110e-02
2.411200000000000010e+00,3.265294469438975722e-02
2.410899999999999821e+00,5.164254129252573988e-02
2.410600000000000076e+00,7.270236502742929985e-02
2.410299999999999887e+00,8.521986460284167175e-02
2.409899999999999931e+00,1.506628884900829135e-01
2.409699999999999953e+00,2.012345217020788946e-01
2.409400000000000208e+00,8.940042837283015964e-02
2.408999999999999808e+00,-1.888840398872257409e-02
2.408700000000000063e+00,9.134351456581771278e-02
2.408500000000000085e+00,7.700277597430527088e-02
2.408100000000000129e+00,1.434651940811909610e-01
2.407999999999999918e+00,1.988031129295832200e-01
2.407799999999999940e+00,9.202326594417997718e-02
2.407399999999999984e+00,9.423048482563173289e-02
2.407200000000000006e+00,1.374999021066559968e-01
2.406899999999999817e+00,7.869287746839134789e-02
2.406699999999999839e+00,8.960047437368834355e-02
2.406200000000000117e+00,8.964953909828057843e-02
2.405899999999999928e+00,1.007957855419898408e-01
2.405699999999999950e+00,1.062274936392687552e-01
2.405299999999999994e+00,1.298689088123639035e-01
2.405100000000000016e+00,1.998483314193805205e-01
2.404700000000000060e+00,-5.314981562764414802e-03
2.404500000000000082e+00,5.552681710541129689e-02
2.404300000000000104e+00,-7.924372925956907343e-02
2.404199999999999893e+00,-8.740435004910701577e-02
2.403999999999999915e+00,3.173173507313095665e-02
2.403900000000000148e+00,1.093268116897361253e-01
2.403700000000000170e+00,5.460278408569302355e-02
2.403300000000000214e+00,2.164039927253155748e-01
2.403099999999999792e+00,1.009536498628241241e-01
2.402600000000000069e+00,-1.030592727965622124e-01
2.402499999999999858e+00,8.145241330373420574e-05
2.402099999999999902e+00,-9.823806216245623002e-03
2.401899999999999924e+00,4.407910199778070082e-03
2.401800000000000157e+00,7.544652857929129430e-03
2.401499999999999968e+00,1.126370307300179896e-01
2.401400000000000201e+00,5.560635102054220513e-02
2.401100000000000012e+00,-1.722859045236863063e-02
2.400700000000000056e+00,3.798120115300687716e-02
2.400399999999999867e+00,-1.346753145765530735e-02
2.400300000000000100e+00,-3.967276487838386489e-02
2.399900000000000144e+00,-1.902894118848211247e-02
2.399700000000000166e+00,-7.983366767183933121e-02
2.399399999999999977e+00,1.046158921858518498e-01
2.399000000000000021e+00,1.129353577870861880e-01
2.398800000000000043e+00,1.910938332371804604e-01
2.398699999999999832e+00,1.720804440588988293e-01
2.398200000000000109e+00,1.831879393312391135e-01
2.398000000000000131e+00,3.006974176399980214e-01
2.397899999999999920e+00,3.073693539578336020e-01
2.397499999999999964e+00,9.468017678248077940e-02
2.397299999999999986e+00,8.613137546043328485e-02
2.396999999999999797e+00,1.598522393641589601e-01
2.396799999999999820e+00,3.042533383637580080e-02
2.396399999999999864e+00,-3.457944280412655891e-02
2.395799999999999930e+00,9.475034663938494695e-02
2.395700000000000163e+00,5.016813226987534846e-02
2.395300000000000207e+00,-2.132619970167393131e-02
2.395099999999999785e+00,-5.593888634186985898e-02
2.394800000000000040e+00,-2.774307631524947082e-02
2.394499999999999851e+00,1.886943416317711508e-01
2.394400000000000084e+00,2.171008525378784193e-01
2.394099999999999895e+00,2.607464760121837033e-01
2.393600000000000172e+00,1.196377246276067452e-01
2.393400000000000194e+00,9.497451737283668649e-02
2.393200000000000216e+00,1.534038126770054244e-01
2.392900000000000027e+00,1.410368499288675026e-01
2.392599999999999838e+00,1.227211702968002138e-01
2.392199999999999882e+00,9.245552839813597767e-03
2.392100000000000115e+00,1.169065974226599081e-01
2.391500000000000181e+00,2.424624319565665820e-01
2.391199999999999992e+00,2.474905685264337796e-01
2.391000000000000014e+00,2.052316652857363866e-01
2.390699999999999825e+00,1.684157054052115576e-01
2.390400000000000080e+00,1.142332804827950188e-01
2.390200000000000102e+00,1.725273364530828524e-01
2.389800000000000146e+00,1.614670025442722923e-01
2.389600000000000168e+00,2.871370258154641864e-01
2.389299999999999979e+00,1.977652018655441657e-01
2.388900000000000023e+00,1.593851377133977121e-01
2.388700000000000045e+00,1.063271086911531105e-01
2.388599999999999834e+00,1.771570829028380756e-01
2.388199999999999878e+00,1.134786374829693800e-01
2.388100000000000112e+00,1.287075116909210115e-01
2.387999999999999901e+00,5.516160305031950206e-02
2.387399999999999967e+00,9.994398715634442154e-02
2.387199999999999989e+00,1.415939622177210533e-01
2.387000000000000011e+00,2.227016985157682927e-01
2.386600000000000055e+00,3.345547179039142227e-01
2.386299999999999866e+00,3.270614015952327813e-01
2.386099999999999888e+00,3.069932369091296631e-01
2.385800000000000143e+00,2.094462871644019175e-01
2.385600000000000165e+00,8.319739233497019937e-02
2.385099999999999998e+00,1.622249871361183815e-01
2.384999999999999787e+00,2.320896479673581481e-01
2.384799999999999809e+00,2.139627984617392675e-01
2.384399999999999853e+00,1.864213544642764897e-01
2.384100000000000108e+00,1.021096597254855798e-01
2.383900000000000130e+00,1.755838737237634672e-01
2.383399999999999963e+00,1.496945724284610979e-01
2.383199999999999985e+00,2.161923950429710251e-01
2.382699999999999818e+00,2.403556016691670016e-01
2.382600000000000051e+00,2.847686280333175390e-01
2.382400000000000073e+00,2.206096344208909044e-01
2.381899999999999906e+00,1.428344929096936333e-01
2.381600000000000161e+00,9.895052504541729244e-02
2.381499999999999950e+00,2.018527381098325635e-01
2.381099999999999994e+00,1.913495621192612406e-01
2.380799999999999805e+00,2.334230262196132499e-01
2.380599999999999827e+00,6.147239634216733473e-02
2.380199999999999871e+00,1.969575476206721076e-01
2.379900000000000126e+00,1.812569726494621392e-01
2.379700000000000149e+00,7.830500726386038779e-02
2.379300000000000193e+00,2.119829656539728990e-01
2.379100000000000215e+00,2.152136256687413318e-01
2.378699999999999815e+00,3.421402438225952247e-01
2.378600000000000048e+00,1.821820531920127773e-01
2.378099999999999881e+00,1.237413056468655848e-01
2.377899999999999903e+00,1.933171448501198875e-01
2.377499999999999947e+00,1.597135556486058150e-01
2.377400000000000180e+00,7.843495214389026304e-02
2.376900000000000013e+00,1.991937522751938139e-01
2.376300000000000079e+00,2.163788320999095183e-01
2.375999999999999890e+00,2.139841590320830378e-01
2.375799999999999912e+00,2.714756188543221427e-01
2.375399999999999956e+00,2.395556651921260105e-01
2.375300000000000189e+00,1.649709029644293168e-01
2.375100000000000211e+00,2.968854904535945805e-01
2.374800000000000022e+00,2.331761098360064788e-01
2.374499999999999833e+00,2.459056170106554973e-01
2.374200000000000088e+00,2.226177105368702669e-01
2.374000000000000110e+00,1.188140264994988482e-01
2.373600000000000154e+00,1.495983886817299491e-01
2.373400000000000176e+00,9.101097023945375897e-02
2.373200000000000198e+00,8.366156597685442398e-02
2.372799999999999798e+00,1.505496380119902833e-01
2.372700000000000031e+00,1.877971410869233582e-01
2.372399999999999842e+00,1.415020037190059532e-01
2.371900000000000119e+00,2.064630243260763554e-01
2.371599999999999930e+00,1.424700842787320065e-01
2.371399999999999952e+00,2.091168717948538314e-01
2.370999999999999996e+00,1.036928674713784304e-01
2.370800000000000018e+00,2.315707285569651441e-01
2.370499999999999829e+00,3.319001307865165895e-01
2.370200000000000085e+00,3.265778048267865552e-01
2.370099999999999874e+00,2.555245295817083484e-01
2.370000000000000107e+00,1.030157376454704510e-01
2.369499999999999940e+00,1.754893715320143821e-01
2.369299999999999962e+00,3.149899310281659148e-01
2.369099999999999984e+00,2.382336743941317059e-01
2.368799999999999795e+00,2.631814659013326230e-01
2.368500000000000050e+00,2.776178847750318535e-01
2.367900000000000116e+00,2.736047155526589725e-01
2.367799999999999905e+00,2.453807918494609053e-01
2.367599999999999927e+00,2.774061190750042316e-01
2.367300000000000182e+00,2.497546014431327455e-01
2.366800000000000015e+00,3.393344726114813636e-01
2.366600000000000037e+00,2.385702617832552441e-01
2.366499999999999826e+00,3.450117147082293334e-01
2.366000000000000103e+00,3.629420344605261972e-01
2.365699999999999914e+00,3.454982796239313148e-01
2.365499999999999936e+00,4.104270726521496160e-01
2.365200000000000191e+00,3.505669216802634325e-01
2.365000000000000213e+00,1.966228534338969325e-01
2.364700000000000024e+00,2.821363923220625569e-01
2.364399999999999835e+00,9.364291966721186022e-02
2.364100000000000090e+00,2.057269865827354716e-01
2.363999999999999879e+00,1.859509052612451363e-01
2.363599999999999923e+00,3.398227022608987791e-01
2.363300000000000178e+00,3.636067116113451680e-01
2.362999999999999989e+00,3.430926523881501211e-01
2.362600000000000033e+00,4.218620584586600941e-01
2.362499999999999822e+00,3.427817713338304761e-01
2.362200000000000077e+00,3.555176559019712634e-01
2.361699999999999910e+00,2.317694687620740213e-01
2.361499999999999932e+00,2.986125623090883918e-01
2.361099999999999977e+00,2.407879016026910624e-01
2.360899999999999999e+00,2.178672000819822929e-01
2.360599999999999810e+00,2.280859153188166677e-01
2.360300000000000065e+00,3.028612131241933958e-01
2.360100000000000087e+00,1.633144450153244109e-01
2.359900000000000109e+00,1.781479712252738434e-01
2.359599999999999920e+00,1.817516579648292829e-01
2.359399999999999942e+00,3.456202226640586739e-01
2.359199999999999964e+00,2.530791439301835477e-01
2.358999999999999986e+00,1.530843811171564428e-01
2.358400000000000052e+00,1.354837952476789509e-01
2.358200000000000074e+00,2.860501201906728852e-01
2.357899999999999885e+00,2.198385293275713359e-01
2.357400000000000162e+00,1.587036290214699497e-01
2.357099999999999973e+00,2.546288699416775492e-01
2.356899999999999995e+00,2.305298390748063142e-01
2.356500000000000039e+00,2.220775525012957941e-01
2.356300000000000061e+00,3.565483680210979056e-01
2.355999999999999872e+00,3.581964342774801580e-01
2.355900000000000105e+00,3.357694175660369540e-01
2.355399999999999938e+00,3.904865957831370471e-01
2.355199999999999960e+00,3.879652148218275531e-01
2.354900000000000215e+00,3.493236297841783022e-01
2.354800000000000004e+00,3.577617873120990666e-01
2.354400000000000048e+00,2.840535282372727566e-01
2.354299999999999837e+00,3.747932173186856453e-01
