# Temperature (K)	Attenuation (Neper/m)
0.3033	0.0
0.3034	2.368151117145999
0.3035	-0.24509817826242397
0.3036	0.45169904442241204
0.3037	0.6520183433431157
0.3038	0.2501100699187191
0.3039	2.3273200450938702
0.304	-0.05182644123908631
0.3041	1.8241428348109139
0.3042	4.335817175565467
0.3043	1.5158959581218596
0.3044	1.5030472486533881
0.3045	1.6607194893329051
0.3046	0.767342137635751
0.3047	2.056625114398912
0.3048	2.4702549896693426
0.3049	2.1602853657021797
0.305	0.9587260251181533
0.3051	-0.7366351775048088
0.3052	1.3761055305441232
0.3053	1.2567706802046814
0.3054	-0.014747549705248275
0.3055	1.5233049474080644
0.3056	-0.2232828726274647
0.3057	0.9033862060642832
0.3058	1.6841826811669307
0.3059	3.1705977313848734
0.306	1.996873425204285
0.3061	0.08347000256571846
0.3062	-0.9671798547244634
0.3063	2.0937165826678665
0.3064	0.245385587768169
0.3065	-0.2544034006489255
0.3066	1.88151739247985
0.3067	-0.037301729800333305
0.3068	1.0899187198308482
0.3069	0.5725179746341382
0.307	2.8917288672435006
0.3071	1.055850097892403
0.3072	0.9016930623425878
0.3073	1.429483359683445
0.3074	2.7844736331172726
0.3075	2.690068496082745
0.3076	0.3634179525771515
0.3077	0.09499373510936948
0.3078	1.8597732685086612
0.3079	2.2102543224049214
0.308	1.2739243146414765
0.3081	2.213311186087026
0.3082	2.1026612274788476
0.3083	1.3150268446891005
0.3084	0.9318357474911636
0.3085	-1.5743272690622234
0.3086	0.5783839472948102
0.3087	-0.38618303964733514
0.3088	1.7877048512978035
0.3089	1.6122107615514096
0.309	1.7551157436827225
0.3091	1.1667875248489281
0.3092	2.896682260760713
0.3093	1.1090148551921857
0.3094	2.2223513731274807
0.3095	3.488322309363298
0.3096	1.2144188482940308
0.3097	0.8410023580412371
0.3098	0.632865141711477
0.3099	2.8001360287614716
0.31	2.6488352756458653
0.3101	3.1869274105870318
0.3102	2.9780358460301386
0.3103	1.8094514999570492
0.3104	1.9154016021456073
0.3106	1.3484749225120822
0.3107	1.3149833746243758
0.3109	0.46654585001681426
0.311	-0.5530547412080296
0.3112	0.15848781622378283
0.3114	-1.0286180900611726
0.3118	0.19484410572351862
0.312	0.15622053723882345
0.3127	1.053449571211445
0.3132	0.6574598234507221
0.3137	1.0707339919908918
0.3151	0.8011752378967003
0.316	0.23874112216469712
0.3171	-0.5169180615883988
0.3198	0.4862872932742448
0.3215	-1.1023696291971419
0.3234	-1.0312520390962163
0.328	0.6473119881627554
0.3307	-0.04111235836569449
0.3336	2.3677228139110866
0.3368	0.6797609481425297
0.3435	-0.2643078155024341
0.347	-1.3660255062321767
0.3543	-0.6190751070048464
0.358	1.1809517328861148
0.3617	-0.25250793982820596
0.3654	0.8666408125018279
0.3728	1.5764806860925091
0.3764	2.4602615884356283
0.38	0.04110128288436954
0.3868	1.7227341752214897
0.3901	1.5764213829132814
0.3933	1.03552503375397
0.3993	2.58109007734447
0.4021	2.01438990909503
0.4049	2.672263756483744
0.4102	0.8943963628918254
0.4127	0.9997467107469902
0.4151	2.2645181937364214
0.4176	3.0182330757166937
0.4223	0.5814047543902916
0.4246	2.345170740960498
0.4268	2.9210557070806544
0.4313	2.1480320850753287
0.4335	0.5865353735046028
0.4357	1.1647430307734794
0.4378	-0.1982373224066123
0.4421	-0.36327349249245344
0.4441	0.19758847717275785
0.4462	0.01873164802611882
0.4501	2.339610523904298
0.452	1.2987502506765622
0.4539	3.3542639477699367
0.4574	4.016894344837397
0.4591	3.045044174667396
0.4608	2.4835159790652597
0.4625	2.1187343117381943
0.4626	2.8998077534156437
0.4627	3.0665510426941864
0.4628	4.028258866373449
0.4629	2.437072933244167
0.463	1.0506955785917853
0.4631	3.540455176694195
0.4632	2.391419484853486
0.4633	1.6860628064830507
0.4635	1.0876009842558005
0.4636	0.727328208848121
0.4637	1.405816835524206
0.4638	2.3383451753934423
0.4639	1.0831931884143842
0.464	2.587077490514048
0.4641	1.2565836786106956
0.4642	0.9958888648841366
0.4643	1.692621019066678
0.4644	1.5319734645321432
0.4647	0.7780766698485877
0.4648	1.0553478824679132
0.4649	2.4659975767884816
0.465	3.1915563919684473
0.4651	1.4317769586748454
0.4653	2.1755664258788556
0.4654	1.7953892615191762
0.4655	4.1655830163932706
0.4656	5.094126686745085
0.4658	4.3058228618486964
0.4662	3.03057158973877
0.4664	1.3047564807533263
0.4666	1.4968498485746977
0.467	4.006040710169259
0.4671	1.216513716036502
0.4672	4.626344806020143
0.4673	1.4481466385258273
0.4675	1.7154161938000243
0.4679	2.9657603399577965
0.468	0.785894183331834
0.4682	2.977220205969502
0.4684	2.4470208532287643
0.4687	3.2246999603140694
0.469	3.8352972584588088
0.4692	1.5729148165642073
0.4694	2.2078443492331417
0.4697	2.2955015411979502
0.4698	2.859918997885643
0.47	2.1470675212959804
0.4701	1.6169414493223258
0.4703	1.7903995712274536
0.4705	4.435418534119208
