# Temperature (K)	Attenuation (Neper/m)
0.3366	1.0112784251571156
0.3398	1.7073628913610719
0.3472	1.9397983137519077
0.3512	1.624982456490443
0.3554	1.465966248884797
0.3597	1.4926418524235032
0.3683	1.707966343313501
0.3725	2.4783550951628968
0.3805	2.9529585264622256
0.3843	2.878026945516467
0.3879	2.7451275382190943
0.3913	2.7957216817885637
0.3978	2.2363366156816937
0.4008	1.401810686662884
0.4037	1.3209976896644093
0.4093	1.0095862913876772
0.412	0.2032190334052757
0.4146	0.17836687639351112
0.4197	0.700148948654487
0.4222	0.8139336548745177
0.4246	1.4512741699813887
0.4294	2.011429563537149
0.4318	1.8221889242529414
0.4342	1.8279013045132615
0.4388	1.325133727490993
0.4412	1.2284686159341618
0.4435	0.46353985629980343
0.4481	0.12289928533141392
0.4503	-0.15989582240581512
0.4526	0.28351933471867596
0.4572	0.15936076752836925
0.4594	0.8554557655006647
0.4617	1.5702972721308015
0.4661	2.045155971497252
0.4682	1.7430074557662465
0.4703	1.5372572910041526
0.4744	1.8580228947103024
0.4763	1.4324559081346706
0.4782	1.374469317495823
0.4818	1.4604842193425611
0.4835	1.8233950655908302
0.4852	1.6305241830646082
0.4868	1.717216769233346
0.4899	2.124780496582389
0.4914	2.737852049246385
0.493	3.0846585873514414
0.4945	3.070380039885549
0.4976	3.43542532660058
0.4992	2.7654059335588954
0.5008	1.582685662061067
0.5041	0.6684601150452636
0.5057	0.5831678148358606
0.5073	0.9071796029807047
0.5105	1.4883442919701793
0.512	2.594431361555962
0.5135	3.253077735379293
0.5136	2.815420877560882
0.5137	2.3232373230159737
0.5138	1.8276744909585432
0.5139	1.9870826967060111
0.514	1.7012254573405698
0.5141	2.281344059854746
0.5142	2.5878519445657275
0.5143	3.0284853655844017
0.5144	2.244487877562733
0.5145	2.1124604426324822
0.5146	2.235635371878743
0.5148	1.8149373732508138
0.5149	2.0157748218625784
0.515	3.056279558688402
0.5151	3.025540738180325
0.5153	3.661246149614499
0.5154	3.7958212051539704
0.5156	3.9385504744946047
0.5157	3.7285857748240687
0.5158	4.400915453582911
0.5159	3.540577887743666
0.5161	3.5215849816800073
0.5163	2.947193344682546
0.5164	3.0452726583928325
0.5165	3.163730495795562
0.5167	3.844715836271689
0.5169	3.8532084334642605
0.5171	3.7874517742543503
0.5173	2.9189541205764726
0.5175	2.1076974920929388
0.5177	1.5058591913432338
0.5178	1.2091393262148813
0.518	1.4750282526015326
0.5181	1.9295749887824059
0.5182	2.5113188456743956
0.5184	2.357364756986499
0.5186	3.4485168177634478
0.5187	3.038569202646613
0.5189	2.747999895736484
0.5191	2.8489098634570382
0.5192	3.068410148844123
0.5194	2.090254997462125
0.5196	1.6403167743235372
0.5197	1.4980798427015998
0.52	1.0253118373452708
0.5202	0.6678082156927303
0.5204	1.2465947140008211
0.5207	2.2601757138968424
0.5208	2.5610033433883928
0.5211	2.797627752646804
0.5213	2.9923464249818608
0.5216	2.6607100002468087
0.5217	2.526488257199617
0.5218	2.065839007869272
0.522	2.041067107394383
0.5224	2.2332731518895343
0.5228	2.4025868643075228
0.5229	2.3844154246150993
0.523	2.2609659738839127
0.5231	2.281332115083842
0.5233	1.7846335772424027
0.5237	1.7231846995650812
0.524	1.0521979298441693
0.5243	1.5305554945020958
0.5246	1.773875880614014
0.5247	1.7806741632521152
0.525	1.3607408702373505
0.5253	2.2431913152336165
0.5256	1.9652558598668293
0.5259	1.8785908412187382
0.526	2.3082017108797572
0.5262	2.6032935541122697
0.5263	2.8178498055785894
0.5266	3.0475308559834957
0.5269	3.0758765999228217
0.5271	3.2534128226338908
0.5272	3.5317446641624883
0.5273	3.437176598608403
0.5274	3.4743579935282014
0.5278	3.334497310221195
0.528	3.7183067310602382
0.5282	4.279532768204717
0.5283	3.515196717903109
0.5286	3.046325805038123
0.529	2.957732920721128
0.5295	2.4642436295748666
0.5297	1.5237528085708618
0.53	2.111437401175408
0.5301	2.9109462894498392
0.5302	2.6242011692374945
0.5304	2.3173513151705265
0.5306	2.4297292977571487
0.531	2.052854244411037
0.5311	2.0534990187734365
0.5314	2.0761518742888256
0.5318	2.269095802679658
0.5324	1.747117206081839
0.5326	1.8906582601368882
0.5327	2.120013519004033
0.5328	1.774233321473048
0.5331	2.126566249132111
0.5333	1.7581346184015274
0.5335	1.1741074305027723
0.5339	0.6459309440106153
0.5341	1.1812286138533636
0.5342	0.2755977235733553
0.5343	1.1509505238384463
0.5345	1.2387980353087187
0.5348	1.3926498912273928
0.5352	1.3246368866414286
0.5355	2.0888442039490656
0.5357	2.390321611985655
0.5358	3.0496759165077947
0.5361	2.8688731234519764
0.5362	3.151200670376511
0.5367	3.3035085648298264
0.5368	3.1061925143003464
0.537	3.177949317544744
0.5371	3.3529252018779516
0.5373	3.5969489440321922
0.5374	3.502086741477342
0.5379	3.637894980609417
0.538	3.3779603481293634
0.5383	3.6211190465837717
0.5384	3.7741200774908066
0.5386	3.9588100679218314
0.5388	4.449692403897643
0.5389	4.811356080323549
0.5392	4.913269186019988
0.5393	4.415765677764966
0.5394	3.9156292166560434
0.5397	3.8595022443682865
0.5402	3.5955565985291287
0.5403	3.117861437797501
0.5405	3.893813521042375
0.5407	4.470702121034265
0.5408	4.667223603278444
0.5409	4.996304979547858
0.541	5.905421971902342
0.5411	5.242546120286079
0.5415	5.0642638340591475
0.5416	4.602082037925811
0.5417	4.4731708358972355
0.5418	3.8171600580215
0.542	3.6495421320200876
0.5421	3.275110376998782
0.5422	2.9935413964092277
0.5424	2.7674260679632425
0.5425	2.9457396898419574
0.5426	3.2335413534194686
0.5427	3.5401994109154202
0.5429	4.042234008759351
0.543	4.261600613966493
0.5431	3.821174278855324
0.5432	2.9552367541939475
0.5433	3.2341242894531206
0.5434	3.05863608457139
0.5435	2.86494351774445
0.5436	2.83180645853281
0.5444	3.569901297986462
0.5449	3.1752152469009616
0.5458	3.051636478304772
0.5463	3.0866586260497115
0.5468	4.045775071158914
0.5478	4.4948825739325
0.5483	4.706617601215839
0.5487	5.061974329501481
0.5497	5.086195373907685
0.5502	4.250430414080711
0.5511	3.2751066718251423
0.5516	2.736741323769138
0.5521	2.0278682757168554
0.5531	1.902805500850036
0.5536	2.4094643566756986
0.5541	2.4733800165354296
0.5551	2.9735884007066034
0.5556	3.352837155759289
0.5561	3.7652830250560783
0.557	3.9059827141463757
0.5575	4.760142378881483
0.558	4.8407781552523375
0.559	4.710957462340502
0.5595	4.482013153657363
0.5599	4.218552413582756
0.5609	3.9410974785685084
0.5614	4.0414041627198
0.5619	3.6544018562883593
0.5628	3.154688182100699
0.5633	2.867514786496713
0.5638	3.20160149037838
0.5648	3.339426475018172
0.5652	3.8292393516749144
0.5662	4.397274161130099
0.5667	4.051986294984772
0.5672	3.315630389377475
0.5681	2.5118245013059095
0.5686	2.419359201937823
0.569	2.855105882510543
0.57	3.874053697287991
0.5704	4.8092842951416515
0.5709	4.75066873282185
0.5718	4.568599686399011
0.5723	4.042882612347512
0.5731	3.936741815507503
0.5735	3.40363378636539
0.5739	3.977415730804296
0.5747	4.2658722549676895
0.5751	4.2167601734399796
0.5755	4.008158999308989
0.5764	3.9273077297955297
0.5773	3.770746031030967
0.5778	3.4167203873396375
0.5782	3.8936046198009535
0.579	3.939718005061195
0.5799	4.227108358964415
0.5803	4.292082589119673
0.5812	4.531263852119537
0.5817	4.077641620859595
0.5821	3.1402519702910467
0.583	2.3055329363792225
0.5834	1.843976629525514
0.5839	1.1104173611850001
0.5847	0.42072335779675996
0.5852	0.40400859825308544
0.5856	1.3053365770726941
0.5865	1.5489828005433992
0.5869	2.353106176853089
0.5873	3.4535472694783493
0.5881	4.038752688840077
0.5885	3.4989878058433987
0.589	3.481345118209674
0.5897	3.2073320522904396
0.5901	2.634120514243932
0.5909	2.8074809618294694
0.5913	3.3072524718941168
0.5917	4.084485327079847
0.5925	4.591087105870201
0.5929	5.664910516142754
0.5933	6.416591066494675
0.5941	6.578599819541068
0.5945	6.090611361339597
0.5952	6.028774756938219
0.5956	5.313954823464201
0.5964	5.3050406984984875
0.5968	5.714527356997223
0.5971	6.441056387498975
0.5979	6.912688679993153
0.5983	6.9419092405587435
0.5987	6.527001851424529
0.5994	5.686088469624565
0.5998	4.6967642877250455
0.6001	4.086899705603628
0.6009	3.7388393294065736
0.6012	3.3143670443446354
0.6019	3.070304419100239
0.6023	3.425359639525368
0.6026	4.166212544217615
0.6033	4.375997287407472
0.6037	4.42564907297492
0.604	4.737518244981857
0.6047	4.649810954928398
0.6051	3.814826867356942
0.6054	3.505305598303721
0.6062	4.190392415970564
0.6065	4.476318325102284
0.6068	4.1911267057062105
0.6075	4.163599295541644
0.6079	4.189349653199315
0.6082	3.188506445288567
0.6088	2.8261348560452006
0.6095	3.0667120940984205
0.6098	3.0839547321199916
0.6105	3.1805819369851633
0.6108	3.0110483080147787
0.6112	2.690364030003593
0.6119	2.4161409825087503
0.6125	2.419087817519994
0.6128	2.5243788357824997
0.6131	2.342278245091393
0.6138	2.6302789442240737
0.6144	2.837708498165057
0.6147	3.334075772017286
0.615	3.5773879680782557
0.6157	4.405969220027373
0.6163	4.872152942046569
0.6166	5.0455927696079925
0.6169	4.581749942153692
0.6175	5.128867926821158
0.6178	5.628758936002896
0.6181	5.562291621789427
0.6187	5.860426456108598
0.619	6.274821615591691
0.6197	5.513945696875453
0.62	5.311550439521625
0.6206	5.3070083893835545
0.6209	5.132003350928471
0.6212	5.261896055191755
0.6218	5.173709512129335
0.6221	4.88107566647227
0.6224	4.732720620185091
0.623	4.784346188232348
0.6233	4.5984892562032655
0.6236	5.411357282847121
0.6242	5.897946986556008
0.6245	6.238192850351425
0.6248	6.094228468835354
