# Temperature (K)	Attenuation (Neper/m)
0.306	0.0
0.3061	0.12621190686354566
0.3062	0.14974716147025902
0.3063	0.24619268594437926
0.3064	0.17673979506139403
0.3065	0.145240144087893
0.3066	0.04265349322304246
0.3067	0.0926067843167857
0.3068	0.02441059295551895
0.3069	-0.09746325116316257
0.307	-0.05107444737268452
0.3071	-0.03574126350258666
0.3072	-0.024499471775243364
0.3073	0.017014684481182485
0.3074	-0.18077026017795106
0.3075	-0.24784872635791544
0.3076	-0.1367555420267763
0.3077	-0.1510200070204064
0.3078	-0.15033903162725437
0.3079	-0.15795861670994782
0.308	-0.11292354083639111
0.3081	-0.01700806608005223
0.3082	0.018220000492192412
0.3083	-0.06507327614735914
0.3084	-0.037520116881751164
0.3085	-0.21818657805442854
0.3086	-0.29816275408234105
0.3087	-0.23598933883795326
0.3088	-0.31066233776664376
0.3089	-0.2681813490194145
0.309	-0.2500912673942821
0.3091	-0.15012109169424548
0.3092	-0.20363544175711468
0.3093	-0.2413123514779727
0.3094	-0.18236147347033693
0.3095	-0.2503101203374172
0.3096	-0.3209281270080737
0.3097	-0.31653748003896
0.3098	-0.42231582063641326
0.3099	-0.16239564536954276
0.31	0.055081881299201996
0.3101	-0.025272374707583367
0.3102	-0.12029315234440219
0.3103	0.05206467544553561
0.3104	0.14395744948092215
0.3105	0.0982267225006126
0.3106	0.021502105173567543
0.3107	-0.1398889488543773
0.3108	-0.0752295555382716
0.3109	-0.07454072344512497
0.311	0.08040507694022381
0.3111	0.21137236890172062
0.3112	0.2876423962009085
0.3113	0.38709505090037055
0.3114	0.37811621511423255
0.3115	0.48730041445128336
0.3116	0.529128147721849
0.3117	0.5541847233184853
0.3118	0.7506528009494104
0.3119	0.8428056419904806
0.312	0.9978315955420385
0.3121	0.955508850636761
0.3122	0.8243196424721191
0.3123	0.9770748450114297
0.3124	0.8922942733277068
0.3125	0.742896524104026
0.3126	0.804968419209672
0.3127	0.7828036121693458
0.3128	0.8363541848896148
0.3129	0.8310179212651292
0.313	0.9191624637974201
0.3131	1.0348257788132287
0.3132	1.2120580044768303
0.3133	1.1832822663984643
0.3134	1.2013815535501635
0.3135	1.1745984874603437
0.3136	1.1501533168591322
0.3137	1.1050006650459636
0.3138	0.9961490278808469
0.3139	1.0005556827156852
0.314	0.9214387798829193
0.3142	0.8965804431211382
0.3143	0.9604939995399491
0.3145	0.9238998872328921
0.3146	0.8914210232740061
0.3147	0.8460157398806132
0.3149	0.8554195116455503
0.315	1.0118669653425059
0.3151	0.9474173483156392
0.3152	0.8949626729704505
0.3155	0.8274158779458958
0.3156	0.8814959985490987
0.3158	1.0132250865779042
0.3162	0.7964111634189521
0.3164	0.8161152096822661
0.3166	0.8173278047513577
0.3169	0.6865264526936699
0.3175	0.5667010458228106
0.3178	0.6619853909903668
0.3182	0.5039328089096671
0.3187	0.4056805088553119
0.3197	0.44458424509343786
0.3203	0.34770287519859266
0.3209	0.383287746553151
0.3217	0.29779137204491235
0.3234	0.22999812458829183
0.3243	0.20431381600860732
0.3254	0.17199607736733924
0.3266	0.25050768246364896
0.3292	0.18111204821570936
0.3306	0.1216593686451688
0.3322	0.06562638544778565
0.3339	0.03640733585302769
0.3377	-0.030509040800779985
0.3398	0.006894067931852987
0.342	0.10657592767574897
0.3443	0.027235225431695653
0.349	-0.12839016130124037
0.3514	-0.08291524380706505
0.3539	-0.11552667603177724
0.3563	-0.24583305079886486
0.3611	-0.0498527990553157
0.3635	0.03596030484959556
0.3658	-0.12056008931517681
0.3681	0.007672662688037235
0.3726	-0.011032112986185894
0.3748	-0.2614230170383962
0.377	-0.26926738148131335
0.3791	-0.3989015000188374
0.3832	-0.28011589307834583
0.3852	-0.2025346940538384
0.3871	-0.07118743497926516
0.389	-0.11897146603701003
0.3925	-0.2796321466069003
0.3942	-0.3171138202576458
0.3958	-0.27101997442241554
0.3973	-0.09468458376272793
0.4002	-0.17523149541852945
0.4016	-0.09486261118127004
0.402	-0.16181760948074952
0.4021	-0.18437838598197231
0.4022	-0.08035595541400653
0.4023	0.1057953313966209
0.4024	0.11906938777042342
0.4025	0.17328934718011624
0.4026	0.2345041242458592
0.4027	0.15226877578720632
0.4028	0.03879020428939839
0.4029	0.17360698081506598
0.403	0.10190013275450838
0.4031	0.24832977295477576
0.4032	0.507606387664282
0.4033	0.5051141208487024
0.4034	0.6568298688748655
0.4035	0.6164136777103977
0.4036	0.7004111986243515
0.4037	0.5812657268725161
0.4039	0.5557393727576709
0.404	0.7032457729762882
0.4041	0.8459243171787421
0.4042	0.7704341309072333
0.4043	0.5660399002310896
0.4044	0.6890793228797065
0.4045	0.676463263522237
0.4047	0.5371989488703548
0.4048	0.5943309066940401
0.4049	0.4382195662412869
0.4051	0.3423513368431941
0.4052	0.38308820134329835
0.4053	0.3270750934523221
0.4054	0.3428083213170794
0.4055	0.3775945676848096
0.4056	0.4984083858512349
0.4057	0.49489654297326524
0.4058	0.5532805905149871
0.406	0.5356061901345583
0.4061	0.5615951344007044
0.4063	0.664040982514507
0.4064	0.6423893939688696
0.4065	0.6538957662864959
0.4066	0.37344163958073295
0.4068	0.5383147733155056
0.407	0.7059079577502416
0.4072	0.7605505764120153
0.4074	0.7862362529460825
0.4076	0.9568341420226716
0.4078	1.1715431169452586
0.4079	1.1188776777971725
0.4081	1.106889123586825
0.4083	1.370148294811088
0.4085	1.376479717735947
0.4087	1.5067319485367534
0.4088	1.4826537740145795
0.4089	1.324799130841484
0.409	1.327889096761055
0.4091	1.234926122434672
0.4093	1.2022969657330123
0.4097	1.1473655888237317
0.4098	1.220049028981748
0.4099	1.2587407686871757
0.41	1.3213582674793543
0.4101	1.255476338258859
0.4103	1.2898345072760549
0.4105	1.3993533570862837
0.4106	1.4345207284748085
0.4109	1.5706894989132252
