# Temperature (K)	Delta c33/c33 (1e-5)
0.6843	-5.719891738467943
0.6848	-5.6927611633844775
0.6853	-5.641266735809262
0.6858	-5.617278125244577
0.6868	-5.631814874926843
0.6872	-5.595685704815905
0.6877	-5.592801429526221
0.6887	-5.563030279453556
0.6893	-5.5731642622897715
0.6898	-5.587528359345885
0.6908	-5.5822493951809
0.6913	-5.561035537141082
0.6917	-5.548814230759953
0.6922	-5.560079687562381
0.6927	-5.5470717901540585
0.6936	-5.511894361145157
0.6941	-5.500007617988261
0.6945	-5.511759047189281
0.6955	-5.556944818809097
0.696	-5.539542337125304
0.6969	-5.53037617595417
0.6974	-5.535495977637972
0.6979	-5.571776107629024
0.6988	-5.619919324364066
0.6993	-5.635277612277749
0.6997	-5.585610475482512
0.7006	-5.601112428745684
0.7011	-5.584190544728267
0.7016	-5.60593894082817
0.7025	-5.623581251787719
0.7029	-5.65672958044223
0.7034	-5.698421641879056
0.7043	-5.724149197440095
0.7047	-5.768017981559587
0.7052	-5.791721085607263
0.7056	-5.767669931060563
0.7066	-5.730333522150384
0.707	-5.675129026151652
0.7075	-5.637178504920291
0.7079	-5.681156277907119
0.7088	-5.68496475070463
0.7093	-5.652033014548158
0.7097	-5.680829170394552
0.7106	-5.676495248970606
0.7111	-5.70387148423979
0.7116	-5.6866727371716586
0.7124	-5.653476275393483
0.7129	-5.666638941140953
0.7133	-5.677951851806303
0.7143	-5.663151788322362
0.7147	-5.688105886859326
0.7151	-5.65843146597663
0.7156	-5.684310719738916
0.7164	-5.688347619238634
0.7169	-5.6550497817137595
0.7173	-5.655708927778269
0.7182	-5.635439444475581
0.7186	-5.5880617655237526
0.719	-5.588275553549595
0.7195	-5.579103351246763
0.7204	-5.572434713156231
0.7213	-5.580644762611714
0.7218	-5.593522641826324
0.7222	-5.606245608323756
0.7231	-5.662869807105337
0.7236	-5.6839724690114295
0.724	-5.67040410309055
0.7245	-5.662505808969605
0.7249	-5.640585926000228
0.7257	-5.601098381734374
0.7262	-5.567358962417358
0.7266	-5.533492373912766
0.727	-5.511979208285569
0.7279	-5.533921824770745
0.7283	-5.559248177989773
0.7288	-5.552235288247943
0.7297	-5.5927361617717795
0.7301	-5.629155103988953
0.7306	-5.628100754703657
0.731	-5.645841235101474
0.7319	-5.628431226361933
0.7323	-5.63140145640798
0.7327	-5.6475149399981674
0.7336	-5.650167451018688
0.7341	-5.637605236646876
0.7345	-5.680625174694132
0.735	-5.662181487123813
0.7358	-5.70769491757094
0.7363	-5.703600854312616
0.7368	-5.705641392236453
0.7372	-5.737679864445219
0.7381	-5.777651700884975
0.7385	-5.781472331274733
0.739	-5.854750845089293
0.7399	-5.8227647122588255
0.7403	-5.826870107767473
0.7408	-5.814890900452448
0.7417	-5.802500686811903
0.7421	-5.821376051697135
0.7425	-5.829806187063531
0.7434	-5.800260466474369
0.7438	-5.8470794898792136
0.7443	-5.862244764749557
0.7452	-5.851859081227369
0.7456	-5.8582087936006975
0.7461	-5.841197352432163
0.747	-5.801232618459838
0.7474	-5.77405187712309
0.7479	-5.748879515620533
0.7488	-5.742592989140626
0.7497	-5.765976482978899
0.7501	-5.747932340095858
0.7506	-5.758753373212477
0.7514	-5.769508740438956
0.7519	-5.793355138554736
0.7523	-5.775485018045921
0.7532	-5.752104047539639
0.7537	-5.770964110613002
0.7542	-5.78043817939844
0.7551	-5.765131980335618
0.7556	-5.766644692637443
0.7561	-5.7320984411274365
0.7565	-5.735809583756193
0.7574	-5.725842340802188
0.7578	-5.707437305873044
0.7583	-5.711399444552053
0.7587	-5.684127623961903
0.7597	-5.672471271698097
0.7601	-5.675179314896351
0.7606	-5.678109254386888
0.7616	-5.703331539835684
0.762	-5.716776316636023
0.7625	-5.751092810833907
0.7634	-5.783485825789918
0.7638	-5.813876171156075
0.7643	-5.859878673520833
0.7652	-5.879475750737215
0.7656	-5.904380655133359
0.7661	-5.947974415446826
0.767	-5.959631424558973
0.7675	-5.9511046402543695
0.768	-5.971381151318903
0.7689	-5.961865949997465
0.7694	-5.979321877525102
0.7698	-5.932840166873477
0.7708	-5.864309925936606
0.7712	-5.8126105421957295
0.7717	-5.805468073988053
0.7727	-5.725523790594901
0.7731	-5.708596288939018
0.7736	-5.656246934956778
0.7741	-5.64851177456819
0.775	-5.646869966382308
0.7755	-5.647948793680427
0.776	-5.621822829264128
0.7769	-5.666664857134653
0.7774	-5.657505733876077
0.7778	-5.658392136102658
0.7788	-5.661426993208427
0.7792	-5.67341474009798
0.7797	-5.676193063181959
0.7807	-5.725654486743986
0.7811	-5.757555548426436
0.7816	-5.782243549300999
0.7821	-5.82762863079735
0.7831	-5.855124483893602
0.7835	-5.8671497062758045
0.784	-5.852300089942797
0.7845	-5.849685505134088
0.7854	-5.838049582227174
0.7859	-5.826624884348019
0.7864	-5.803080973528293
0.7873	-5.811938458032289
0.7878	-5.838468776900511
0.7882	-5.8729693267061425
0.7891	-5.867421446974553
0.7897	-5.833947407732403
0.7901	-5.831996394324665
0.7911	-5.846355302484545
0.7916	-5.869604925360145
0.792	-5.874884191242428
0.7925	-5.863658235432088
0.7935	-5.827462846160377
0.794	-5.838633205939987
0.7944	-5.866514476463216
0.7949	-5.840045242778613
0.7959	-5.82321486725825
0.7964	-5.774759818242191
0.7968	-5.763875677187065
0.7978	-5.790807933309904
0.7982	-5.795044103042219
0.7987	-5.784823814248859
0.7997	-5.834006954570102
0.8002	-5.84303103611001
0.8006	-5.867289537055002
0.8011	-5.876686499518283
0.8021	-5.886286984341888
0.8026	-5.853756306156481
0.803	-5.842400892705874
0.804	-5.803054710279463
0.8045	-5.830068765188839
0.805	-5.792016307137268
0.8055	-5.800627580677971
0.806	-5.781711510590508
0.807	-5.8204836475501525
0.8074	-5.834324691131221
0.8079	-5.879001424218719
0.8089	-5.874701676488002
0.8093	-5.931360840767978
0.8098	-5.9333556093463145
0.8103	-5.92207492759818
0.8112	-5.9011885663527
0.8117	-5.874986528892736
0.8122	-5.830343987374252
0.8131	-5.791735065955225
0.8136	-5.788530066537474
0.8141	-5.788517306349088
0.815	-5.871093590990942
0.8155	-5.913444345301989
0.816	-5.949942799300232
0.8164	-5.9859697387727016
0.8174	-5.9761266888811395
0.8179	-5.996421197807697
0.8184	-5.970427879741504
0.8189	-5.9211958757779435
0.8198	-5.925223196756311
0.8203	-5.907011684229573
0.8208	-5.882747041968721
0.8217	-5.847901074317691
0.8222	-5.809739502818359
0.8227	-5.814661934242777
0.8232	-5.82179082264
0.8241	-5.788448023667605
0.8246	-5.793328648794109
0.8251	-5.834413139139396
0.826	-5.8972435906439244
0.8265	-5.894818592740467
0.827	-5.899211642235416
0.8275	-5.91187666608933
0.8284	-5.959134352257009
0.8288	-5.949857541724878
0.8293	-5.920674611768724
0.8298	-5.892280459292669
0.8308	-5.934908710865283
0.8312	-5.957688076122088
0.8317	-5.960989215142747
0.8327	-5.94903902124827
0.8332	-5.947202642964048
0.8336	-5.957294238010808
0.8341	-5.970514534511725
0.8351	-5.955646467207076
0.8356	-5.956169958869719
0.8361	-5.959801479218724
0.837	-5.944354781832063
0.8375	-5.95282094967903
0.838	-5.955521107342604
0.8385	-5.93559247342777
0.8394	-5.920916693383888
0.8399	-5.927277274989361
0.8404	-5.914528505840609
0.8413	-5.908122348899425
0.8418	-5.90234469151022
0.8423	-5.872297499489819
0.8432	-5.856824870527621
0.8437	-5.8818452443013145
0.8442	-5.892242554297672
0.8451	-5.917888370318708
0.8456	-5.953059460827733
0.8461	-5.971725846881819
0.8465	-5.977960627281847
0.8475	-6.011177749026459
0.848	-5.987424013209228
0.8485	-5.989235965988688
0.8494	-6.00464158633609
0.8499	-5.9862594263718085
0.8504	-6.014838056644077
0.8508	-6.076656643125759
0.8518	-6.082838797165015
0.8522	-6.05374230888954
0.8527	-5.986979676832675
0.8532	-5.944150919721357
0.8542	-5.950257764887599
0.8547	-6.001886267363042
0.8551	-6.021523158052458
0.8561	-6.031213459968077
0.8566	-6.1028921482908185
0.8571	-6.193622049155337
0.858	-6.196002344178612
0.8585	-6.172032225325319
0.859	-6.119910085826246
0.8599	-6.068763466346908
0.8604	-6.059904784330641
0.8609	-6.031655904256867
0.8613	-6.046293454363168
0.8623	-6.004015769624641
0.8628	-6.020130956427078
0.8632	-5.992164640797592
0.8641	-5.990448007673995
0.8646	-5.995323647512437
0.8652	-5.960996285043011
0.8661	-5.921439639375253
0.8666	-5.980095735501462
0.8671	-5.99164119723872
0.868	-5.99734718178206
0.8685	-6.005240448708511
0.869	-6.038536018226333
0.8699	-6.0919654192955495
0.8704	-6.117633398426375
0.8709	-6.143067567214214
0.8714	-6.132568100950613
0.8723	-6.146300203641382
0.8727	-6.133102482709397
0.8732	-6.094399325736585
0.8737	-6.089113641151178
0.8747	-6.094531083265902
0.8756	-6.088689995083608
0.8761	-6.105242964096032
0.8766	-6.128173991678213
0.8775	-6.1489834077501335
0.878	-6.178988365571744
0.8784	-6.189601627614966
0.8794	-6.176099889420586
0.8799	-6.150674648405529
0.8803	-6.13957652145803
0.8812	-6.128015617262473
0.8817	-6.132806879888294
0.8822	-6.142270305125699
0.8827	-6.136818830597108
0.8836	-6.1247281967608185
0.8841	-6.138080455508693
0.8846	-6.129859277630237
0.8856	-6.103394240646345
0.8861	-6.132855818029371
0.8866	-6.13293982344141
0.8875	-6.156226278847011
0.8879	-6.181551074774131
0.8884	-6.208157989280178
0.8888	-6.256470476927779
0.8898	-6.273587159235504
0.8903	-6.244208214195547
0.8907	-6.249571723508384
0.8917	-6.251860433657451
0.8922	-6.254151130786159
0.8927	-6.277402974449641
0.8932	-6.2814016383559945
0.8941	-6.318656873435472
0.8946	-6.322982221373176
0.8955	-6.303316418509034
0.8959	-6.317337920045415
0.8964	-6.332686152714502
0.8974	-6.244753322890077
0.8978	-6.218650696903938
0.8983	-6.19762426144455
0.8993	-6.242535500264354
0.8997	-6.244130222844831
0.9002	-6.178369688417198
0.9007	-6.144661785824908
0.9016	-6.206446404676889
0.9021	-6.2171415275912425
0.9026	-6.19500558517885
0.9036	-6.162609017090046
0.9041	-6.1922103048089925
0.9045	-6.244636135224615
0.9055	-6.211823248495076
0.9059	-6.193745097223593
