# Temperature (K)	$\Delta c_{33}/c_{33}$ ($10^{-5}$)
0.4246	-0.061467728382863275
0.4265	-0.08978436176300694
0.4303	-0.08416413441447673
0.4321	-0.1124300911640233
0.434	-0.14835701102616497
0.4358	-0.15110942113412804
0.4377	-0.1632744436924695
0.4412	-0.21092086743371874
0.443	-0.16895323595067996
0.4465	-0.13820828988169792
0.4482	-0.11075656045315008
0.4498	-0.11552118840767699
0.453	-0.08416450138181494
0.4561	-0.057486545204459526
0.4576	0.0020974942196702842
0.459	-0.04462946258593213
0.4604	-0.047972658660242216
0.4618	-0.08400139376463298
0.4644	-0.0712340152733296
0.4668	-0.1353356044907694
0.468	-0.19538280087064028
0.4691	-0.2305721436292963
0.4702	-0.22594646894640447
0.4722	-0.25069866527441836
0.4732	-0.27502862258964
0.4742	-0.3373811376716928
0.4745	-0.33619797122668826
0.4746	-0.2614481729367633
0.4747	-0.22487859232041088
0.4748	-0.18785700577561942
0.4749	-0.14467238612892988
0.4751	-0.07345694323699659
0.4752	-0.010686763397693724
0.4753	0.03698630892947898
0.4754	0.039582044670323675
0.4755	0.000545430755700811
0.4756	-0.0025738183895929584
0.4757	0.010059729269344328
0.4758	0.004646463739949978
0.4759	-0.005234706868134752
0.476	-0.0738632410719158
0.4762	-0.08555990390045702
0.4763	-0.06727922604375174
0.4764	-0.07699896002394699
0.4766	-0.10916241314987474
0.4768	-0.14412358928221697
0.4769	-0.1866719694343879
0.477	-0.11882645355872239
0.4771	-0.15761893244840122
0.4772	-0.19476098910194806
0.4773	-0.1585256447702921
0.4774	-0.18965872608712164
0.4775	-0.17489960760894635
0.4777	-0.16905381196425648
0.4778	-0.27937494462602014
0.4779	-0.25402425850239635
0.4781	-0.25489053831063807
0.4783	-0.3287797134861753
0.4785	-0.31794045160418294
0.4786	-0.4064082760350677
0.4787	-0.3192320097178657
0.4788	-0.32226921394045294
0.4789	-0.33751353860557876
0.479	-0.37779035694701224
0.4793	-0.41101446973504263
0.4794	-0.4085829532440222
0.4796	-0.349161827847467
0.4797	-0.4311319537543427
0.4798	-0.3281294963754909
0.4799	-0.344180439930899
0.48	-0.2627259241028314
0.4802	-0.1986006408317746
0.4803	-0.20187675985735465
0.4804	-0.19224927796052202
0.4808	-0.15199663834156757
0.4809	-0.16309578870507893
0.4811	-0.17090360664857712
0.4812	-0.18923542515498662
0.4813	-0.20781373680817908
0.4814	-0.20923903973607164
0.4815	-0.2415730190742878
0.4816	-0.26678626014775697
0.4817	-0.28225750592520266
0.4822	-0.284671257259699
0.4825	-0.3506570959334005
0.4828	-0.36344850680671276
0.483	-0.3611527128296491
0.4833	-0.3766361150564322
0.4835	-0.45920839146973025
0.4836	-0.5302752838935411
0.4838	-0.543662481933262
0.4839	-0.4753990500875931
0.4841	-0.45927874480138214
0.4842	-0.44111323932216506
0.4844	-0.433896785825838
0.4848	-0.3378102789525403
0.485	-0.29740169207375555
0.4854	-0.31100620254127315
0.4856	-0.3229698121925403
0.4857	-0.3396174020241209
0.4859	-0.33331483215661095
0.4861	-0.36292560330953966
0.4864	-0.43981486801682645
0.4865	-0.3945285983864246
