# Temperature (K)	Delta c33/c33 (1e-5)
0.5427	-0.43846389392618423
0.5429	-0.43310507344563476
0.5433	-0.41918511933892333
0.5436	-0.41673598309516624
0.544	-0.41843285130817964
0.5442	-0.43125808654664244
0.5444	-0.4435821636782622
0.5449	-0.44450776553228266
0.5451	-0.44821976464787916
0.5453	-0.46064414837880197
0.5455	-0.45889879054815275
0.546	-0.45086032630133666
0.5462	-0.43993030107829867
0.5464	-0.4303234396756057
0.5468	-0.4313300379397962
0.5471	-0.42627687664594127
0.5473	-0.42179722052140534
0.5477	-0.4236276388786395
0.5479	-0.42955777361405634
0.5484	-0.4236600200954541
0.5486	-0.4221933981998536
0.5488	-0.4229695409984551
0.549	-0.42553553432813374
0.5494	-0.42903469469519884
0.5496	-0.43107882715813695
0.5497	-0.43075850386927605
0.5502	-0.43116883382457605
0.5506	-0.42246235223228634
0.5508	-0.41210092524115804
0.5512	-0.3988574905027873
0.5514	-0.39001288035859805
0.5516	-0.3802277577277424
0.5519	-0.37603079746852774
0.5521	-0.3810845692500484
0.5523	-0.3843327869968114
0.5527	-0.3895673315940176
0.5529	-0.40256957199880183
0.5533	-0.4058450324066003
0.5535	-0.4075677037941041
0.5537	-0.4086090587126927
0.5541	-0.40489367567430623
0.5542	-0.41603590040613003
0.5544	-0.42825832987750534
0.5548	-0.43545933290700933
0.555	-0.44774220489626515
0.5554	-0.4591312469167228
0.5555	-0.46883425883470053
0.5559	-0.483745840928421
0.5561	-0.49137646768486754
0.5563	-0.49156217584822404
0.5567	-0.48484290745492054
0.5569	-0.4782532993799622
0.5571	-0.4695500825050791
0.5575	-0.46067646054715716
0.5577	-0.4516415707358954
0.5579	-0.43706660612367365
0.5581	-0.41980225110225433
0.5584	-0.4176766390943003
0.5586	-0.417179262444777
0.559	-0.41499068882976964
0.5592	-0.4060749631534719
0.5594	-0.3934893201901968
0.5598	-0.38636015837344306
0.5599	-0.3841455142350112
0.5601	-0.3721739456196014
0.5605	-0.3718243826538439
0.5607	-0.3791499110842631
0.5609	-0.38852191223389543
0.5613	-0.3958472624998315
0.5615	-0.40252548264722776
0.5619	-0.4120230570532124
0.562	-0.4293785559793477
0.5622	-0.4457940741774129
0.5626	-0.45254223329573673
0.5628	-0.4641190083394715
0.563	-0.4777478144843794
0.5632	-0.4844692565872517
0.5636	-0.48657332952365717
0.5638	-0.4849470440821495
0.564	-0.47311133251134674
0.5644	-0.46829449070819784
0.5646	-0.4589389714472185
0.5648	-0.45199394992787045
0.565	-0.45053236630348703
0.5654	-0.4555300320418505
0.5656	-0.4621134641334672
0.566	-0.4641701408981067
0.5662	-0.46208440988135724
0.5664	-0.47134046612235814
0.5667	-0.47298367424856913
0.5671	-0.4742322963093777
0.5673	-0.4753178932375093
0.5677	-0.47483603837061406
0.5679	-0.4802086329856232
0.5681	-0.4817198236100273
0.5683	-0.4745900046088476
0.5687	-0.47005019174547336
0.5689	-0.47851117600105475
0.5693	-0.4795156138044998
0.5695	-0.4770255615516179
0.5697	-0.4658136687471126
0.5699	-0.46056691681346607
0.5704	-0.4490413612767892
0.5706	-0.4406459152373001
0.571	-0.41946689947161975
0.5712	-0.4035342123247396
0.5717	-0.3922356959672122
0.5721	-0.39341745538864625
0.5723	-0.39099477643114877
0.5725	-0.3963194505125971
0.5727	-0.4088076999297616
0.5732	-0.4217153782062413
0.5734	-0.4434753571768155
0.5738	-0.4658689885753047
0.574	-0.47070293601647517
0.5742	-0.4828151003778265
0.5746	-0.49571397943612006
0.5749	-0.4973664429904856
0.5751	-0.49436040404963144
0.5756	-0.47430594108207025
0.5758	-0.45487718254244314
0.5762	-0.4418719620884346
0.5765	-0.43447995106366655
0.5767	-0.43196727072507546
0.5771	-0.4340518075849138
0.5774	-0.435185243420686
0.5778	-0.4486688635372378
0.578	-0.4557497101598651
0.5784	-0.4771000902814446
0.5787	-0.482781034932664
0.5791	-0.4747274566409798
0.5793	-0.4665489698901766
0.5798	-0.47000246432886783
0.58	-0.4705546391654325
0.5803	-0.46207544384672516
0.5805	-0.4522990879908644
0.581	-0.44729326373180367
0.5812	-0.4431057924283044
0.5814	-0.4417806588101074
0.5819	-0.4283603160972822
0.5821	-0.4224035806090507
0.5823	-0.4235964248607207
0.5828	-0.4168434460049051
0.5831	-0.4198463153949614
0.5836	-0.42934241136092943
0.5838	-0.43748536705636454
