# Temperature (K)	$\Delta c_{33}/c_{33}$ ($10^{-5}$)
0.311	20.090517599645043
0.3111	20.008876292694357
0.3112	19.882762087480508
0.3113	19.889379069055327
0.3114	19.912874092528547
0.3115	19.9321753340779
0.3116	19.939455179838482
0.3117	20.017730956922065
0.3118	20.128786415302937
0.3119	20.19472757288331
0.312	20.2103511911278
0.3121	20.17680978379692
0.3122	20.195542556384776
0.3123	20.162597990004592
0.3124	20.060068743048706
0.3125	20.073252145180348
0.3126	20.109051252088594
0.3127	20.022806217228915
0.3128	20.058351802322008
0.3129	20.09169284170852
0.313	20.10079468155983
0.3131	20.252223336915062
0.3132	20.265796518724333
0.3133	20.248289241208102
0.3134	20.297419319821213
0.3135	20.251893117575413
0.3136	20.22911581671542
0.3137	20.152835699770208
0.3138	20.078010604123694
0.3139	19.990447703872213
0.314	19.98262775932717
0.3141	20.00281733045494
0.3142	20.042765586317593
0.3143	20.08017010972697
0.3144	20.190798507412456
0.3145	20.158261628765416
0.3146	20.19897201723387
0.3147	20.218523535185035
0.3148	20.240184594582004
0.3149	20.20483680242692
0.315	20.241043357190165
0.3151	20.20202619379423
0.3152	20.174357653005266
0.3153	20.168388497323853
0.3154	20.15948823797032
0.3155	20.17339063835706
0.3156	20.264480440514333
0.3157	20.195840085348195
0.3158	20.202331090042392
0.3159	20.254871921275026
0.316	20.248842022816564
0.3161	20.25695530349791
0.3162	20.233489860972192
0.3163	20.164285427809435
0.3164	20.17008140436425
0.3165	20.172851489926927
0.3166	20.208745126703214
0.3167	20.28185407584603
0.3168	20.252575298352212
0.3169	20.216200400007732
0.317	20.150437894439012
0.3171	20.11869385269499
0.3172	20.087872486723064
0.3173	20.081882559023768
0.3174	19.974064790850953
0.3175	19.925439855948028
0.3176	19.84792166001197
0.3177	19.897646080308892
0.3178	19.869174208037897
0.3179	19.877377748078445
0.318	19.846241913889756
0.3181	19.900980377048462
0.3182	20.00764791418043
0.3183	20.13530061133713
0.3184	20.133781825880344
0.3185	20.212455148900855
0.3186	20.158188246740703
0.3187	20.162906559349686
0.3189	20.1942611055601
0.319	20.1877861871734
0.3191	20.211014206911162
0.3192	20.275897748719654
0.3193	20.223587598399572
0.3194	20.273762387488055
0.3195	20.291311612525387
0.3196	20.31781502579819
0.3197	20.335943644843407
0.3198	20.32533371479017
0.32	20.277729215124342
0.3201	20.283480607396903
0.3202	20.26480293100048
0.3204	20.319165283027946
0.3205	20.321809565271288
0.3206	20.348305204449495
0.3207	20.371013992075337
0.3208	20.406493950114488
0.3209	20.436681972591195
0.321	20.51521987792871
0.3211	20.426406474326583
0.3212	20.334763647158912
0.3213	20.279200957712384
0.3214	20.223730087759627
0.3215	20.18068715585361
0.3216	20.13982137369321
0.3217	20.091827767839884
0.3218	20.127029174357094
0.3219	20.16046280531345
0.322	20.185650887797816
0.3221	20.185039640691596
0.3222	20.195755002702644
0.3223	20.15338760656797
0.3224	20.124010631340095
0.3225	20.058287592506964
0.3226	20.024009043981486
0.3227	20.003068493421857
0.3228	19.985860957852626
0.3229	19.961022621754342
0.323	20.016779883563682
0.3231	19.96800056663618
0.3232	20.088657223175492
0.3233	20.135092155973805
0.3234	20.086995362635186
0.3236	20.097710384061127
0.3237	20.19247911907669
0.3238	20.256797750582983
0.3239	20.377943517531843
0.3241	20.312406644659983
0.3242	20.356852203297183
0.3243	20.3421673454308
0.3244	20.44612165916507
0.3245	20.388768861560298
0.3246	20.36928556860655
0.3247	20.24387079864324
0.3248	20.158003088304227
0.325	20.117946884406177
0.3251	20.0321806410571
0.3252	19.95792111867924
0.3254	19.999495037873242
0.3255	19.9144716031707
0.3257	20.038546990901548
0.3259	20.134500501808795
0.3261	20.052899741253203
0.3263	20.196701225240698
0.3264	20.079986049244816
0.3266	19.950462619267373
0.3267	20.06001100223089
0.3269	19.98021293218055
0.327	19.91856758109068
0.3271	20.019620732393435
0.3272	19.95007040170188
0.3274	19.968897612373244
0.3276	20.089587421295093
0.3277	19.993333480439258
0.3279	19.921701332622145
0.3281	20.01690124226594
0.3283	19.923927303645485
0.3286	19.890997557367648
0.3288	19.934550425592317
0.329	19.842548942022216
0.3292	19.803594901910543
0.3294	19.99581609134673
0.3296	19.844643567592087
0.3297	19.8986055075295
0.3299	19.95874592826156
0.3301	19.8917226531021
0.3302	19.999703899472692
0.3303	19.966804912520605
0.3307	19.85198417947332
0.3309	19.963143175439278
0.3311	19.983695564393848
0.3322	20.08467832492543
0.3333	20.314012454084956
0.3362	20.352023689066883
0.3378	20.5882285979961
0.3396	20.712437418643315
0.3416	20.794276560484516
0.3437	20.87787731706876
0.3484	20.87222551476375
0.3509	20.788104144071717
0.3536	20.708675647484363
0.3564	20.596093003676536
0.3593	20.507141291678014
0.3653	20.411925324802315
0.3683	20.29959905245512
0.3712	20.21070371948943
0.374	20.135827468587557
0.3795	20.07914354557137
0.382	20.074348105351927
0.3844	20.084792908975416
0.3868	20.09787786658594
0.3912	20.16380906657767
0.3933	20.225807422603644
0.3953	20.310323925419457
0.3973	20.348255790483897
0.3993	20.36697716197884
0.4033	20.33341976826792
0.4053	20.329112325971355
0.4073	20.268411001880033
0.4112	20.276862301852688
0.4132	20.296661225187897
0.4152	20.2949236184275
0.4171	20.282092460206176
0.4191	20.375345827869104
0.423	20.400278530931484
0.425	20.465489626123343
0.4269	20.449756983308262
0.4288	20.434567825904526
0.4327	20.46574430045162
0.4345	20.489386486106653
0.4364	20.430501361552835
0.4401	20.469540430412586
0.4419	20.488399683819473
0.4438	20.474459104951812
0.4455	20.477602159231964
0.4473	20.523579627716924
0.4507	20.53672150170062
0.4524	20.58906955085526
0.454	20.52848265475917
0.4556	20.47527398129275
0.4587	20.495751727294742
0.4601	20.485411881063975
0.4615	20.43055134941019
0.4642	20.38316403219132
0.4655	20.36651915648073
0.4668	20.37506098100786
0.468	20.362678835683916
0.4691	20.290043746509962
0.4714	20.191960279633726
0.4725	20.146506901395842
0.4735	20.10901356517414
0.474	20.137197397938245
0.4741	20.132527766371382
0.4742	20.187149662489002
0.4743	20.255216489701983
0.4744	20.344257434691688
0.4745	20.420968825850785
0.4746	20.46961476827372
0.4747	20.49740638218041
0.4748	20.533268579580405
0.4749	20.538741670354206
0.475	20.5911500171512
0.4751	20.551145625801837
0.4752	20.52383457768406
0.4754	20.602385829672738
0.4755	20.559152705907977
0.4757	20.538160547648282
0.4758	20.478735655279145
0.4759	20.376483733636647
0.4761	20.383980233188222
0.4762	20.38308112167476
0.4764	20.294880601980967
0.4765	20.275146753103442
0.4767	20.310778731291602
