# Temperature (K),alpha_33
0.3533,-1.6991546637013641
0.3534,-1.6909582868477813
0.3535,-1.6808621065586067
0.3536,-1.697665825859879
0.3537,-1.693464400283542
0.3538,-1.6966284126809796
0.3539,-1.634950125777614
0.354,-1.7060822819687083
0.3541,-1.6549924524128805
0.3542,-1.6900586122196835
0.3543,-1.6802845773344117
0.3544,-1.682464053105278
0.3547,-1.696983721285477
0.355,-1.6856497181735897
0.3553,-1.68388670954905
0.3558,-1.6797488691152864
0.3561,-1.6811706745718382
0.3567,-1.6774501991055075
0.3571,-1.6646149396236218
0.3575,-1.6510052306395835
0.358,-1.6383262254003128
0.3587,-1.6252594275242487
0.3593,-1.6145717129664483
0.3599,-1.6118187617206168
0.3608,-1.6259275016532087
0.3614,-1.6302718241859182
0.3623,-1.6133804916784946
0.363,-1.5962802001014609
0.3638,-1.5929329539429986
0.3646,-1.5923029183741377
0.3656,-1.5900583414685379
0.3665,-1.585299585724215
0.3677,-1.584751369177976
0.3685,-1.5782292328119816
0.3695,-1.595032320110839
0.3707,-1.607142044986368
0.3716,-1.6042617203645264
0.3726,-1.5989995076617305
0.3735,-1.589425937374667
0.3748,-1.5778530351810431
0.3758,-1.5852463137641983
0.3768,-1.5799281723722203
0.3781,-1.582917854581062
0.379,-1.5686216890015672
0.3804,-1.58133433754589
0.3814,-1.58236050463654
0.3824,-1.5844743600037035
0.3833,-1.5757214586843205
0.3846,-1.572793866978607
0.3855,-1.5666785963102612
0.3865,-1.5660746591935677
0.3877,-1.5628386317010836
0.3886,-1.5496404077778045
0.3896,-1.5577343831122015
0.3908,-1.5555646233406826
0.3917,-1.5735670969005824
0.3929,-1.5732557790347776
0.3937,-1.5822586961076972
0.3946,-1.5746300165237948
0.3954,-1.5651705931535425
0.3966,-1.558990766596569
0.3974,-1.5400394396466695
0.3984,-1.5489071557336054
0.3992,-1.5393092985653567
0.4,-1.5512073991732294
0.4008,-1.552381271234605
0.4018,-1.5548019373214608
0.4025,-1.5446550780760795
0.4035,-1.5414157227377423
0.4042,-1.5494469607119967
0.4049,-1.5438081586872663
0.4058,-1.546353671165857
0.4065,-1.5371803995557656
0.4072,-1.538882325364039
0.4081,-1.5201049935702713
0.4087,-1.5269568129043414
0.4094,-1.5276765296344692
0.4102,-1.534232686970249
0.4108,-1.5278760939891072
0.4115,-1.5290539938841654
0.4123,-1.5267190818815415
