# Temperature (K),alpha_33
0.4242,-16.00250644198487
0.4247,-16.00006603111622
0.4254,-15.974328693736979
0.426,-15.960446672386482
0.4267,-15.958231464457462
0.4272,-15.923163814446
0.4278,-15.935077911706898
0.4283,-15.922930469851273
0.4291,-15.928386612046893
0.4296,-15.90627478553634
0.4302,-15.916982799200873
0.4309,-15.889958933414157
0.4315,-15.890396776002966
0.4321,-15.879394621390922
0.4328,-15.840584684125922
0.4334,-15.865933017467832
0.434,-15.84829987571306
0.4348,-15.82769776332978
0.4354,-15.824593424778989
0.436,-15.831403164833176
0.4368,-15.83083187211848
0.4374,-15.795013027781565
0.438,-15.759799266621073
0.4389,-15.757033909047088
0.4395,-15.769024259732362
0.4401,-15.760858581175157
0.4409,-15.754915276981649
0.4416,-15.757361757682453
0.4422,-15.723359518256537
0.4431,-15.726147806781235
0.4437,-15.69961089030825
0.4443,-15.685076288889
0.4452,-15.681296415729534
0.4459,-15.673721319227923
0.4465,-15.662812193965138
0.4474,-15.6761748869054
0.4481,-15.657945484441214
0.4487,-15.671934187726116
0.4496,-15.659263849427077
0.4503,-15.626803956925649
0.4509,-15.589173463859574
0.4518,-15.5863428988132
0.4525,-15.573882204741274
0.4532,-15.547625255002977
0.4541,-15.5536432252836
0.4547,-15.549489587907786
0.4554,-15.540469911653801
0.4561,-15.52175674283668
0.4571,-15.499173262463515
0.4578,-15.489976691357832
0.4584,-15.473189300027954
0.4591,-15.453511833649145
0.46,-15.48385850748312
0.4607,-15.477409580707366
0.4613,-15.442284329869466
0.462,-15.448163423112163
0.4629,-15.445418616889533
0.4636,-15.419284616590033
0.4643,-15.366287313909403
0.4652,-15.38113052748178
0.4659,-15.367606646885292
0.4665,-15.357395736894041
0.4674,-15.334868592857958
0.4681,-15.325266178276422
0.4687,-15.333185686312355
0.4696,-15.315386306990668
0.4703,-15.297033271319258
0.471,-15.301081371814611
0.4718,-15.291807571955317
0.4725,-15.278310101017986
0.4732,-15.26250228374203
0.4738,-15.270489369566882
0.4747,-15.268760112758734
0.4754,-15.239037470522788
0.476,-15.215404223439478
0.4767,-15.222577796069828
0.4776,-15.204906732172688
0.4782,-15.183529951697444
0.4789,-15.172528049781015
0.4798,-15.171440927528671
0.4804,-15.146692478291904
0.481,-15.151223666175653
0.4818,-15.153093219556084
0.4825,-15.111047118194435
0.4831,-15.113527531653112
0.484,-15.071437664836168
0.4846,-15.07028343378171
0.4853,-15.063553475643232
0.4859,-15.045470447430887
0.4868,-15.045007066378439
0.4875,-15.03887706358914
0.4881,-15.021309347987845
0.489,-14.989149357449854
0.4896,-15.002299195568746
0.4903,-14.997492945883828
0.4909,-14.970935253518853
0.4918,-14.954597720014306
0.4925,-14.9407542180182
0.493,-14.945276643296495
0.4939,-14.92223167665827
0.4946,-14.917014525179049
0.4952,-14.900111661726413
0.4961,-14.873624772460424
0.4968,-14.852346005276779
0.4974,-14.853040511789956
0.4983,-14.839031010995676
0.499,-14.825815095822229
0.4996,-14.84652517102166
0.5002,-14.840870525260911
0.5011,-14.821315816698828
0.5017,-14.788391041866802
0.5024,-14.771706707757936
0.503,-14.747812187469776
0.5038,-14.761627391192064
0.5045,-14.746323263523998
0.5052,-14.743406939862169
0.5058,-14.74669779083596
0.5066,-14.71991052097139
0.5073,-14.715393228136037
0.5079,-14.700767474128618
0.5086,-14.686664415944492
0.5095,-14.64866929627074
0.5101,-14.661759227736887
0.5107,-14.652357264060868
0.5113,-14.637352995005195
0.5122,-14.626999954353948
0.5128,-14.59874087935738
0.5134,-14.60805244789912
0.5143,-14.601585189797632
0.5149,-14.574748953122999
0.5155,-14.551710940522227
0.5162,-14.53671079402389
0.517,-14.542725440407445
0.5177,-14.51618759475899
0.5183,-14.509188172891456
0.5192,-14.48413365445684
0.5198,-14.46772317115326
0.5205,-14.45805910945996
0.5211,-14.464587046809008
0.522,-14.46074728046829
0.5226,-14.448756854301315
0.5232,-14.435635715396877
0.5239,-14.40921483677571
0.5248,-14.399684739782579
0.5254,-14.388671635215026
0.5261,-14.383828978714917
0.5267,-14.379225869344744
0.5275,-14.347337124203797
