# Temperature (K),alpha_33
0.35,-4.8813983665926095
0.3501,-4.883711532274479
0.3502,-4.8953134825918205
0.3503,-4.890139999046664
0.3504,-4.880071112387217
0.3505,-4.8861155249840245
0.3507,-4.881001549745513
0.3508,-4.87966562097186
0.351,-4.874892779178726
0.3512,-4.87826282194704
0.3515,-4.885705732736717
0.3518,-4.877221783064837
0.352,-4.880955330388172
0.3524,-4.8745357704287215
0.3528,-4.865686914351382
0.3531,-4.87193463191273
0.3536,-4.876032272768651
0.354,-4.863625460591461
0.3545,-4.862152500867399
0.3551,-4.862998679721894
0.3556,-4.8561603879606565
0.3561,-4.846819392802949
0.3569,-4.852410564467057
0.3575,-4.859370620478387
0.3581,-4.861823397183983
0.359,-4.839076705470486
0.3596,-4.840423565308345
0.3603,-4.8442636113259745
0.3613,-4.8366970178816615
0.362,-4.852533338899619
0.3628,-4.852097318180334
0.3639,-4.827126088742045
0.3647,-4.8297526175641
0.3655,-4.832742322603941
0.3666,-4.827138026140496
0.3675,-4.82630864910778
0.3683,-4.81414128756121
0.3695,-4.809037877834605
0.3704,-4.8008879188910605
0.3714,-4.801878529517012
0.3726,-4.800046550642417
0.3735,-4.7947540829954
0.3744,-4.78540076566604
0.3756,-4.788108405246014
0.3765,-4.787121854935471
0.3774,-4.776214220109544
0.3787,-4.790813528197923
0.3797,-4.773181650150896
0.3806,-4.768509425419037
0.3818,-4.749757530845162
0.3827,-4.753293661304262
0.3836,-4.761965761899951
0.3848,-4.750041307395833
0.3857,-4.752136754431394
0.3866,-4.752839511149492
0.3878,-4.746374464513721
0.3886,-4.741217036999235
0.3895,-4.746797050751592
0.3906,-4.738080604890385
0.3914,-4.722576569184781
0.3923,-4.724155761185759
0.3934,-4.70999702007618
0.3942,-4.709273248759949
0.395,-4.711600654717397
0.396,-4.707284084471215
0.3968,-4.703729399842459
0.3976,-4.7147791127044165
0.3986,-4.7024024061316005
0.3993,-4.710387330544197
0.4,-4.701775808544422
