# Temperature (K),alpha_33
0.3456,-9.852271401291635
0.3457,-9.846450132784458
0.3458,-9.848283564947636
0.3459,-9.833950748260417
0.346,-9.845522719813992
0.3461,-9.849397437916274
0.3462,-9.84460695703709
0.3463,-9.854388958822884
0.3464,-9.839420548873818
0.3465,-9.842926283485731
0.3466,-9.834486958298815
0.3467,-9.836342578226471
0.3468,-9.838274729224427
0.3469,-9.84699891778627
0.347,-9.848728869521171
0.3471,-9.844317037775578
0.3472,-9.825317668185818
0.3473,-9.841161228740265
0.3474,-9.835349883471885
0.3475,-9.821425566591557
0.3477,-9.836392131656233
0.3478,-9.824502241565131
0.3479,-9.823412545377455
0.3481,-9.825119050433297
0.3482,-9.835420891294781
0.3483,-9.827858525139153
0.3484,-9.824453629354291
0.3485,-9.836817656346781
0.3486,-9.832082265640128
0.3487,-9.82549828491775
0.3489,-9.824610518878234
0.349,-9.825283477331695
0.3491,-9.817456556012392
0.3493,-9.822344383484342
0.3495,-9.822521128879995
0.3498,-9.826338826175174
0.35,-9.812044179856972
0.3502,-9.818300629673708
0.3503,-9.817100377901014
0.3504,-9.807459295123262
0.3505,-9.818103820301946
0.3507,-9.801445878015496
0.3509,-9.811715389789423
0.3513,-9.806083409047748
0.3517,-9.803951531658011
0.3522,-9.79530439006928
0.3527,-9.79923825582031
0.3531,-9.803116581693118
0.3537,-9.791779045929463
0.3543,-9.796092786392915
0.3549,-9.790376496516238
0.3554,-9.789140217417522
0.3562,-9.776037172097588
0.3568,-9.767532248930937
0.3575,-9.771290098919689
0.3583,-9.766106815257487
0.359,-9.760172770880558
0.3597,-9.76519523912879
0.3608,-9.75317128007421
0.3616,-9.74459655224802
0.3624,-9.742797772371059
0.3634,-9.730734677890826
0.3643,-9.727845229145125
0.3651,-9.719934323121606
0.3663,-9.706507696748528
0.3672,-9.701258936130628
0.3681,-9.695380922107283
0.3694,-9.694262324287745
0.3703,-9.673713663110487
0.3713,-9.672442792569107
0.3725,-9.668402937299739
0.3735,-9.663375456728488
0.3745,-9.645574925114037
0.3758,-9.634690781912429
0.3768,-9.639039656939811
0.3777,-9.623279978399264
0.379,-9.626454495842552
0.38,-9.62034997294905
0.381,-9.617756642098207
0.3823,-9.607458786227223
0.3832,-9.592933133406234
0.3842,-9.583538476815043
0.3854,-9.574171422462886
0.3863,-9.563903828008375
