# Temperature (K),alpha_33
0.3499,-2.566017076735431
0.3501,-2.5611548594412454
0.3502,-2.582775169595603
0.3504,-2.5967640575213053
0.3506,-2.597176280688508
0.3508,-2.6059109578136095
0.3509,-2.610172549482151
0.351,-2.606163183247105
0.3511,-2.593264861738678
0.3513,-2.5930872414031434
0.3515,-2.6024141428718437
0.3517,-2.5905403553786996
0.3518,-2.5955746600484204
0.352,-2.5899703157295306
0.3522,-2.5902521117645776
0.3525,-2.5878287032463696
0.3527,-2.5768259402915135
0.353,-2.5827410091435468
0.3533,-2.5744739888002393
0.3535,-2.577895697570497
0.3538,-2.600274909684277
0.3543,-2.598549853310132
0.3546,-2.5795366620106677
0.355,-2.5850545109037277
0.3553,-2.5805652581964296
0.3559,-2.569324524152325
0.3563,-2.5919951271959576
0.3568,-2.5866978596109433
0.3573,-2.567016015667825
0.3579,-2.5628870231191776
0.3584,-2.5768446807573078
0.3589,-2.572975146088776
0.3597,-2.5732911162257395
0.3602,-2.579290659241437
0.3608,-2.582136809388981
0.3614,-2.5609500895889212
0.3621,-2.5834436378491787
0.3629,-2.587647686341043
0.3636,-2.573479013007077
0.3643,-2.5745327586807107
0.365,-2.5578782012673678
0.3659,-2.577899101105313
0.3666,-2.5660149587256527
0.3673,-2.56317208776456
0.3681,-2.566960651394016
0.3691,-2.5628149726322
0.3699,-2.5733839730349963
0.3706,-2.553987856831334
0.3717,-2.5637180590084263
0.3725,-2.5635223532541573
0.3733,-2.551991603296699
0.374,-2.556781996402659
0.3749,-2.5760978789523463
0.3757,-2.5542195064313695
0.3768,-2.540110271488807
0.3777,-2.5429969175261142
0.3785,-2.5249078285854942
0.3793,-2.5467433027061084
0.3805,-2.538307624321426
0.3813,-2.5416272578099637
0.3821,-2.538642436532001
0.3829,-2.530435137949322
0.384,-2.5297523122743186
0.3849,-2.5393370183915636
0.3857,-2.5117433218697798
0.3865,-2.4974709701226736
0.3875,-2.524194052762944
0.3883,-2.5172224605997187
0.3891,-2.5206552443705093
0.3902,-2.5286385630198076
0.391,-2.511291407142963
0.3918,-2.5081405817708315
0.3928,-2.5205065345488293
0.3935,-2.519376050338643
0.3943,-2.5181665366702575
0.395,-2.52581772886829
0.3961,-2.5206519537983425
0.3968,-2.5223354678677268
0.3975,-2.5060283998445705
0.3985,-2.4926811822586643
0.3992,-2.48005882553219
0.3999,-2.4885214012607015
0.4006,-2.478991391913965
0.4016,-2.5260507554141896
0.4022,-2.5088740259970983
0.4032,-2.498731358414659
0.4039,-2.5030629234937685
0.4045,-2.4877153765850366
0.4051,-2.4832518741976948
0.4063,-2.463070950505429
0.407,-2.4745431194407708
0.4076,-2.4790342084618224
0.4085,-2.4835536973915637
0.4091,-2.4843771245236788
0.4097,-2.4758411849968454
0.4106,-2.478311903633305
0.4112,-2.457452716562109
0.4118,-2.4273230684564915
0.4126,-2.4553786301476705
0.4132,-2.456103199198708
0.4139,-2.465745633608716
0.4145,-2.460576384275175
0.4151,-2.4850233276072125
0.4159,-2.467720361411036
0.4165,-2.441310981165966
0.4171,-2.4497161838627655
0.418,-2.4675965253563454
0.4185,-2.4597331246937877
0.4191,-2.4603444594254036
0.4197,-2.461043517893959
0.4205,-2.4713322453766864
0.4213,-2.4671140890063548
0.4221,-2.4605629000484335
0.4227,-2.471309840425061
0.4233,-2.4476466706089326
0.4239,-2.4534743863478
0.4247,-2.438276451423736
0.4254,-2.4287962655987236
0.4259,-2.421722963638583
0.4267,-2.4226524714214612
0.4273,-2.4243404855013857
0.428,-2.4421605729506233
0.4287,-2.438579613452614
0.4293,-2.4303077873133994
0.4299,-2.4262597690218826
0.4305,-2.4250933067785176
0.4315,-2.4282761416609375
0.4322,-2.39987014331809
0.4328,-2.4202912083541577
0.4336,-2.4296672455676678
0.4343,-2.4114814547504437
0.4349,-2.423028793447976
0.4355,-2.4358339293181395
0.4363,-2.4200449707781893
0.437,-2.418944663622799
0.4376,-2.4212070426243635
0.4382,-2.4356475429261124
0.439,-2.4021799826984314
0.4397,-2.409155682362119
0.4403,-2.4125366443492027
0.4409,-2.4020989027996116
0.4418,-2.423489975934075
0.4424,-2.4043318539019616
0.443,-2.391099611462309
0.4437,-2.407257397076716
0.4445,-2.3725936691537157
0.4452,-2.371449753493934
0.4458,-2.40149388678552
0.4465,-2.3952098092301775
0.4473,-2.39668170052585
0.448,-2.393294281596887
0.4486,-2.385600672139933
0.4493,-2.371727336438962
