# T (K), dc/c (x 1e-5)
2.521100000000000119e+00,-1.011601753321692332e+00
2.520799999999999930e+00,-1.014170726805945222e+00
2.520399999999999974e+00,-1.018173891286248578e+00
2.519600000000000062e+00,-1.019146596187543885e+00
2.519200000000000106e+00,-1.010077837957949365e+00
2.518800000000000150e+00,-1.009867846868891972e+00
2.518200000000000216e+00,-1.013382713809241054e+00
2.517700000000000049e+00,-1.011318277296183066e+00
2.517199999999999882e+00,-9.988445842708421063e-01
2.516999999999999904e+00,-9.944967553898469426e-01
2.516700000000000159e+00,-9.893387462378642194e-01
2.516300000000000203e+00,-9.805181930289118553e-01
2.516099999999999781e+00,-9.691548180299109916e-01
2.515899999999999803e+00,-9.692809364215873025e-01
2.515400000000000080e+00,-9.750717998191927860e-01
2.515099999999999891e+00,-9.796176692629907645e-01
2.515000000000000124e+00,-9.862476528195353032e-01
2.514499999999999957e+00,-9.919706400446717254e-01
2.514200000000000212e+00,-9.946668139705020506e-01
2.514100000000000001e+00,-9.921214131485087684e-01
2.513700000000000045e+00,-9.889593020558952174e-01
2.513399999999999856e+00,-9.796924699539618642e-01
2.513100000000000112e+00,-9.705714936193535758e-01
2.512900000000000134e+00,-9.642237345005784110e-01
2.512500000000000178e+00,-9.566182484514218487e-01
2.512300000000000200e+00,-9.539771504536632696e-01
2.512100000000000222e+00,-9.554866862852665621e-01
2.511899999999999800e+00,-9.613851722988040471e-01
2.511800000000000033e+00,-9.633304282158013931e-01
2.511699999999999822e+00,-9.666239123221151974e-01
2.511600000000000055e+00,-9.592377279448675020e-01
2.511400000000000077e+00,-9.529725581822623415e-01
2.511299999999999866e+00,-9.482638580427837915e-01
2.511200000000000099e+00,-9.520708676628939493e-01
2.511099999999999888e+00,-9.584131946909716371e-01
2.511000000000000121e+00,-9.642280752008863809e-01
2.510899999999999910e+00,-9.711559743090252272e-01
2.510800000000000143e+00,-9.767295900338714976e-01
2.510699999999999932e+00,-9.684421742228026542e-01
2.510600000000000165e+00,-9.558072822800876001e-01
2.510499999999999954e+00,-9.466124033036174001e-01
2.510400000000000187e+00,-9.351901195083465179e-01
2.510299999999999976e+00,-9.248219602074787549e-01
2.510200000000000209e+00,-9.214406258479297396e-01
2.510099999999999998e+00,-9.171154031351479441e-01
2.509999999999999787e+00,-9.165279811865991721e-01
2.509799999999999809e+00,-9.155384708606477684e-01
2.509700000000000042e+00,-9.143717336983646637e-01
2.509500000000000064e+00,-9.152722342541541600e-01
2.509399999999999853e+00,-9.157554962439459212e-01
2.509300000000000086e+00,-9.165800384735266482e-01
2.509199999999999875e+00,-9.165068864006812310e-01
2.509100000000000108e+00,-9.179940385539795411e-01
2.508999999999999897e+00,-9.130944962981550894e-01
2.508900000000000130e+00,-9.110149568660602659e-01
2.508799999999999919e+00,-9.149776100526600953e-01
2.508700000000000152e+00,-9.252513003959582649e-01
2.508500000000000174e+00,-9.327339435956718550e-01
2.508399999999999963e+00,-9.425584039138896753e-01
2.508300000000000196e+00,-9.491479843102851310e-01
2.508100000000000218e+00,-9.528642647105982633e-01
2.508000000000000007e+00,-9.558313394477170322e-01
2.507800000000000029e+00,-9.588480897790643276e-01
2.507699999999999818e+00,-9.692892814257020317e-01
2.507600000000000051e+00,-9.750471934710096544e-01
2.507499999999999840e+00,-9.682615912590120111e-01
2.507400000000000073e+00,-9.592552752510883352e-01
2.507299999999999862e+00,-9.517938040077068562e-01
2.507099999999999884e+00,-9.339142331018112086e-01
2.507000000000000117e+00,-9.221534681502513431e-01
2.506899999999999906e+00,-9.188966114881315095e-01
2.506800000000000139e+00,-9.179571487869138124e-01
2.506699999999999928e+00,-9.204169619229322086e-01
2.506499999999999950e+00,-9.246422233338390528e-01
2.506400000000000183e+00,-9.336181140645690713e-01
2.506299999999999972e+00,-9.453683716672491855e-01
2.506200000000000205e+00,-9.485643730474789814e-01
2.506099999999999994e+00,-9.479292973189542559e-01
2.505900000000000016e+00,-9.454993261908283264e-01
