# T (K), dc/c (x 1e-5)
2.429899999999999949e+00,-1.528813758894261632e+00
2.429800000000000182e+00,-1.527398414085486378e+00
2.429699999999999971e+00,-1.525858411250491375e+00
2.429600000000000204e+00,-1.518864600383672103e+00
2.429499999999999993e+00,-1.516055095945740838e+00
2.429399999999999782e+00,-1.512773881485820926e+00
2.429300000000000015e+00,-1.511542797395349469e+00
2.429100000000000037e+00,-1.504347896787575634e+00
2.428999999999999826e+00,-1.506975203277850728e+00
2.428799999999999848e+00,-1.502149229404769359e+00
2.428700000000000081e+00,-1.501898166813026680e+00
2.428500000000000103e+00,-1.502027435696234647e+00
2.428399999999999892e+00,-1.502741224264709796e+00
2.428300000000000125e+00,-1.504330365645774936e+00
2.428199999999999914e+00,-1.507176488594210939e+00
2.428100000000000147e+00,-1.510646400267630973e+00
2.427700000000000191e+00,-1.513712884514960111e+00
2.427599999999999980e+00,-1.519470704392618554e+00
2.427500000000000213e+00,-1.522805371930651797e+00
2.427400000000000002e+00,-1.510994066371349698e+00
2.427299999999999791e+00,-1.505693257179820277e+00
2.427200000000000024e+00,-1.498131464500724430e+00
2.427099999999999813e+00,-1.493406565285196219e+00
2.427000000000000046e+00,-1.483554562135046107e+00
2.426899999999999835e+00,-1.495432990242103299e+00
2.426800000000000068e+00,-1.496124585453153077e+00
2.426699999999999857e+00,-1.494986771707552231e+00
2.426499999999999879e+00,-1.487040508125838434e+00
2.426400000000000112e+00,-1.490432069289306050e+00
2.426299999999999901e+00,-1.481301357332193147e+00
2.426200000000000134e+00,-1.484578210383978192e+00
2.426099999999999923e+00,-1.491512854519517317e+00
2.426000000000000156e+00,-1.493702422409755037e+00
2.425699999999999967e+00,-1.493969941696585924e+00
2.425499999999999989e+00,-1.488271998639360438e+00
2.425399999999999778e+00,-1.486806299357128491e+00
2.425199999999999800e+00,-1.474455849145189790e+00
2.425100000000000033e+00,-1.482189272370380673e+00
2.424999999999999822e+00,-1.473030611002853707e+00
2.424799999999999844e+00,-1.488462415343893008e+00
2.424700000000000077e+00,-1.491177605888965418e+00
2.424599999999999866e+00,-1.503212682483896279e+00
2.424500000000000099e+00,-1.491197510253210012e+00
2.424300000000000122e+00,-1.496093070791012281e+00
2.424199999999999910e+00,-1.487929937145565207e+00
2.424100000000000144e+00,-1.483074055892798615e+00
2.423999999999999932e+00,-1.469709203289458976e+00
2.423900000000000166e+00,-1.471404955064806730e+00
2.423799999999999955e+00,-1.471751163347957858e+00
2.423700000000000188e+00,-1.473194821018139145e+00
2.423599999999999977e+00,-1.474342054991517603e+00
2.423399999999999999e+00,-1.483038747844271477e+00
2.423299999999999788e+00,-1.487082097939503411e+00
2.423200000000000021e+00,-1.487331146604614185e+00
2.423000000000000043e+00,-1.484471906020506049e+00
2.422899999999999832e+00,-1.479490519531729609e+00
2.422699999999999854e+00,-1.473974302910253220e+00
2.422299999999999898e+00,-1.473346350599318955e+00
2.422200000000000131e+00,-1.467112137375905734e+00
2.421899999999999942e+00,-1.466348798693579703e+00
2.421600000000000197e+00,-1.462804166492365887e+00
2.421499999999999986e+00,-1.464147560961868821e+00
2.421300000000000008e+00,-1.461875402180834227e+00
2.421199999999999797e+00,-1.467187078616384088e+00
2.420999999999999819e+00,-1.464724977245524640e+00
2.420799999999999841e+00,-1.463990664573473044e+00
2.420599999999999863e+00,-1.462150442455599109e+00
2.420500000000000096e+00,-1.459108265059956056e+00
2.420199999999999907e+00,-1.451447796101665189e+00
2.420100000000000140e+00,-1.453324408962194614e+00
2.419999999999999929e+00,-1.452536130756478583e+00
2.419799999999999951e+00,-1.453384139402157826e+00
2.419599999999999973e+00,-1.452460292829744537e+00
2.419299999999999784e+00,-1.455862450662575691e+00
2.419099999999999806e+00,-1.455464592141545221e+00
2.418899999999999828e+00,-1.454317090049617400e+00
2.418600000000000083e+00,-1.450495865364702430e+00
2.418499999999999872e+00,-1.453939356513454628e+00
2.418200000000000127e+00,-1.458948406638336692e+00
2.418099999999999916e+00,-1.457645848422839618e+00
2.417899999999999938e+00,-1.459316627599798855e+00
2.417699999999999960e+00,-1.453413084610019279e+00
2.417499999999999982e+00,-1.447345754567846310e+00
2.417400000000000215e+00,-1.437224481480679161e+00
2.417199999999999793e+00,-1.428526807738693671e+00
2.416999999999999815e+00,-1.421182644318639499e+00
2.416799999999999837e+00,-1.421235472574927661e+00
2.416700000000000070e+00,-1.428517652555495676e+00
2.416599999999999859e+00,-1.432148850611385082e+00
2.416500000000000092e+00,-1.445210325790721395e+00
2.416399999999999881e+00,-1.448447928941487772e+00
2.416300000000000114e+00,-1.458491082237159953e+00
2.416199999999999903e+00,-1.454258791792403027e+00
2.415999999999999925e+00,-1.459072630751437893e+00
2.415799999999999947e+00,-1.466942692575338159e+00
2.415700000000000180e+00,-1.468935854897264637e+00
2.415599999999999969e+00,-1.468455056122201619e+00
2.415500000000000203e+00,-1.475357375137335447e+00
2.415399999999999991e+00,-1.470962382981380712e+00
2.415299999999999780e+00,-1.457674546777909752e+00
2.415200000000000014e+00,-1.460591669570084239e+00
2.415099999999999802e+00,-1.464380995484455994e+00
2.415000000000000036e+00,-1.457518271785311903e+00
2.414899999999999824e+00,-1.448671848147054408e+00
2.414800000000000058e+00,-1.437803481512963666e+00
2.414699999999999847e+00,-1.431036463432807215e+00
2.414600000000000080e+00,-1.412173336929826606e+00
2.414499999999999869e+00,-1.419017646324392867e+00
2.414400000000000102e+00,-1.417467321466518992e+00
2.414200000000000124e+00,-1.417797246964993985e+00
2.414000000000000146e+00,-1.409550786907611153e+00
2.413899999999999935e+00,-1.413589645821723417e+00
2.413800000000000168e+00,-1.415078154598698568e+00
2.413699999999999957e+00,-1.416078385422110175e+00
2.413600000000000190e+00,-1.423963988946660875e+00
2.413499999999999979e+00,-1.433638549669015605e+00
2.413400000000000212e+00,-1.434912591384756908e+00
2.413300000000000001e+00,-1.421241600377771697e+00
2.413199999999999790e+00,-1.425521914342220420e+00
2.413100000000000023e+00,-1.421782498614901469e+00
2.412999999999999812e+00,-1.415342266697065199e+00
2.412700000000000067e+00,-1.420964471267723184e+00
2.412599999999999856e+00,-1.426983784899678032e+00
2.412500000000000089e+00,-1.422985744432657462e+00
2.412399999999999878e+00,-1.417311154940095186e+00
2.412300000000000111e+00,-1.411501097480765132e+00
2.412199999999999900e+00,-1.391663225775246149e+00
2.411999999999999922e+00,-1.380349837514111222e+00
2.411900000000000155e+00,-1.385961554582053390e+00
2.411599999999999966e+00,-1.398564983180988097e+00
2.411500000000000199e+00,-1.407610386460074414e+00
2.411399999999999988e+00,-1.424847812337624919e+00
2.411099999999999799e+00,-1.429677163562770303e+00
2.411000000000000032e+00,-1.430488227008358093e+00
2.410899999999999821e+00,-1.424432363754940090e+00
2.410699999999999843e+00,-1.420240404313210414e+00
2.410600000000000076e+00,-1.416048758665969576e+00
2.410499999999999865e+00,-1.423252105006328261e+00
2.410299999999999887e+00,-1.414221662657763723e+00
2.410200000000000120e+00,-1.409187430462714108e+00
2.410099999999999909e+00,-1.415901418031762837e+00
2.409800000000000164e+00,-1.421547783954152600e+00
2.409699999999999953e+00,-1.416356216416082336e+00
2.409600000000000186e+00,-1.418923319481525391e+00
2.409400000000000208e+00,-1.431658296187112489e+00
2.409299999999999997e+00,-1.426794150810735129e+00
2.409199999999999786e+00,-1.419330391063945207e+00
2.409100000000000019e+00,-1.404356059352507735e+00
2.408999999999999808e+00,-1.405314590758677040e+00
2.408900000000000041e+00,-1.399411187853862870e+00
2.408799999999999830e+00,-1.398386178444681383e+00
2.408700000000000063e+00,-1.404173827075358982e+00
2.408599999999999852e+00,-1.420563890121395501e+00
2.408500000000000085e+00,-1.423284132052327955e+00
2.408300000000000107e+00,-1.414164932980464640e+00
2.408100000000000129e+00,-1.408159069502926242e+00
2.407900000000000151e+00,-1.388663221390395330e+00
2.407799999999999940e+00,-1.374052021203856055e+00
2.407700000000000173e+00,-1.377901895989415149e+00
2.407599999999999962e+00,-1.376332566491376808e+00
2.407500000000000195e+00,-1.377876378826212944e+00
2.407300000000000217e+00,-1.380208396073127508e+00
2.407200000000000006e+00,-1.388737300512494777e+00
