# Temperature (K)	Attenuation (Neper/m)
0.2998	823.4889320797232
0.2999	823.7966722033412
0.3	823.9076938756856
0.3001	824.0752146740789
0.3002	822.9679172318055
0.3003	823.5175985940317
0.3004	823.6597612344426
0.3005	822.6980171655389
0.3006	822.8797276762746
0.3007	823.6357280877606
0.3008	823.6332086786981
0.3009	823.1376736031207
0.301	823.173324041897
0.3011	822.8873778827175
0.3012	823.7915035246436
0.3013	823.6277034708014
0.3014	824.1482352316699
0.3015	823.8824914497918
0.3016	823.590352797741
0.3017	823.3214335399987
0.3018	823.9151904528861
0.3019	823.4858227931788
0.302	823.5874297296044
0.3021	823.5068278955796
0.3022	823.5369632111561
0.3023	823.4327216142699
0.3024	823.5032925745871
0.3025	823.2304168859168
0.3026	823.2046813721545
0.3027	823.688765086009
0.3028	823.9289289019459
0.3029	823.5527902369938
0.303	823.083375843133
0.3031	823.483990428593
0.3032	823.6702362726102
0.3033	823.6281749855323
0.3034	823.6424651060526
0.3035	823.4041107364087
0.3036	823.4091716500795
0.3037	823.3512044893206
0.3038	822.9662076116646
0.3039	823.0918824119766
0.304	823.5109359118171
0.3041	823.5056573816986
0.3042	823.640265755919
0.3043	823.4373708391792
0.3044	823.9654887445539
0.3045	823.9156428052095
0.3046	823.6763121654373
0.3047	823.5411912049022
0.3048	822.6033787151669
0.3049	823.5158338790096
0.305	823.4260192146465
0.3051	823.7382188030805
0.3052	823.6711172679233
0.3053	823.2923006567404
0.3054	823.2154942465261
0.3055	823.63120015097
0.3056	823.7436662973652
0.3057	823.6998319522445
0.3058	823.6651280682545
0.3059	823.8385087214037
0.306	823.6906304804141
0.3061	823.6678975511203
0.3062	824.2130809076056
0.3063	823.86898845854
0.3065	823.875937899714
0.3066	824.0527469780568
0.3067	823.4126983291391
0.3069	823.3120424977633
0.307	823.5022153600132
0.3071	823.6820776079476
0.3072	823.4385738094871
0.3073	823.4798045366092
0.3074	823.8475143438626
0.3075	823.6236530440198
0.3077	823.8852707839981
0.3078	824.0997170668425
0.308	824.240100182198
0.3082	824.1302554734792
0.3083	823.8445419214463
0.3087	823.6219342734228
0.3089	823.7961481951802
0.3097	823.8259275373472
0.3102	823.6767552312315
0.3108	823.4612085413002
0.3124	824.2160320233714
0.3134	824.1462915892215
0.3162	824.0021953652827
0.318	823.883613194103
0.3223	823.554609681196
0.3249	823.3661647806881
0.3279	823.4078014395344
0.3345	823.399052164188
0.3381	823.1739030020062
0.3418	823.320973821789
0.3497	823.4999639212347
0.3538	823.6226150856496
0.3619	823.3170952875726
