# Temperature (K)	Attenuation (Neper/m)
0.3322	869.2220528685328
0.3327	869.5958662056771
0.3332	869.6674878128005
0.3334	870.5474591454404
0.3339	870.2290613911731
0.3341	870.4425677476436
0.3342	869.5044037591814
0.3344	869.3283194459749
0.3349	870.0511908342572
0.3352	869.5351750734667
0.3354	869.2954938906257
0.336	869.9689900986648
0.3363	869.9648443798718
0.3365	870.55374948913
0.3371	870.262801060582
0.3373	871.2805945373351
0.3374	869.9534478873761
0.3376	868.9846922356628
0.3379	869.7597992062388
0.3385	869.5823271617111
0.3388	869.3429663732625
0.3391	868.8227821316765
0.3397	869.8301879830872
0.34	868.8416344036776
0.3403	869.1917882211669
0.341	868.7678997485593
0.3413	869.3842623220669
0.3416	869.6377434778063
0.3423	869.0833228589888
0.3426	869.0415729404252
0.3429	869.9553142531443
0.3436	869.8500619910383
0.344	870.6293890003185
0.3443	870.459133795646
0.345	870.0613840753034
0.3454	870.2316910113893
0.3457	870.7567631545592
0.3465	870.6413500777275
0.3469	870.1069661181298
0.3472	870.5591910684907
0.3476	870.0788090263409
0.3479	869.993743165631
0.3484	870.0804625623507
0.3489	870.8733645668016
0.3493	870.4340652844882
0.3502	870.9149969250849
0.3507	870.2537344016928
0.3512	869.78283157947
0.3517	870.5588434571873
0.3521	869.4143974945137
0.3593	869.0456363395697
0.3631	869.0114410136991
0.3667	869.1894873938412
0.3739	869.3280213926337
0.3774	869.7992478286467
0.3807	870.1287569772493
0.3871	870.9196629192263
0.3901	870.286610636778
0.3958	869.6359128800472
0.3986	870.9242109526908
0.4012	871.9766842546953
0.4062	870.6264440439354
0.4086	870.9367246853849
0.4132	871.2287302867314
0.4154	870.8362544175615
0.4175	871.7917603280046
0.4217	872.218619855774
0.4238	871.5554579068355
0.4259	872.514159139134
0.43	872.5338483180219
0.4321	872.9248291256141
0.4341	871.6636328422189
0.4382	872.0326623671813
0.4402	871.71109962205
0.4423	871.6439473140201
0.4463	871.1541754376359
0.4483	871.3181331252364
0.4503	871.1758954161235
0.4541	870.3640241548526
0.456	870.6134788469936
0.4578	870.0716749265491
0.4613	869.9244845593862
0.4618	870.8996464039732
0.4619	871.2079834365752
0.462	871.2485904268386
0.4621	871.6176755891076
0.4622	870.95086588103
0.4623	870.0832248080515
0.4624	870.6879788234266
0.4625	870.0647317764611
0.4626	869.9668024579544
0.4627	870.3988744023346
0.4628	869.9903151940327
0.4629	871.1415199502025
0.463	871.2687667912816
0.4631	871.8764473569944
0.4632	870.7576924423837
0.4633	871.113471116824
0.4635	870.5233390371733
0.4636	871.2584785462707
0.4638	870.4443630602078
0.4639	870.9112095808651
0.464	871.260867296616
0.4641	871.5817726559429
0.4642	871.7826805478699
0.4644	871.3469945153112
0.4645	871.4909572545214
0.4646	871.4434801879345
0.4647	871.358182652179
0.4649	871.3099922026124
0.4651	871.6357395403942
0.4653	871.745736163481
0.4655	871.2791095511476
0.4657	871.2432216171588
0.4659	870.5744786776523
0.4661	870.2257994485725
0.4662	871.2329627665619
0.4664	870.9186995342784
