# Temperature (K),alpha_33
0.3502,-3.6602478514
0.3503,-3.6602571944499998
0.3504,-3.6600448437999997
0.3505,-3.6601179152
0.3506,-3.6597851043
0.3507,-3.6596514354
0.3508,-3.65957818435
0.351,-3.6605165687
0.3511,-3.6612119024
0.3513,-3.6617726972
0.3515,-3.66225593185
0.3517,-3.6628779219
0.3519,-3.662871235
0.3521,-3.66259458955
0.3524,-3.66265174765
0.3526,-3.66188239165
0.353,-3.6620338172999998
0.3533,-3.66230382395
0.3536,-3.6627251092499997
0.354,-3.6628036306
0.3544,-3.6624767441999997
0.3548,-3.6625825439999997
0.3552,-3.6626432145
0.3558,-3.66196999195
0.3563,-3.6618306448999998
0.357,-3.6615709672
0.3575,-3.6619353728
0.358,-3.66122558895
0.3586,-3.66083495945
0.3593,-3.6603767071999997
0.3599,-3.66021754405
0.3605,-3.6599236294499997
0.3613,-3.6598236508
0.3619,-3.66028208445
0.3628,-3.6599203125499997
0.3635,-3.6602728
0.3642,-3.65976152645
0.3649,-3.65958616995
0.3659,-3.6589908366999997
0.3666,-3.65823575295
0.3672,-3.6575859722999997
0.3682,-3.6573696947
0.369,-3.65770549295
0.3698,-3.6584086332499997
0.3708,-3.6591824485499997
0.3716,-3.6591708593
0.3726,-3.6588902519
0.3735,-3.6580624392
0.3743,-3.6570868908
0.3753,-3.6564526402
0.3762,-3.65620362635
0.377,-3.6563385084499997
0.3781,-3.6564304053
0.3788,-3.6556995778999997
0.3799,-3.6554119955499997
0.3806,-3.6552869166999997
0.382,-3.65553803885
0.383,-3.6548534977
0.3837,-3.65506703505
0.3845,-3.65520364
0.3852,-3.6552338508999997
0.3862,-3.6549829606
0.3869,-3.6542716491
0.3876,-3.6540034685
0.3885,-3.65310876695
0.3892,-3.65318235065
0.3899,-3.65260658295
0.3907,-3.6530791073
0.3914,-3.6529934288
0.3922,-3.6533973355
0.3928,-3.6529065389
0.3935,-3.6525156663
0.3942,-3.6522862548
0.3948,-3.6530547116
0.3956,-3.6532222366
0.3961,-3.6533022249
0.3966,-3.65266500125
0.3972,-3.6529302411
0.398,-3.6525441177499998
0.3986,-3.6522651050999997
0.399,-3.6521873471
0.3997,-3.6529476706999997
0.4001,-3.6533933206499998
0.4006,-3.6529326537499998
0.4013,-3.65270929885
0.4017,-3.6529686240999997
0.4021,-3.6531531266
0.4026,-3.6528920770999997
0.4032,-3.6528835326999998
0.4036,-3.6530322737
0.4042,-3.6528291005
0.4046,-3.6525364627499997
0.405,-3.65264685505
0.4054,-3.65233742495
0.406,-3.652108169
0.4064,-3.6518728474
0.4069,-3.6526242585
0.4073,-3.6523833478
0.4077,-3.65234974965
0.4083,-3.65284600535
0.4087,-3.6527931531499997
0.4091,-3.65240277315
0.4095,-3.6524944983
0.4101,-3.65254602585
0.4105,-3.65260640205
0.411,-3.6525957044
0.4114,-3.6528387472999997
0.412,-3.65327890485
0.4126,-3.6539434378999998
0.413,-3.6533354019499997
0.4135,-3.65350855365
