# Temperature (K),alpha_33
0.3501,-4.6602899166
0.3502,-4.6607528035
0.3503,-4.66013505865
0.3504,-4.66045637705
0.3506,-4.6597286871
0.3507,-4.6600431907
0.3509,-4.66007069835
0.3511,-4.6600829720000005
0.3514,-4.6597571596
0.3517,-4.6595918195
0.352,-4.66014828725
0.3524,-4.6602206530500005
0.3527,-4.6598333956
0.3533,-4.6597801607500005
0.3538,-4.65967921675
0.3546,-4.65937847145
0.3552,-4.65923951
0.3559,-4.65964925615
0.3566,-4.65975736375
0.3576,-4.66011828975
0.3585,-4.66008102055
0.3594,-4.66005239175
0.3604,-4.66055795755
0.3615,-4.660155741500001
0.363,-4.6606095379
0.3647,-4.65957376115
0.366,-4.6589922144
0.3674,-4.65862517545
0.3689,-4.65889903025
0.371,-4.65910261525
0.3725,-4.65851590475
0.3742,-4.6587700936
0.3759,-4.65878817545
0.3777,-4.65862100315
0.3801,-4.6585313559
0.382,-4.65816483365
0.3839,-4.65822113895
0.3858,-4.65849141515
0.3877,-4.6580926145
0.3903,-4.6577948638
0.3922,-4.65727907515
0.3942,-4.6561100758
0.3961,-4.6551853113
0.398,-4.6550179829500005
0.4007,-4.65464323575
0.4026,-4.65483559745
0.4051,-4.655430097
0.4069,-4.65569760565
0.4088,-4.65499449335
0.4106,-4.65460848765
0.4125,-4.65426205445
0.4148,-4.65319493525
0.4166,-4.65282788915
0.4183,-4.6520185208500004
0.42,-4.651285277
0.4217,-4.6507652507
0.424,-4.65056885235
0.4256,-4.64964219795
0.4272,-4.64917693405
0.4288,-4.64867600455
0.4303,-4.6483326052
0.4323,-4.64826181765
0.4338,-4.64761362625
0.4358,-4.646965334
0.4371,-4.646315173550001
0.4384,-4.64641633885
0.4398,-4.64533313785
0.4417,-4.6444843374
0.443,-4.644147646
0.4444,-4.64317402945
0.4458,-4.64235494695
0.4471,-4.6417273594
0.4489,-4.6406907652500005
0.4506,-4.64026706695
0.4519,-4.64012749675
0.4532,-4.639996845
0.4544,-4.63894785715
0.4561,-4.63803464635
0.4573,-4.6373331996000005
0.4585,-4.6369927928
0.4597,-4.6366365989
0.4614,-4.63591517825
0.4626,-4.63570805885
0.4638,-4.6351693426
0.465,-4.6349228978
0.4665,-4.6337318993
0.4677,-4.63332547355
0.4688,-4.6325166702
0.4703,-4.6322366214
0.4714,-4.63252931555
0.4726,-4.63195844865
0.4737,-4.6323523637
0.4748,-4.632643503
0.4767,-4.6325860122
0.4778,-4.6320637723
0.479,-4.6310177042500005
0.4805,-4.63051538125
0.4816,-4.63044130945
0.4827,-4.6305021453
0.4838,-4.63011574025
0.485,-4.62994653215
0.4865,-4.63008117335
0.4876,-4.63005709985
0.4887,-4.62966858595
0.4899,-4.6294221253500005
0.4914,-4.62934973255
0.4929,-4.6287025586
0.494,-4.62876786955
0.4952,-4.62805026135
0.4964,-4.6272656707
0.4975,-4.6268308858500005
0.4986,-4.62573249015
0.5002,-4.6248672104
0.5014,-4.62462801615
0.5026,-4.62396211175
0.5042,-4.6239092625
0.5054,-4.62327846995
0.5065,-4.622898064
0.5077,-4.6219534834000005
0.5093,-4.62115747095
0.5106,-4.6198165492
0.5117,-4.61939677985
0.5133,-4.6184487679
0.5145,-4.6182525301
0.5157,-4.6175765255500005
0.5173,-4.6172204391000005
0.5185,-4.6164755086
0.5198,-4.6154869000500005
0.521,-4.6150986007000006
0.5226,-4.6136502848
0.5239,-4.6126584296
0.5251,-4.6117600115
0.5267,-4.61056095045
0.5284,-4.60978809745
0.5296,-4.60875091485
0.5309,-4.6077055332
0.5321,-4.606983877
0.5338,-4.6061411302
0.535,-4.60570033555
0.5367,-4.6053483471000005
0.538,-4.60502544415
0.5392,-4.6037104361
0.5405,-4.603297559950001
0.5418,-4.60221261405
0.5439,-4.6009845339
0.5451,-4.59973581515
0.5464,-4.59884855195
0.5476,-4.5977123912
0.5493,-4.59645537735
0.5506,-4.5957161111
0.5519,-4.59529531985
0.5532,-4.5944954428
0.5549,-4.59419672495
0.5561,-4.5928663757
0.5578,-4.5922869707
0.559,-4.59180942455
0.5608,-4.5906056526
0.562,-4.5892397978
0.5633,-4.58808897915
0.5649,-4.5868028789
0.5662,-4.58563663215
0.5675,-4.5845579747
0.5691,-4.58331371945
0.5704,-4.58265793415
0.5716,-4.58176321355
0.5729,-4.58024109535
0.5741,-4.57897961905
0.5758,-4.5782614551
0.5771,-4.5773659866
0.5787,-4.5768173341
0.58,-4.57603931395
0.5816,-4.5758318001500005
0.5829,-4.57470624985
0.5841,-4.5740834156500005
0.5853,-4.57350130745
0.587,-4.57221463905
0.5883,-4.5725350354000005
0.5895,-4.5724364923000005
0.5912,-4.5720503657
0.5924,-4.5711420476
0.5937,-4.5703712155
0.5949,-4.5704026006000005
0.5962,-4.5694441377
0.5978,-4.568041723
0.599,-4.5672140075500005
0.6003,-4.567466623650001
0.6019,-4.5673123982
0.6031,-4.5660843566
0.6043,-4.56531423665
0.6056,-4.5639176021
0.6069,-4.5632613774
0.6085,-4.56227140645
0.6097,-4.5619695346
0.611,-4.5611197651
0.6123,-4.5595029685
0.6135,-4.5582020809
0.6151,-4.55618478135
0.6164,-4.554602802
0.6177,-4.5527933125
0.6189,-4.5511753676
0.6201,-4.5497636076
0.6218,-4.54823222635
0.623,-4.54706270015
0.6243,-4.5469888792
0.626,-4.5458339057
0.6272,-4.54458070745
0.6284,-4.544071831
0.6301,-4.54319294525
0.6314,-4.54171080215
0.6326,-4.54092282775
0.6339,-4.5396425136000005
0.6351,-4.5383400921
0.6364,-4.5362758253
0.6384,-4.534313643
0.6396,-4.53349627355
0.6409,-4.53316325445
0.6421,-4.5320656394
0.6433,-4.5308326221
0.6446,-4.53025568995
0.6462,-4.5291432391
0.6474,-4.52757899925
0.6487,-4.5263382606
0.6503,-4.5253853387500005
0.6515,-4.52342808315
0.6528,-4.5223281678000005
0.654,-4.5203812928
0.6552,-4.51814190715
0.6569,-4.5168361947
0.6581,-4.515863592300001
0.6597,-4.5144947009
0.661,-4.5126484802
0.6622,-4.5111255197
0.6639,-4.50984523305
0.6651,-4.5092531734
0.6663,-4.5081763310000005
0.6676,-4.5064877607
0.6692,-4.5053575161
0.6705,-4.5044848153
0.6717,-4.5029845116
0.6729,-4.50200766595
0.6746,-4.5009316402
0.6758,-4.4993464427
0.677,-4.4977470134
0.6786,-4.4957875949
0.6799,-4.4941218172
0.6811,-4.4931780734
0.6824,-4.49235258555
0.6835,-4.4909518446000005
0.6852,-4.4900253884
0.6864,-4.48893840505
0.6876,-4.4877908182
0.6893,-4.48672193175
0.6905,-4.4856552599
0.6917,-4.4840112987000005
0.6934,-4.4825853683500005
0.6947,-4.48113936045
0.6964,-4.4795161767
0.6976,-4.4774712848
0.6988,-4.47549896715
0.7005,-4.4741141603
0.7017,-4.4727636652000005
0.7034,-4.47165060115
0.7046,-4.4699032912000005
0.7058,-4.4685342763
0.7075,-4.4668275634
0.7088,-4.46532941225
0.71,-4.46331107935
0.7112,-4.4617896804
0.7125,-4.4593488329
0.7142,-4.45788312485
0.7154,-4.45675585515
0.7167,-4.4550000981
0.7179,-4.45354751375
0.7196,-4.4518003586
0.7208,-4.44969070165
0.722,-4.44828932065
0.7232,-4.4469382292
0.7249,-4.44537155765
0.7261,-4.4441357028
0.7273,-4.44257883565
0.7286,-4.4410342828000005
0.7302,-4.439242391600001
0.7314,-4.4376569143
0.7327,-4.4365706217000005
0.7339,-4.43526178815
0.7355,-4.4340294538
0.7368,-4.4331905887000005
0.738,-4.4323768581500005
0.7392,-4.43164949275
0.7405,-4.429818478850001
0.7421,-4.42803340845
0.7434,-4.4269074904000005
0.7446,-4.4249795272500005
0.7458,-4.42341806835
0.7475,-4.42214620775
0.7487,-4.4206768617000005
0.7499,-4.4185847491
0.7512,-4.41693345235
0.7525,-4.41523037125
0.7542,-4.4136044579
0.7554,-4.411934981
0.7566,-4.4105126146
0.7579,-4.40929348405
0.7595,-4.4075391567
0.7608,-4.40645110115
0.762,-4.40404083995
0.7632,-4.4017523233
0.7649,-4.39921725705
0.7662,-4.39704515895
0.7674,-4.3958430337
0.7686,-4.39394381155
0.7703,-4.39129223425
0.7716,-4.38977052635
0.7728,-4.3883591663
0.774,-4.3870123594
0.7752,-4.38571396345
0.7769,-4.3846566218000005
0.7782,-4.3831713599
0.7794,-4.3818866641500005
0.7806,-4.3804693169
0.7823,-4.3788708441
0.7835,-4.37678453585
0.7847,-4.375370278
0.786,-4.37337065225
0.7872,-4.3708546723
0.7889,-4.36998991915
0.7901,-4.36832038635
0.7913,-4.366749125
0.7925,-4.3651187876
0.7941,-4.36325803995
0.7954,-4.3615847071000005
0.7966,-4.36010655875
0.7978,-4.3576435305
0.7995,-4.3549852295500004
0.8008,-4.3524818071
0.802,-4.3497669846
0.8032,-4.34812050195
0.8045,-4.34620137665
0.8062,-4.3435123979500005
0.8074,-4.3408210982
0.8086,-4.3386539846000005
0.8099,-4.3368142147
0.8115,-4.3345373132
0.8128,-4.33292199805
0.814,-4.33086961535
0.8152,-4.32806938685
0.8164,-4.32602916065
0.8181,-4.3244774037
0.8194,-4.3225600251000005
0.8206,-4.3200048642
0.8223,-4.3180567494
0.8235,-4.31559793225
0.8251,-4.31470639605
0.8262,-4.3132619653
0.8275,-4.311146697
0.8292,-4.30850346135
0.8304,-4.30589856725
0.8321,-4.30422191205
0.8333,-4.30293880045
0.8345,-4.3015315136000005
0.8366,-4.3001395208
0.8378,-4.29767292605
0.8391,-4.29574224185
0.8403,-4.2939964001
0.8419,-4.2927516875
0.8432,-4.2907681297
0.8444,-4.2890182564
0.8457,-4.286339
0.8473,-4.2842381007
0.8485,-4.2826189905500005
0.8498,-4.28049934485
0.8511,-4.2791370316
0.8523,-4.27691210295
0.8538,-4.27520727705
0.8554,-4.2740851955
0.8565,-4.2733263503000005
0.8578,-4.27136182385
0.8589,-4.26894933245
0.8607,-4.26700528805
0.8619,-4.26454957985
0.8632,-4.26213523665
0.8649,-4.2606768792
0.8662,-4.2585014160500005
0.8679,-4.25613575955
0.8691,-4.2537607154
0.8703,-4.2518654208
0.8715,-4.2498681518
0.8728,-4.2478239847
0.8744,-4.24560965585
0.8756,-4.2439574255500006
0.8773,-4.24189187835
0.8785,-4.23942540125
0.8798,-4.2377608031500005
0.8815,-4.2352815984
0.8827,-4.2330504517500005
0.8839,-4.2308846627
0.8852,-4.22879465215
0.8864,-4.2267367593000005
0.8881,-4.2245139015
0.8894,-4.2225019557
0.8906,-4.22045106655
0.8919,-4.218259567900001
0.8931,-4.2159446782000005
0.8948,-4.2137933329
0.896,-4.2115259292500005
0.8972,-4.2093545484
0.8985,-4.2070639684
0.8997,-4.2048289869
0.9014,-4.20273131435
0.9027,-4.200133502
0.904,-4.19776835815
0.9056,-4.1957164929
0.9068,-4.1928666666500005
0.9079,-4.19092822785
0.9095,-4.1879034636
0.9108,-4.18559052225
0.9124,-4.1833650769
0.9136,-4.1813025939
0.9149,-4.17852910885
0.9161,-4.17634784885
0.9174,-4.1743679197
0.919,-4.17181273095
0.9202,-4.16952459885
0.9214,-4.16707621805
0.9232,-4.16498435585
0.9243,-4.162906119500001
0.926,-4.1604973051
0.9272,-4.158723026200001
0.9288,-4.1565744333
0.93,-4.154273713
0.9313,-4.15175687195
0.9325,-4.14947005665
0.9342,-4.147315116250001
0.9354,-4.14491943265
0.9366,-4.14326897035
0.9378,-4.1406665269500005
0.939,-4.1385884568
0.9407,-4.1362830983
0.942,-4.134948596
0.9436,-4.13252032855
0.9449,-4.1302272399
0.9461,-4.127994713850001
0.9474,-4.1263351467
0.9486,-4.1242457303
0.9502,-4.1222731683000005
0.9515,-4.1200717217500005
0.9532,-4.1179709637
0.9544,-4.11575466895
0.9556,-4.1134725289
0.9569,-4.11097353205
0.9581,-4.10848896475
0.96,-4.1064224474
0.9613,-4.1044970603
0.9625,-4.1029646922000005
0.9643,-4.1010006930000005
0.9656,-4.0992643191500004
0.9668,-4.0968276686500005
0.968,-4.09448431345
0.9692,-4.09194498085
0.9709,-4.089282535000001
0.9722,-4.0871983079500005
0.9738,-4.08504389565
0.975,-4.0824463253
0.9762,-4.0808765532
0.9774,-4.07849201755
