# Temperature (K),alpha_33
0.633,-12.4619266487
0.6347,-12.459026039900001
0.6366,-12.45614115525
0.6383,-12.453131724750001
0.64,-12.449690308600001
0.6416,-12.445776282750002
0.6435,-12.442206151250002
0.6452,-12.43823364015
0.6469,-12.43440795425
0.6486,-12.429905272400001
0.6503,-12.42470661625
0.6522,-12.420510028850002
0.6539,-12.41668345835
0.6556,-12.41208389075
0.6572,-12.407819527100001
0.6591,-12.403904035950001
0.6608,-12.39958803715
0.6625,-12.39630986935
0.6642,-12.39228869565
0.6658,-12.387584780600001
0.6675,-12.38365989355
0.6694,-12.37966908135
0.6711,-12.375252414950001
0.6727,-12.370946825350002
0.6743,-12.366646459650001
0.6763,-12.3626731844
0.6779,-12.3587952936
0.6795,-12.35454965155
0.6811,-12.34996944965
0.6831,-12.3462247473
0.6848,-12.34198964115
0.6864,-12.3377720976
0.688,-12.33334444275
0.69,-12.32903326675
0.6916,-12.3238422996
0.6933,-12.319312977600001
0.6952,-12.3146331027
0.6968,-12.309734349400001
0.6984,-12.305394938800001
0.7004,-12.300950489800002
0.7021,-12.29634996805
0.7037,-12.29115065495
0.7054,-12.2864030722
0.7073,-12.2820254884
0.709,-12.27655132665
0.7106,-12.271735863550001
0.7123,-12.267639288400002
0.714,-12.263138683600001
0.7159,-12.25791475215
0.7177,-12.252707384150002
0.7192,-12.248046705550001
0.7208,-12.2434289275
0.7225,-12.239096807800001
0.7245,-12.234738210600002
0.7261,-12.231057307550001
0.7277,-12.226461747950001
0.7294,-12.2213678522
0.7314,-12.217018613150001
0.733,-12.2123276715
0.7347,-12.208166621450001
0.7366,-12.203583669
0.7382,-12.19909300295
0.7399,-12.193674032850002
0.7415,-12.188864001250002
0.7435,-12.1846972233
0.7452,-12.1795302262
0.7469,-12.173547093200002
0.7486,-12.16820606235
0.7502,-12.163068839900001
0.7521,-12.15731630275
0.7537,-12.152014494600001
0.7554,-12.1463922569
0.7571,-12.1405550642
0.7586,-12.1350153152
0.7606,-12.12994038195
0.7623,-12.124645834
0.7639,-12.119303246200001
0.7655,-12.112977694200001
0.7675,-12.1072960915
0.7691,-12.1015172022
0.7708,-12.095147329400001
0.7722,-12.089483321400001
0.7741,-12.084350661550001
0.7758,-12.07772021665
0.7778,-12.0715487813
0.7795,-12.06590766525
0.7812,-12.059256301600001
0.7828,-12.0534576986
0.7848,-12.048388218100001
0.7864,-12.043222031900001
0.7881,-12.0373661673
0.7898,-12.031909146450001
0.7919,-12.0254489163
0.7935,-12.019650075700001
0.7952,-12.012929262
0.7972,-12.00705036775
0.7989,-12.0012694022
0.8006,-11.995691846900002
0.8026,-11.989890554050001
0.8043,-11.983540100150002
0.806,-11.977840024550002
0.8076,-11.971823061150001
0.8093,-11.96547935735
0.8114,-11.960037448500001
0.813,-11.9534911399
0.8149,-11.946816234100002
0.8166,-11.941787728700001
0.8183,-11.935832803
0.82,-11.9288041591
0.8216,-11.923142775050001
0.8236,-11.9175560527
0.8256,-11.9113908288
0.8273,-11.906714767250001
0.8293,-11.9005275384
0.831,-11.894433952750001
0.8326,-11.888220287700001
0.8342,-11.881407797700001
0.8359,-11.874512249550001
0.8379,-11.86787016555
0.8399,-11.861527507400002
0.8415,-11.854436221950001
0.8431,-11.84745001315
0.8451,-11.840529090850001
0.8467,-11.8341761246
0.8483,-11.828624012050001
0.8503,-11.8223694924
0.852,-11.8155290471
0.8536,-11.808788743700001
0.8555,-11.803405255700001
0.8571,-11.7965440998
0.8591,-11.78929759615
0.8608,-11.7831387836
0.8627,-11.775963853750001
0.8643,-11.7689020391
0.8659,-11.7622439906
0.8679,-11.755687204800001
0.8695,-11.74904325175
0.8711,-11.7429539724
0.8728,-11.736180248250001
0.8744,-11.729958659200001
0.8764,-11.72400212135
0.878,-11.7174713102
0.8797,-11.711402511200001
0.8813,-11.70489161525
0.8835,-11.698036840250001
0.8853,-11.691812348400001
0.8869,-11.685566245850001
0.8889,-11.678972796950001
0.8905,-11.6718257517
0.8921,-11.6646857765
0.8941,-11.6579149727
0.8957,-11.650978919300002
0.8974,-11.6435327107
0.8997,-11.637169979600001
0.9013,-11.629284723400001
0.903,-11.621096903900002
0.9047,-11.614334900000001
0.9064,-11.6078712888
0.9084,-11.6009088981
0.91,-11.592830841600001
0.9116,-11.585789353150002
0.9135,-11.57921899115
0.9152,-11.572225033050001
0.9169,-11.564524414200001
0.9185,-11.55747209115
0.9202,-11.5493848644
0.9222,-11.54165318195
0.9239,-11.534042328550001
0.9255,-11.5262271109
0.9275,-11.519579416750002
0.9291,-11.51270915145
0.9308,-11.5047884585
0.9325,-11.49793891955
0.9341,-11.490414009550001
0.9361,-11.483772478
0.9382,-11.4770642392
0.9398,-11.4698227449
0.9417,-11.462037861950002
0.9434,-11.454438563050001
0.945,-11.44757702575
0.9467,-11.440172828800002
0.9487,-11.4324604619
0.9503,-11.424905912900002
0.9519,-11.417425123600001
0.9535,-11.4096204972
0.9553,-11.4031296044
0.9573,-11.39621007845
0.9592,-11.38918628785
0.9608,-11.3823362411
0.9629,-11.373860971500001
0.9646,-11.366431035600002
0.9662,-11.3595441545
0.9678,-11.352142086450002
0.9694,-11.345033412300001
0.9715,-11.33816478305
0.9731,-11.3305385311
0.9748,-11.323149474300001
0.9764,-11.31570811355
0.978,-11.3087257289
0.9796,-11.301671633000002
0.9817,-11.2946236939
0.9833,-11.2873661319
0.9849,-11.27977915555
0.9866,-11.27245745145
0.9882,-11.265430423300002
0.9901,-11.257790364200002
0.9918,-11.25051240155
0.9934,-11.2428394165
0.9951,-11.235121248850001
0.9972,-11.228345431700001
0.9988,-11.220059662
1.0004,-11.21207226105
1.002,-11.2045280537
1.0037,-11.196086019750002
1.0057,-11.188392368
1.0074,-11.18116185875
