# Temperature (K),alpha_33
0.4543,-1.6723060649
0.4566,-1.6728700582
0.459,-1.6719097135
0.4612,-1.6715652308500002
0.4634,-1.67160106545
0.4662,-1.6715635988000002
0.4683,-1.6714804325500001
0.4704,-1.6714829046000002
0.473,-1.6712351863000001
0.475,-1.6705940727000002
0.4771,-1.6701509283
0.4796,-1.6701314165
0.4815,-1.66938719175
0.4834,-1.6685721605000001
0.4854,-1.66828759585
0.4878,-1.6688084997000001
0.4897,-1.6687633773000001
0.4916,-1.6676640012500001
0.4935,-1.66811015315
0.4953,-1.66749080175
0.4976,-1.6669134942500001
0.4995,-1.666037001
0.5013,-1.66609075185
0.5032,-1.6658892838500001
0.505,-1.6647962452
0.5073,-1.66418321635
0.5091,-1.66403772755
0.5109,-1.66317880795
0.5127,-1.6628570359500001
0.5146,-1.6624393496
0.5169,-1.6620444089500002
0.5187,-1.6611992291000002
0.5205,-1.6610461357000001
0.5224,-1.6610753223
0.5243,-1.66069662845
0.5262,-1.6600711508500001
0.5285,-1.6596676795
0.5304,-1.65926506705
0.5323,-1.6583129037500002
0.5342,-1.65765564055
0.5365,-1.6571279099
0.5384,-1.6565800239000001
0.5403,-1.6553115474000002
0.5422,-1.65451598275
0.5441,-1.6545460646
0.5466,-1.6546303241
0.5485,-1.653366432
0.5504,-1.6528430941
0.5523,-1.6520768186500001
0.5548,-1.6515481756000001
0.5567,-1.6514708819000001
0.5587,-1.6507777766
0.5607,-1.6499397932500002
0.5627,-1.6485182573000001
0.5646,-1.6476027591
0.5672,-1.64655987435
0.5692,-1.64534115205
0.5712,-1.64464296395
0.5732,-1.6438643638500001
0.5757,-1.64296472365
0.5777,-1.6427515628
0.5797,-1.6421875727000002
0.5817,-1.6423751581000001
0.5836,-1.6412902896000001
0.5861,-1.6400183457000002
0.5882,-1.63969706215
0.5902,-1.6398989746000001
0.5922,-1.6397901794
0.5942,-1.6393595795
0.5967,-1.6390817901
0.5987,-1.63896206125
0.6008,-1.6390513545
0.6032,-1.6382990700500002
0.6052,-1.63801598345
0.6073,-1.63744623925
0.6093,-1.63701356625
0.6118,-1.6376579127000002
0.6139,-1.637793051
0.6159,-1.6379846532500002
0.6179,-1.6379494823
0.6204,-1.6369476436500001
0.6224,-1.6366089713
0.6244,-1.6360084269000001
0.6264,-1.6365032093
0.6289,-1.6366166984000001
0.631,-1.6346823228
0.6329,-1.6337023522
0.6355,-1.6331061623
0.6375,-1.6330532181000001
0.6399,-1.6324021907500001
0.6419,-1.63106778935
0.6439,-1.6301212837
0.6459,-1.6287188515000002
0.6479,-1.6281115131000001
0.6504,-1.62785946515
0.6524,-1.6270611651
0.6544,-1.62617107235
0.6564,-1.6260007228500002
0.6589,-1.62540266345
0.661,-1.6247917007000001
0.6629,-1.6247902266
0.6654,-1.6241581718
0.6674,-1.62353775495
0.6694,-1.62226809135
0.6714,-1.6214722785000002
0.6738,-1.6209765097000002
0.6758,-1.6200640469
0.6777,-1.6189486990000002
0.6797,-1.6177050000500002
0.6822,-1.6167526326000001
0.6842,-1.6154072108000002
0.6861,-1.6148004887
0.6881,-1.6148490853000002
0.6906,-1.6140675826000002
0.6926,-1.6142473357
0.6945,-1.61401170055
0.697,-1.6131285384
0.699,-1.6119214127500001
0.7009,-1.6107702249
0.7028,-1.61040271065
0.7048,-1.6097499719000001
0.7073,-1.6089152956000001
0.7092,-1.6087938738
0.7112,-1.6082732109000002
0.7132,-1.60717148535
0.7157,-1.60666436375
0.7181,-1.60567711795
0.7201,-1.6048044407500002
0.7221,-1.6040513479
0.7246,-1.60340379255
0.7266,-1.6034790884
0.7285,-1.6031350289000001
0.7305,-1.6019239812000001
0.733,-1.6009715525000001
0.735,-1.5985937755000001
0.7369,-1.5974448542000002
0.7389,-1.5964306078000001
0.7414,-1.5947666849000002
0.7434,-1.5932793546000001
0.7453,-1.5916619772
0.7473,-1.5898186029
0.7492,-1.5888893163500002
0.7517,-1.5869971117500001
0.7536,-1.5853180444000001
0.7556,-1.5850348523000002
0.7581,-1.58420770935
0.76,-1.5834459145000002
0.7628,-1.58318905755
0.7645,-1.5823024705000002
0.7669,-1.58112153135
0.7694,-1.5800545831000001
0.7719,-1.57838244425
0.775,-1.5779337718500002
0.7774,-1.5772773581000001
0.7805,-1.5758918268000002
0.7825,-1.5750744766
0.785,-1.57304004095
0.7875,-1.57111841915
0.79,-1.57010028175
0.7925,-1.56924465955
0.7944,-1.56808849015
0.7974,-1.5665481053
0.7994,-1.56536622515
0.8025,-1.5649692863
0.8049,-1.5635382830500002
0.8074,-1.5623798903000001
0.8093,-1.56137975115
0.8113,-1.55940524585
0.8138,-1.5579650149500002
0.8158,-1.5572657964
0.8183,-1.5553634989
0.8212,-1.5537146561500002
0.8237,-1.5526810347500002
0.8257,-1.5512818780000002
0.8286,-1.55033485785
0.8306,-1.5491132198500002
0.8326,-1.5490021948000001
0.835,-1.54835944805
0.8369,-1.5474612495000002
