# T (K), dc/c (x 1e-5)
1.699799999999999978e+00,-1.758594641110278189e+00
1.699300000000000033e+00,-1.754346102455575540e+00
1.699000000000000066e+00,-1.728069713065258250e+00
1.698600000000000110e+00,-1.802385371484013676e+00
1.697899999999999965e+00,-1.884791615539213483e+00
1.697599999999999998e+00,-1.911037892625352841e+00
1.696900000000000075e+00,-1.989820792438895314e+00
1.696499999999999897e+00,-2.117199141578873789e+00
1.695899999999999963e+00,-2.132218627312817638e+00
1.695599999999999996e+00,-2.065674892224173220e+00
1.695200000000000040e+00,-2.011776880341750839e+00
1.694600000000000106e+00,-1.919619813780179651e+00
1.694199999999999928e+00,-1.832910188668615437e+00
1.693500000000000005e+00,-1.773321476693581644e+00
1.693200000000000038e+00,-1.756227403563251244e+00
1.692600000000000104e+00,-1.708997077970592304e+00
1.692299999999999915e+00,-1.723911027296104681e+00
1.691899999999999959e+00,-1.699298879737493051e+00
1.691200000000000037e+00,-1.689762321390731126e+00
1.690900000000000070e+00,-1.700091921517654647e+00
1.690499999999999892e+00,-1.729471537378068691e+00
1.689799999999999969e+00,-1.728876373804852262e+00
1.689500000000000002e+00,-1.776760981396022121e+00
1.689200000000000035e+00,-1.787585460689133710e+00
1.688700000000000090e+00,-1.791446660733067686e+00
1.688299999999999912e+00,-1.764401063560350202e+00
1.687999999999999945e+00,-1.736248564956355489e+00
1.687400000000000011e+00,-1.713692526762525370e+00
1.687100000000000044e+00,-1.740176580592931010e+00
1.686800000000000077e+00,-1.728929648069921443e+00
1.686099999999999932e+00,-1.807462184959321538e+00
1.685799999999999965e+00,-1.896320939032691610e+00
1.685499999999999998e+00,-1.905096562511698899e+00
1.684900000000000064e+00,-1.893288151749231041e+00
1.684600000000000097e+00,-1.922535346563502889e+00
1.684199999999999919e+00,-1.924533448429480043e+00
1.683599999999999985e+00,-1.905913411489670750e+00
1.683200000000000029e+00,-1.944369803240156402e+00
1.682900000000000063e+00,-1.984009334720302054e+00
1.682299999999999907e+00,-1.994507274797538532e+00
1.681999999999999940e+00,-2.018483000982632003e+00
1.681599999999999984e+00,-2.027422138199535873e+00
1.680900000000000061e+00,-1.891222215951795960e+00
1.680600000000000094e+00,-1.776000170742864093e+00
1.680299999999999905e+00,-1.711954406393781269e+00
1.679599999999999982e+00,-1.692445007151766267e+00
1.679200000000000026e+00,-1.659896664754773266e+00
1.678900000000000059e+00,-1.727811469129023170e+00
1.678299999999999903e+00,-1.842598426050820359e+00
1.677899999999999947e+00,-1.940197051707031939e+00
1.677499999999999991e+00,-2.003622176687327894e+00
1.676900000000000057e+00,-2.084451221559882494e+00
1.676500000000000101e+00,-2.086359038494800533e+00
1.676299999999999901e+00,-2.053565785484351647e+00
1.675599999999999978e+00,-2.006823004407492839e+00
1.675300000000000011e+00,-1.979372068301385568e+00
1.675000000000000044e+00,-1.915151585689112146e+00
1.674299999999999899e+00,-1.858729787762580798e+00
1.673999999999999932e+00,-1.788073121356190009e+00
1.673699999999999966e+00,-1.708581791351401646e+00
1.673100000000000032e+00,-1.624697223648746691e+00
1.672700000000000076e+00,-1.623485839473623349e+00
1.672400000000000109e+00,-1.688992468439828976e+00
1.671799999999999953e+00,-1.777024848449507255e+00
1.671499999999999986e+00,-1.882703817224495868e+00
1.671200000000000019e+00,-1.984958820618956565e+00
1.670500000000000096e+00,-2.007414981712030144e+00
1.670199999999999907e+00,-2.073165419841788371e+00
1.669799999999999951e+00,-2.078058534873555629e+00
1.669100000000000028e+00,-2.054627210430828743e+00
1.668800000000000061e+00,-1.953696289138037612e+00
1.668099999999999916e+00,-1.923463941695402468e+00
1.667799999999999949e+00,-1.825230548264528130e+00
1.667200000000000015e+00,-1.831853459913352022e+00
1.666800000000000059e+00,-1.850589512897640621e+00
1.666099999999999914e+00,-1.883201306192988644e+00
1.665799999999999947e+00,-1.904774256741015082e+00
1.665399999999999991e+00,-2.007199351540950527e+00
1.664800000000000058e+00,-1.943377708255866976e+00
1.664400000000000102e+00,-1.907487566152540781e+00
1.664199999999999902e+00,-1.913339795212645633e+00
1.663499999999999979e+00,-1.809769807268602149e+00
1.663100000000000023e+00,-1.643564223198709540e+00
1.662400000000000100e+00,-1.686758412919112216e+00
1.662099999999999911e+00,-1.744162533047627583e+00
1.661799999999999944e+00,-1.754849772456212875e+00
1.661100000000000021e+00,-1.838228915908013406e+00
1.660800000000000054e+00,-1.927721431360732263e+00
1.660600000000000076e+00,-1.928650701073092222e+00
1.659899999999999931e+00,-1.821300283872326453e+00
1.659599999999999964e+00,-1.824428752644768892e+00
1.659299999999999997e+00,-1.797839743437682047e+00
1.658700000000000063e+00,-1.797776248433704982e+00
1.658400000000000096e+00,-1.766820198595628222e+00
1.657699999999999951e+00,-1.762899861730976570e+00
1.657399999999999984e+00,-1.729953178645007750e+00
1.656800000000000050e+00,-1.851409760046940356e+00
1.656400000000000095e+00,-1.946010493349692227e+00
1.656099999999999905e+00,-2.019762568928329394e+00
1.655499999999999972e+00,-2.093595448140820103e+00
1.655100000000000016e+00,-2.112606226917293384e+00
1.654400000000000093e+00,-2.015496572372321715e+00
1.654099999999999904e+00,-1.942619950355758851e+00
1.653799999999999937e+00,-1.837509922713101318e+00
1.653200000000000003e+00,-1.795405219762458149e+00
1.652800000000000047e+00,-1.800285882199784027e+00
1.652500000000000080e+00,-1.810795178074364742e+00
1.651799999999999935e+00,-1.828843933588258919e+00
1.651499999999999968e+00,-1.878434977202192435e+00
1.650900000000000034e+00,-1.967132670401341876e+00
1.650500000000000078e+00,-2.020745601167134531e+00
1.650199999999999889e+00,-2.086575024511233778e+00
1.649599999999999955e+00,-2.152229959977991491e+00
1.649199999999999999e+00,-2.184945304916779740e+00
1.648800000000000043e+00,-2.138490537819254467e+00
1.648200000000000109e+00,-2.087722859332036052e+00
1.647899999999999920e+00,-2.061310338206876036e+00
1.647599999999999953e+00,-2.023430603397824434e+00
1.647000000000000020e+00,-1.957726776140450653e+00
1.646600000000000064e+00,-1.884631117000587608e+00
1.646300000000000097e+00,-1.801279718625995008e+00
1.645699999999999941e+00,-1.714917835050691730e+00
1.645399999999999974e+00,-1.651626746880865859e+00
1.645100000000000007e+00,-1.648445324387085131e+00
1.644400000000000084e+00,-1.744376996594618090e+00
1.644099999999999895e+00,-1.885873895018999713e+00
1.643799999999999928e+00,-1.951024407149601458e+00
1.643199999999999994e+00,-1.990080951307232837e+00
1.642800000000000038e+00,-2.019216452784911020e+00
1.642500000000000071e+00,-1.996226847612442290e+00
1.642099999999999893e+00,-1.982735545735803129e+00
1.641499999999999959e+00,-1.920848915514805855e+00
1.641100000000000003e+00,-1.877646757789536158e+00
1.640800000000000036e+00,-1.861710250450343551e+00
1.640099999999999891e+00,-1.859360938851126077e+00
1.639799999999999924e+00,-1.789702904485129586e+00
1.639499999999999957e+00,-1.861903745599621685e+00
1.638700000000000045e+00,-1.900224951041432186e+00
1.638400000000000079e+00,-1.930726903190821409e+00
1.637999999999999901e+00,-1.899192703849958308e+00
1.637799999999999923e+00,-1.920328031029330695e+00
1.637100000000000000e+00,-1.870149154555231119e+00
1.636800000000000033e+00,-1.849526756579553011e+00
1.636500000000000066e+00,-1.806310678970912909e+00
1.635799999999999921e+00,-1.850868479628051233e+00
1.635599999999999943e+00,-1.871478484821165411e+00
1.635199999999999987e+00,-1.876553231201228078e+00
1.634500000000000064e+00,-1.891554905401812592e+00
1.634200000000000097e+00,-1.886616716228542323e+00
1.633899999999999908e+00,-1.792420781623893511e+00
1.633299999999999974e+00,-1.728896081199943202e+00
1.633000000000000007e+00,-1.696291963295820659e+00
1.632600000000000051e+00,-1.591427400484401788e+00
1.631999999999999895e+00,-1.631762444408435542e+00
1.631699999999999928e+00,-1.716229984497080974e+00
1.631399999999999961e+00,-1.741346381800013221e+00
1.631099999999999994e+00,-1.811668284321874101e+00
1.630500000000000060e+00,-1.968996665931907586e+00
1.630200000000000093e+00,-2.017887261065443028e+00
1.629899999999999904e+00,-2.033715174724129326e+00
1.629099999999999993e+00,-2.094361668913899521e+00
1.628800000000000026e+00,-2.084637198679975434e+00
1.628500000000000059e+00,-2.003999968092292860e+00
1.627799999999999914e+00,-1.940974650504953436e+00
1.627399999999999958e+00,-1.857483545061947128e+00
1.627099999999999991e+00,-1.730635566416296900e+00
1.626600000000000046e+00,-1.688115470686105013e+00
1.626300000000000079e+00,-1.660800206042950533e+00
1.625899999999999901e+00,-1.667716915668485012e+00
1.625299999999999967e+00,-1.716488737925486951e+00
1.625000000000000000e+00,-1.819499660155321497e+00
1.624600000000000044e+00,-1.898701236081948407e+00
1.624200000000000088e+00,-1.999869685779323447e+00
1.623599999999999932e+00,-2.028865175563721035e+00
1.623299999999999965e+00,-2.054918672137404201e+00
