# T (K), dc/c (x 1e-5)
2.791300000000000114e+00,-0.000000000000000000e+00
2.790500000000000203e+00,-5.420122887976608350e-02
2.789800000000000058e+00,2.317612403617778094e-01
2.787900000000000045e+00,1.493095510037142637e-01
2.787500000000000089e+00,2.854802476604315076e-01
2.784400000000000208e+00,-5.917943642563209400e-02
2.777499999999999858e+00,4.764398855626028051e-01
2.775700000000000056e+00,-9.923193780717390333e-02
2.770399999999999974e+00,8.883485378362830642e-03
2.769299999999999873e+00,3.785665962836382570e-01
2.757200000000000095e+00,2.281478810208957264e-01
2.750300000000000189e+00,3.735355634116059309e-01
2.745200000000000085e+00,7.675321739352780614e-01
2.734300000000000175e+00,2.152654090272453080e-01
2.728800000000000114e+00,1.095994107247325822e+00
2.725999999999999979e+00,3.376395662652844631e-01
2.717499999999999805e+00,3.679447423821005092e-01
2.700899999999999856e+00,4.373259214821055840e-01
2.692899999999999849e+00,3.128248377056363494e-01
2.687800000000000189e+00,1.362571398683836810e+00
2.677299999999999791e+00,6.159047230878652579e-01
2.670100000000000140e+00,6.131370938280024108e-01
2.661300000000000221e+00,1.407614585207067393e+00
2.655100000000000016e+00,4.597875400408260038e-01
2.647800000000000153e+00,7.680273026261248415e-01
2.633399999999999963e+00,7.170759197134548568e-01
2.631099999999999994e+00,1.659305056063193007e+00
2.626399999999999846e+00,1.068527103037356873e+00
2.612800000000000011e+00,1.076405721579538177e+00
2.605700000000000127e+00,1.225128500603376303e+00
2.600000000000000089e+00,1.304422984387291651e+00
2.599899999999999878e+00,1.166024717626072071e+00
2.599299999999999944e+00,1.342755431159498913e+00
2.599200000000000177e+00,1.203050233761736365e+00
2.598599999999999799e+00,1.428566026551538748e+00
2.597900000000000098e+00,1.155734478763934092e+00
2.597300000000000164e+00,1.022794034774695771e+00
2.596900000000000208e+00,1.053551001939140530e+00
2.595600000000000129e+00,1.286548752161111420e+00
2.594800000000000217e+00,1.146614538706470787e+00
2.594300000000000050e+00,1.400277060582604927e+00
2.592900000000000205e+00,1.196520138665698285e+00
2.592000000000000082e+00,1.139539464852456163e+00
2.588999999999999968e+00,1.209112090341086132e+00
2.586500000000000021e+00,1.130503239567259843e+00
2.585700000000000109e+00,1.364655428146032801e+00
2.584900000000000198e+00,1.259742753955718442e+00
2.583499999999999908e+00,1.351530385600044237e+00
2.581100000000000172e+00,1.509852169016834278e+00
2.578899999999999970e+00,1.588277457644795332e+00
2.577100000000000168e+00,1.300191494226789812e+00
2.573599999999999888e+00,1.427210261010364301e+00
2.572900000000000187e+00,1.647293764276466010e+00
2.572200000000000042e+00,1.522894500883891888e+00
2.570399999999999796e+00,1.378725414074178479e+00
2.564499999999999780e+00,1.451187092840950710e+00
2.563699999999999868e+00,1.461593717590279562e+00
2.561500000000000110e+00,1.659367393654206602e+00
2.558699999999999974e+00,1.608185933629096676e+00
2.558600000000000207e+00,1.672604867405057760e+00
2.558399999999999785e+00,1.544950988453764884e+00
2.557799999999999851e+00,2.025416125321557459e+00
2.553199999999999914e+00,1.640811039562177109e+00
2.552599999999999980e+00,1.389809059434651273e+00
2.551899999999999835e+00,1.403433092915431279e+00
2.549900000000000055e+00,1.502269333190399347e+00
2.545399999999999885e+00,1.754548736315037383e+00
2.545100000000000140e+00,1.547606480775372662e+00
2.542899999999999938e+00,1.566886954283480238e+00
2.542100000000000026e+00,1.542623630039312355e+00
2.540799999999999947e+00,1.922416996501122632e+00
2.536799999999999944e+00,1.355719090086562328e+00
2.535699999999999843e+00,1.750366728446974385e+00
2.535299999999999887e+00,1.164698020245341414e+00
2.533599999999999852e+00,1.212731554316170968e+00
2.532399999999999984e+00,1.524136554960126233e+00
2.532300000000000217e+00,1.606330912400826261e+00
2.532099999999999795e+00,1.613098633244762548e+00
2.531499999999999861e+00,1.393955268213240339e+00
2.529799999999999827e+00,1.450080598143694610e+00
2.529199999999999893e+00,1.541665535312428226e+00
2.528599999999999959e+00,1.310729942995765729e+00
2.527499999999999858e+00,1.419294312070230601e+00
2.525599999999999845e+00,1.654630250924995050e+00
2.524799999999999933e+00,1.439967514735773335e+00
2.524099999999999788e+00,2.149809796697047748e+00
2.522299999999999986e+00,1.422174256414951765e+00
2.521300000000000097e+00,2.167555844699727619e+00
2.520300000000000207e+00,1.643195951613767969e+00
2.520000000000000018e+00,1.829295093640323611e+00
2.519699999999999829e+00,1.439116831405333308e+00
2.519400000000000084e+00,1.761690768683154218e+00
2.518499999999999961e+00,1.621269702816808156e+00
2.518100000000000005e+00,1.843266271303687587e+00
2.517799999999999816e+00,1.573000326643772429e+00
2.517500000000000071e+00,1.909412717292658490e+00
2.517100000000000115e+00,1.752980383400940756e+00
2.516999999999999904e+00,1.863178159496416963e+00
2.516500000000000181e+00,1.563883661269589664e+00
2.514100000000000001e+00,2.109683246563176517e+00
2.512300000000000200e+00,1.408208946253688421e+00
2.510400000000000187e+00,1.726085539692414406e+00
2.505999999999999783e+00,1.534907346710176590e+00
2.505799999999999805e+00,1.714183455722999572e+00
2.504500000000000171e+00,1.777057006679527040e+00
2.499899999999999789e+00,1.681579999213036913e+00
2.497199999999999864e+00,1.644800626848254899e+00
2.492199999999999971e+00,1.956415620621172025e+00
2.487200000000000077e+00,1.554854670534613570e+00
2.486099999999999977e+00,1.979163732436658218e+00
2.482400000000000162e+00,1.664041189549454902e+00
2.480799999999999894e+00,1.672371509317451599e+00
2.479400000000000048e+00,2.171346538839711737e+00
2.475499999999999812e+00,2.055779886096916975e+00
2.474400000000000155e+00,1.702431826800833381e+00
2.468700000000000117e+00,2.107043653009439410e+00
2.466099999999999959e+00,1.904302305118167782e+00
2.461899999999999977e+00,1.736653774653197813e+00
