# Temperature (K),delta_v_33/v_33
0.5456,1.5682241458899685e-06
0.5469,7.45429353300167e-07
0.5485,2.407326012197035e-07
0.5498,4.2510486743452995e-07
0.5514,1.5173887753335333e-06
0.5527,1.2264517531405294e-06
0.5539,2.0900273970332254e-06
0.5551,1.4109066928739403e-06
0.5568,9.645719295526807e-08
0.5581,2.3209887511509326e-07
0.5592,-2.262116286826034e-07
0.5606,7.026143604203056e-07
0.5618,1.5264225345393246e-06
0.5635,1.1260236770441873e-06
0.5647,2.049224120149814e-06
0.566,1.7838713486568628e-06
0.5673,9.969814301761707e-07
0.569,1.2530260198432316e-06
0.5706,2.659494983415505e-06
0.5719,1.7349559537017576e-06
0.5732,2.7919467082297754e-06
0.5744,1.3361071405975028e-06
0.5757,1.2998524039044214e-06
0.5774,1.4730652927622359e-06
0.579,2.2460233827409663e-06
0.5802,2.356708892675222e-06
0.5815,1.5292551404375503e-06
0.5827,2.8974412762687362e-06
0.5844,2.4517344432473153e-06
0.5857,2.0216604751537622e-06
0.5869,1.3067920784441927e-06
0.5882,1.6015569728896982e-06
0.5899,1.7183074695071703e-06
0.5911,6.478566752277814e-07
0.5923,2.819292735840669e-06
0.5935,3.5093658969440468e-06
0.5952,1.7088055082920033e-06
0.5964,2.7460218432993357e-06
0.5977,1.7438013881578333e-06
0.5989,1.1269762783895133e-06
0.6001,1.3973043187630335e-06
0.6018,2.756590509367179e-06
0.6031,1.091143425070601e-06
0.6043,2.3469922218218703e-06
0.6055,2.836642667362142e-06
0.6071,1.7514347217184795e-06
0.6084,1.5931803201206887e-06
0.6097,-1.0660909479970511e-08
0.6109,6.672873727173639e-07
0.6125,1.3962807269684706e-06
0.6138,2.1392193279952333e-06
0.615,3.1779644256466435e-06
0.6162,1.4182268273612073e-06
0.6174,1.584069904393096e-06
0.6191,3.1559129634223834e-06
0.6203,2.0253876214799255e-06
0.6215,1.880179031592437e-06
0.6227,2.845035697703505e-06
0.6243,1.925859917209521e-06
0.6255,2.295457112321076e-06
0.6267,2.5560240359792554e-06
0.6283,3.589319253100609e-06
0.6295,2.288380753071503e-06
0.6307,2.6951604365501133e-06
0.632,3.065017296971674e-06
0.6335,2.5142570958447728e-06
0.6348,3.387596417551292e-06
0.636,2.7388204150680616e-06
0.6372,1.1713339764318027e-06
0.6388,1.0214207487937185e-06
0.64,2.9013803292844692e-06
0.6413,1.7266122270166994e-06
0.6425,3.0043522952821397e-06
0.644,2.9020211767669037e-06
0.6452,2.3939575769703564e-06
0.6464,2.412302423967979e-06
0.6477,2.2893898944396012e-06
0.6493,2.0904299558718246e-06
0.6505,9.806075880786118e-07
0.6517,1.3833574872083979e-06
0.6529,2.668101223602209e-06
0.6545,4.424109166045422e-06
0.6558,4.247333108403588e-06
0.657,4.04140869189826e-06
0.6587,2.6908178390624803e-06
0.6598,3.735258059869498e-06
0.661,3.6384160615283913e-06
0.6627,3.492236381102883e-06
0.6639,3.1396735836038635e-06
0.6651,3.6040425213797157e-06
0.6667,3.5029204487754616e-06
0.6679,4.34433813526722e-06
0.6696,3.8068751284507006e-06
0.6708,4.327830349453422e-06
0.6725,2.202207503099776e-06
0.6737,2.0827900961313946e-06
0.6748,3.633980350415509e-06
0.6765,2.708670307682124e-06
0.6777,3.971142509307706e-06
0.6788,4.358144555205738e-06
0.68,2.6953184902038285e-06
0.6817,3.4069272272024766e-06
0.6829,3.3709360827726597e-06
0.6841,3.0937139683827797e-06
0.6857,3.1456308894675915e-06
0.6869,2.3972769270406633e-06
0.6882,3.3741927177159296e-06
0.6894,1.7918365101942128e-06
0.691,4.240076807657036e-06
0.6922,4.126545547127934e-06
0.6938,3.7470643482400914e-06
0.695,2.64025561123994e-06
0.6963,1.4965080216370333e-06
0.6975,3.515108735687971e-06
0.6991,2.3127613586042554e-06
0.7007,4.875248372421693e-06
0.702,5.173214157974177e-06
0.7032,5.263748454717955e-06
0.7045,4.662485221547055e-06
0.7061,5.315193529120002e-06
0.7073,4.2892476725654255e-06
0.7089,2.676071636773661e-06
0.7101,5.310291958457656e-06
0.7114,5.387266597208049e-06
0.7126,3.818696872398406e-06
0.7142,3.4350643759069186e-06
0.7154,3.1125691282916473e-06
0.7167,2.565426812359625e-06
0.7179,1.7885730187858402e-06
0.7195,2.5974087553833845e-06
0.7207,2.3436392982254835e-06
0.7219,2.969577489242683e-06
0.7231,2.8227805305562387e-06
0.7247,3.9268600053582984e-06
0.7259,3.432187161385474e-06
0.7271,3.285392339241668e-06
0.7282,3.2749937931374597e-06
0.7298,3.7883123316220302e-06
0.7311,2.72221041951839e-06
0.7323,2.478991475988535e-06
0.7335,2.842708539072558e-06
0.7351,4.088362227437273e-06
0.7364,5.502770158833547e-06
0.7375,4.599601577084277e-06
0.7387,3.234525704011725e-06
0.7403,3.532561034376338e-06
0.7415,4.2163016993220615e-06
0.7427,3.894555816703278e-06
0.7439,4.938092981406238e-06
0.7456,2.321287502480543e-06
0.7472,4.150059353276735e-06
0.7483,4.291900575053255e-06
0.7495,2.524446049564951e-06
0.7507,3.4308040591154174e-06
0.7524,3.6750682802195534e-06
0.7536,3.2337675844771e-06
0.7548,4.87476660400141e-06
0.7565,2.557146853557346e-06
0.7577,3.643858545275582e-06
0.7589,5.706848869084687e-06
0.7601,4.695862028604106e-06
0.7616,3.7711128674408184e-06
0.7629,3.2435955202433437e-06
0.7641,3.7672091213670393e-06
0.7653,5.33815425515678e-06
0.7669,3.6210084585239997e-06
0.7686,3.595963545395092e-06
0.7698,5.2787531385325764e-06
0.7714,3.91932280723682e-06
0.7726,3.2661638794413814e-06
0.7738,4.488555769153777e-06
0.7755,3.4468714962929988e-06
0.7767,4.3652309398432745e-06
0.7779,3.91304154803811e-06
0.7791,4.67133813141738e-06
0.7807,3.116115594842836e-06
0.7819,5.226089603825438e-06
0.7831,3.796708510519638e-06
0.7846,5.290165278582241e-06
0.7858,4.434303307776822e-06
0.787,4.194477881438896e-06
0.7883,3.4099744625997716e-06
0.7899,3.791225726165466e-06
0.791,4.461875848183974e-06
0.7922,2.8010889069151034e-06
0.7934,4.957693862224621e-06
0.7951,6.318199068046203e-06
0.7963,7.6063764542274725e-06
0.7979,5.8004284893493815e-06
0.7991,6.601415446067928e-06
0.8003,5.542152434762792e-06
0.8015,5.1969203942509354e-06
0.8031,4.349539910660961e-06
0.8043,4.772059717774699e-06
0.8055,4.994327576289783e-06
0.8068,5.216444065350584e-06
0.8084,5.1986299804730344e-06
0.8096,5.093407169088119e-06
0.8107,5.05646636494246e-06
0.8119,4.939350088206039e-06
0.8132,4.421411697994425e-06
0.8149,3.990349571784152e-06
0.816,4.746040969111768e-06
0.8172,5.703712170455322e-06
