# Temperature (K),delta_v_33/v_33
1.3288,1.3821855066431521e-05
1.3283,1.3821547049987844e-05
1.3274,1.4108952448123172e-05
1.3267,1.3721759462088446e-05
1.3259,1.3551118527792012e-05
1.3249,1.3561259186115374e-05
1.3243,1.3776311715412229e-05
1.3235,1.3843482638430072e-05
1.3226,1.4159852454559928e-05
1.3221,1.3914962850715027e-05
1.3212,1.3457898386017681e-05
1.3205,1.3247299661993275e-05
1.3197,1.3507653515881497e-05
1.3188,1.3634308079145852e-05
1.3181,1.3627514248701887e-05
1.3173,1.3111690087512962e-05
1.3165,1.3535383577991864e-05
1.3158,1.348671007171486e-05
1.3149,1.329913219219451e-05
1.3143,1.3403428309027453e-05
1.3135,1.353022071592301e-05
1.3126,1.3370939661720357e-05
1.3118,1.29059953074877e-05
1.3112,1.4252774175197444e-05
1.3103,1.3431578798101516e-05
1.3098,1.3819446109699675e-05
1.3089,1.3153661582819087e-05
1.3082,1.34706634748725e-05
1.3074,1.382605662489985e-05
1.3067,1.3554746841454226e-05
1.3061,1.4164298191610776e-05
1.3052,1.3267583269661214e-05
1.3044,1.3436670046278578e-05
1.3036,1.3603928361491141e-05
1.3028,1.3625312203374013e-05
1.3022,1.3285877850904956e-05
1.3013,1.3670256110587297e-05
1.3005,1.2959881257282692e-05
1.2998,1.3879366241186853e-05
1.2989,1.3939889704507472e-05
1.2982,1.303219699585567e-05
1.2976,1.343819218795376e-05
1.2967,1.3402230650628295e-05
1.2959,1.355958609492602e-05
1.2952,1.3810872577665672e-05
1.2946,1.380723190923369e-05
1.2935,1.34154028336445e-05
1.2929,1.3490996715071813e-05
1.2922,1.316662169529079e-05
1.2913,1.3459359963125016e-05
1.2906,1.3427394593557907e-05
1.29,1.352097772970535e-05
1.2892,1.3402355017779909e-05
1.2883,1.3505093874638342e-05
1.2876,1.3718567330029926e-05
1.2867,1.3903858624029466e-05
1.2861,1.377887613423568e-05
1.2853,1.3705072787061675e-05
1.2843,1.345716928137275e-05
1.2836,1.3447761125336241e-05
1.2827,1.3850542731346828e-05
1.2819,1.3521660228750477e-05
1.2813,1.3344433639565919e-05
1.2802,1.365347837775356e-05
1.2796,1.3380357927203132e-05
1.2787,1.328245937284422e-05
1.2778,1.3335883377119237e-05
1.2772,1.3548675553901556e-05
1.2766,1.3045829565977863e-05
1.2757,1.3883862381417486e-05
1.275,1.3676378875244664e-05
1.274,1.3612288736360536e-05
1.2735,1.3826794393235857e-05
1.2728,1.3530424863665775e-05
1.272,1.3782969025266385e-05
1.2711,1.3809128487628675e-05
1.2705,1.3226322869661316e-05
1.2696,1.3638971320814857e-05
1.2688,1.3384794662234419e-05
1.268,1.3400649837995101e-05
1.2672,1.2831710666130313e-05
1.2664,1.3242508855552157e-05
1.2652,1.3700991050391933e-05
1.2646,1.3439701274868326e-05
1.2636,1.3700388869511632e-05
1.2629,1.3354357355058394e-05
1.2622,1.3870927498541377e-05
1.2614,1.3766026654819102e-05
1.2606,1.3466816649472177e-05
1.2597,1.3101663101483128e-05
1.2591,1.3386610264189873e-05
1.2583,1.3137210160071345e-05
1.2574,1.3813165732795324e-05
1.2567,1.3706792343089733e-05
1.2558,1.3213542188750965e-05
1.2553,1.358159682138759e-05
1.2545,1.3432207721480658e-05
1.2535,1.3399873841761956e-05
1.2527,1.3206168745612029e-05
1.2521,1.327759379460687e-05
1.2514,1.3334465284331075e-05
1.2506,1.2876077656940167e-05
1.2497,1.3835712621823766e-05
1.2489,1.3922390110429183e-05
1.2481,1.3388321039576245e-05
1.2472,1.3385256763125282e-05
1.2464,1.389226710706064e-05
1.2456,1.3429699815657812e-05
1.2448,1.3863055988441177e-05
1.2442,1.3013130727344184e-05
1.2432,1.3350353559234108e-05
1.2425,1.3405554445043721e-05
1.2416,1.3923350603748828e-05
1.2411,1.315769267019591e-05
1.2402,1.2962652672597055e-05
1.2392,1.304559411579925e-05
1.2384,1.406151887587678e-05
1.2377,1.3303997765945215e-05
1.2369,1.395508504107234e-05
1.2363,1.3422477614380033e-05
1.2355,1.3426417899532717e-05
1.2347,1.320026481187376e-05
1.2338,1.3353671970277564e-05
1.2331,1.3425519903075684e-05
1.2323,1.3709955196017864e-05
1.2317,1.3649367672050159e-05
1.2307,1.3255571721693311e-05
1.23,1.35176461696859e-05
1.229,1.326815369485034e-05
1.2283,1.3321656749690333e-05
1.2275,1.3524486364468666e-05
1.2269,1.3318626188980832e-05
1.2261,1.344814603072489e-05
1.2251,1.324966168010606e-05
1.2243,1.369432038303474e-05
1.2236,1.3486104877659887e-05
1.2227,1.3723071048962819e-05
1.222,1.3652771707010263e-05
1.2213,1.3203789983121496e-05
1.2205,1.3307654454498461e-05
1.2196,1.3441634478815185e-05
1.219,1.3303285360237059e-05
1.2182,1.3473169196645313e-05
1.2173,1.32906250515485e-05
1.2166,1.3368055674762961e-05
1.2158,1.3508023893478633e-05
1.2149,1.3538433419895248e-05
1.2143,1.3401262685474409e-05
1.2137,1.3583227340850093e-05
1.2129,1.295335816323015e-05
1.2122,1.2873902788351722e-05
1.2113,1.3408653267465152e-05
1.2107,1.3720896371407327e-05
1.2098,1.338259842468783e-05
1.2092,1.3356307740046891e-05
1.2084,1.348357433109663e-05
1.2075,1.365859088511308e-05
1.2069,1.359590479378084e-05
1.2061,1.3380828112129987e-05
1.2053,1.3891792150094306e-05
