# T (K), alpha_33 (Neper/m)
2.512500000000000178e+00,-4.424833855453016440e-01
2.512399999999999967e+00,-2.648756210523970367e-01
2.512300000000000200e+00,1.886038857244329847e-01
2.512100000000000222e+00,3.687233289085725119e-01
2.512000000000000011e+00,3.311894413427580730e-01
2.511800000000000033e+00,4.683517749890597770e-02
2.511699999999999822e+00,-3.856399101939587126e-01
2.511299999999999866e+00,-8.419958695892546530e-01
2.511200000000000099e+00,-9.569170789013696776e-01
2.511099999999999888e+00,-8.083579331903365528e-01
2.511000000000000121e+00,-6.202367260709706898e-01
2.510800000000000143e+00,-3.722142941469428479e-01
2.510699999999999932e+00,2.986442962712771987e-01
2.510600000000000165e+00,6.133156858641086728e-01
2.510499999999999954e+00,7.338752723728703131e-01
2.510299999999999976e+00,1.444638260045849165e+00
2.510200000000000209e+00,1.940721179474394376e+00
2.509999999999999787e+00,2.039270889048339086e+00
2.509799999999999809e+00,2.141858462319305545e+00
2.509700000000000042e+00,1.853910643868630359e+00
2.509599999999999831e+00,1.109372733477584916e+00
2.509500000000000064e+00,1.024387966250060344e+00
2.509399999999999853e+00,9.242167825134401937e-01
2.509300000000000086e+00,5.545011302799593977e-01
2.509199999999999875e+00,6.357480463914271240e-01
2.509100000000000108e+00,7.555813963635955588e-01
2.508999999999999897e+00,2.376859676173808111e-01
2.508900000000000130e+00,-2.490381932968830370e-01
2.508799999999999919e+00,-4.448413779934980994e-01
2.508599999999999941e+00,-5.132750235882213019e-01
2.508500000000000174e+00,-7.539304357203491236e-01
2.508399999999999963e+00,-1.147696320788327284e-01
2.508300000000000196e+00,4.720651672885196604e-01
2.508100000000000218e+00,8.723938712291783304e-01
2.508000000000000007e+00,1.109831498792573257e+00
2.507899999999999796e+00,1.572050164063057309e+00
2.507699999999999818e+00,1.025511914494018129e+00
2.507499999999999840e+00,9.560085287341735238e-01
2.507299999999999862e+00,8.063288982632457191e-01
2.507200000000000095e+00,6.140031209181415761e-01
2.507099999999999884e+00,4.381544896803006850e-01
2.506699999999999928e+00,9.537046826235382468e-01
2.506600000000000161e+00,1.149003759328707019e+00
2.506499999999999950e+00,1.644840147031345623e+00
2.506400000000000183e+00,2.275802127568113065e+00
2.506299999999999972e+00,2.059843440850954721e+00
2.506200000000000205e+00,1.463453474020298017e+00
2.506099999999999994e+00,1.037199101564510784e+00
2.505999999999999783e+00,5.564874855242578633e-01
2.505700000000000038e+00,2.184087320254093356e-01
2.505500000000000060e+00,4.325936479924621381e-01
2.505399999999999849e+00,8.666969575185703434e-01
2.505199999999999871e+00,1.098560934580063986e+00
2.504999999999999893e+00,1.068333372481902188e+00
2.504799999999999915e+00,9.066083661070933886e-01
2.504700000000000149e+00,1.007250041772977056e+00
2.504599999999999937e+00,9.590124938661119813e-01
2.504399999999999959e+00,5.695835236367656762e-01
2.504300000000000193e+00,5.682651350473406637e-01
2.504199999999999982e+00,6.093631342832850351e-01
2.504000000000000004e+00,6.163551932786504040e-02
2.503899999999999793e+00,-2.380709264928100310e-01
2.503800000000000026e+00,-3.516625222202947043e-01
2.503699999999999815e+00,-7.077368987934278266e-01
2.503600000000000048e+00,-8.560030085884591244e-01
2.503400000000000070e+00,-6.219407710864288674e-01
2.503299999999999859e+00,-9.225190793838464742e-01
2.503200000000000092e+00,-8.226899625244641356e-01
2.503099999999999881e+00,-5.279399814585303830e-01
2.502899999999999903e+00,-5.086086873291151278e-01
2.502800000000000136e+00,-4.476055228594759683e-01
2.502699999999999925e+00,-9.382058930691528076e-02
2.502499999999999947e+00,-4.384731657683005324e-02
2.502400000000000180e+00,6.028344381138595054e-02
2.502299999999999969e+00,6.487942089058833517e-01
2.501999999999999780e+00,9.771584651282410050e-01
2.501900000000000013e+00,1.358793561227003011e+00
2.501700000000000035e+00,1.578729312013592789e+00
2.501500000000000057e+00,1.340563981796094595e+00
2.501399999999999846e+00,1.064101730190486705e+00
2.501300000000000079e+00,6.901835232879420801e-01
2.501199999999999868e+00,2.449365628790474148e-01
2.501100000000000101e+00,6.202304840926444740e-01
2.500999999999999890e+00,1.385962841842456328e+00
2.500900000000000123e+00,1.028668152909858691e+00
2.500799999999999912e+00,1.598667088287129445e+00
2.500500000000000167e+00,1.380192482904476492e+00
2.500399999999999956e+00,3.225976325070405437e-01
2.500300000000000189e+00,-5.280216867458875640e-02
2.500000000000000000e+00,5.093679762410374678e-01
2.499899999999999789e+00,3.857153507381099189e-01
2.499800000000000022e+00,1.208903591569878699e+00
2.499699999999999811e+00,1.961190954266385233e+00
2.499600000000000044e+00,1.827804600088938969e+00
2.499400000000000066e+00,1.326652367491078621e+00
2.499299999999999855e+00,8.321394568622508814e-01
2.499200000000000088e+00,4.863521849176777323e-01
2.499000000000000110e+00,4.686105227995085443e-01
2.498899999999999899e+00,6.540399218640686740e-01
2.498800000000000132e+00,7.534154663060235180e-01
2.498699999999999921e+00,1.105408208825338079e+00
2.498499999999999943e+00,1.279882390188276986e+00
2.498299999999999965e+00,1.184659575807245346e+00
2.498000000000000220e+00,1.130553298376071325e+00
2.497799999999999798e+00,1.089520580603220878e+00
2.497700000000000031e+00,9.644280569302736694e-01
2.497599999999999820e+00,7.890441003628438921e-01
2.497300000000000075e+00,1.007902114648686620e+00
2.497199999999999864e+00,8.957753868389772833e-01
2.497100000000000097e+00,8.305395664031038905e-01
2.496999999999999886e+00,8.946338884788929136e-01
2.496900000000000119e+00,7.932761572965318919e-01
2.496700000000000141e+00,2.626770443771420105e-01
2.496500000000000163e+00,1.895110296575239772e-01
2.496300000000000185e+00,-1.855723946709986194e-02
2.495999999999999996e+00,1.413512693334268988e-01
2.495800000000000018e+00,1.673313652013348474e-01
2.495699999999999807e+00,3.664672829349910899e-01
2.495600000000000041e+00,1.077092164453006262e-01
2.495400000000000063e+00,1.635908794496572227e-01
2.495299999999999851e+00,-2.091319579317314492e-01
2.495200000000000085e+00,-1.112979474978601502e-01
2.495000000000000107e+00,-1.855520163173878245e-01
2.494899999999999896e+00,2.920015732183856016e-02
2.494800000000000129e+00,3.297587466565801151e-01
2.494499999999999940e+00,4.212259805260600842e-01
2.494299999999999962e+00,4.353228841291638673e-01
2.494000000000000217e+00,7.518617531366089679e-01
2.493900000000000006e+00,1.001832462249922173e+00
2.493799999999999795e+00,1.056324495895523796e+00
2.493599999999999817e+00,1.351319019725679027e+00
2.493500000000000050e+00,1.430181023917384664e+00
2.493399999999999839e+00,1.318116980560489537e+00
2.493300000000000072e+00,9.291172007297063828e-01
2.493199999999999861e+00,8.899983428266295959e-01
2.493100000000000094e+00,4.693295632396257133e-01
2.492999999999999883e+00,-2.973950923546908598e-02
2.492900000000000116e+00,-5.670632506289621233e-01
2.492599999999999927e+00,-4.781046719033383852e-01
2.492399999999999949e+00,-8.929642434966353903e-01
2.492300000000000182e+00,-1.243258328762522069e+00
2.491899999999999782e+00,-1.336447952452544996e+00
2.491800000000000015e+00,-1.136317626978325279e+00
2.491699999999999804e+00,-1.080083370113243291e+00
2.491600000000000037e+00,-8.054042760725224070e-01
2.491499999999999826e+00,-3.153101916284413164e-01
2.491200000000000081e+00,-1.116802678304793517e-01
2.491000000000000103e+00,4.895004788636470039e-02
2.490899999999999892e+00,5.820446898223963217e-02
2.490699999999999914e+00,-3.173173228722134809e-01
2.490600000000000147e+00,-1.042646806207585541e+00
2.490499999999999936e+00,-7.069466198654481559e-01
2.490400000000000169e+00,-5.047792432806090801e-01
2.490200000000000191e+00,-6.999565880489626579e-01
2.490000000000000213e+00,-4.322630266985925118e-01
2.489700000000000024e+00,3.076070925476415141e-01
2.489500000000000046e+00,3.151289407187505276e-01
2.489399999999999835e+00,2.123622869630708010e-01
2.489100000000000090e+00,5.029061646689569898e-01
2.488900000000000112e+00,5.896906196744566842e-01
2.488700000000000134e+00,4.080826155166050739e-01
2.488500000000000156e+00,2.115624520718029089e-01
2.488399999999999945e+00,-1.208468056959191017e-01
2.488300000000000178e+00,-2.131383082689808361e-01
2.488100000000000200e+00,-6.711991930842486909e-02
2.487999999999999989e+00,2.736054567294559092e-01
2.487800000000000011e+00,3.534852999750910385e-01
2.487600000000000033e+00,8.160648659943490202e-01
2.487400000000000055e+00,9.178999749151444121e-01
2.487299999999999844e+00,6.932338924518717249e-01
2.487200000000000077e+00,4.383953527453741117e-01
2.487000000000000099e+00,5.340340584307341487e-01
