# T (K), dc/c (x 1e-5)
2.312600000000000211e+00,-0.000000000000000000e+00
2.309699999999999864e+00,-7.804030452548613161e-03
2.305200000000000138e+00,-2.847997353395558262e-01
2.298000000000000043e+00,-1.371120345135235508e-01
2.278300000000000214e+00,-4.709766101869752863e-01
2.265299999999999869e+00,-2.176346922749534674e-01
2.257600000000000051e+00,-5.276280623154835370e-01
2.257299999999999862e+00,-4.871333215130443373e-01
2.256600000000000161e+00,-9.765794378652822849e-02
2.256299999999999972e+00,-3.609672738999069042e-01
2.256099999999999994e+00,-2.011882209586855208e-01
2.255599999999999827e+00,-2.383569901821596948e-01
2.255399999999999849e+00,-3.011193323569530400e-01
2.255100000000000104e+00,-5.580008992665373979e-01
2.254599999999999937e+00,-3.629760789999902371e-01
2.254199999999999982e+00,-5.769226232839731461e-01
2.254000000000000004e+00,-3.220467005517549386e-01
2.253400000000000070e+00,-1.688369565979288001e-01
2.253099999999999881e+00,-2.598469351407163841e-01
2.252899999999999903e+00,-1.184588643908567329e-01
2.252099999999999991e+00,-2.258451355086976975e-01
2.251900000000000013e+00,-3.631069076852995181e-01
2.251599999999999824e+00,-1.157414133134472001e-01
2.250900000000000123e+00,-9.019601064074464492e-02
2.250599999999999934e+00,-1.426435028435159846e-01
2.250300000000000189e+00,-1.822749255967663906e-01
2.249800000000000022e+00,-1.467181963795598579e-02
2.249499999999999833e+00,-2.792186038999035225e-03
2.249200000000000088e+00,-1.222946578708912352e-01
2.248800000000000132e+00,-9.360109376906328160e-02
2.248499999999999943e+00,-7.058295078913451315e-02
2.248299999999999965e+00,-4.209911002474222563e-01
2.247599999999999820e+00,-2.942627005168081955e-01
2.247399999999999842e+00,-7.246655292746095878e-02
2.247199999999999864e+00,-8.069305639908869177e-02
2.246700000000000141e+00,-3.193920681939182993e-02
2.246500000000000163e+00,-5.332009052512465264e-03
2.246300000000000185e+00,-1.901532459617637505e-01
2.245800000000000018e+00,-1.944229594035657982e-01
2.245499999999999829e+00,-1.934327354237126984e-01
2.244899999999999896e+00,-4.495682203421442757e-01
2.244699999999999918e+00,-2.793718660440793755e-01
2.244299999999999962e+00,-3.316807656838388074e-01
2.243799999999999795e+00,-2.918433337891477852e-01
2.243599999999999817e+00,-5.538332451858712924e-01
2.243300000000000072e+00,-7.175909924830251585e-01
2.242799999999999905e+00,-7.388860722704038153e-01
2.242599999999999927e+00,-5.300687768860601334e-01
2.242100000000000204e+00,2.650448427279992331e-03
2.231500000000000039e+00,-7.633139257800115596e-01
2.206399999999999917e+00,-6.684104870446059277e-01
2.141700000000000159e+00,-7.036837970893173866e-01
2.100800000000000001e+00,-6.290781162018149741e-01
2.024700000000000166e+00,-1.049468081588966539e+00
1.992099999999999982e+00,-1.283131398888506247e+00
1.963899999999999979e+00,-1.223698227535946259e+00
1.922199999999999909e+00,-1.291778072702327140e+00
1.913399999999999990e+00,-1.279471668375433469e+00
1.911599999999999966e+00,-1.286227261650509490e+00
1.911000000000000032e+00,-1.372317440352210483e+00
1.910500000000000087e+00,-9.653597447605694049e-01
1.909799999999999942e+00,-1.381117196354861854e+00
1.909699999999999953e+00,-1.316144763474126345e+00
1.909599999999999964e+00,-1.065214261703167464e+00
1.909499999999999975e+00,-1.085600660444177246e+00
1.909100000000000019e+00,-9.479821156053590547e-01
1.908700000000000063e+00,-1.348853126264116797e+00
1.908500000000000085e+00,-7.730161883326793770e-01
1.908300000000000107e+00,-5.863356923243938645e-01
1.908099999999999907e+00,-1.608110960184564897e+00
1.907699999999999951e+00,-1.099460887733988868e+00
1.907499999999999973e+00,-1.206116958923464155e+00
1.906700000000000061e+00,-1.207420834742941818e+00
1.905999999999999917e+00,-1.209779801294660562e+00
1.904900000000000038e+00,-1.147330760560116403e+00
1.902400000000000091e+00,-9.979350247951214170e-01
1.901200000000000001e+00,-9.758748867356591417e-01
1.898400000000000087e+00,-1.263156054687674557e+00
1.896900000000000031e+00,-8.790901316058953308e-01
1.895299999999999985e+00,-1.362444758847621396e+00
1.891999999999999904e+00,-1.553732143099167073e+00
1.890300000000000091e+00,-1.699209730036076449e+00
1.888500000000000068e+00,-1.319054883995682603e+00
1.886600000000000055e+00,-1.389575744449741190e+00
1.882800000000000029e+00,-1.374337205147088348e+00
1.880800000000000027e+00,-1.284998844118599548e+00
1.878800000000000026e+00,-1.262082137118761604e+00
1.876800000000000024e+00,-1.504728214485903770e+00
1.872900000000000009e+00,-1.145416246412964911e+00
1.870999999999999996e+00,-8.734348569858565448e-01
1.869199999999999973e+00,-9.880345347432597514e-01
1.867299999999999960e+00,-9.891059932083754447e-01
1.864400000000000057e+00,-1.057368856372279842e+00
1.863899999999999890e+00,-1.556434712330419634e+00
