"t","n1","n2"
1.06,0,0.507444578254611
1.07,0,0.5024937810560445
1.08,0,0.4974937185533099
1.09,0,0.4924428900898052
1.1,0,0.4873397172404481
1.11,0,0.48218253804964767
1.12,0,0.4769696007084728
1.1300000000000001,0,0.4716990566028301
1.1400000000000001,0,0.46636895265444067
1.1500000000000001,0,0.46097722286464426
1.16,0,0.45552167895721496
1.17,0,0.45
1.18,0,0.44440972086577946
1.19,0,0.4387482193696061
1.2,0,0.4330127018922193
1.21,0,0.42720018726587655
1.22,0,0.42130748865881795
1.23,0,0.4153311931459037
1.24,0,0.4092676385936225
1.25,0,0.40311288741492746
1.26,0,0.39686269665968854
1.27,0,0.39051248379533265
1.28,0,0.38405728739343037
1.29,0,0.37749172176353746
1.3,0,0.3708099243547831
1.31,0,0.36400549446402586
1.32,0,0.35707142142714243
1.33,0,0.3499999999999999
1.34,0,0.3427827300200521
1.35,0,0.33541019662496835
1.36,0,0.3278719262150999
1.37,0,0.32015621187164234
1.3800000000000001,0,0.3122498999199198
1.3900000000000001,0,0.30413812651491084
1.4000000000000001,0,0.29580398915498063
1.41,0,0.2872281323269015
1.42,0,0.2783882181415011
1.43,0,0.26925824035672524
1.44,0,0.25980762113533157
1.45,0,0.25
1.46,0,0.23979157616563598
1.47,0,0.22912878474779197
1.48,0,0.21794494717703364
1.49,0,0.20615528128088298
1.5,0,0.1936491673103708
1.51,0,0.1802775637731994
1.52,0,0.1658312395177699
1.53,0,0.14999999999999988
1.54,0,0.13228756555322937
1.55,0,0.11180339887498929
1.56,0,0.08660254037844359
1.57,0,0.04999999999999947
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.6300000000000001,0,0
1.6400000000000001,0,0
1.6500000000000001,0,0
1.6600000000000001,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0,0
1.8,0,0
1.81,0,0
1.82,0,0
1.83,0,0
1.84,0,0
1.85,0,0
1.86,0,0
1.87,0,0
1.8800000000000001,0,0
1.8900000000000001,0,0
1.9000000000000001,0,0
1.9100000000000001,0,0
1.92,0,0
1.93,0,0
1.94,0,0
1.95,0,0
1.96,0,0
1.97,0,0
1.98,0,0
1.99,0,0
2.,0,0
2.0100000000000002,0,0
2.02,0,0
2.0300000000000002,0,0
2.04,0,0
2.05,0,0
2.06,0,0
2.07,0,0
2.08,0,0
2.09,0,0
2.1,0,0
2.11,0,0
2.12,0,0
2.13,0,0
2.14,0,0
2.15,0,0
2.16,0,0
2.17,0,0
2.18,0,0
2.19,0,0
2.2,0,0
2.21,0,0
2.22,0,0
2.23,0,0
2.24,0,0
2.25,0,0
2.2600000000000002,0,0
2.27,0,0
2.2800000000000002,0,0
2.29,0,0
2.3000000000000003,0,0
2.31,0,0
2.32,0,0
2.33,0,0
2.34,0,0
2.35,0,0
2.36,0,0
2.37,0,0
2.38,0,0
2.39,0,0
2.4,0,0
2.41,0,0
2.42,0,0
2.43,0,0
2.44,0,0
2.45,0,0
2.46,0,0
2.47,0,0
2.48,0,0
2.49,0,0
2.5,0,0
2.5100000000000002,0,0
2.52,0,0
2.5300000000000002,0,0
2.54,0,0
2.5500000000000003,0,0
2.56,0,0
2.57,0,0
2.58,0,0
2.59,0,0
2.6,0,0
2.61,0,0
2.62,0,0
2.63,0,0
2.64,0,0
2.65,0,0
2.66,0,0
2.67,0,0
2.68,0,0
2.69,0,0
2.7,0,0
2.71,0,0
2.72,0,0
2.73,0,0
2.74,0,0
2.75,0,0
2.7600000000000002,0,0
2.77,0,0
2.7800000000000002,0,0
2.79,0,0
2.8000000000000003,0,0
2.81,0,0
2.82,0,0
2.83,0,0
2.84,0,0
2.85,0,0
2.86,0,0
2.87,0,0
2.88,0,0
2.89,0,0
2.9,0,0
2.91,0,0
2.92,0,0
2.93,0,0
2.94,0,0
2.95,0,0
2.96,0,0
2.97,0,0
2.98,0,0
2.99,0,0
3.,0,0
