P,B,T
0.11,8.62,0.9
0.11,8.87,0.6
0.11,9.12,0.3
0.19,2.0,1.22
0.19,2.31,1.3
0.19,2.64,1.2
0.19,3.0,1.0
0.19,3.5,0.9
0.19,4.0,0.77
0.19,5.0,0.61
0.19,5.1,0.6
0.19,5.9,0.3
0.19,6.0,0.42
0.21,0.0,0.98
0.21,1.0,0.88
0.21,1.42,0.9
0.21,2.0,0.8
0.21,3.0,0.71
0.21,3.9,0.6
0.21,4.0,0.57
0.21,5.2,0.3
0.22,0.45,0.3
0.22,0.57,0.4
0.22,1.0,0.57
0.22,2.0,0.6
0.22,3.0,0.52
0.22,3.5,0.4
0.22,3.83,0.3
