P,B,T
0.11,8,1.28
0.11,9,1.19
0.11,10,1.18
0.19,3,1.46
0.19,4,1.45
0.19,5,1.43
0.19,6,1.41
0.19,7,1.4
0.21,0,1.51
0.21,1,1.5
0.21,2,1.5
0.21,3,1.45
0.21,4,1.43
0.21,5,1.43
0.21,6,1.43
0.22,0,1.55
0.22,1,1.545
0.22,2,1.545
0.22,3,1.54
0.22,4,1.546
0.22,6,1.51
