# B (T), \delta v/v
8.399999999999999481e-03,-0.000000000000000000e+00
1.739999999999999880e-02,2.544746463936339072e-06
2.620000000000000107e-02,2.285455751338506206e-06
3.479999999999999760e-02,1.285262925382921022e-06
4.370000000000000273e-02,2.749170055127338891e-07
5.240000000000000213e-02,2.594481528606453792e-07
6.099999999999999867e-02,-1.447152442942832747e-07
7.000000000000000666e-02,2.318421499556029552e-06
7.870000000000000606e-02,1.726311391768561507e-06
8.740000000000000546e-02,2.650242725447309131e-06
9.610000000000000486e-02,5.291174530200012417e-07
1.048000000000000043e-01,8.656970277697711991e-07
1.136999999999999955e-01,2.511843270962190334e-06
1.223000000000000059e-01,1.435783143314672133e-06
1.308999999999999886e-01,1.193222803643021347e-06
1.396000000000000019e-01,4.873909823188650112e-07
1.486999999999999988e-01,1.398015211299832947e-06
1.587999999999999967e-01,1.598415320922192198e-06
1.680000000000000104e-01,8.657133434053000155e-07
1.792999999999999872e-01,1.395773830559535970e-06
1.879000000000000115e-01,1.338432353047494527e-06
1.970000000000000084e-01,9.557574764664455123e-07
2.068000000000000116e-01,1.863364975690734535e-06
2.154999999999999971e-01,2.002403424647392592e-06
2.242000000000000104e-01,1.055220930030857391e-06
2.328999999999999959e-01,1.491135405250762838e-06
2.419999999999999929e-01,2.190733723399370617e-06
2.506999999999999784e-01,9.123098968419601079e-07
2.594000000000000195e-01,1.188484199484221310e-06
2.681000000000000050e-01,1.946805146163293945e-06
2.770000000000000240e-01,2.905100818023404093e-06
2.857999999999999985e-01,1.402402850405335202e-06
2.944999999999999840e-01,1.137280909930746264e-06
3.030999999999999805e-01,3.556777590691968111e-07
3.119999999999999996e-01,1.626576971466224108e-06
3.206999999999999851e-01,2.472151179057932666e-06
3.310000000000000164e-01,1.700875033230919448e-06
3.397000000000000020e-01,3.590558859813824943e-06
3.487000000000000099e-01,1.562463666200577389e-06
3.583999999999999964e-01,2.794987964387682204e-06
3.670999999999999819e-01,1.405341267310638957e-06
3.756999999999999784e-01,1.265513662660714290e-06
3.844000000000000195e-01,1.173500205146546516e-06
3.931000000000000050e-01,1.885711240164392698e-06
4.020000000000000240e-01,2.337097912563732699e-06
4.106000000000000205e-01,1.150968783471847771e-06
4.213999999999999968e-01,2.863821262592684044e-06
4.312000000000000277e-01,1.862247160570537369e-06
4.398000000000000242e-01,1.871979556290705084e-06
4.486999999999999877e-01,1.106953838798431251e-06
4.573999999999999733e-01,5.298298443511483512e-07
4.660000000000000253e-01,2.878547681910885794e-07
4.744999999999999774e-01,1.942545842255132774e-06
4.835999999999999743e-01,4.587304911550884635e-07
4.923000000000000154e-01,-1.404237601567749627e-07
5.008000000000000229e-01,1.834805219374233739e-06
5.094999999999999529e-01,2.316575178528540446e-06
5.181999999999999940e-01,6.052589589166865180e-07
5.271000000000000130e-01,1.874830114370000089e-06
5.358000000000000540e-01,1.901652629836411094e-06
5.449000000000000510e-01,2.250558150543823226e-06
5.557999999999999607e-01,1.121946915765773944e-06
5.645000000000000018e-01,1.713186312023347053e-06
5.732000000000000428e-01,2.307345386347780733e-06
5.826999999999999957e-01,1.810543778111336610e-06
5.914000000000000368e-01,2.101764371759584811e-06
6.008000000000000007e-01,1.413548989028521122e-06
6.094000000000000528e-01,1.483857908764901756e-06
6.180999999999999828e-01,2.418226951877988640e-07
6.270000000000000018e-01,2.770115146516428841e-06
6.357000000000000428e-01,2.104579204542081274e-06
6.444999999999999618e-01,9.567491567123416821e-07
6.531000000000000139e-01,1.943763621577501970e-06
6.621000000000000218e-01,2.124068689241627103e-06
6.707999999999999519e-01,2.932000311306730972e-06
6.794000000000000039e-01,-2.127336111589937448e-07
6.881000000000000449e-01,1.379009226725694693e-06
6.971000000000000529e-01,1.014896228406349330e-06
7.056000000000000050e-01,1.339873832450458498e-06
7.143000000000000460e-01,2.334310809622229099e-06
7.228999999999999870e-01,2.849797387993768024e-06
7.320999999999999730e-01,1.346321770667995715e-06
7.408000000000000140e-01,2.133544348053803032e-06
7.493999999999999551e-01,1.114437240984226304e-06
7.580999999999999961e-01,1.861343719151151502e-06
7.670000000000000151e-01,1.400874380318509194e-06
7.755999999999999561e-01,2.258945249209245738e-06
7.842999999999999972e-01,2.099863726798723192e-06
7.930000000000000382e-01,1.840561220456144332e-06
8.021000000000000352e-01,2.233462433742317097e-06
8.106999999999999762e-01,1.705540153973535925e-06
8.194000000000000172e-01,1.891289490286573050e-06
8.280999999999999472e-01,1.637995440354140034e-06
8.370999999999999552e-01,2.521230070623100856e-06
8.457999999999999963e-01,1.494069955278924753e-06
8.544000000000000483e-01,2.908680239121358424e-06
8.630999999999999783e-01,6.489891918316477784e-07
8.721999999999999753e-01,-6.384004641910132234e-07
8.809000000000000163e-01,2.687066427786146891e-06
8.895999999999999464e-01,2.047463029061790969e-06
8.981999999999999984e-01,1.776327470593872752e-06
9.071000000000000174e-01,2.223744013894475135e-06
9.161000000000000254e-01,2.228329377697974272e-06
9.247999999999999554e-01,2.035087415128578742e-06
9.336999999999999744e-01,1.474758074607109178e-06
9.424000000000000155e-01,2.035788489548884250e-06
9.509999999999999565e-01,2.113281652506965834e-06
9.596999999999999975e-01,2.149548116544945393e-06
9.687000000000000055e-01,2.286992438440996027e-06
9.772999999999999465e-01,7.758140169885317794e-07
9.859999999999999876e-01,1.235951010804541179e-06
9.946000000000000396e-01,2.252437032847958223e-06
1.006299999999999972e+00,-4.371866296582838443e-07
1.015300000000000091e+00,1.369850755069128463e-06
1.024899999999999922e+00,1.169239245720160667e-06
1.035800000000000054e+00,3.480691672865616690e-06
1.044399999999999995e+00,4.592959402834723669e-07
1.053099999999999925e+00,1.503939467884158644e-06
1.062500000000000000e+00,2.063221548660829508e-06
1.071099999999999941e+00,2.522021624082380984e-06
1.079800000000000093e+00,1.582602666568206674e-06
1.088799999999999990e+00,2.955935245539719012e-06
1.097399999999999931e+00,8.166101422687403570e-07
1.107299999999999951e+00,1.331703657418876769e-06
1.115899999999999892e+00,1.680738521864645445e-06
1.124600000000000044e+00,1.766817009093784273e-06
1.133799999999999919e+00,1.927041883373597358e-06
1.142500000000000071e+00,4.452047384665910879e-07
1.152500000000000080e+00,2.339944049345389805e-06
1.161200000000000010e+00,1.737902568938072805e-06
1.169799999999999951e+00,1.914948844509197900e-06
1.178800000000000070e+00,2.824283815831363318e-06
1.187400000000000011e+00,2.102365415846860989e-06
1.195999999999999952e+00,1.306600371089395099e-06
1.204700000000000104e+00,2.424320356143796085e-06
1.213799999999999990e+00,2.064682294142488987e-06
1.222499999999999920e+00,1.870406971811238925e-06
1.231100000000000083e+00,2.410118144904503049e-06
1.239700000000000024e+00,2.015463295219530569e-06
1.248799999999999910e+00,2.146541756951707552e-06
1.257500000000000062e+00,1.614787989854236678e-06
1.266199999999999992e+00,1.306676329238779140e-06
1.274799999999999933e+00,2.275801398782934231e-06
1.283800000000000052e+00,2.367026088422301972e-07
1.292399999999999993e+00,2.091407730527797965e-06
1.301299999999999901e+00,1.214862200805575873e-06
1.310499999999999998e+00,8.194907985326137061e-07
1.319199999999999928e+00,1.915641877005876820e-06
1.327800000000000091e+00,9.733306199692605062e-07
1.336600000000000010e+00,2.310721200637292760e-06
1.345599999999999907e+00,1.978410924865343055e-06
1.354200000000000070e+00,1.721055617933970466e-06
1.363499999999999934e+00,1.516885664521936111e-06
1.373399999999999954e+00,2.860283958919349230e-06
1.382200000000000095e+00,1.575987061794466293e-06
1.392700000000000049e+00,2.809418780218341048e-06
1.401399999999999979e+00,2.320054401495398339e-06
1.410500000000000087e+00,2.820878685452039500e-06
1.419699999999999962e+00,1.556803634425061797e-06
1.429599999999999982e+00,1.507688212343109325e-06
1.439999999999999947e+00,3.756224855858971649e-06
1.449799999999999978e+00,1.243506128498434241e-06
1.460199999999999942e+00,9.090139181539024817e-07
1.469100000000000072e+00,1.237963796994485510e-06
1.477800000000000002e+00,1.070702903916266688e-06
1.486499999999999932e+00,2.030273482471782118e-06
1.495400000000000063e+00,1.830752080539150162e-06
1.504099999999999993e+00,1.751179392010121256e-06
1.512699999999999934e+00,1.588035884288446081e-06
1.521400000000000086e+00,1.256728935675969355e-06
1.530499999999999972e+00,2.357905321038274073e-06
1.539099999999999913e+00,1.921881960253307708e-06
1.547800000000000065e+00,2.299356222659754145e-06
1.556400000000000006e+00,2.595489137375498866e-06
1.565399999999999903e+00,1.883857502133206175e-06
1.574100000000000055e+00,2.397401844343347802e-06
1.582799999999999985e+00,2.400629800777289140e-06
1.591499999999999915e+00,5.850262419494723851e-07
1.600700000000000012e+00,1.486837074477853973e-06
1.609399999999999942e+00,3.464108542639346682e-06
1.618100000000000094e+00,1.949563900482899261e-06
1.627099999999999991e+00,2.897377294787612315e-06
1.635999999999999899e+00,2.298758227719675720e-06
1.644700000000000051e+00,2.499246971642183918e-06
1.653799999999999937e+00,2.239020650202485155e-06
1.662400000000000100e+00,1.291077373295214901e-06
1.671300000000000008e+00,1.307966468746591705e-06
1.680500000000000105e+00,2.805855941858282233e-06
1.689899999999999958e+00,2.325474593476730117e-06
1.699699999999999989e+00,1.385013629803463764e-06
1.708900000000000086e+00,1.269458239344775554e-06
1.718499999999999917e+00,9.142538983709404266e-07
1.727100000000000080e+00,1.226788644006820885e-06
1.735800000000000010e+00,7.183328618195171378e-07
