# B (T), Viscosity (1e-5 Pa*s)
6.488181221273801036e-01,7.714706718339145106e-03
6.558437294812868856e-01,-5.427117769834640532e-02
6.628693368351936677e-01,-8.059577105476450898e-02
6.698949441891004497e-01,-5.901783085708937199e-02
6.769205515430072317e-01,-1.615645679458948408e-02
6.839461588969139028e-01,2.509095545584311918e-03
6.909717662508206848e-01,2.290355342325367527e-02
6.979973736047274668e-01,2.297975631079114678e-02
7.050229809586342489e-01,1.772525333503871927e-03
7.120485883125410309e-01,2.772271860727257287e-02
7.190741956664477019e-01,8.775702279177878540e-03
7.260998030203544840e-01,2.191634756969514444e-02
7.331254103742612660e-01,3.696601460177533632e-02
7.401510177281680480e-01,-8.656765519928803429e-03
7.471766250820748301e-01,-3.665759329566019298e-02
7.542022324359816121e-01,-6.142290287857822551e-02
7.612278397898882831e-01,-8.522964763969796687e-02
7.682534471437950652e-01,-4.977179100041460164e-02
7.752790544977018472e-01,-2.317139677238864298e-02
7.823046618516086292e-01,-4.629999870150219334e-03
7.893302692055154113e-01,1.796971434419114208e-02
7.963558765594220823e-01,9.433871653141405467e-03
8.033814839133288643e-01,3.782996343021548507e-03
8.104070912672356464e-01,1.127100088443245152e-03
8.174326986211424284e-01,-3.305158367644493722e-03
8.244583059750492104e-01,-1.949329553461679604e-02
8.314839133289559925e-01,4.963292369783073310e-03
8.385095206828626635e-01,-1.192251592100539333e-02
8.455351280367694455e-01,-3.395786588574856851e-02
8.525607353906762276e-01,-3.144997564642248999e-02
8.595863427445830096e-01,-6.930262100829144567e-02
8.666119500984897916e-01,-6.168330477409897372e-02
8.736375574523964627e-01,-4.630679684720939021e-02
8.806631648063032447e-01,-3.413585028346204781e-02
8.876887721602100267e-01,-2.224909318989184287e-02
8.947143795141168088e-01,-1.449190149719474692e-02
9.017399868680235908e-01,-1.449190149719474692e-02
9.087655942219303729e-01,-1.449190149719474692e-02
9.157912015758370439e-01,-1.449190149719474692e-02
9.228168089297438259e-01,-1.449190149719474692e-02
9.298424162836506079e-01,-1.449190149719474692e-02
9.368680236375573900e-01,-1.449190149719474692e-02
9.438936309914641720e-01,-7.188551390038500034e-04
9.509192383453709541e-01,7.381731114927985414e-03
9.579448456992776251e-01,1.848156102136646467e-02
9.649704530531844071e-01,2.553645347887176925e-02
9.719960604070911891e-01,1.392770599307890586e-02
9.790216677609979712e-01,7.991418611545101150e-03
9.860472751149047532e-01,-9.441124224953466402e-04
9.930728824688114242e-01,-5.834706007602617588e-03
1.000098489822718317e+00,-5.834706007602617588e-03
1.007124097176625099e+00,-1.634112894292232346e-03
1.014149704530531881e+00,-1.612155296559581244e-02
1.021175311884438663e+00,-2.493708528086434340e-02
1.028200919238345445e+00,-3.375261759613287782e-02
1.035226526592252005e+00,-3.830384720068218812e-02
1.042252133946158787e+00,7.399113098977203734e-03
1.049277741300065570e+00,7.017640767830331250e-02
1.056303348653972352e+00,1.304498443579875100e-01
1.063328956007879134e+00,1.415239654172763817e-01
1.070354563361785694e+00,9.794431223217429927e-02
1.077380170715692476e+00,6.975500339138916706e-02
1.084405778069599258e+00,4.976778492447678920e-02
1.091431385423506040e+00,4.935406048512454985e-02
1.098456992777412822e+00,9.064226355687655945e-02
1.105482600131319604e+00,9.427939464053401719e-02
1.112508207485226386e+00,9.901548760309492048e-02
1.119533814839133168e+00,1.231529115883772396e-01
1.126559422193039950e+00,1.494756638067417376e-01
1.133585029546946732e+00,1.441563934839295291e-01
1.140610636900853514e+00,1.234719403280448297e-01
1.147636244254760296e+00,9.055152155818271820e-02
1.154661851608667078e+00,4.492373376674017177e-02
1.161687458962573860e+00,4.375578597538377218e-02
1.168713066316480642e+00,6.819295568000498242e-02
1.175738673670387424e+00,6.447511956584639492e-02
1.182764281024294206e+00,6.875997061029313906e-02
1.189789888378200988e+00,6.831820025164599131e-02
1.196815495732107770e+00,6.549891820118751429e-02
1.203841103086014552e+00,1.211068606884457416e-01
1.210866710439920890e+00,1.489054441048637267e-01
1.217892317793827672e+00,1.512099591322529635e-01
1.224917925147734454e+00,1.319280282261142134e-01
1.231943532501641236e+00,6.445469111689410002e-02
1.238969139855548018e+00,3.066480051251156344e-02
1.245994747209454800e+00,2.687691453591035604e-02
1.253020354563361582e+00,2.872927072955612504e-02
1.260045961917268365e+00,3.866167749937732268e-02
1.267071569271175147e+00,4.057190012938222123e-02
1.274097176625081929e+00,2.100067474726382416e-02
1.281122783978988711e+00,2.895502374906248292e-03
1.288148391332895493e+00,7.050015390075260735e-02
1.295173998686802275e+00,9.164811719909797538e-02
1.302199606040709057e+00,1.398223086133327797e-01
1.309225213394615839e+00,1.578320634235688968e-01
1.316250820748522621e+00,8.208412751065355395e-02
1.323276428102429403e+00,7.064056910925009536e-02
1.330302035456336185e+00,1.074961412722432244e-02
1.337327642810242967e+00,-1.915637082151062584e-02
1.344353250164149749e+00,-1.717979167726748843e-02
1.351378857518056531e+00,-3.133454623370509479e-02
1.358404464871963313e+00,-3.484565840358506278e-02
1.365430072225869651e+00,-3.835677057346501689e-02
1.372455679579776433e+00,-2.805518324264336463e-02
1.379481286933683215e+00,-1.679496364832736661e-03
1.386506894287589997e+00,3.727961389072279030e-02
1.393532501641496779e+00,3.591605280121548671e-02
1.400558108995403561e+00,3.941748339633732029e-02
1.407583716349310343e+00,-6.247634746528878819e-03
1.414609323703217125e+00,-2.470497407610930396e-02
1.421634931057123907e+00,-1.218792439894697544e-02
1.428660538411030689e+00,-1.512452344220305105e-02
1.435686145764937471e+00,-6.318885283863774497e-04
1.442711753118844253e+00,-6.756128401794098126e-03
1.449737360472751035e+00,-3.532085936881750043e-03
1.456762967826657817e+00,4.345555359737061397e-03
1.463788575180564600e+00,-1.490055696856442714e-02
1.470814182534471382e+00,-3.414666929686591829e-02
1.477839789888378164e+00,-1.542696326298899703e-02
1.484865397242284946e+00,-5.194509632451227432e-02
1.491891004596191728e+00,-3.017294281623082719e-02
1.498916611950098510e+00,-1.475856889775841591e-02
1.505942219304005292e+00,-3.731001334146441528e-02
1.512967826657912074e+00,8.752059453079445023e-03
1.519993434011818412e+00,3.152132239472108660e-02
1.527019041365725194e+00,1.574116253283740219e-02
1.534044648719631976e+00,6.161078723533768009e-03
1.541070256073538758e+00,5.868424541107767223e-04
1.548095863427445540e+00,-5.266626074702723120e-02
1.555121470781352322e+00,-6.101216155483088488e-02
1.562147078135259104e+00,-7.555813841521459573e-02
1.569172685489165886e+00,-1.001121340885505751e-01
1.576198292843072668e+00,-8.270426657696854089e-02
1.583223900196979450e+00,-3.755665846517404483e-02
1.590249507550886232e+00,-2.734040589979792532e-02
1.597275114904793014e+00,1.961417867422420719e-02
1.604300722258699796e+00,3.022214419826642004e-02
1.611326329612606578e+00,2.429796936488751516e-02
1.618351936966513360e+00,4.012408613195303508e-02
1.625377544320420142e+00,2.940191773224015009e-02
1.632403151674326924e+00,5.988638379468001760e-02
1.639428759028233706e+00,5.808382350303890884e-02
1.646454366382140488e+00,9.305290578088572240e-02
1.653479973736047270e+00,1.178641781792089810e-01
1.660505581089954052e+00,1.168374388488441079e-01
1.667531188443860835e+00,1.222168945869554907e-01
1.674556795797767617e+00,9.109774733322847928e-02
1.681582403151673955e+00,5.964036797118001110e-02
1.688608010505580737e+00,3.159573485764378270e-02
1.695633617859487519e+00,3.101756870842882485e-02
1.702659225213394301e+00,1.871515972060859220e-02
1.709684832567301083e+00,1.684429493294070657e-02
1.716710439921207865e+00,3.176398769888948148e-02
1.723736047275114647e+00,3.072503205715830868e-02
1.730761654629021429e+00,3.800535603108649851e-02
1.737787261982928211e+00,3.215120753680614923e-02
1.744812869336834993e+00,3.073171868130691181e-02
1.751838476690741775e+00,4.865240548106040258e-02
1.758864084044648557e+00,6.385299876557049004e-02
1.765889691398555339e+00,5.283079785670653783e-02
1.772915298752462121e+00,3.599191047826264672e-02
1.779940906106368903e+00,2.978259930738084288e-03
1.786966513460275685e+00,-1.100230951027272343e-02
1.793992120814182467e+00,-1.100230951027272343e-02
1.801017728168089249e+00,-1.100230951027272343e-02
1.808043335521996031e+00,-1.100230951027272343e-02
1.815068942875902813e+00,-1.100230951027272343e-02
1.822094550229809595e+00,-1.100230951027272343e-02
1.829120157583716377e+00,-1.100230951027272343e-02
1.836145764937622715e+00,-1.100230951027272343e-02
1.843171372291529497e+00,-7.812838963836520045e-03
1.850196979645436279e+00,8.384756485082151684e-03
1.857222586999343061e+00,2.421121628440514248e-02
1.864248194353249843e+00,3.823930784574720854e-02
1.871273801707156625e+00,4.497980154207705666e-02
1.878299409061063407e+00,3.829675488709008424e-02
1.885325016414970190e+00,4.425336620037256113e-02
1.892350623768876972e+00,5.906222509888740813e-02
1.899376231122783754e+00,6.210728545646478777e-02
1.906401838476690536e+00,7.719497154856048982e-02
1.913427445830597318e+00,7.837643139622152422e-02
1.920453053184504100e+00,3.687141590235803318e-02
1.927478660538410882e+00,1.122832626800802577e-02
1.934504267892317664e+00,-4.685254052541628841e-03
1.941529875246224446e+00,-2.525627652738152498e-03
1.948555482600131228e+00,4.307121466910220769e-02
1.955581089954038010e+00,9.305396484835250226e-02
1.962606697307944792e+00,9.073133034857043533e-02
