# Temperature (K), \delta v/v
3.124200000000000088e+00,-2.708676973015316272e-05
3.132499999999999840e+00,-2.688243405833474402e-05
3.143299999999999983e+00,-2.621508311582309135e-05
3.153300000000000214e+00,-2.946520676993095005e-05
3.165099999999999802e+00,-2.951705507381244587e-05
3.176800000000000068e+00,-2.905118739175764587e-05
3.187500000000000000e+00,-3.022872471389243912e-05
3.196499999999999897e+00,-2.667429783863110702e-05
3.204299999999999926e+00,-2.961125297064278705e-05
3.212899999999999867e+00,-3.040537978031683205e-05
3.228400000000000158e+00,-3.240908912063508729e-05
3.242999999999999883e+00,-3.243449345652849524e-05
3.255599999999999827e+00,-3.252595592939253250e-05
3.262999999999999901e+00,-3.442667632911116315e-05
3.277099999999999902e+00,-3.436439922746713682e-05
3.285600000000000076e+00,-3.319783645247877406e-05
3.294999999999999929e+00,-3.201710597538995090e-05
3.305499999999999883e+00,-3.379063208268224248e-05
3.318900000000000183e+00,-3.729912202708863227e-05
3.327100000000000168e+00,-3.562051403741059300e-05
3.338299999999999823e+00,-3.563423057138547553e-05
3.351300000000000168e+00,-3.681600233958153944e-05
3.360399999999999832e+00,-3.715396421351400589e-05
3.368500000000000050e+00,-3.756530065147155686e-05
3.381099999999999994e+00,-3.893828087157680246e-05
3.390899999999999803e+00,-3.672057188241158502e-05
3.400599999999999845e+00,-4.014081714212436986e-05
3.410899999999999821e+00,-3.972214166281208618e-05
3.422600000000000087e+00,-3.905535153878146733e-05
3.432399999999999896e+00,-4.189258488057382118e-05
3.446899999999999853e+00,-4.126093780943557165e-05
3.456100000000000172e+00,-4.285232571416630685e-05
3.467000000000000082e+00,-4.253563863195282722e-05
3.475900000000000212e+00,-4.315708341093102841e-05
3.488700000000000134e+00,-3.931269680141186412e-05
3.496700000000000141e+00,-4.502676979862779510e-05
3.507000000000000117e+00,-4.301039674688569381e-05
3.516000000000000014e+00,-4.555428218045686200e-05
3.529799999999999827e+00,-4.444528670297834651e-05
3.539800000000000058e+00,-4.717794271700524744e-05
3.549199999999999910e+00,-4.529619408821169708e-05
3.557999999999999829e+00,-4.617016833908704125e-05
3.571499999999999897e+00,-4.820665025985695223e-05
3.584400000000000031e+00,-4.834263134679291204e-05
3.591400000000000148e+00,-5.075957263051945163e-05
3.599899999999999878e+00,-4.900716050532482443e-05
3.612600000000000033e+00,-5.056634554445907056e-05
3.625000000000000000e+00,-5.031037554325720176e-05
3.635200000000000209e+00,-5.162045199298246777e-05
3.646500000000000075e+00,-5.257317665759398903e-05
3.658399999999999874e+00,-4.951085041118093340e-05
3.668000000000000149e+00,-5.479811799282392564e-05
3.678100000000000147e+00,-5.289697418066142195e-05
3.689099999999999824e+00,-5.289041250932964967e-05
3.699500000000000011e+00,-5.389381019008356792e-05
3.710900000000000087e+00,-5.570976841970720953e-05
3.721799999999999997e+00,-5.779178774062175897e-05
3.733099999999999863e+00,-5.670380858920015608e-05
3.746399999999999952e+00,-5.880120271472348797e-05
3.756200000000000205e+00,-5.723471923365920340e-05
3.764299999999999979e+00,-5.769158514227863883e-05
3.775300000000000100e+00,-6.043926055699582833e-05
3.788300000000000001e+00,-5.966260226386817039e-05
3.797099999999999920e+00,-6.024484961378207980e-05
3.808100000000000041e+00,-6.316177589749909628e-05
3.818700000000000205e+00,-6.129843779670490279e-05
3.830200000000000049e+00,-6.446068378717933372e-05
3.841800000000000104e+00,-6.581758481158207839e-05
3.853699999999999903e+00,-6.441768271694155027e-05
3.865000000000000213e+00,-6.574423117386588380e-05
3.872500000000000053e+00,-6.695424173615063790e-05
3.885899999999999910e+00,-6.702549854607600698e-05
3.899900000000000144e+00,-6.732083673339456600e-05
3.907500000000000195e+00,-6.877345283294543084e-05
3.917800000000000171e+00,-7.001419945292116330e-05
3.927599999999999980e+00,-6.750923813975854366e-05
3.943000000000000060e+00,-7.113807508325689524e-05
3.953300000000000036e+00,-7.061729848468680122e-05
3.961699999999999999e+00,-7.317489824622353737e-05
3.969899999999999984e+00,-7.273520520914393550e-05
3.982400000000000162e+00,-7.419498013729919122e-05
3.993300000000000072e+00,-7.267729072119211056e-05
4.002799999999999692e+00,-7.593875000833675778e-05
4.012900000000000134e+00,-7.720343855596122605e-05
4.028100000000000236e+00,-7.869296967902437089e-05
4.040000000000000036e+00,-7.973511992083851289e-05
4.049199999999999910e+00,-7.906807313250334489e-05
4.057199999999999918e+00,-7.763856364890331244e-05
4.070199999999999818e+00,-8.056719089693050893e-05
4.082099999999999618e+00,-7.987915698820807645e-05
4.091800000000000104e+00,-8.019126433744980210e-05
4.102800000000000225e+00,-8.140300037305050107e-05
4.116399999999999615e+00,-8.427155097177614455e-05
4.127200000000000202e+00,-8.582478739642811238e-05
4.137599999999999945e+00,-8.461063278775602325e-05
4.147300000000000431e+00,-8.574452009646220602e-05
4.157300000000000217e+00,-8.712950819252827321e-05
4.165899999999999714e+00,-8.660079558978998882e-05
4.175699999999999967e+00,-8.738791434632335478e-05
4.187299999999999578e+00,-8.892858305598524689e-05
4.201800000000000423e+00,-9.075224327799921438e-05
4.211599999999999788e+00,-8.987801867889566544e-05
4.220500000000000362e+00,-9.152400694979824004e-05
4.231099999999999639e+00,-9.486801748466193918e-05
4.246800000000000352e+00,-9.335366806165452480e-05
4.255200000000000315e+00,-9.308511516164333117e-05
4.266399999999999970e+00,-9.813483746276461487e-05
4.280599999999999739e+00,-9.891216886388705691e-05
4.291199999999999903e+00,-9.748948139082214397e-05
4.299599999999999866e+00,-9.825334693672245641e-05
4.310399999999999565e+00,-1.003290563597190779e-04
4.325400000000000134e+00,-1.015855381215120421e-04
4.334900000000000198e+00,-1.035848340722643832e-04
4.344299999999999606e+00,-1.013138372820534470e-04
4.358399999999999608e+00,-1.026470000419813736e-04
4.368900000000000006e+00,-1.047901099143694673e-04
4.379900000000000126e+00,-1.045715212442225879e-04
4.391899999999999693e+00,-1.072619858024534910e-04
4.406299999999999883e+00,-1.077275061336348749e-04
4.414799999999999613e+00,-1.087628079825731815e-04
4.424900000000000055e+00,-1.097352093722207247e-04
4.436200000000000365e+00,-1.102072022232340319e-04
4.451500000000000234e+00,-1.122179861877984567e-04
4.461199999999999832e+00,-1.136164594596935219e-04
4.468700000000000117e+00,-1.152046390713085442e-04
4.477999999999999758e+00,-1.154936564016515935e-04
4.494699999999999918e+00,-1.164976788202891703e-04
4.506400000000000183e+00,-1.187466182085060250e-04
4.517500000000000071e+00,-1.193441516695566758e-04
4.529200000000000337e+00,-1.211616446437032465e-04
4.536100000000000243e+00,-1.208586924148259158e-04
4.545799999999999841e+00,-1.213407591648309750e-04
4.555299999999999905e+00,-1.242416332027328197e-04
4.568299999999999805e+00,-1.241922806038390939e-04
4.578599999999999781e+00,-1.230606747766421728e-04
4.585499999999999687e+00,-1.270170779362923960e-04
4.594500000000000028e+00,-1.290412780389816087e-04
4.607199999999999740e+00,-1.315946326940578310e-04
4.616299999999999848e+00,-1.326083561658447706e-04
4.622700000000000031e+00,-1.325589636040273140e-04
4.629800000000000360e+00,-1.331822000720866376e-04
4.643600000000000172e+00,-1.334342260723314654e-04
4.654099999999999682e+00,-1.357119999242604731e-04
4.661599999999999966e+00,-1.367736341357764143e-04
4.668099999999999916e+00,-1.360810915275539011e-04
4.678399999999999892e+00,-1.372308685395429791e-04
4.687700000000000422e+00,-1.391019634353408735e-04
4.698999999999999844e+00,-1.417097105341244925e-04
4.708899999999999864e+00,-1.428628428322351041e-04
4.721700000000000230e+00,-1.453074149668096763e-04
4.730000000000000426e+00,-1.460566025856062627e-04
4.741600000000000037e+00,-1.472431483036577111e-04
4.753000000000000114e+00,-1.488205115679549096e-04
4.768099999999999561e+00,-1.500523578827019544e-04
4.777599999999999625e+00,-1.521939306882760508e-04
4.788800000000000168e+00,-1.544031959052925092e-04
4.804199999999999804e+00,-1.552361487346741562e-04
4.814499999999999780e+00,-1.553716799557754548e-04
4.825899999999999856e+00,-1.573372822065051684e-04
4.836299999999999599e+00,-1.587897925274951824e-04
4.849599999999999689e+00,-1.610742979394667277e-04
4.860000000000000320e+00,-1.604922128932034266e-04
4.871699999999999697e+00,-1.632918420706787896e-04
4.882500000000000284e+00,-1.652500735934726568e-04
4.895800000000000374e+00,-1.659980324144792686e-04
4.906900000000000261e+00,-1.682990335013462649e-04
4.919200000000000017e+00,-1.709511448818326021e-04
4.929800000000000182e+00,-1.727994656060459163e-04
4.942499999999999893e+00,-1.739476122821276749e-04
4.951800000000000423e+00,-1.736257005355298184e-04
4.958099999999999952e+00,-1.761932984039693930e-04
4.968200000000000394e+00,-1.785874936713636790e-04
4.983600000000000030e+00,-1.782240208713958590e-04
4.991699999999999804e+00,-1.823498407970732124e-04
4.998899999999999899e+00,-1.829139036239830281e-04
5.008200000000000429e+00,-1.833485269979456692e-04
5.020100000000000229e+00,-1.857667263623329079e-04
5.028200000000000003e+00,-1.897415769441070977e-04
5.036900000000000155e+00,-1.898619949046323561e-04
5.044900000000000162e+00,-1.888209087834087131e-04
5.056499999999999773e+00,-1.926875449879899107e-04
5.066499999999999559e+00,-1.917135265958634985e-04
5.074399999999999800e+00,-1.940071241402934236e-04
5.085600000000000342e+00,-1.960479198538927917e-04
5.094500000000000028e+00,-1.990647786979604867e-04
5.102400000000000269e+00,-2.038863759655604342e-04
5.110699999999999577e+00,-2.033907395849277402e-04
5.123899999999999899e+00,-2.048090123290329466e-04
5.136700000000000266e+00,-2.067150115459588525e-04
5.146600000000000286e+00,-2.095187759264811704e-04
