# B (T), A/A(0)
5.227097085815488597e-01,1.008188739551107105e+00
5.245499919497664809e-01,1.007265312727515294e+00
5.263902753179842131e-01,1.006674733780653641e+00
5.282305586862019453e-01,1.006678394286719680e+00
5.300708420544195665e-01,1.007386907991777880e+00
5.319111254226371877e-01,1.008341658802935248e+00
5.337514087908549199e-01,1.008998163673830772e+00
5.355916921590726520e-01,1.009415894618234111e+00
5.374319755272902732e-01,1.009895308899905197e+00
5.392722588955078944e-01,1.010362589822086932e+00
5.411125422637256266e-01,1.010856905031136677e+00
5.429528256319433588e-01,1.011628742297151273e+00
5.447931090001609800e-01,1.012123699446356051e+00
5.466333923683786011e-01,1.012169988560583489e+00
5.484736757365963333e-01,1.012076870872969492e+00
5.503139591048140655e-01,1.011741832514697403e+00
5.521542424730316867e-01,1.011440853018872987e+00
5.539945258412493079e-01,1.011592016016815032e+00
5.558348092094670401e-01,1.011784812255229538e+00
5.576750925776847723e-01,1.012114914288755552e+00
5.595153759459023934e-01,1.012875768326701342e+00
5.613556593141200146e-01,1.014286683499692865e+00
5.631959426823377468e-01,1.015988396464565957e+00
5.650362260505554790e-01,1.017944239486500368e+00
5.668765094187731002e-01,1.019933461777275951e+00
5.687167927869907214e-01,1.021691494998723027e+00
5.705570761552085646e-01,1.023660458362562586e+00
5.723973595234261857e-01,1.025853072237692398e+00
5.742376428916438069e-01,1.027970324459394069e+00
5.760779262598614281e-01,1.030102025967591706e+00
5.779182096280792713e-01,1.032004375821590214e+00
5.797584929962968925e-01,1.033258929657428160e+00
5.815987763645145137e-01,1.033593941642014791e+00
5.834390597327321348e-01,1.033308891682470643e+00
5.852793431009499781e-01,1.032450142571424978e+00
5.871196264691675992e-01,1.031216831638659404e+00
5.889599098373852204e-01,1.029809391733015778e+00
5.908001932056028416e-01,1.028217269098264941e+00
5.926404765738206848e-01,1.026991336987517212e+00
5.944807599420383060e-01,1.025976216370080740e+00
5.963210433102559271e-01,1.024695547355044978e+00
5.981613266784735483e-01,1.023318827803275877e+00
6.000016100466913915e-01,1.022334610967067459e+00
6.018418934149090127e-01,1.021606953556461139e+00
6.036821767831266339e-01,1.020736109642515377e+00
6.055224601513442551e-01,1.020319455751379056e+00
