# B (T), \delta v/v
8.399999999999999481e-03,-0.000000000000000000e+00
1.720000000000000001e-02,-1.627195310553611156e-05
2.580000000000000002e-02,-8.096695420568541038e-06
3.490000000000000047e-02,-9.121531964938851475e-06
4.370000000000000273e-02,-6.216012949235077620e-06
5.249999999999999806e-02,-9.015147802830759602e-06
6.149999999999999911e-02,-1.134227980750888293e-05
7.019999999999999851e-02,-1.362455037294692771e-05
7.889999999999999791e-02,-4.200057974893325885e-08
8.759999999999999731e-02,-9.679648780737317576e-06
9.650000000000000244e-02,-6.642532086343147513e-06
1.052000000000000018e-01,-1.199817115234212521e-05
1.140000000000000041e-01,-1.262152727466575586e-05
1.232000000000000040e-01,-5.474620525064378615e-06
1.318999999999999895e-01,-4.545146929738888217e-06
1.406999999999999917e-01,-1.491184986455594726e-05
1.497999999999999887e-01,-1.726581494657965232e-05
1.585000000000000020e-01,-1.981334625736569724e-05
1.673999999999999932e-01,-1.293540190081010101e-05
1.766000000000000070e-01,-9.235141068145462026e-06
1.854000000000000092e-01,-2.074916877291906221e-05
1.940999999999999948e-01,-1.120130953808392942e-05
2.031999999999999917e-01,-1.122083605319991462e-05
2.119999999999999940e-01,-1.815086188317743821e-05
2.207000000000000073e-01,-1.157773643737053208e-05
2.298999999999999932e-01,-2.001928309641764527e-05
2.386999999999999955e-01,-1.286668401527394159e-05
2.474999999999999978e-01,-1.597334053315946877e-05
2.565000000000000058e-01,-1.168053308358792987e-05
2.652999999999999803e-01,-1.138900405634650850e-05
2.741000000000000103e-01,-9.132073057593415380e-06
2.832999999999999963e-01,-1.171884214952500017e-05
2.919999999999999818e-01,-1.309408591530693972e-05
3.008000000000000118e-01,-8.078993027293762327e-06
3.099000000000000088e-01,-1.664645172132998147e-05
3.186999999999999833e-01,-1.831969095010522151e-05
3.272999999999999798e-01,-1.791215290498178112e-05
3.365000000000000213e-01,-1.780050368380592558e-05
3.452999999999999958e-01,-2.020272288102086498e-05
3.539999999999999813e-01,-1.809051156203569065e-05
3.632000000000000228e-01,-1.765667756314752423e-05
3.719999999999999973e-01,-2.219487988826414869e-05
3.806999999999999829e-01,-2.069836900613487678e-05
3.897999999999999798e-01,-1.483700548908051080e-05
3.985000000000000209e-01,-1.602275922819472107e-05
4.072000000000000064e-01,-1.711632986363983804e-05
4.159999999999999809e-01,-1.819635768685414802e-05
4.248000000000000109e-01,-1.969280856554066726e-05
4.335999999999999854e-01,-2.313947019297237645e-05
4.424000000000000155e-01,-1.812934248400835911e-05
4.516000000000000014e-01,-1.342869634556411763e-05
4.602999999999999869e-01,-3.027833057618980507e-05
4.692000000000000060e-01,-1.835383405936739411e-05
4.783000000000000029e-01,-2.255304638630367849e-05
4.869999999999999885e-01,-2.248550954909262975e-05
4.958000000000000185e-01,-2.592181052666611349e-05
5.050000000000000044e-01,-1.790246236073474682e-05
5.137000000000000455e-01,-1.980794673536907802e-05
5.223999999999999755e-01,-2.727810746278188335e-05
5.314999999999999725e-01,-2.650385647751801743e-05
5.403000000000000025e-01,-2.731518753116722251e-05
5.490000000000000435e-01,-3.124016243756023471e-05
5.583000000000000185e-01,-3.411171998122684498e-05
5.669999999999999485e-01,-2.870767905141166643e-05
5.757999999999999785e-01,-3.389855705404013625e-05
5.848999999999999755e-01,-3.242679120639131544e-05
5.937000000000000055e-01,-2.966525395892431922e-05
6.025000000000000355e-01,-3.518892260446007669e-05
6.115000000000000435e-01,-3.045217055608296849e-05
6.202999999999999625e-01,-2.816773460690997349e-05
6.290000000000000036e-01,-2.659002138233898874e-05
6.381999999999999895e-01,-3.852158575404435528e-05
6.470000000000000195e-01,-3.643901984066891080e-05
6.558000000000000496e-01,-3.051543773521878805e-05
6.649000000000000465e-01,-3.564776064108438579e-05
6.736999999999999655e-01,-4.304721723035810112e-05
6.824000000000000066e-01,-4.569707803176912241e-05
6.915999999999999925e-01,-4.626703309635487628e-05
7.003000000000000336e-01,-4.232577045747316913e-05
7.089999999999999636e-01,-4.111129813171021663e-05
7.181999999999999496e-01,-4.603408055454624205e-05
7.269999999999999796e-01,-4.073672355976612307e-05
7.357000000000000206e-01,-4.490575094107216066e-05
7.449999999999999956e-01,-4.701496749220089068e-05
7.537000000000000366e-01,-4.901156298315148020e-05
7.623999999999999666e-01,-5.092061786720930745e-05
7.714999999999999636e-01,-4.774948889954208631e-05
7.802999999999999936e-01,-4.665654570687374075e-05
7.891000000000000236e-01,-4.950051733151124463e-05
7.982000000000000206e-01,-5.111722679812329660e-05
8.070000000000000506e-01,-4.609712694037849945e-05
8.157999999999999696e-01,-5.218876079568675330e-05
8.249999999999999556e-01,-5.335427748247344518e-05
8.336999999999999966e-01,-5.644901701581678949e-05
8.424000000000000377e-01,-5.398873213235001051e-05
8.516000000000000236e-01,-6.014292186660302741e-05
8.602999999999999536e-01,-5.976810927405418888e-05
8.689999999999999947e-01,-5.558967050808046734e-05
8.781999999999999806e-01,-5.885942035112356509e-05
8.869000000000000217e-01,-6.179545681658316428e-05
8.955999999999999517e-01,-6.379724509369359003e-05
9.043999999999999817e-01,-6.226251162844836928e-05
9.133000000000000007e-01,-7.033823934941862456e-05
9.220000000000000417e-01,-6.443903540818540082e-05
9.306999999999999718e-01,-6.917178939678495127e-05
9.399999999999999467e-01,-6.696446957258662958e-05
9.486999999999999877e-01,-6.980859924679712857e-05
9.575000000000000178e-01,-6.093762869100057510e-05
9.665000000000000258e-01,-7.335309998134347670e-05
9.751999999999999558e-01,-7.589742463018269575e-05
9.838999999999999968e-01,-7.431404819621700332e-05
9.926000000000000378e-01,-7.279332768281038951e-05
1.001500000000000057e+00,-7.870273466904342125e-05
1.010399999999999965e+00,-7.643301887177360136e-05
1.019200000000000106e+00,-8.429424930377050172e-05
1.028299999999999992e+00,-8.717154965872742425e-05
1.037099999999999911e+00,-7.501144649069689009e-05
1.045700000000000074e+00,-8.167478921906369538e-05
1.054999999999999938e+00,-8.548835520603590907e-05
1.063700000000000090e+00,-8.433830853667883577e-05
1.072400000000000020e+00,-8.764267625280134158e-05
1.081599999999999895e+00,-9.090761310719293331e-05
1.090400000000000036e+00,-8.375579705728760337e-05
1.098999999999999977e+00,-9.702045945010466001e-05
1.108400000000000052e+00,-9.811887690741789327e-05
1.117099999999999982e+00,-8.983256650514116759e-05
1.125899999999999901e+00,-9.579332335560124256e-05
1.135000000000000009e+00,-9.706793404405623590e-05
1.143699999999999939e+00,-9.478227663371188369e-05
1.152400000000000091e+00,-9.954118492276706892e-05
1.161499999999999977e+00,-1.034333064919949752e-04
1.170199999999999907e+00,-9.342783567281250957e-05
1.178900000000000059e+00,-9.644959493830063471e-05
1.187699999999999978e+00,-1.028945579010260170e-04
1.196700000000000097e+00,-1.078071577979258962e-04
1.205400000000000027e+00,-1.144689894610664144e-04
1.214599999999999902e+00,-1.103463273729547982e-04
