# B (T), Viscosity (1e-5 Pa*s)
7.000000000000000666e-02,6.899228037881632858e-02
7.184028336821768335e-02,9.108632381428291569e-02
7.368056673643536003e-02,1.146061198184430002e-01
7.552085010465303672e-02,1.350918514919345614e-01
7.736113347287071340e-02,1.540920924343614495e-01
7.920141684108839009e-02,1.662513566090596251e-01
8.104170020930608065e-02,1.920006198178531021e-01
8.288198357752375733e-02,2.170228122103585455e-01
8.472226694574143402e-02,2.377585495411289884e-01
8.656255031395911070e-02,2.551512644193092982e-01
8.840283368217678739e-02,2.575121465427898104e-01
9.024311705039446407e-02,2.513948776038577582e-01
9.208340041861214076e-02,2.289152979157251799e-01
9.392368378682983132e-02,1.983950280764670837e-01
9.576396715504750801e-02,1.599153915082143218e-01
9.760425052326518469e-02,1.134940620561388364e-01
9.944453389148286138e-02,6.271595346942160365e-02
1.012848172597005381e-01,4.242480331465832075e-03
1.031251006279182147e-01,-5.687244941653801095e-02
1.049653839961358914e-01,-5.687244941653801095e-02
1.068056673643535681e-01,-5.687244941653801095e-02
1.086459507325712448e-01,-5.687244941653801095e-02
1.104862341007889215e-01,-5.687244941653801095e-02
1.123265174690065982e-01,-5.687244941653801095e-02
1.141668008372242749e-01,-5.687244941653801095e-02
1.160070842054419515e-01,-5.687244941653801095e-02
1.178473675736596421e-01,-5.687244941653801095e-02
1.196876509418773188e-01,-5.687244941653801095e-02
1.215279343100949955e-01,-5.687244941653801095e-02
1.233682176783126722e-01,-5.687244941653801095e-02
1.252085010465303627e-01,-5.687244941653801095e-02
1.270487844147480394e-01,-5.687244941653801095e-02
1.288890677829657161e-01,-5.687244941653801095e-02
1.307293511511833928e-01,-5.687244941653801095e-02
1.325696345194010695e-01,-5.687244941653801095e-02
1.344099178876187461e-01,-5.687244941653801095e-02
1.362502012558364228e-01,-5.687244941653801095e-02
1.380904846240540995e-01,-5.687244941653801095e-02
1.399307679922717762e-01,-5.687244941653801095e-02
1.417710513604894529e-01,-5.687244941653801095e-02
1.436113347287071296e-01,-5.687244941653801095e-02
1.454516180969248063e-01,-3.809661079880690554e-02
1.472919014651424829e-01,-1.775794875008088886e-02
1.491321848333601596e-01,-7.770986749024417052e-04
1.509724682015778363e-01,4.948417344592962114e-04
1.528127515697955130e-01,-9.959046883490901142e-03
1.546530349380131897e-01,-9.959046883490901142e-03
1.564933183062308664e-01,-9.959046883490901142e-03
1.583336016744485431e-01,-9.959046883490901142e-03
1.601738850426662197e-01,-9.959046883490901142e-03
1.620141684108838964e-01,-9.959046883490901142e-03
1.638544517791016009e-01,-9.959046883490901142e-03
1.656947351473192775e-01,-3.996032000790955899e-03
1.675350185155369542e-01,6.656236339664169457e-03
1.693753018837546309e-01,2.890143274930247197e-02
1.712155852519723076e-01,6.284218993502829753e-02
1.730558686201899843e-01,9.420028123581233870e-02
1.748961519884076610e-01,1.134893930666424078e-01
1.767364353566253377e-01,1.295870982950105554e-01
1.785767187248430143e-01,1.337810813573630797e-01
1.804170020930607188e-01,1.194994433138489437e-01
1.822572854612783955e-01,8.990277740855308342e-02
1.840975688294960722e-01,5.357322983427449670e-02
1.859378521977137488e-01,1.469021767552494695e-02
1.877781355659314255e-01,-3.044289474623722985e-02
1.896184189341491022e-01,-3.044289474623722985e-02
1.914587023023667789e-01,-3.044289474623722985e-02
1.932989856705844556e-01,-3.044289474623722985e-02
1.951392690388021323e-01,-3.044289474623722985e-02
1.969795524070198089e-01,-3.044289474623722985e-02
1.988198357752374856e-01,-3.044289474623722985e-02
2.006601191434551623e-01,-3.044289474623722985e-02
2.025004025116728390e-01,-3.044289474623722985e-02
2.043406858798905157e-01,-3.044289474623722985e-02
2.061809692481081924e-01,-3.044289474623722985e-02
2.080212526163258691e-01,-3.044289474623722985e-02
2.098615359845435457e-01,-3.044289474623722985e-02
2.117018193527612224e-01,-3.044289474623722985e-02
2.135421027209788991e-01,-3.044289474623722985e-02
2.153823860891965758e-01,-3.044289474623722985e-02
2.172226694574142525e-01,-3.044289474623722985e-02
2.190629528256319292e-01,-3.044289474623722985e-02
2.209032361938496059e-01,-2.569105080525977552e-02
2.227435195620673103e-01,-1.525717128002829562e-02
2.245838029302849870e-01,-1.525717128002829562e-02
2.264240862985026637e-01,-1.525717128002829562e-02
2.282643696667203403e-01,-1.525717128002829562e-02
2.301046530349380170e-01,-1.525717128002829562e-02
2.319449364031556937e-01,-1.525717128002829562e-02
2.337852197713733704e-01,-1.525717128002829562e-02
2.356255031395910471e-01,-1.525717128002829562e-02
2.374657865078087238e-01,-1.525717128002829562e-02
2.393060698760264005e-01,-1.525717128002829562e-02
2.411463532442440771e-01,-1.525717128002829562e-02
2.429866366124617538e-01,-1.525717128002829562e-02
2.448269199806794305e-01,-1.525717128002829562e-02
2.466672033488971072e-01,-1.525717128002829562e-02
2.485074867171147839e-01,-1.525717128002829562e-02
2.503477700853324883e-01,-1.525717128002829562e-02
2.521880534535501095e-01,-1.525717128002829562e-02
2.540283368217678417e-01,-1.525717128002829562e-02
2.558686201899855184e-01,-1.525717128002829562e-02
2.577089035582031951e-01,-1.525717128002829562e-02
2.595491869264208717e-01,-1.525717128002829562e-02
2.613894702946385484e-01,-1.525717128002829562e-02
2.632297536628562251e-01,-1.525717128002829562e-02
2.650700370310739018e-01,-1.525717128002829562e-02
2.669103203992915785e-01,-1.525717128002829562e-02
2.687506037675092552e-01,-1.525717128002829562e-02
2.705908871357269319e-01,-1.525717128002829562e-02
2.724311705039446085e-01,-1.525717128002829562e-02
2.742714538721622852e-01,-1.525717128002829562e-02
2.761117372403799619e-01,-1.525717128002829562e-02
2.779520206085976386e-01,-1.525717128002829562e-02
