# B (T), A_asym/A_sym
8.525607353906762276e-01,1.386706460981999844e-02
8.595863427445830096e-01,1.726002105769056105e-02
8.666119500984897916e-01,2.252246903961623720e-02
8.736375574523964627e-01,1.768421094874064042e-02
8.806631648063032447e-01,1.885867858600799585e-02
8.876887721602100267e-01,2.166115343668799029e-02
8.947143795141168088e-01,2.146184049919619766e-02
9.017399868680235908e-01,1.505135508294264644e-02
9.087655942219303729e-01,1.197509800139416603e-02
9.157912015758370439e-01,1.521927302795047544e-02
9.228168089297438259e-01,1.225343965437790915e-02
9.298424162836506079e-01,1.626340651133420870e-02
9.368680236375573900e-01,1.678245702114461446e-02
9.438936309914641720e-01,1.855613706186372280e-02
9.509192383453709541e-01,1.538920538373484380e-02
9.579448456992776251e-01,1.197354065878590210e-02
9.649704530531844071e-01,1.234377648824224079e-02
9.719960604070911891e-01,1.543945951921122002e-02
9.790216677609979712e-01,1.840530887348048109e-02
9.860472751149047532e-01,2.840782115672750227e-02
9.930728824688114242e-01,2.515759473532299534e-02
1.000098489822718317e+00,2.000495209559762302e-02
1.007124097176625099e+00,1.528314297533446553e-02
1.014149704530531881e+00,1.294601071182420113e-02
1.021175311884438663e+00,7.963185293071699949e-03
1.028200919238345445e+00,9.052840005994254938e-03
1.035226526592252005e+00,5.384144680989264541e-03
1.042252133946158787e+00,1.387407890832614843e-02
1.049277741300065570e+00,1.581678192558173129e-02
1.056303348653972352e+00,1.579929978966143622e-02
1.063328956007879134e+00,1.713821197969525589e-02
1.070354563361785694e+00,2.495594874357650456e-02
1.077380170715692476e+00,3.254041690777302598e-02
1.084405778069599258e+00,4.328549807986926956e-02
1.091431385423506040e+00,5.175085341239135661e-02
1.098456992777412822e+00,5.686394316738987986e-02
1.105482600131319604e+00,5.566488734387763787e-02
1.112508207485226386e+00,6.319338973755295186e-02
1.119533814839133168e+00,7.475963819990810721e-02
1.126559422193039950e+00,7.959860163811689759e-02
1.133585029546946732e+00,8.598956157678118439e-02
1.140610636900853514e+00,9.050149453753686402e-02
1.147636244254760296e+00,8.946830325733248768e-02
1.154661851608667078e+00,9.755935399431113486e-02
1.161687458962573860e+00,1.061383905387435767e-01
1.168713066316480642e+00,1.115523937173122926e-01
1.175738673670387424e+00,1.133924278737507840e-01
1.182764281024294206e+00,1.118781797064986872e-01
1.189789888378200988e+00,1.127428146844829948e-01
1.196815495732107770e+00,1.124871903927219946e-01
1.203841103086014552e+00,1.192566151615319231e-01
1.210866710439920890e+00,1.147612744991522160e-01
1.217892317793827672e+00,1.097437194221057843e-01
1.224917925147734454e+00,9.926177785701019440e-02
1.231943532501641236e+00,8.810636666709330267e-02
1.238969139855548018e+00,7.742128810535789385e-02
1.245994747209454800e+00,7.573190527748166478e-02
1.253020354563361582e+00,7.083748866376267384e-02
1.260045961917268365e+00,6.324715415405041119e-02
1.267071569271175147e+00,6.042682742590152478e-02
1.274097176625081929e+00,5.902808348476481365e-02
1.281122783978988711e+00,5.986531254034224703e-02
1.288148391332895493e+00,6.225239311253005087e-02
1.295173998686802275e+00,6.177921269995351877e-02
1.302199606040709057e+00,5.938661143393711428e-02
1.309225213394615839e+00,5.367393575449865006e-02
1.316250820748522621e+00,5.035922678099224309e-02
1.323276428102429403e+00,4.868610510312974815e-02
1.330302035456336185e+00,4.668649159298077916e-02
1.337327642810242967e+00,3.916332746233715245e-02
1.344353250164149749e+00,2.984085322640752519e-02
1.351378857518056531e+00,2.132022562283568054e-02
1.358404464871963313e+00,1.614369899048688495e-02
1.365430072225869651e+00,1.192651709331305800e-02
1.372455679579776433e+00,1.400710932955910072e-02
1.379481286933683215e+00,1.631326358334640736e-02
1.386506894287589997e+00,1.599012212792057935e-02
1.393532501641496779e+00,9.494143125978342368e-03
1.400558108995403561e+00,9.776700280757005465e-03
1.407583716349310343e+00,6.881869658985086645e-03
1.414609323703217125e+00,-1.106241967996714247e-03
1.421634931057123907e+00,-7.966916155445804767e-03
1.428660538411030689e+00,-1.314948291755723732e-02
