# Temperature (K), Viscosity (1e-5 Pa*s)
2.000000000000000000e+00,3.450000000000000622e+00
6.750000000000000000e+00,7.960000000000001519e-01
9.000000000000000000e+00,3.052000000000000490e+00
1.500000000000000000e+01,2.706999999999999851e+00
2.000000000000000000e+01,2.388000000000000345e+00
3.000000000000000000e+01,1.990000000000000213e+00
4.000000000000000000e+01,1.990000000000000213e+00
