# B (T), A_asym/A(0)
1.969795524070198089e-01,-5.002119959516930503e-04
1.988198357752374856e-01,-5.230770186227407664e-04
2.006601191434551623e-01,-6.186176522975166906e-04
2.025004025116728390e-01,-7.219737201506707530e-04
2.043406858798905157e-01,-7.909246262647652310e-04
2.061809692481081924e-01,-8.475809108419683768e-04
2.080212526163258691e-01,-8.930451711635843627e-04
2.098615359845435457e-01,-8.792720986329093016e-04
2.117018193527612224e-01,-8.035071615557913853e-04
2.135421027209788991e-01,-6.669189965953940596e-04
2.153823860891965758e-01,-4.733910326235843706e-04
2.172226694574142525e-01,-2.039077039825951706e-04
2.190629528256319292e-01,1.378070445552228370e-04
2.209032361938496059e-01,5.335102564835557002e-04
2.227435195620673103e-01,9.617346840775711780e-04
2.245838029302849870e-01,1.411806615032235035e-03
2.264240862985026637e-01,1.886950883840182768e-03
2.282643696667203403e-01,2.316360810500810077e-03
2.301046530349380170e-01,2.659626752306924660e-03
2.319449364031556937e-01,2.930236650734276919e-03
2.337852197713733704e-01,3.135565242805734166e-03
2.356255031395910471e-01,3.251040256511455052e-03
2.374657865078087238e-01,3.259996214447841243e-03
2.393060698760264005e-01,3.156071483672621362e-03
2.411463532442440771e-01,2.953149725756777557e-03
2.429866366124617538e-01,2.644862522689330180e-03
2.448269199806794305e-01,2.237148873033361317e-03
2.466672033488971072e-01,1.757961588388411069e-03
2.485074867171147839e-01,1.223439224247200013e-03
2.503477700853324883e-01,6.341411692305257098e-04
2.521880534535501095e-01,-1.712559115338098650e-05
2.540283368217678417e-01,-6.940952337130952511e-04
2.558686201899855184e-01,-1.375168249755782642e-03
2.577089035582031951e-01,-2.034907831823651054e-03
2.595491869264208717e-01,-2.668148125167888601e-03
2.613894702946385484e-01,-3.247908411570653298e-03
2.632297536628562251e-01,-3.743696282224915663e-03
2.650700370310739018e-01,-4.133273521015272400e-03
2.669103203992915785e-01,-4.418970592590476185e-03
2.687506037675092552e-01,-4.591909038968620786e-03
2.705908871357269319e-01,-4.654760004376819194e-03
2.724311705039446085e-01,-4.612744294378380398e-03
2.742714538721622852e-01,-4.455919672342291242e-03
2.761117372403799619e-01,-4.176824886404128037e-03
2.779520206085976386e-01,-3.766972120959671041e-03
2.797923039768153153e-01,-3.237470161988063259e-03
2.816325873450329920e-01,-2.610441826097734293e-03
2.834728707132506687e-01,-1.924855440120628583e-03
2.853131540814683453e-01,-1.205453577450227168e-03
2.871534374496860220e-01,-4.979956059173009167e-04
2.889937208179037542e-01,1.593782594920761331e-04
2.908340041861213754e-01,7.449438189209929475e-04
2.926742875543391076e-01,1.249978572835321825e-03
2.945145709225567288e-01,1.663716630300908234e-03
2.963548542907744610e-01,1.971078402027395555e-03
2.981951376589920821e-01,2.151277901769801677e-03
3.000354210272098143e-01,2.186776639341717239e-03
3.018757043954274355e-01,2.092034920123953586e-03
3.037159877636451677e-01,1.877850538598314087e-03
3.055562711318627889e-01,1.577822888590642248e-03
3.073965545000805211e-01,1.240221338839742190e-03
3.092368378682981422e-01,8.940352149813141644e-04
3.110771212365158744e-01,5.514002330174042673e-04
3.129174046047334956e-01,2.424984156866685260e-04
3.147576879729512278e-01,-2.442978720219969418e-06
3.165979713411688490e-01,-1.635721327615593536e-04
3.184382547093865812e-01,-2.237168964483613137e-04
3.202785380776042579e-01,-1.732633889984272447e-04
3.221188214458219345e-01,-2.182497885914728369e-06
3.239591048140396112e-01,2.994459712346900747e-04
3.257993881822572879e-01,7.280706265036780787e-04
3.276396715504749646e-01,1.253188232658675877e-03
3.294799549186926413e-01,1.854998662763998260e-03
3.313202382869103180e-01,2.485093392987983586e-03
3.331605216551279947e-01,3.088278171757041172e-03
3.350008050233456713e-01,3.637698483306833763e-03
3.368410883915633480e-01,4.144901961819022311e-03
3.386813717597810247e-01,4.595795729967852399e-03
3.405216551279987014e-01,4.955962241110905067e-03
3.423619384962163781e-01,5.201817505139498879e-03
3.442022218644340548e-01,5.313895258619869347e-03
3.460425052326517315e-01,5.296198827849500114e-03
3.478827886008694081e-01,5.168965279124160608e-03
3.497230719690870848e-01,4.965297449891296552e-03
3.515633553373047615e-01,4.711571038662572611e-03
3.534036387055224382e-01,4.426709350471698563e-03
3.552439220737401149e-01,4.109476196017285664e-03
3.570842054419577916e-01,3.768284774399406362e-03
3.589244888101754682e-01,3.425776859053525098e-03
3.607647721783931449e-01,3.098938204219631089e-03
3.626050555466108216e-01,2.769189968575798584e-03
3.644453389148284983e-01,2.434760412412287269e-03
3.662856222830461750e-01,2.109257077822351226e-03
3.681259056512638517e-01,1.786721497084964565e-03
3.699661890194815284e-01,1.481018634111978599e-03
3.718064723876992050e-01,1.186216735897009916e-03
3.736467557559169372e-01,8.904765054065909985e-04
3.754870391241346139e-01,5.563611596000394644e-04
3.773273224923522906e-01,1.730984179215167853e-04
3.791676058605699673e-01,-2.506939522543648997e-04
3.810078892287876440e-01,-6.877431825398261280e-04
3.828481725970053207e-01,-1.103404267584320690e-03
3.846884559652229973e-01,-1.487354816952522751e-03
3.865287393334406740e-01,-1.836243389885785322e-03
3.883690227016583507e-01,-2.139273057453076280e-03
3.902093060698760274e-01,-2.382376378375278443e-03
3.920495894380937041e-01,-2.545128922094856434e-03
3.938898728063113808e-01,-2.587903784617922188e-03
3.957301561745290575e-01,-2.517122752865814939e-03
3.975704395427467341e-01,-2.362262974903489490e-03
3.994107229109644108e-01,-2.157611547529502457e-03
4.012510062791820875e-01,-1.910294825334115385e-03
4.030912896473997642e-01,-1.623811312345451330e-03
4.049315730156174409e-01,-1.297664377771538249e-03
4.067718563838351176e-01,-9.709512530650128009e-04
4.086121397520527943e-01,-6.713690416484491231e-04
4.104524231202704709e-01,-4.067930638742359986e-04
4.122927064884881476e-01,-1.936189446299211615e-04
4.141329898567058243e-01,-3.750657623459162810e-05
4.159732732249235010e-01,5.418963468071695745e-05
4.178135565931411777e-01,8.795305581365739627e-05
4.196538399613588544e-01,3.075837536868037894e-05
4.214941233295765310e-01,-1.278340574053381967e-04
4.233344066977942077e-01,-3.594487853953347647e-04
4.251746900660118844e-01,-6.230324700320871798e-04
4.270149734342295611e-01,-8.875102450398820401e-04
4.288552568024472378e-01,-1.172782810426655289e-03
