# B (T), \delta v/v
1.385599999999999943e+00,-8.991402998767393127e-05
1.402600000000000069e+00,-9.473338379229886085e-05
1.419899999999999940e+00,-9.571541490183368864e-05
1.436900000000000066e+00,-9.710759233091343441e-05
1.453999999999999959e+00,-1.026103795079154042e-04
1.471100000000000074e+00,-1.045335904472691451e-04
1.488199999999999967e+00,-1.063454166391750502e-04
1.505300000000000082e+00,-1.085621513430550943e-04
1.522299999999999986e+00,-1.118861975464435511e-04
1.539400000000000102e+00,-1.130091154726793124e-04
1.556499999999999995e+00,-1.164125966419565127e-04
1.573600000000000110e+00,-1.170741401161527544e-04
1.590700000000000003e+00,-1.194894702124567202e-04
1.608100000000000085e+00,-1.233523639720986837e-04
1.625299999999999967e+00,-1.265809735685411038e-04
1.642300000000000093e+00,-1.310028529996653851e-04
1.659399999999999986e+00,-1.343022809242252233e-04
1.676500000000000101e+00,-1.337633092284399596e-04
1.693500000000000005e+00,-1.376823642148268100e-04
1.710599999999999898e+00,-1.392711070796534957e-04
1.727700000000000014e+00,-1.443408673979382152e-04
1.744899999999999896e+00,-1.463493792906768465e-04
1.761900000000000022e+00,-1.475138067669990675e-04
1.778899999999999926e+00,-1.523045366331318901e-04
1.796000000000000041e+00,-1.561209995742635732e-04
1.813099999999999934e+00,-1.583450051441454205e-04
1.830200000000000049e+00,-1.606901805640947444e-04
1.847199999999999953e+00,-1.629489730678023048e-04
1.864200000000000079e+00,-1.646903743661808474e-04
1.881499999999999950e+00,-1.703572250059250202e-04
1.898600000000000065e+00,-1.719101779790530439e-04
1.915599999999999969e+00,-1.767251193825960934e-04
1.932700000000000085e+00,-1.807359420164173283e-04
1.949799999999999978e+00,-1.821307653587157143e-04
1.966800000000000104e+00,-1.846067631381792507e-04
1.983899999999999997e+00,-1.890677941650594635e-04
2.000900000000000123e+00,-1.922478282202835786e-04
2.018200000000000216e+00,-1.945478348222496516e-04
2.035299999999999887e+00,-2.002125554847873862e-04
2.052400000000000002e+00,-2.018499587534430221e-04
2.069500000000000117e+00,-2.066048618940340782e-04
2.086500000000000021e+00,-2.099672519473756997e-04
2.103699999999999903e+00,-2.133018618711131299e-04
2.120699999999999807e+00,-2.172312885674919987e-04
2.137799999999999923e+00,-2.201732789588340268e-04
2.154900000000000038e+00,-2.228219756718747267e-04
2.171899999999999942e+00,-2.275269396281978434e-04
2.189000000000000057e+00,-2.313544573720626352e-04
2.206199999999999939e+00,-2.344640188359041466e-04
2.223300000000000054e+00,-2.378381735373245474e-04
2.240299999999999958e+00,-2.435009779769969484e-04
2.257400000000000073e+00,-2.447911903205043731e-04
2.274399999999999977e+00,-2.478785368055211910e-04
2.291500000000000092e+00,-2.545704126718490823e-04
2.308600000000000207e+00,-2.558158200891107181e-04
2.325699999999999878e+00,-2.608986342218287224e-04
2.342799999999999994e+00,-2.636943199091243374e-04
2.359900000000000109e+00,-2.675377677091712284e-04
2.376900000000000013e+00,-2.720013571434972441e-04
2.393899999999999917e+00,-2.764368511420054754e-04
2.410899999999999821e+00,-2.788178705739269097e-04
2.428199999999999914e+00,-2.832412168472304330e-04
2.445300000000000029e+00,-2.874702949146350954e-04
2.462400000000000144e+00,-2.919125534693830831e-04
2.479499999999999815e+00,-2.952726355158677559e-04
2.496700000000000141e+00,-2.995849021937107811e-04
2.513599999999999834e+00,-3.042476979985509421e-04
2.530699999999999950e+00,-3.082541900801253525e-04
2.547699999999999854e+00,-3.110842723648580351e-04
2.564900000000000180e+00,-3.154014860910131827e-04
2.581999999999999851e+00,-3.197146244184707279e-04
2.599099999999999966e+00,-3.260156596064412728e-04
2.616099999999999870e+00,-3.282882084471396879e-04
2.633300000000000196e+00,-3.325988892854279868e-04
2.650399999999999867e+00,-3.377730349101013734e-04
2.667499999999999982e+00,-3.420057727247552111e-04
2.684800000000000075e+00,-3.457471106221838121e-04
2.701999999999999957e+00,-3.493324724218417133e-04
2.719100000000000072e+00,-3.548604148401485886e-04
2.736200000000000188e+00,-3.589614829130631426e-04
2.753299999999999859e+00,-3.637996052825387622e-04
