# B (T), A_asym/A_sym
6.979973736047274668e-01,9.922962302825577563e-03
7.050229809586342489e-01,1.315102959523031800e-02
7.120485883125410309e-01,1.824165442783792432e-02
7.190741956664477019e-01,2.308960261030967159e-02
7.260998030203544840e-01,1.780788349874332793e-02
7.331254103742612660e-01,1.043433964905382538e-02
7.401510177281680480e-01,3.242110785080440632e-03
7.471766250820748301e-01,7.296724490095115624e-03
7.542022324359816121e-01,7.555022322982042800e-03
7.612278397898882831e-01,9.702691513530163972e-03
7.682534471437950652e-01,1.130446351874170655e-02
7.752790544977018472e-01,1.162171884334251004e-02
7.823046618516086292e-01,1.390838628223497325e-02
7.893302692055154113e-01,1.753210981789209838e-02
7.963558765594220823e-01,2.341121012188207215e-02
8.033814839133288643e-01,2.710383651521281953e-02
8.104070912672356464e-01,3.040614165879121020e-02
8.174326986211424284e-01,3.264932444618449253e-02
8.244583059750492104e-01,3.171260760659121852e-02
8.314839133289559925e-01,3.144963813901428124e-02
8.385095206828626635e-01,3.301634661107388097e-02
8.455351280367694455e-01,3.260740584863730529e-02
8.525607353906762276e-01,4.003060494314988199e-02
8.595863427445830096e-01,4.692360816839407506e-02
8.666119500984897916e-01,5.011285400090698811e-02
8.736375574523964627e-01,5.612186950005539771e-02
8.806631648063032447e-01,5.824913776007980409e-02
8.876887721602100267e-01,5.298795183059287761e-02
8.947143795141168088e-01,5.073463200339622947e-02
9.017399868680235908e-01,4.993746603649709681e-02
9.087655942219303729e-01,4.598755228095960379e-02
9.157912015758370439e-01,5.029499290671093220e-02
9.228168089297438259e-01,5.163339096625242652e-02
9.298424162836506079e-01,5.545371367946558272e-02
9.368680236375573900e-01,5.680660133695772385e-02
9.438936309914641720e-01,5.477735014177135403e-02
9.509192383453709541e-01,5.222044205492172575e-02
9.579448456992776251e-01,5.443722290638631361e-02
9.649704530531844071e-01,5.189299528351708213e-02
9.719960604070911891e-01,5.150123667670000738e-02
9.790216677609979712e-01,4.697516670801035743e-02
9.860472751149047532e-01,3.929202125435620613e-02
9.930728824688114242e-01,2.361304866063953026e-02
1.000098489822718317e+00,8.388863115484359798e-03
1.007124097176625099e+00,3.650400592585088897e-03
1.014149704530531881e+00,1.489517389602868511e-03
1.021175311884438663e+00,-5.372997301904602029e-03
1.028200919238345445e+00,-8.920697354513049127e-03
1.035226526592252005e+00,-9.691427937231539627e-03
1.042252133946158787e+00,-1.324462154503864598e-02
1.049277741300065570e+00,-1.766230035167539597e-02
1.056303348653972352e+00,-2.414487508944231087e-02
