# B (T), A_asym/A_sym
5.674029126213592455e+00,6.408451957917713805e-03
5.729514563106796743e+00,2.700705367770984966e-02
5.785000000000000142e+00,3.408193879720445435e-02
5.840485436893204430e+00,2.029219513202136158e-02
5.895970873786407829e+00,2.734802286036362717e-02
5.951456310679612116e+00,2.299688665617605557e-02
6.006941747572816404e+00,2.696908263567204464e-02
6.062427184466019803e+00,3.557240931504092318e-02
6.117912621359224090e+00,2.996306265610805888e-02
6.173398058252427489e+00,2.652889911754298044e-02
6.228883495145631777e+00,1.878081486211708243e-02
6.284368932038835176e+00,2.473108108260773513e-02
6.339854368932039463e+00,1.787376888481096923e-02
6.395339805825242863e+00,3.473302920289159101e-02
6.450825242718447150e+00,4.623507103032027665e-02
6.506310679611650549e+00,3.170755295746654351e-02
6.561796116504854837e+00,3.259670529474324036e-02
6.617281553398059124e+00,2.354211687810942033e-02
6.672766990291262523e+00,3.145656290359488683e-02
6.728252427184466811e+00,3.517326749363473143e-02
6.783737864077670210e+00,2.994206453665460704e-02
6.839223300970874497e+00,2.197253167440568408e-02
6.894708737864077897e+00,3.879327173929256189e-02
6.950194174757282184e+00,4.517776977487619056e-02
7.005679611650485583e+00,2.995986648246807410e-02
7.061165048543689871e+00,3.081989770963853778e-02
7.116650485436893270e+00,2.644186856427295854e-02
7.172135922330097557e+00,2.172493891813054648e-02
7.227621359223301845e+00,4.450325158649066914e-02
7.283106796116505244e+00,4.754109106136379659e-02
7.338592233009709531e+00,5.016660243138598707e-02
7.394077669902912930e+00,4.821439804024635345e-02
7.449563106796117218e+00,4.681212956693080879e-02
7.505048543689320617e+00,4.335836174982064806e-02
7.560533980582524904e+00,4.902218187965102364e-02
7.616019417475728304e+00,4.517630894347097331e-02
7.671504854368932591e+00,4.861348874372598688e-02
7.726990291262135990e+00,4.279065771295716136e-02
7.782475728155340278e+00,2.724781343855756446e-02
7.837961165048544565e+00,3.372602568775814186e-02
7.893446601941747964e+00,3.468585749909808280e-02
7.948932038834952252e+00,6.607272808325398428e-02
8.004417475728155651e+00,6.086459022225506471e-02
8.059902912621359050e+00,5.464936042418394591e-02
8.115388349514564226e+00,5.291043609276278176e-02
8.170873786407767625e+00,5.294530628585024379e-02
8.226359223300971024e+00,6.035240643861711218e-02
8.281844660194174423e+00,7.293361955921150164e-02
8.337330097087379599e+00,5.734030605111800627e-02
8.392815533980582998e+00,5.121205138042848187e-02
8.448300970873786397e+00,6.765323083074674393e-02
8.503786407766991573e+00,6.840168465900883787e-02
8.559271844660194972e+00,6.020499977200280406e-02
8.614757281553398371e+00,5.356580410461258407e-02
8.670242718446601771e+00,5.481558277322524236e-02
8.725728155339806946e+00,7.455872729320014991e-02
8.781213592233010345e+00,6.257225630831862728e-02
8.836699029126213745e+00,6.579129018121074313e-02
8.892184466019417144e+00,7.783878853018579014e-02
8.947669902912622319e+00,7.537424645078126539e-02
9.003155339805825719e+00,8.542104115464116409e-02
9.058640776699029118e+00,7.534121692669720760e-02
9.114126213592234294e+00,7.330199143341065149e-02
9.169611650485437693e+00,9.188045334469696623e-02
9.225097087378641092e+00,9.231226183381230355e-02
9.280582524271844491e+00,8.260524107930966586e-02
9.336067961165049667e+00,8.148425748749932307e-02
9.391553398058253066e+00,7.426628850698140105e-02
9.447038834951456465e+00,6.721146900742723529e-02
9.502524271844659864e+00,6.727506689574509757e-02
9.558009708737865040e+00,8.683216299122918647e-02
9.613495145631068439e+00,1.040847170225451396e-01
9.668980582524271838e+00,1.014360110210917737e-01
9.724466019417477014e+00,1.065563406165132149e-01
9.779951456310680413e+00,1.160955811558659345e-01
9.835436893203883812e+00,1.086039770828008399e-01
