# B (T), A/A(0)
5.227097085815488597e-01,1.000188798184480587e+00
5.245499919497664809e-01,9.991213606757760601e-01
5.263902753179842131e-01,9.979907341723260883e-01
5.282305586862019453e-01,9.976733029427562460e-01
5.300708420544195665e-01,9.982244428831134053e-01
5.319111254226371877e-01,9.993456160461599014e-01
5.337514087908549199e-01,1.000824687017137338e+00
5.355916921590726520e-01,1.002204896223287900e+00
5.374319755272902732e-01,1.003690601156772555e+00
5.392722588955078944e-01,1.005738488347127424e+00
5.411125422637256266e-01,1.008204695564874021e+00
5.429528256319433588e-01,1.010792698131159240e+00
5.447931090001609800e-01,1.013854400289450286e+00
5.466333923683786011e-01,1.016332788743977478e+00
5.484736757365963333e-01,1.018314237607689465e+00
5.503139591048140655e-01,1.020416236923724851e+00
5.521542424730316867e-01,1.022610406879275624e+00
5.539945258412493079e-01,1.024546349659125166e+00
5.558348092094670401e-01,1.026458595440325139e+00
5.576750925776847723e-01,1.027689847087948083e+00
5.595153759459023934e-01,1.028663662649159427e+00
5.613556593141200146e-01,1.029374005972060413e+00
5.631959426823377468e-01,1.029423327954475109e+00
5.650362260505554790e-01,1.028894823830257099e+00
5.668765094187731002e-01,1.028155327832896981e+00
5.687167927869907214e-01,1.026765072956425495e+00
5.705570761552085646e-01,1.024953813498689081e+00
5.723973595234261857e-01,1.023725685576643452e+00
5.742376428916438069e-01,1.022590184096650923e+00
5.760779262598614281e-01,1.021327366399120917e+00
5.779182096280792713e-01,1.020281940094122097e+00
5.797584929962968925e-01,1.019234524666031483e+00
5.815987763645145137e-01,1.017519537775532834e+00
5.834390597327321348e-01,1.015202996551802128e+00
5.852793431009499781e-01,1.012623739818143020e+00
5.871196264691675992e-01,1.010092543784011587e+00
5.889599098373852204e-01,1.008104327880621209e+00
5.908001932056028416e-01,1.006017611982966020e+00
5.926404765738206848e-01,1.003698510917302444e+00
5.944807599420383060e-01,1.001554922919159152e+00
5.963210433102559271e-01,9.991443653040762429e-01
5.981613266784735483e-01,9.966166502936397720e-01
6.000016100466913915e-01,9.945532103932185342e-01
6.018418934149090127e-01,9.934665978421237664e-01
6.036821767831266339e-01,9.930403368639554307e-01
6.055224601513442551e-01,9.929424144675846886e-01
6.073627435195620983e-01,9.932882802271414402e-01
6.092030268877797194e-01,9.940824631384602705e-01
6.110433102559973406e-01,9.953166650710519869e-01
6.128835936242151838e-01,9.967545740284613487e-01
6.147238769924328050e-01,9.980897792917987621e-01
6.165641603606504262e-01,9.996837295182580130e-01
6.184044437288680474e-01,1.001148701344106273e+00
6.202447270970858906e-01,1.002117727070516384e+00
6.220850104653035118e-01,1.003464974511862673e+00
6.239252938335211329e-01,1.005063299606350435e+00
6.257655772017387541e-01,1.006738582216697209e+00
6.276058605699565973e-01,1.007819068241028182e+00
6.294461439381742185e-01,1.008257719617165815e+00
6.312864273063918397e-01,1.008485791263446618e+00
6.331267106746094608e-01,1.008681351751570698e+00
6.349669940428273041e-01,1.009221466520009214e+00
6.368072774110449252e-01,1.009735499573289008e+00
6.386475607792625464e-01,1.010619874750796843e+00
6.404878441474801676e-01,1.011935771139869100e+00
6.423281275156980108e-01,1.013205890991597302e+00
6.441684108839156320e-01,1.014673741506307181e+00
6.460086942521332531e-01,1.016112780267287574e+00
6.478489776203508743e-01,1.017182792122775625e+00
6.496892609885687175e-01,1.018126949295182104e+00
6.515295443567863387e-01,1.019007748113887724e+00
6.533698277250039599e-01,1.020257224513492877e+00
6.552101110932215811e-01,1.021590633917603297e+00
6.570503944614394243e-01,1.022888487168357008e+00
6.588906778296570455e-01,1.023502004834874191e+00
6.607309611978746666e-01,1.023206784282118642e+00
6.625712445660922878e-01,1.022495200885151334e+00
6.644115279343101310e-01,1.021363644828297224e+00
6.662518113025277522e-01,1.020177046073533322e+00
6.680920946707453734e-01,1.018896400900061394e+00
6.699323780389629945e-01,1.017528608205118923e+00
6.717726614071808378e-01,1.016236095838415121e+00
6.736129447753984589e-01,1.014814871941608798e+00
6.754532281436160801e-01,1.013115989393133409e+00
6.772935115118339233e-01,1.011128769588410581e+00
6.791337948800515445e-01,1.009431977376229028e+00
6.809740782482691657e-01,1.008276976461013108e+00
6.828143616164867868e-01,1.007163855351762560e+00
6.846546449847046301e-01,1.006536669532579475e+00
6.864949283529222512e-01,1.006638046623358207e+00
6.883352117211398724e-01,1.007404485113642112e+00
6.901754950893574936e-01,1.008327799496728128e+00
6.920157784575753368e-01,1.009383402262408636e+00
6.938560618257929580e-01,1.010900579458041681e+00
6.956963451940105791e-01,1.012433616586379648e+00
6.975366285622282003e-01,1.013937302079548797e+00
6.993769119304460435e-01,1.015392018674864394e+00
7.012171952986636647e-01,1.017174310547082516e+00
7.030574786668812859e-01,1.019007560531080214e+00
7.048977620350989071e-01,1.020101986374021275e+00
7.067380454033167503e-01,1.020350134902055839e+00
7.085783287715343715e-01,1.020203995089186133e+00
7.104186121397519926e-01,1.019929716905795702e+00
7.122588955079696138e-01,1.019136825411852465e+00
7.140991788761874570e-01,1.017803510857623550e+00
7.159394622444050782e-01,1.016657248662299562e+00
7.177797456126226994e-01,1.015565064234333903e+00
7.196200289808403205e-01,1.014137575052698637e+00
7.214603123490581638e-01,1.012748763523646067e+00
7.233005957172757849e-01,1.011584044983179442e+00
7.251408790854934061e-01,1.010917447483122400e+00
7.269811624537110273e-01,1.010511660105033016e+00
7.288214458219288705e-01,1.010316912771936915e+00
7.306617291901464917e-01,1.010217236465056123e+00
7.325020125583641128e-01,1.010398591687343250e+00
7.343422959265817340e-01,1.011033367852137710e+00
7.361825792947995772e-01,1.011823129428222945e+00
7.380228626630171984e-01,1.012999673494985320e+00
7.398631460312348196e-01,1.014201807340429307e+00
7.417034293994524408e-01,1.014851968222691081e+00
7.435437127676702840e-01,1.015248372175127090e+00
7.453839961358879052e-01,1.015538764871006139e+00
7.472242795041055263e-01,1.015727802246691125e+00
7.490645628723233695e-01,1.015675094800963851e+00
7.509048462405409907e-01,1.015332552436037927e+00
