# B (T), A_asym/A(0)
1.804170020930607188e-01,1.611669039703108458e-04
1.822572854612783955e-01,6.541278922194646581e-04
1.840975688294960722e-01,1.043802153150198610e-03
1.859378521977137488e-01,1.288386237939979223e-03
1.877781355659314255e-01,1.359367047363747904e-03
1.896184189341491022e-01,1.249958710552779174e-03
1.914587023023667789e-01,9.494054312522050157e-04
1.932989856705844556e-01,4.726643615424318159e-04
1.951392690388021323e-01,-1.493551880437794094e-04
1.969795524070198089e-01,-8.922203870169757509e-04
1.988198357752374856e-01,-1.737258704577453877e-03
2.006601191434551623e-01,-2.647686761218074041e-03
2.025004025116728390e-01,-3.604247001344785921e-03
2.043406858798905157e-01,-4.603021577493528367e-03
2.061809692481081924e-01,-5.594752852498127357e-03
2.080212526163258691e-01,-6.533073712247092386e-03
2.098615359845435457e-01,-7.369509940977984550e-03
2.117018193527612224e-01,-8.065898703647786036e-03
2.135421027209788991e-01,-8.609860670334317997e-03
2.153823860891965758e-01,-9.022895507999036460e-03
2.172226694574142525e-01,-9.319717489856629150e-03
2.190629528256319292e-01,-9.527939393401302012e-03
2.209032361938496059e-01,-9.665585012662637407e-03
2.227435195620673103e-01,-9.733646088235032440e-03
2.245838029302849870e-01,-9.747751843937274910e-03
2.264240862985026637e-01,-9.745093040682082514e-03
2.282643696667203403e-01,-9.738390474205202429e-03
2.301046530349380170e-01,-9.730919553036071132e-03
2.319449364031556937e-01,-9.747196925411441559e-03
2.337852197713733704e-01,-9.787674781174583033e-03
2.356255031395910471e-01,-9.858865944764191869e-03
2.374657865078087238e-01,-9.948081077197034466e-03
2.393060698760264005e-01,-1.001158431671448842e-02
2.411463532442440771e-01,-1.003435328294551183e-02
2.429866366124617538e-01,-1.000755910878110486e-02
2.448269199806794305e-01,-9.905749678841557770e-03
2.466672033488971072e-01,-9.705220183888391139e-03
2.485074867171147839e-01,-9.422937026651142384e-03
2.503477700853324883e-01,-9.043357874340315558e-03
2.521880534535501095e-01,-8.548301869105674050e-03
2.540283368217678417e-01,-7.952585927819107864e-03
2.558686201899855184e-01,-7.262772127479013261e-03
2.577089035582031951e-01,-6.506563079130564878e-03
2.595491869264208717e-01,-5.733479214206903610e-03
2.613894702946385484e-01,-4.958405936536449017e-03
2.632297536628562251e-01,-4.222397794577328542e-03
2.650700370310739018e-01,-3.597970926584397565e-03
2.669103203992915785e-01,-3.096607361703936252e-03
2.687506037675092552e-01,-2.725118899796329357e-03
2.705908871357269319e-01,-2.495206763260063472e-03
2.724311705039446085e-01,-2.436398169801911890e-03
2.742714538721622852e-01,-2.533716184648712212e-03
2.761117372403799619e-01,-2.796461312840337055e-03
2.779520206085976386e-01,-3.224288204007387006e-03
2.797923039768153153e-01,-3.783231650230758306e-03
2.816325873450329920e-01,-4.451913727489266795e-03
2.834728707132506687e-01,-5.169592730836640969e-03
2.853131540814683453e-01,-5.877835143727840918e-03
2.871534374496860220e-01,-6.581942246646430190e-03
2.889937208179037542e-01,-7.258119849939262576e-03
2.908340041861213754e-01,-7.872219839257536475e-03
2.926742875543391076e-01,-8.405982656829591795e-03
2.945145709225567288e-01,-8.846564230644438781e-03
2.963548542907744610e-01,-9.182364053468188361e-03
2.981951376589920821e-01,-9.391233429564081053e-03
3.000354210272098143e-01,-9.492409837681847762e-03
3.018757043954274355e-01,-9.501028536915005415e-03
3.037159877636451677e-01,-9.438959523937379831e-03
3.055562711318627889e-01,-9.318229529383733820e-03
3.073965545000805211e-01,-9.139211391095665785e-03
3.092368378682981422e-01,-8.943134301080846171e-03
3.110771212365158744e-01,-8.759534547775282842e-03
3.129174046047334956e-01,-8.572702995681214314e-03
3.147576879729512278e-01,-8.374659636860067730e-03
3.165979713411688490e-01,-8.168980401265143673e-03
3.184382547093865812e-01,-7.958059373627543800e-03
3.202785380776042579e-01,-7.738700642716673551e-03
3.221188214458219345e-01,-7.504253741842842156e-03
3.239591048140396112e-01,-7.249794969659827636e-03
3.257993881822572879e-01,-6.956825154766152833e-03
3.276396715504749646e-01,-6.606798901876425635e-03
3.294799549186926413e-01,-6.175693863473282787e-03
3.313202382869103180e-01,-5.671208238139330803e-03
3.331605216551279947e-01,-5.123511465589906770e-03
3.350008050233456713e-01,-4.527209467870723855e-03
3.368410883915633480e-01,-3.897886691799138954e-03
3.386813717597810247e-01,-3.257693595791577405e-03
3.405216551279987014e-01,-2.636324108564173496e-03
3.423619384962163781e-01,-2.027274151361216446e-03
3.442022218644340548e-01,-1.460745334991211042e-03
3.460425052326517315e-01,-9.692190540835565402e-04
3.478827886008694081e-01,-5.734022720524247331e-04
