# B (T), A/A(0)
6.828143616164867868e-01,1.006229043000695267e+00
6.846546449847046301e-01,1.005659730013457098e+00
6.864949283529222512e-01,1.005023595773801182e+00
6.883352117211398724e-01,1.004351691552319403e+00
6.901754950893574936e-01,1.003467663697645174e+00
6.920157784575753368e-01,1.003006236593530165e+00
6.938560618257929580e-01,1.003217254337517961e+00
6.956963451940105791e-01,1.003544810715599978e+00
6.975366285622282003e-01,1.004312679437025402e+00
6.993769119304460435e-01,1.005187009189827396e+00
7.012171952986636647e-01,1.005955093676749401e+00
7.030574786668812859e-01,1.006607328191819972e+00
7.048977620350989071e-01,1.007398835228162204e+00
7.067380454033167503e-01,1.008097861385305327e+00
7.085783287715343715e-01,1.008464443371464236e+00
7.104186121397519926e-01,1.008906846705029503e+00
7.122588955079696138e-01,1.009228100678875695e+00
7.140991788761874570e-01,1.009226478774382985e+00
7.159394622444050782e-01,1.009163023092027212e+00
7.177797456126226994e-01,1.008965345993249274e+00
7.196200289808403205e-01,1.008675256513798191e+00
7.214603123490581638e-01,1.008371205032718709e+00
7.233005957172757849e-01,1.007973182299941373e+00
7.251408790854934061e-01,1.007548566739856266e+00
7.269811624537110273e-01,1.007297113958648849e+00
7.288214458219288705e-01,1.006977466990986558e+00
7.306617291901464917e-01,1.006349986869445878e+00
7.325020125583641128e-01,1.005540229630847104e+00
7.343422959265817340e-01,1.004775200924870271e+00
7.361825792947995772e-01,1.004092540919616861e+00
7.380228626630171984e-01,1.003604235429105929e+00
7.398631460312348196e-01,1.003335539765440876e+00
7.417034293994524408e-01,1.003256129460400770e+00
7.435437127676702840e-01,1.003474892040619570e+00
7.453839961358879052e-01,1.003976587990427882e+00
7.472242795041055263e-01,1.004821364653614824e+00
7.490645628723233695e-01,1.006034944775034079e+00
7.509048462405409907e-01,1.007380155861078430e+00
7.527451296087586119e-01,1.008892338613692763e+00
7.545854129769762331e-01,1.010682320626555164e+00
7.564256963451940763e-01,1.012319017035902879e+00
7.582659797134116975e-01,1.013636311504330534e+00
7.601062630816293186e-01,1.014715984551290306e+00
7.619465464498469398e-01,1.015308925928968709e+00
7.637868298180647830e-01,1.015440696328309356e+00
7.656271131862824042e-01,1.015083922194217170e+00
7.674673965545000254e-01,1.014496419662399562e+00
7.693076799227176465e-01,1.013697119642179567e+00
7.711479632909354898e-01,1.012810240420529473e+00
7.729882466591531109e-01,1.011813970907749827e+00
7.748285300273707321e-01,1.010613002440438501e+00
7.766688133955883533e-01,1.009566579324239211e+00
7.785090967638061965e-01,1.008564387936325746e+00
7.803493801320238177e-01,1.007505124774434879e+00
7.821896635002414389e-01,1.006541256453038491e+00
7.840299468684590600e-01,1.005875959625726734e+00
7.858702302366769032e-01,1.005701646806755889e+00
7.877105136048945244e-01,1.005978548201695189e+00
7.895507969731121456e-01,1.006445286201486988e+00
7.913910803413297668e-01,1.006836185256130056e+00
7.932313637095476100e-01,1.007204839056541568e+00
7.950716470777652312e-01,1.007608692328031186e+00
7.969119304459828523e-01,1.007982466569018021e+00
7.987522138142004735e-01,1.008135006195034489e+00
8.005924971824183167e-01,1.008285004467112334e+00
8.024327805506359379e-01,1.008095099626666880e+00
8.042730639188535591e-01,1.007524727779431251e+00
8.061133472870711802e-01,1.007111368041027522e+00
8.079536306552890235e-01,1.006481411548675542e+00
8.097939140235066446e-01,1.005813582706360121e+00
8.116341973917242658e-01,1.005126787495379537e+00
8.134744807599421090e-01,1.004375988062510716e+00
8.153147641281597302e-01,1.003790869355372095e+00
8.171550474963773514e-01,1.003807163971402128e+00
8.189953308645949726e-01,1.004141594276229954e+00
8.208356142328128158e-01,1.004839312923541117e+00
8.226758976010304369e-01,1.005777995895849708e+00
8.245161809692480581e-01,1.006678933808080378e+00
8.263564643374656793e-01,1.007356431758416937e+00
8.281967477056835225e-01,1.008602107858152630e+00
8.300370310739011437e-01,1.010122429904629637e+00
8.318773144421187649e-01,1.011212109152190397e+00
8.337175978103363860e-01,1.012628332295684164e+00
8.355578811785542293e-01,1.013985919625231213e+00
8.373981645467718504e-01,1.014886658878699555e+00
8.392384479149894716e-01,1.015478923020191493e+00
8.410787312832070928e-01,1.015810704356910232e+00
8.429190146514249360e-01,1.015564403971105145e+00
8.447592980196425572e-01,1.014721191224326136e+00
8.465995813878601783e-01,1.013563203587833472e+00
8.484398647560777995e-01,1.011811911253749363e+00
8.502801481242956427e-01,1.010081327973585408e+00
8.521204314925132639e-01,1.008400755532659065e+00
8.539607148607308851e-01,1.006172138988002951e+00
8.558009982289485063e-01,1.003840314547918888e+00
8.576412815971663495e-01,1.001650322731791443e+00
8.594815649653839706e-01,9.995687842399832990e-01
8.613218483336015918e-01,9.978148425252812981e-01
8.631621317018192130e-01,9.967552313194952829e-01
8.650024150700370562e-01,9.959608094185196103e-01
8.668426984382546774e-01,9.956034663907764592e-01
8.686829818064722986e-01,9.957976405001788267e-01
8.705232651746899197e-01,9.964450538079164810e-01
8.723635485429077630e-01,9.970002571928867630e-01
8.742038319111253841e-01,9.976374440880485528e-01
8.760441152793430053e-01,9.982298649196363893e-01
8.778843986475608485e-01,9.988412867180127552e-01
8.797246820157784697e-01,9.996178547997869313e-01
8.815649653839960909e-01,1.000511210456225042e+00
8.834052487522137120e-01,1.001704538758083407e+00
8.852455321204315553e-01,1.003004199830051402e+00
8.870858154886491764e-01,1.004046840468098889e+00
8.889260988568667976e-01,1.004724876053597393e+00
8.907663822250844188e-01,1.005066727907068413e+00
8.926066655933022620e-01,1.005261345081501112e+00
8.944469489615198832e-01,1.005574716871633800e+00
8.962872323297375043e-01,1.005905003656554886e+00
8.981275156979551255e-01,1.006365941529344665e+00
8.999677990661729687e-01,1.006880876047926643e+00
9.018080824343905899e-01,1.007482174777700967e+00
9.036483658026082111e-01,1.008087222396929494e+00
9.054886491708258323e-01,1.008589799791626218e+00
9.073289325390436755e-01,1.008829067031514315e+00
9.091692159072612966e-01,1.008990021493591849e+00
9.110094992754789178e-01,1.009073127523647528e+00
9.128497826436965390e-01,1.009043499793768506e+00
9.146900660119143822e-01,1.009126072608209190e+00
9.165303493801320034e-01,1.009801444273567217e+00
9.183706327483496246e-01,1.010466118365404231e+00
9.202109161165672457e-01,1.011132953843920879e+00
9.220511994847850890e-01,1.011561917770267716e+00
9.238914828530027101e-01,1.011976863173342123e+00
9.257317662212203313e-01,1.012642091110080633e+00
9.275720495894379525e-01,1.013267302370733258e+00
9.294123329576557957e-01,1.014014605009998737e+00
9.312526163258734169e-01,1.014934703362734059e+00
9.330928996940910380e-01,1.016150147552552063e+00
9.349331830623086592e-01,1.016937762806702450e+00
9.367734664305265024e-01,1.017346667086271639e+00
9.386137497987441236e-01,1.017303128041433302e+00
9.404540331669617448e-01,1.016856917275972494e+00
9.422943165351793660e-01,1.015932917996912765e+00
9.441345999033972092e-01,1.014684476020111692e+00
9.459748832716148303e-01,1.013033499825336525e+00
9.478151666398324515e-01,1.011602122910915780e+00
9.496554500080502947e-01,1.010056687466140968e+00
9.514957333762679159e-01,1.008240701282224983e+00
9.533360167444855371e-01,1.006044031031140928e+00
9.551763001127031583e-01,1.003640189784474890e+00
9.570165834809210015e-01,1.001418733608776757e+00
9.588568668491386227e-01,9.992534495679138429e-01
9.606971502173562438e-01,9.974709620245922892e-01
9.625374335855738650e-01,9.961252548743076973e-01
9.643777169537917082e-01,9.956383672798104767e-01
9.662180003220093294e-01,9.956510255363413275e-01
9.680582836902269506e-01,9.958176111048200330e-01
9.698985670584445717e-01,9.962307623884193442e-01
9.717388504266624150e-01,9.967710116734479486e-01
9.735791337948800361e-01,9.973987154551371415e-01
9.754194171630976573e-01,9.982177815043089542e-01
9.772597005313152785e-01,9.993050201832078816e-01
9.790999838995331217e-01,1.000816647797657000e+00
9.809402672677507429e-01,1.002349439317510749e+00
9.827805506359683640e-01,1.003476946645863066e+00
9.846208340041859852e-01,1.004084572671255948e+00
9.864611173724038284e-01,1.004581646717251697e+00
9.883014007406214496e-01,1.005137307637646638e+00
9.901416841088390708e-01,1.005668610410956010e+00
9.919819674770566920e-01,1.006218293865489111e+00
9.938222508452745352e-01,1.006900062912931881e+00
9.956625342134921564e-01,1.007164994697420823e+00
9.975028175817097775e-01,1.006980645806704100e+00
9.993431009499273987e-01,1.006574924223835099e+00
1.001183384318145242e+00,1.006403068189898553e+00
1.003023667686362863e+00,1.006396098879791978e+00
1.004863951054580484e+00,1.006471049538699924e+00
1.006704234422798105e+00,1.006494594536970322e+00
1.008544517791015949e+00,1.006539308413307188e+00
1.010384801159233570e+00,1.006773253272350566e+00
1.012225084527451191e+00,1.006892702962107533e+00
1.014065367895669034e+00,1.007097841425610207e+00
1.015905651263886655e+00,1.007544606414665811e+00
1.017745934632104277e+00,1.008436482512852894e+00
1.019586218000321898e+00,1.009407800194010107e+00
1.021426501368539741e+00,1.010592650952046423e+00
1.023266784736757362e+00,1.012120715715098429e+00
1.025107068104974983e+00,1.013652110236795911e+00
1.026947351473192604e+00,1.014976668737689769e+00
1.028787634841410448e+00,1.015980411561673069e+00
1.030627918209628069e+00,1.016597344132485592e+00
1.032468201577845690e+00,1.017050228311522142e+00
1.034308484946063311e+00,1.017591649757543903e+00
1.036148768314281154e+00,1.018254433198898301e+00
1.037989051682498776e+00,1.018787594613309588e+00
1.039829335050716397e+00,1.019167584872896049e+00
1.041669618418934018e+00,1.019257779178230905e+00
1.043509901787151861e+00,1.018590574646819347e+00
1.045350185155369482e+00,1.017608689196759064e+00
1.047190468523587104e+00,1.016750639218775953e+00
1.049030751891804725e+00,1.016088345726867681e+00
1.050871035260022568e+00,1.015685245213394206e+00
1.052711318628240189e+00,1.015231486264458693e+00
1.054551601996457810e+00,1.014584023305472593e+00
1.056391885364675431e+00,1.014069740204155412e+00
1.058232168732893275e+00,1.013686404305712774e+00
1.060072452101110896e+00,1.013307527219238890e+00
1.061912735469328517e+00,1.012759638031475395e+00
1.063753018837546138e+00,1.012574996942740446e+00
1.065593302205763981e+00,1.012347050868380949e+00
1.067433585573981603e+00,1.011836554629023111e+00
1.069273868942199224e+00,1.011596938475466390e+00
1.071114152310417067e+00,1.011710651226668922e+00
1.072954435678634688e+00,1.012056490590280466e+00
1.074794719046852309e+00,1.012504835992691143e+00
1.076635002415069930e+00,1.012833803071602201e+00
1.078475285783287774e+00,1.013106051886107029e+00
1.080315569151505395e+00,1.013681767516367183e+00
1.082155852519723016e+00,1.014454111704907069e+00
1.083996135887940859e+00,1.015445263718754321e+00
1.085836419256158480e+00,1.016701598336679391e+00
1.087676702624376102e+00,1.018205117481200350e+00
1.089516985992593723e+00,1.019277311885919302e+00
1.091357269360811566e+00,1.020159860611979719e+00
1.093197552729029187e+00,1.020981280590172124e+00
1.095037836097246808e+00,1.021829694461344085e+00
1.096878119465464430e+00,1.022593616169366504e+00
1.098718402833682273e+00,1.023080444593802207e+00
1.100558686201899894e+00,1.023325206292225120e+00
1.102398969570117515e+00,1.023368237679198600e+00
1.104239252938335136e+00,1.023198723623918394e+00
1.106079536306552979e+00,1.023118936242059851e+00
1.107919819674770601e+00,1.023203730995252636e+00
1.109760103042988222e+00,1.023382861238785635e+00
1.111600386411205843e+00,1.023249292116109377e+00
1.113440669779423686e+00,1.022935875129090677e+00
1.115280953147641307e+00,1.022929932152454757e+00
1.117121236515858929e+00,1.023129572970871148e+00
1.118961519884076550e+00,1.023384361720408364e+00
1.120801803252294393e+00,1.023270727000622937e+00
1.122642086620512014e+00,1.023171641083518546e+00
1.124482369988729635e+00,1.022902161700905532e+00
1.126322653356947256e+00,1.022507124839064030e+00
1.128162936725165100e+00,1.022247698889160894e+00
1.130003220093382721e+00,1.022284197853051690e+00
1.131843503461600342e+00,1.022439535186211002e+00
1.133683786829817963e+00,1.022142332041262591e+00
1.135524070198035806e+00,1.021260672109022272e+00
1.137364353566253428e+00,1.019962787906538937e+00
1.139204636934471049e+00,1.018706556320289058e+00
