# B (T), A/A(0)
3.589244888101754682e-01,1.015543934290313421e+00
3.607647721783931449e-01,1.012722871045648398e+00
3.626050555466108216e-01,1.009971351896198355e+00
3.644453389148284983e-01,1.007612062559348765e+00
3.662856222830461750e-01,1.005767193244070601e+00
3.681259056512638517e-01,1.004117980098095497e+00
3.699661890194815284e-01,1.003355916608255294e+00
3.718064723876992050e-01,1.003536059989621476e+00
3.736467557559169372e-01,1.004184258910470806e+00
3.754870391241346139e-01,1.005003585621550011e+00
3.773273224923522906e-01,1.005949139050186014e+00
3.791676058605699673e-01,1.007262900786104476e+00
3.810078892287876440e-01,1.008768975743081109e+00
3.828481725970053207e-01,1.010396043558606349e+00
3.846884559652229973e-01,1.012083921873399239e+00
3.865287393334406740e-01,1.013383658267360543e+00
3.883690227016583507e-01,1.014384773372227100e+00
3.902093060698760274e-01,1.014743502729984259e+00
3.920495894380937041e-01,1.014834660889489371e+00
3.938898728063113808e-01,1.014938305702995924e+00
3.957301561745290575e-01,1.015053431398771133e+00
3.975704395427467341e-01,1.015066535670982706e+00
3.994107229109644108e-01,1.014847492823992336e+00
4.012510062791820875e-01,1.014425999891316099e+00
4.030912896473997642e-01,1.014151820136513171e+00
4.049315730156174409e-01,1.013886393187626078e+00
4.067718563838351176e-01,1.013850897860350209e+00
4.086121397520527943e-01,1.014347000211646810e+00
4.104524231202704709e-01,1.015312770158380840e+00
4.122927064884881476e-01,1.016246519708090101e+00
4.141329898567058243e-01,1.017025458521700898e+00
4.159732732249235010e-01,1.018062986533394332e+00
4.178135565931411777e-01,1.018759873222284673e+00
4.196538399613588544e-01,1.019081198371663444e+00
4.214941233295765310e-01,1.019457940594192591e+00
4.233344066977942077e-01,1.019871738891412694e+00
4.251746900660118844e-01,1.020242544490660430e+00
4.270149734342295611e-01,1.020298359967381385e+00
4.288552568024472378e-01,1.019784812887482017e+00
4.306955401706649145e-01,1.019134432337541751e+00
4.325358235388825912e-01,1.018246595765621931e+00
4.343761069071002678e-01,1.016908110521993480e+00
4.362163902753179445e-01,1.015428739967469962e+00
4.380566736435356212e-01,1.014288312771287837e+00
4.398969570117532979e-01,1.013081900920418610e+00
4.417372403799710301e-01,1.011575123679203658e+00
4.435775237481887068e-01,1.009776509039693959e+00
4.454178071164063835e-01,1.007843996191372993e+00
4.472580904846240601e-01,1.005698567057454085e+00
4.490983738528417368e-01,1.003307535495483682e+00
4.509386572210594135e-01,1.000746963958325519e+00
4.527789405892770902e-01,9.987081139414615283e-01
