# T (K), alpha_33 (Neper/m)
3.245999999999999996e-01,1.409724599277524248e+00
3.246999999999999886e-01,1.320429029069828175e+00
3.249000000000000221e-01,1.244907101423905260e+00
3.250000000000000111e-01,1.112284816443889213e+00
3.252999999999999781e-01,1.258709629090390081e+00
3.255000000000000115e-01,1.013204236842739192e+00
3.256000000000000005e-01,9.490425145086192060e-01
3.256999999999999895e-01,1.025771740223035522e+00
3.259000000000000230e-01,1.186531846536809098e+00
3.261999999999999900e-01,9.076208083235997037e-01
3.262999999999999790e-01,1.241793179891146792e+00
3.265000000000000124e-01,1.483131940187604414e+00
3.266000000000000014e-01,1.234843078278572648e+00
3.266999999999999904e-01,8.945104028816786013e-01
3.271000000000000019e-01,1.037573920220211221e+00
3.271999999999999909e-01,1.019964744641583820e+00
3.274000000000000243e-01,1.238895984473401768e+00
3.275000000000000133e-01,1.341929626615865345e+00
3.276999999999999913e-01,1.707881218483407793e+00
3.280000000000000138e-01,1.468452195173313157e+00
3.281000000000000028e-01,1.271796008669525690e+00
3.282999999999999807e-01,1.285126402682863045e+00
3.284000000000000252e-01,1.490240183735295432e+00
3.287999999999999812e-01,1.395793568256522121e+00
3.289000000000000257e-01,1.396838803595983336e+00
3.291000000000000036e-01,1.293303516907371886e+00
3.291999999999999926e-01,1.466582481648856628e+00
3.296000000000000041e-01,1.508277528278767932e+00
3.296999999999999931e-01,1.800360942424504174e+00
3.299000000000000266e-01,1.990860358993131740e+00
3.301000000000000045e-01,2.120534565832485896e+00
3.304000000000000270e-01,1.928366715446600210e+00
3.306000000000000050e-01,2.004191604002471649e+00
3.306999999999999940e-01,2.227106896803888958e+00
3.309000000000000274e-01,2.295310391455132049e+00
3.312999999999999834e-01,1.959115165930370495e+00
3.315000000000000169e-01,1.421625075961628681e+00
3.316000000000000059e-01,1.545351463802717262e+00
3.317999999999999838e-01,1.728780473211827484e+00
3.321999999999999953e-01,1.587872792850021142e+00
3.323999999999999733e-01,1.679285152705460860e+00
3.325000000000000178e-01,1.740442889791211201e+00
3.326999999999999957e-01,1.616934434934137244e+00
3.331000000000000072e-01,1.297619583396908638e+00
3.332999999999999852e-01,1.684269093775355941e+00
3.333999999999999742e-01,1.917432303919667902e+00
3.336000000000000076e-01,1.990360481419656935e+00
3.340000000000000191e-01,1.958697943798824781e+00
3.341999999999999971e-01,2.179994642284782458e+00
3.343999999999999750e-01,2.309619220408649198e+00
3.346000000000000085e-01,2.581614745387014409e+00
3.350000000000000200e-01,2.668704817162051768e+00
3.351999999999999980e-01,2.656428873222012044e+00
3.353999999999999759e-01,2.783526944266213832e+00
3.356000000000000094e-01,2.808313893002605255e+00
3.360000000000000209e-01,2.998097162658496018e+00
3.361999999999999988e-01,3.004733555447046456e+00
3.363999999999999768e-01,2.727590957579423048e+00
3.366000000000000103e-01,2.490906456540869840e+00
3.367999999999999883e-01,2.695086813438365425e+00
3.371999999999999997e-01,2.739285764079113505e+00
